bib_id,cite_key,section,pdf_page_start,pdf_page_end,abbreviation,authors_raw,year,title,publication_or_container,urls,doi,pages,type_guess,parse_confidence,raw_reference
B0763,rozwadowski-1907,print,483,483,,"Rozwadowski, Jan",1907,Parerga,Materyały i prace Komisyi Językowej Akademii Umiejętności w Krakowie 2: 341-356.,,,341-356,journal_article,medium,"Rozwadowski, Jan. 1907. Parerga. Materyały i prace Komisyi Językowej Akademii Umiejętności w Krakowie 2: 341-356."
B0764,ruijgh-1986,print,483,483,,"Ruijgh, C.J",1986,R,Giacomelli. Graeca Italica (Review). Mnemosyne 39(3/4): 507-9.,,,507-9,other,medium,"Ruijgh, C.J. 1986. R. Giacomelli. Graeca Italica (Review). Mnemosyne 39(3/4): 507-9."
B0765,ruijgh-1997,print,483,483,,"Ruijgh, C.J",1997,La date de la création de l’alphabet grec et celle de l’épopée homérique,Bibliotheca Orientalis 54(5-6): 533-603.,,,533-603,other,medium,"Ruijgh, C.J. 1997. La date de la création de l’alphabet grec et celle de l’épopée homérique. Bibliotheca Orientalis 54(5-6): 533-603."
B0766,saflund-1938,print,483,483,,"Säflund, Gösta",1938,Bemerkungen zur Vorgeschichte Etruriens Studi Etruschi 12: 17- 55,,,,,journal_article,medium,"Säflund, Gösta. 1938. Bemerkungen zur Vorgeschichte Etruriens Studi Etruschi 12: 17- 55."
B0767,saflund-1939,print,483,483,,"Säflund, Gösta",1939,"Le terremare delle province di Reggio Emilia, Modena, Parma e Piacenza",Lund: Gleerup.,,,,book_or_monograph,medium,"Säflund, Gösta. 1939. Le terremare delle province di Reggio Emilia, Modena, Parma e Piacenza. Lund: Gleerup."
B0768,salmons-1992,print,483,483,,"Salmons, Joe",1992,Northwest Indo-European vocabulary and substrate phonology,"In Pearson, Roger (ed.). Perspectives on Indo-European language, culture and religion: studies in Honor of Edgar C. Polomé. Vol. 2, pp. 265–279. Washington, DC: Institute for the Study of Man.",,,,chapter_or_edited_volume,medium,"Salmons, Joe. 1992. Northwest Indo-European vocabulary and substrate phonology. In Pearson, Roger (ed.). Perspectives on Indo-European language, culture and religion: studies in Honor of Edgar C. Polomé. Vol. 2, pp. 265–279. Washington, DC: Institute for the Study of Man."
B0769,salmons-1993,print,483,483,,"Salmons, Joe",1993,The glottalic theory: survey and synthesis,"McLean, VA: Institute for the Study of Man.",,,,book_or_monograph,medium,"Salmons, Joe. 1993. The glottalic theory: survey and synthesis. McLean, VA: Institute for the Study of Man."
B0770,sammallahti-1988,print,484,484,,"Sammallahti, Pekka",1988,"Historical Phonology of the Uralic Languages with Special Reference to Samoyed, Ugric, and Permic","In in Denis Sinor (ed.). The Uralic languages: Description, history, and foreign influences, pp. 478–554. Leiden: Brill.",,,,chapter_or_edited_volume,medium,"Sammallahti, Pekka. 1988. Historical Phonology of the Uralic Languages with Special Reference to Samoyed, Ugric, and Permic. In in Denis Sinor (ed.). The Uralic languages: Description, history, and foreign influences, pp. 478–554. Leiden: Brill."
B0771,sampietro-2007,print,484,484,,"Sampietro, Maria Lourdes, Oscar Lao, David Caramelli, Martina Lari, R. Pou, M. Martí, Jaume Bertranpetit, and Carles Lalueza-Fox",2007,Palaeogenetic Evidence Supports a Dual Model of Neolithic Spreading into Europe,Procedings of the Royal Society B 274: 2161-7.,,,2161-7,journal_article,medium,"Sampietro, Maria Lourdes, Oscar Lao, David Caramelli, Martina Lari, R. Pou, M. Martí, Jaume Bertranpetit, and Carles Lalueza-Fox. 2007. Palaeogenetic Evidence Supports a Dual Model of Neolithic Spreading into Europe. Procedings of the Royal Society B 274: 2161-7."
B0772,sarno-2014,print,484,484,,"Sarno, Stefania, Alessio Boattini, Marilisa Carta, Gianmarco Ferri, Milena Alù, Daniele Yang Yao, Graziella Ciani, Davide Pettener, and Donata Luiselli",2014,An Ancient Mediterranean Melting Pot: Investigating the Uniparental Genetic Structure and Population History of Sicily and Southern Italy,PLoS ONE 9(4): e96074.,,,,book_or_monograph,medium,"Sarno, Stefania, Alessio Boattini, Marilisa Carta, Gianmarco Ferri, Milena Alù, Daniele Yang Yao, Graziella Ciani, Davide Pettener, and Donata Luiselli. 2014. An Ancient Mediterranean Melting Pot: Investigating the Uniparental Genetic Structure and Population History of Sicily and Southern Italy. PLoS ONE 9(4): e96074."
