statement_id,entry_id,pdf_page_range,section,primary_headword,entry_heading,statement_type,statement_markdown,reconstructed_forms_in_statement,glosses_in_statement,char_flags
liv2add-0024-s01,liv2add-0024,14,*d,*dʰebʰ-,*dʰebʰ- → *debʰ-,Zum Kausativ,"Zum Kausativ auch an. tefia ‘verhindern, verzögern’",,"verhindern, verzögern",
liv2add-0025-s01,liv2add-0025,14,*d,*deh₁-,?2.*deh₁-,Zum Desiderativ,"Zum Desiderativ auch alb. do ‘will, wünscht; liebt’, vgl. 1s ageg. duo, also kontrahiert < *dā̊(h)- < *dē-so/e-, s. MATZINGER, Sprache 45 (2005) 89-91; SCHUMACHER/MATZINGER 970; suppletiv zu Aorist desh- (s. *g̑eu̯s-).",*dā̊(h)-; *dē-so/e-; *g̑eu̯s-,"will, wünscht; liebt",contains-combining-marks
liv2add-0026-s01,liv2add-0026,14-15,*d,*deh₁u̯-,"Neu: *deh₁u̯- ‘zusammenfügen, ordnen’1",Aorist,"Aorist
?*déh₁u̯-/duh₁- [toch.B tsuwa ‘fügte sich’, A tswānt ‘fügten sich’2",*déh₁u̯-/duh₁-,fügte sich; fügten sich,contains-combining-marks; contains-subscript-numerals
liv2add-0026-s02,liv2add-0026,14-15,*d,*deh₁u̯-,"Neu: *deh₁u̯- ‘zusammenfügen, ordnen’1",Präsens,"Präsens
*du-né/n-h₁-
toch.A 3p Konj. (?) Med. tsnāntr- ‘setzen zusammen (?)’3",*du-né/n-h₁-,setzen zusammen (?),contains-subscript-numerals
liv2add-0026-s03,liv2add-0026,14-15,*d,*deh₁u̯-,"Neu: *deh₁u̯- ‘zusammenfügen, ordnen’1",Neubildungen,"Neubildungen
?Essiv toch.B tswetär ‘fügt sich’4",,fügt sich,
liv2add-0029-s01,liv2add-0029,15,*d,*deh₃-,*deh₃- ‘nehmen; geben’,Zum Aorist,Zum Aorist: (statt zum Präsens) [air. do·rat(a)i ‘kann geben’16b [toch. B Ipv. petso ‘gebt!’12a,,kann geben; gebt!,
liv2add-0030-s01,liv2add-0030,15-16,*d,*deh₃u̯-,*deh₃u̯-,Zum Aorist,"Zum Aorist auch

umbr. Fut.ex. purtiius (Stamm pur-di- zu dī- < *dū-, MEISER, Perfekt 183)",*dū-,,
liv2add-0031-s01,liv2add-0031,16,*d,*dei̯h₁-,"Neu: ?2.*dei̯h₁- ‘schlagen, zerstören’¹",Präsens,"Präsens
*déi̯h₁-e- ved. ví dayate ‚zerstört‘; ?pamir. yzg. (+) δay- ~ day- ‘schlagen’, rosh.(+)
δay- ‘schlagen (intr.), hinfallen’²",*déi̯h₁-e-,"zerstört; schlagen; schlagen (intr.), hinfallen",contains-greek; contains-combining-marks; contains-subscript-numerals
liv2add-0032-s01,liv2add-0032,16,*d,*dei̯h₂-,*dei̯h₂-,Präsens,"Präsens ?*di-né/n-h₂-
[parth. (+) pdyn- ‘anzünden’3a",*di-né/n-h₂-,anzünden,contains-subscript-numerals
liv2add-0033-s01,liv2add-0033,16,*d,*dei̯k̑-,1.*dei̯k̑-,Aorist,"Aorist *dḗi̯k̑/déi̯k̑-s- aav. 2s Inj. dāiš ‘zeige!’
gr. ἔδειξα ‘zeigte’
lat. dīxī ‘sagte’
Wohl doch schon uridg., vielleicht sekundär zum reduplizierten Präsens?",*dḗi̯k̑/déi̯k̑-s-,zeige!; zeigte; sagte,contains-greek; contains-combining-marks
