entry_id,pdf_page_range,markdown_start_line,section,heading,is_new,is_uncertain,ordinal_marker,primary_headword,all_star_forms_in_heading,target_headword,heading_gloss,heading_iew_refs,heading_relation_tags,body_markdown,body_char_flags
liv2add-0011,12,1093,*bʰ-,"Neu: 2.*bʱers-1 ‘hervorbrechen, bersten’2",True,False,2.,*bʱers-1,*bʱers-1,,"hervorbrechen, bersten",,new,"Aorist
*bʱérs-/bʱr̥s-
heth. 1s Med. parsha(ri) ‘breche’2

Präsens
?*bʱr̥s-i̯é- heth. 3s Med. parsija ‘bricht’2

Anm. 1 Verbal nur anat., vgl. noch bʱr̥so- > gr. φάρσος ‘Bruchstück’ und kelt. *barso- > air. barr ‘Spitze, Gipfel’, s. TISCHLER II 493; GARNIER & SAGOT, IF 122, 2017, 47

Fn. 38. Dagegen setzt KLINGENSCHMITT 167 *pers- an, das auch in arm. pʿer̄eke- ‘zerspalten’ reflektiert sei (mit unklarer Bildeweise).

Anm. 2 Primär wohl durchbrechen, aber spezialisiert auf ‘durchbrechen, hervorbrechen‘ > ‘(aus dem Boden) nach oben brechen’.

Anm. 3 Alt fast nur Medium, jünger zu beiden Stämmen auch Aktivformen. Für einen je-Stamm ist Bildung mit 3. Sg. -a unerwartet, und de facto liegt eine komplementäre Distribution vor: pars- vor Konsonant und parsi- vor Vokal.",contains-greek; contains-combining-marks
liv2add-0012,12,1111,*bʰ-,*bʰeru̯-,False,False,,*bʰeru̯-,*bʰeru̯-,,,,,"Präsens auch in iran. *barwa- > *warba- > shughni (+) wārv- ‘sieden, wallen’, MORGENSTIERNE, EVS 92a mit Lit.; CHEUNG, EDIV 12. Hierher nach Kölligan, Vortrag Ljubljana 2019, auch lat. fur- durch Paradigmenspaltung von *ferw- ~ fur-, dann primär athem.",contains-combining-marks
liv2add-0013,12,1116,*bʰ-,*bʰes-,False,False,,*bʰes-,*bʰes-,,,,,"Präsens auch thematisiert in chwar. wz-βh- ‘überdrüssig werden’ < *uz-baha- ‘sich überessen’, SAMADI 228, dazu Kausativ wz-β’hȳ- ‘verdrießen’ < *uz-bāhaya-, ibid. (< ?*bʰos-éi̯e-).

Anm. 1 … Bei Grundbedeutung ‘reiben’ könnte auch heth. pess- ‘reiben’ hierhergehören, wenn nicht zu *pes-.",contains-greek; contains-combining-marks
liv2add-0014,12-13,1123,*bʰ-,2.*bʰeu̯g-,False,False,2.,*bʰeu̯g-,*bʰeu̯g-,,,,,"Nasalpräsens auch in mkymr. diwung ‘greift an’ ← ‘bricht hervor’ < *dī-bunge-, SCHUMACHER, KPV 239-40 mit Lit.",contains-combining-marks
liv2add-0015,13,1129,*bʰ-,*bʰled-,False,False,,*bʰled-,*bʰled-,,,,,"Hierher nach ADAMS, DTB 461 toch.B plätk- ‘schwellen, überfließen, sich entwickeln’ aus einem Präsens *bʰled-sk° ← *bʰl̥d-sk̑é-",contains-combining-marks
liv2add-0016,13,1134,*bʰ-,*bʰleg-0,False,False,,*bʰleg-0,*bʰleg-0,,,,,"Zu streichen: toch.B pəlka-, A pälkā- ‘sehen’: besser sekundär aus Imperativ *pə-ləka-, s. NORBRUIS, TIES 20, 2020, 141-61.

Anm. 0 Bei Anschluss von ved. bhárgas- n. ‘Glanz’ wäre ein Velar sicher [Hinweis J. Döll, Marburg]; der problematische Schwebeablaut lässt sich vielleicht so erklären, dass bhárgas- < *bʱélg-os/es- eine Rückbildung zu einem Adj. *bʱl̥g-ó- war.",contains-combining-marks
liv2add-0017,13,1141,*bʰ-,"Neu: *bʰleh₂- ‘rufen, anrufen’1",True,False,,*bʰleh₂-,*bʰleh₂-,,"rufen, anrufen",,new,"Aorist/Präsens
?*bʰlóh₂-/bʰleh₂-
heth. palāhta ‘rief (an)’2

Anm. 1 Verbal nur anat. und mit wurzelerweiterndem *-d- in germ. *blōt-i/a- > got. (+) blotan ‘verehren’, *blōt-i/ja- > got. -blotjan ‘anflehen’, dazu der lat. Priestertitel flāmen und vielleicht messap. βλαμινι, blasit, s. insgesamt SCHAFFNER, Graeco-Latina Brunensia 15, 2010/1, 87-105.

Anm. 2 Vgl. SCHAFFNER, l.c. 98-9. Wegen der Plene-Schreibung dürfte wohl eher uranat. *blóH- vorliegen als *bláH-, weshalb eine Zuordnung zur hi-Konjugation wahrscheinlicher ist.",contains-greek; contains-subscript-numerals
liv2add-0018,13,1152,*bʰ-,*bʰreg-,False,False,,*bʰreg-,*bʰreg-,,,,,"Air. braigim ist besser zu trennen, s. neue Wurzel *bʰreHg- Dazu khot. Kausativ tca-baljätä ‘zerstreut’ < *barǰaya- mit analog. „Vollstufe I“ anstelle von *braǰ-? Vgl. auch tumsh. tsa-b=arg-, EMMERICK 40. Neugebildetes sk̑e-Präsens auch in khot. tca-brīśtä ‘wird zerstreut’< *-braxsa-, ibid.",contains-combining-marks
liv2add-0019,13,1157,*bʰ-,"Neu: *bʰreHg- ‘stinken, furzen’",True,False,,*bʰreHg-,*bʰreHg-,,"stinken, furzen",,new,"Wurzelansatz nach SCHUMACHER, KPV 232-3 mit Lit., außerkelt. vgl. noch lat. fragrāre ‘duften’, ahd. bracko ‘Spürhund’; unsicher ist dagegen mhd. bræhen ‘riechen’, s. *gʷʰreh₁-.

Präsens ?*bʰr̥Hg̑-i̯ó- [air. braigim ‘furze’

Perfekt ?*bʰe-bʰróHg̑/bʰr̥Hg̑-
mir. ro-bebraig ‘hat gefurzt’",contains-combining-marks; contains-subscript-numerals
liv2add-0020,13-14,1167,*bʰ-,"Neu: *bʰrei̯g- ‘braten, rösten’1 IEW 137",True,False,,*bʰrei̯g-,*bʰrei̯g-,,"braten, rösten",IEW 137,new,"Präsens
?*bʰri-né/n-g- [iran. *brinǰ- in mp. (> parth.) brynz- ‘rösten, braten’2

*bʰréi̯g-e- khot. (+) brījs- ‘rösten, braten’3 lat. frīgō, -ere ‘rösten, braten’

Aorist ?*bʰrḗi̯g-/bʰréi̯g-s-
lat. frīxī ‘röstete, briet’4

Anm. 1 Zusammenhang mit ähnlichem und synonymem *bʰerg̑- (s.o.) unklar (vgl. EWAia II 278 mit Lit.). Im Iran. neben *braiǰ- vielleicht auch *braiz- (mit Palatal), jedoch unsicher: mp. brēz- ist mehrdeutig, Inf. brištan usw. spricht zwar für *z, kann aber analogisch sein; np. biryān wohl besser mit Hübschmann, Persische Studien, Strassburg 1895, 248 < *briyān < *brigāna- (und nicht mit BAILEY 314a < *bridāna-); formal identisch mit parth. bry’n (Ptz. Präs.), das entweder mp. Lehnwort oder (mit Yagnobi viráy-) zu trennen sein müsste.

Anm. 2 Von DMMPP wird das Lemma als Pa[rthisch] angesetzt, die Belegstelle jedoch als MP, muss wegen z jedenfalls primär mp. sein, wenn nicht die Palatalvariante vorliegt.

Anm. 3 EMMERICK 107 mit Lit., SAMADI 41.

Anm. 4 Neubildung möglich, vgl. MEISER, Perfekt 119 §110.",contains-combining-marks
