entry,section,pdf_page,field,line_start,issue,content
dragės,Lithuanian,149,SL,4211,contains_non_ascii,"OCS droždiję Npl. f.(ja) 'dregs'; Ru. dr6žži n.(io) 'yeast, leaven'; Cz. droždi n.(io) 'yeast, leaven'; Slk. droždie n.(io) 'yeast, leaven'; Pl. dro:id:ie Npl. f.(ja) 'yeast, leaven'; OPI. dro:id:ia f.(ja) 'sediment, dregs'; SCr. drožda 'sediment'; Sln. drožje n.(io) 'yeast, leaves'"
drangas,Lithuanian,150,SL,4235,contains_non_ascii,"OCS drpgy (Euch.) Ipl. 'sticks'; Cz. drouh (obs., dial.) 'bar, club'; Slk. druh (dial.) 'bar, club'; Pl. drqg 'bar', Gsg. drqga; Slnc. dro_ųg 'bar, pole', Gsg. dro_ųga; SCr. drug 'rail'; Sln. dr(ig 'bar, latticed side of a cart'"
drąsus,Lithuanian,150,LITH,4254,contains_non_ascii,drqsus 4 [2/4] 'courageous' (AP 2 is attested in Daukša's writings)
drąsus,Lithuanian,150,LATV,4255,contains_non_ascii,"drnošs 'courageous'; VAR druoss (uo, uo2]"
draugas,Lithuanian,151,LITH,4272,contains_non_ascii,"draūgas 4 'friend' LATV draugs [au, au2] 'friend' BSL *draugas PSL *drūga m. o (e) 'companion, friend' SL OCS druga 'friend'; Ru. drug 'friend'; Cz. druh 'friend'; Slk. druh 'friend'; OPI. drug 'companion, comrade'; SCr. drūg 'friend'; Sln. drūg 'companion, best man' IE Go. gadrauhts m. 'warrior'; Oic. dr6ttinn m. 'prince, lord'; OHG truhtin m. 'lord'"
drebėti,Lithuanian,151,LITH,4277,contains_non_ascii;possible_ocr_digit_letter_year_or_symbol,"drebčti 'quiver, tremble', 3 pres. dreba, 3 pret. drebčjo LATV drebet 'quiver, tremble', lsg. pres. drebu, lsg. pret. drebeju"
drebėznos,Lithuanian,151,LITH,4284,contains_non_ascii;fused_field_label,"drebeznos (Jušk.) Npl. 2 'remnants'; VAR drebezos Npl.; dreblzgai Npl.; drebezgai Npl. BSL *dreb-PSL *drebezga m. o SL Ru. drebezg 'sound of breaking glass, falling metai objects, etc:; Ru. drebezgi Npl. m. 'splinters, remnants'"
drėbti 11,Lithuanian,152,PIE,4307,fused_field_label,"*dhreb-IE Olc. drepa 'strike, kill'; OHG treffan 'strike, hit'"
drėgna,Lithuanian,152,LITH,4312,contains_non_ascii,"drėgna ( dial.) 3 'humidity, humid weather' LATV dręgzna [e, e2] '(e) cool, rainy weather, (e, e2) a moist place'; VAR dręgs 'Tauwetter, Schlackwetter'"
drėgnas,Lithuanian,152,LITH,4318,contains_non_ascii,"dregnas 3 [1/3/4] 'damp, moist, wet'; VAR drėgnus 4 [1/4]"
drėgnas,Lithuanian,152,LATV,4319,contains_non_ascii,"drfgns [f, ę, ę, ę2, f2] 'damp, moist'; VAR dręgns (Biel.); driegns2 [ię2, ie]; dręgzns; dręzns"
dreižti,Lithuanian,153,LITH,4331,contains_non_ascii,"dreižti 'linger, drag out', 3 pres. dreižia, 3 pret. dreižė"
dreižti,Lithuanian,153,LATV,4332,contains_non_ascii;possible_ocr_digit_letter_year_or_symbol,"drėzt2'kindle', lsg. pres. drėžu2, lsg. pret. drėzu2"
drėkti l,Lithuanian,153,LITH,4338,contains_non_ascii,"drekti ( dial.) 'spoil, soil, drizzle, snow', 3 pres. drekia, 3 pret. drekė"
drengti l,Lithuanian,153,LITH,4350,contains_non_ascii,"drengti 'sleet', 3 pres. drengia, 3 pret. drengė"
drengti 11,Lithuanian,153,LITH,4356,contains_non_ascii,"drengti [en, en] 'tear (while wearing), spoil, rub, rush', 3 pres. drengia, 3 pret. drengė"
drežėti,Lithuanian,153,LITH,4362,contains_non_ascii,"drežeti 'give reluctantly, be stingy', 3 pres. dreža, 3 pret. drežejo"
drežėti,Lithuanian,153,PIE,4364,fused_field_label,"*dregh-IE Olc. tregr 'reluctant'; OHG tragi 'lazy, dull'"
dręžti,Lithuanian,154,LITH,4372,contains_non_ascii,"dręžti [ę, ę] 'wear, tear', 3 pres. dręžia, 3 pret. dręžė; VAR drežti (Jušk.), 3 pres. drežia, 3 pret. drežė"
drignė,Lithuanian,154,LITH,4393,contains_non_ascii,"drignė 2 [2/4] 'henbane, restless person'; VAR drignis f.(i) 4 'henbane'; drignjis 4 'henbane'; drignius 2 'henbane, devil'"
drignė,Lithuanian,154,LATV,4394,contains_non_ascii,"drigene (usu. pl.) 'henbane (męlnas drigenes), thorn apple (baltas drigenes)'; VAR drigele 'henbane'"
drįsti,Lithuanian,154,LITH,4404,contains_non_ascii,"drįsti 'dare', 3 pres. drįsta, 3 pret. drįso; VAR drįsti, 3 pres. dręsa, 3 pret. drįso"
drižti,Lithuanian,155,LITH,4413,contains_non_ascii,"drižti 'become weak, fear, be shy', 3 pres. dryžta, 3 pret. drižo"
dryžti,Lithuanian,155,LITH,4418,contains_non_ascii,"dryžti ( dial.) 'tear, rub, wear', 3 pres. dryžta, 3 pret. dryžo; VAR dryžti, 3 pres. dryžia, 3 pret. dryžė"
drobė,Lithuanian,155,LITH,4423,contains_non_ascii,"drobė l [1/2) 'linen, linen cloth' LATV drebe [e, e2] 'cloth, (pl.) laundry, piece of clothing, clothes'"
drognė,Lithuanian,155,LITH,4430,contains_non_ascii,"drognė ( dial.) 2 'bad, rainy weather, snowstorm'"
drožlė,Lithuanian,155,LITH,4435,contains_non_ascii,"drožll 4 [2/ 4) 'shaving, fibre'; VAR drožlas 4; drožlis LATV drazlis 'shaving'"
drožti,Lithuanian,155,LITH,4440,contains_non_ascii,"drožti 'carve, sharpen, bea t, speak frankly, rush, ( coll.) eat or drink greedily', 3 pres. drožia, 3 pret. drožė LATV drazt [a, a, a2, a2] 'carve, beat, sling, dart, rush' (Cirulis and Schmidt have drazt 'carve' opposed to drazt 'beat, rush'), 1sg. pres. dražu, 1sg. pret. drazu"
drugys,Lithuanian,156,PSL,4455,contains_non_ascii,"*dT""bžb 'shivering, tremor'"
drugys,Lithuanian,156,SL,4456,contains_non_ascii,"Ru. drož' f.(i) 'shivering, tremor'; drošč (Psk.) m.(jo) 'shivering, tremor'; Pl. dreszcz m.( jo) 'shivering, tremor, shudder'; dreszcz e dial.) f.(i) 'id:"
drugys,Lithuanian,156,BSL,4458,broken_reconstruction_spacing,"*drug- may in principle reflect *drug""- or *dhrug""-, but to my knowledge there are no cognates outside Balto-Slavic that could decide the matter."
drūktas,Lithuanian,156,LITH,4461,contains_non_ascii,"drdktas (:Žem.) 3 'thick, deep (voice)'; VAR driūktas 'thick' LATV drūkts [u2] 'thick, (u2) sturdy'; VAR drukts 'sturdy, plump'; drukns 'sturdy, heavyset' OPR drūktai, drūcktai adv. 'tight' IE Ok. drjugr 'substantial, lasting, ample'; OSw. drygher 'considerable, strong, big'; WFri. dreech 'strong, enduring'"
druožlė,Lithuanian,156,LITH,4467,contains_non_ascii,"druožll 4 'shaving, sawdust'"
druožti,Lithuanian,156,LITH,4474,contains_non_ascii,"druožti ( dial.) 'tear, wear, rub', 3 pres. druožia, 3 pret. druožė"
druzgai,Lithuanian,157,LITH,4499,contains_non_ascii,"druzgai Npl. 4 [2/4] 'fragments, splinters, chips' (the singular is only sparsely attested); VAR drūzgai Npl. 4 [2/4]"
du,Lithuanian,157,SL,4511,contains_non_ascii,"OCS d11va, f. d11ve, n. d11ve; Ru. dva, f. dve, n. dva; Cz. dva, f. dve, n. dve; Pl. dwa, f. dwie, n. dwa 'two'; Slnc. dva, f. dvjie, n. dvjię; SCr. dvd, f. dvlje, n. dva 'two'; Čak. dv& (Vrg.), f. dvi, n. dvJ; dva (Orb.); Sln. dvd; Bulg. dva 'two'"
du,Lithuanian,157,PIE,4513,broken_reconstruction_spacing,*duo-h1; *duo-ih1 (*duo-i?)
dubuo,Lithuanian,157,LATV,4528,contains_non_ascii,dibęns 'bottom'; VAR dubęns (W. Cour.) m.( o); dubens (W. Cour.) m.(i)
duburys,Lithuanian,157,LITH,4534,contains_non_ascii,"duburys 3h 'hollow, hole in the bed of a river or lake, pond'; VAR dūburys 3h; dumburys 3h; duburas 3h; duburas 3h"
dubus,Lithuanian,158,PIE,4546,fused_field_label,*dhubh-IE Go. diups 'deep'; Olr. domain 'deep'
dugnas,Lithuanian,158,SL,4558,contains_non_ascii;unusual_symbol_for_manual_check,"OCS d'bno; Ru. dno; Cz. dno; Pl. dno; SCr. dno; Čak. dno (Vrg., Orb.); Sln. dn<); Bulg. d&no 'bottom, floor'"
dugnas,Lithuanian,158,PIE,4560,fused_field_label,*dhubh-no-IE Gaul. dubnos m. 'underworld'; Olr. domun m. 'world'
duja,Lithuanian,158,LITH,4566,contains_non_ascii,"duja 4 '(Žem.) drizzle, mist, (Dz.) loose, ashy earth'; dujos Npl. 2 [2/4] 'gas'"
duktė,Lithuanian,159,LITH,4580,contains_non_ascii,dukte f.(r) 3b 'daughter' OPR duckti (EV) 'daughter' BSL *duktė PSL *dvkti f. r (e) 'daughter'
