entry,section,pdf_page,field,content,line_start,extracted_star_forms,flags
akėčios,Lithuanian,60,IE,"Gk. 6Ęlva (Hes.) f. 'an agricultural implement with iron teeth, drawn by oxen'; Lat. occa f. 'harrow'; OW ocet f. 'harrow'; OHG egida f. 'harrow'; OE eg(e)pe f. 'harrow' (cf. Fi. iies 'harrow')",850,,contains_non_ascii
akėti,Lithuanian,61,LITH,"aketi 'harrow', 3 pres. akeja, 3 pret. akejo; VAR eketi",860,,
akėti,Lithuanian,61,LATV,"ecet 'harrow', isg. pres. eceju, isg. pret. eceju",862,,possible_ocr_digit_letter_year_or_symbol
akis,Lithuanian,61,LITH,akis f.(i) 4 'eye',868,,
akis,Lithuanian,61,LATV,acs f.(i) 'eye',870,,
akis,Lithuanian,61,OPR,"agins (EV) 'eye'; ackis (UI) Npl. 'eyes', Apl. ackins",872,,
akis,Lithuanian,61,BSL,*ok-,874,*ok-,
akis,Lithuanian,61,PSL,*oko n. o 'eye',876,*oko n. o 'eye',
akis,Lithuanian,61,SL,"OCS oko n.(s), Gsg. očese, Ndu. oči; Ru. 6ko (arch., poet.), Npl. 6či; Cz. oko, Npl. oči; Pl. oko, Npl. oczy; SCr. oko, Npl. oči; Sln. ok(i, Npl. očf",878,,contains_non_ascii
akis,Lithuanian,61,PIE,*h3ekw-j_,880,*h3ekw-j_,
akis,Lithuanian,61,IE,Skt. tik?i- n. 'eye'; Gk. oooe NAdu. n. 'eyes'; Lat. oculus m. 'eye',882,,broken_reconstruction_spacing
akmuo,Lithuanian,61,LITH,akmuo m.(n) 3b [1/3b) 'stone' (akmuo i is attested in DP and Ds.),888,,
akmuo,Lithuanian,61,LATV,"akmens m.(n) 'stone', Gsg. akmens, akmel'}a; VAR akmins, Gsg. akmins, akmil'}a",890,,unusual_symbol_for_manual_check
akmuo,Lithuanian,61,BSL,*(?)akmen-,892,*(?,
akmuo,Lithuanian,61,PSL,*kamy m. n 'stone',894,*kamy m. n 'stone',
akmuo,Lithuanian,61,SL,"OCS kamy m.( n ), Gsg. kamene; Ru. kamen' m.(jo ), Gsg. kamnja; Cz. kamen m.( o); Slk. kamen m.( jo); Pl. kamiefl m.( jo); SCr. kamen m.( o) 'stone, millstone'; Sln. kamen m.(o)",896,,
akmuo,Lithuanian,61,PIE,*h2ek-men-,898,*h2ek-men-,
akmuo,Lithuanian,61,IE,"Skt. asman- m. 'stone, rock'; Gk. liKµwv m. 'anvil, meteor, heaven'",900,,broken_reconstruction_spacing;contains_non_ascii;mojibake_candidate
akstinas,Lithuanian,62,LITH,"akstinas 3b 'thorn, awn, pointed stiek for driving eattle'",910,,
akstinas,Lithuanian,62,LATV,akstins 'priekle',912,,
akstinas,Lithuanian,62,BSL,*akstinas (*aštinos?),914,*akstinas (*aštinos?,contains_non_ascii
akstinas,Lithuanian,62,PSL,"*ostbnb m. o (b) 'sharp point, somth. with a sharp point'",916,*ostbnb m. o (b,
akstinas,Lithuanian,62,SL,"OCS ostbnb 'sharp point'; Ru. osten (dial.) 'thorn, spike'; Cz. osten 'spike, quill'; Pl. ošcien 'harpoon, (areh.) fishbone'; SCr. ostan 'pointed stiek for driving eattle'; Sln. pstan 'spike, thorn'; Bulg. osten 'pointed stiek for driving eattle'",918,,contains_non_ascii
aks tis,Lithuanian,62,LITH,"akstis (Žem.) f.(i) 4 'spit, thorn, prick'; VAR akštis f.(i) 4",924,,contains_non_ascii
aks tis,Lithuanian,62,LATV,"aksts m.( o) 'p riekle, sharp point'",926,,
aks tis,Lithuanian,62,BSL,*aks tis (*aš tis?),928,*aks tis (*aš tis?,contains_non_ascii
aks tis,Lithuanian,62,PSL,"*ostb f. i ( e(b?)) 'sharp point, smth. with a sharp point'",930,*ostb f. i (,
aks tis,Lithuanian,62,SL,"Ru. ost' 'awn'; Cz. osf (dial.) 'awn'; Slk. osf 'fishbone, awn, thorn'; Pl. ošc 'fishbone, awn, thorn'; SCr. osti Npl. 'harpoon'; ostve Npl. 'harpoon'; Čak. osti (Vrg.) Npl. 'harpoon'; Sln. pst 'sharp point, fishbone, (pl.) harpoon', Gsg. ostf",932,,contains_non_ascii
akuotas,Lithuanian,62,LITH,"akuotas i [1/3/3b] 'awn, (Ds.) fishbone, (Lz.) eyelash, ( dial.) blade'",938,,
akuotas,Lithuanian,62,LATV,"akuots [uo, UO, uo2] 'awn'; VAR akuota; akuote",940,,
akuotas,Lithuanian,63,LITH,"aldra ( dial.) l 'heavy storm, noise, racket'; VAR aldras l 'storm'",950,,
alga,Lithuanian,63,LITH,alga 4 'salary'; VAR eiga,956,,
alga,Lithuanian,63,LATV,"alga [ai, al2) 'salary'",957,,
alga,Lithuanian,63,OPR,algas Gsg. 'salary',958,,
alga,Lithuanian,63,PIE,*h2elgwhehr,960,*h2elgwhehr,
alga,Lithuanian,63,IE,"Skt. argha- m. 'worth, value, price'; Gk. <lAcM f. 'gain, profit'",961,,broken_reconstruction_spacing;unusual_symbol_for_manual_check
alkanas,Lithuanian,63,LITH,alkanas 3• [1/3•] 'sober',967,,contains_non_ascii
alkanas,Lithuanian,63,LATV,"aikans 'hungry, avid, tasteless, flat'; VAR ęlkans (Mane.)",968,,contains_non_ascii
alkanas,Lithuanian,63,OPR,alkins 'sober',969,,
alkanas,Lithuanian,63,BSL,*olrkino-PSL *Olčbn'b adj. o (a) 'hungry',971,*olrkino-PSL *Olčbn'b adj. o,contains_non_ascii;fused_field_label
alkanas,Lithuanian,63,SL,"OCS alcen'b (Supr.); CS alčbn'b (Christ.) 'hungry'; lačna (Freis.) Asg. m. 'one who is hungry'; Ru. alčnyj 'greedy, grasping, (obs.) hungry'; alošnoj (dial.) 'greedy'; alašnyj (dial.) 'greedy'; ORu. al('b)čbn'b 'hungry, greedy'; alčen'b 'hungry, greedy'; lačbn'b 'hungry, greedy'; Cz. lačny 'hungry, greedy'; Slk. lačny 'hungry, greedy'; OPI. laczny 'hungry, thirsty (for)'; SCr. liičan 'hungry'; Čak. liičan (Orb.) 'hungry'; Sln. lač;m 'hungry', f. lačna; Bulg. alčen 'greedy'",972,,contains_non_ascii
alkas,Lithuanian,63,LITH,"alkas 2 [2/4] '(holy) grove on a hill, idol' (Illič-Svityč (1963: 36) notes that the dialects show variation between AP 2 (E. Aukšt.) and AP 4 (NW. Žem.));",978,,contains_non_ascii
alkas,Lithuanian,64,LATV,"ęlks [ęl, ęž] 'idol' ( cf. ęlka dievs 'idol', ęlka kalns 'holy mountain where pagan rites are performed, temple hill')",984,,contains_non_ascii
alkas,Lithuanian,64,IE,Go. alhs f. 'temple',985,,
alksna,Lithuanian,64,LITH,"alksna l [1/ 4] 'alder thicket, place where alders grow, marsh, dale'; VAR elksna",990,,
alksna,Lithuanian,64,LATV,"alksna [ai, al2] 'alder thicket, swampy place'; VAR ęlksna (E. dial.); alksne; aluksna",993,,contains_non_ascii
alksna,Lithuanian,64,PSL,*olbsa f. a; *olbs'b m. o,995,*olbsa f. a | *olbs'b m. o,
alksna,Lithuanian,64,SL,"Ru. Ol'sa (Upper Dniepr) top. f.; ales (Smol., Dniepr basin) m. 'alder thicket, swampy place'; Bel. al'sa (Upper Dniepr) f., ales (dial.) m. 'alder thicket, swampy place'; Ukr. ol'os (dial.), oles (dial.) m. 'alder thicket, swampy place'; Pl. olesie n. 'swampy place in forest'",997,,
alksnis,Lithuanian,64,LITH,alksnis 2 [2/ 4] 'alder'; VAR elksnis 2; aliksnis (E. dial.) 2,1003,,
alksnis,Lithuanian,64,LATV,"alksnis [ai, aŽ2, al2] 'alder'; VAR e/ksnis [e[, ei, ež2, e/2] (the variant with ef (Aahof, see FBR 4: 43) appears to be isolated)",1005,,contains_non_ascii
alksnis,Lithuanian,64,BSL,*a!elisa(; *a/el(i)snio-,1007,*a!elisa( | *a/el(i,
alksnis,Lithuanian,64,PSL,*olbxa f. a; *elbxa f. a; *olbša f. ja; *elbša f. ja 'alder',1009,*olbxa f. a | *elbxa f. a | *olbša f. ja | *elbša f. ja 'alder',contains_non_ascii
alksnis,Lithuanian,64,SL,"Ru. ol'xa; elxa ( dial.) 'alder, spruce'; elxa ( dial.) 'alder, spruce' (in Russian dialects there are apparently also forms with a vocalized medial jer, e.g. el6xa (Kostr.), alex (Voron.), olex (Rjaz.) 'alder', cf. Popowska-Taborska 1984: 39 ); Cz. olše; jelše ( dial.); Slk. jelcha ( dial.); Pl. olcha; olsza ( dial.); USrb. w6lša; SCr. jelha ( dial.); jelša; Sln. plša ( dial.); Sln. jęlša; Bulg. elha",1010,,contains_non_ascii
alksnis,Lithuanian,64,IE,Lat. alnus m. 'alder'; Span. aliso m.; OHG elira f.; erila f.; OE alor m.; Olc. plr m.; jplstr f.; Mac. CiAi<a 'white poplar',1012,,unusual_symbol_for_manual_check
alkti,Lithuanian,65,LITH,"alkti 'be hungry', 3 pres. alksta, 3 pret. alko",1022,,
alkti,Lithuanian,65,LATV,"alkt 'be hungry', 1sg. pres. alkstu, 1sg. pret. alku",1023,,
alkti,Lithuanian,65,BSL,*olrk-PSL *Olkati v. (a) 'be hungry',1025,*olrk-PSL *Olkati v. (a,fused_field_label
alkti,Lithuanian,65,SL,"OCS al'bkati 'be hungry, fast', 1sg. al'bč9; lakati 'id.', 1sg. lač9; Ru. alkcit' 'hunger (for), crave (for), (obs.) be hungry', 1sg. alču, 3sg. alčet; ORu. al('b)kati 'hunger (for), crave (for)', 1sg. al'bču; lakati 'hunger (for), crave (for)', 1sg. laču; OCz. lakati 'crave (for)', 1sg. lakaju, 1sg. laču; Sln. lakati 'be hungry, be greedy, starve', 1sg. lakam",1026,,contains_non_ascii
alkūnė,Lithuanian,65,LITH,"alku nė 1 'elbow'; VAR elkunė ( arch., dial.) 1",1034,,contains_non_ascii
alkūnė,Lithuanian,65,LATV,"ęlkuonis [el, el2] 'elbow, bend'; VAR ęlks; ęlkuons; ęlkuone [ęl, ęl, el2] (ęlkuone in Rutzau, according to Abele 1927: 116); ęlkūne2",1035,,contains_non_ascii
alkūnė,Lithuanian,65,OPR,alkunis (EV) 'elbow',1036,,
alkūnė,Lithuanian,65,BSL,"*olk-PSL *olk'btb m. i/jo; *olk'bt'b; m. o (e) 'elbow, ell'",1038,*olk-PSL *olk'btb m. i/jo | *olk'bt'b,fused_field_label
alkūnė,Lithuanian,65,SL,"OCS lak'btb m.(i) 'elbow' (in some case forms inflected as a consonant stem); Ru. l6kot' m.(jo) 'elbow', Gsg. l6ktja; Cz. loket 'elbow, ell'; Slk. lakof 'elbow, ell'; Pl. lokiee 'elbow, ell'; USrb. lochc 'elbow'; l6chc (dial.) 'elbow'; SCr. lakat 'elbow, ell', Gsg. lakta; Čak. lakat (Vrg., Novi) 'elbow, ell', Gsg. lahta; lakat (Orb.) 'elbow, armlength, yard (measure)', Gsg. lahta; Sln. lakat, Gsg. lakta, laktū, lahta, lahtū; lakat f.(i), Gsg. lakti, lahti; Bulg. lakat",1039,,contains_non_ascii
alkūnė,Lithuanian,65,PIE,*Hh3elk-?,1041,*Hh3elk-?,
alkūnė,Lithuanian,65,IE,"Gk. 6;\rKpčtvoc; m. 'point of the elbow'; Lat. ulna f. 'elbow'; Olr. uilen f. 'elbow'; OHG elina f. 'ell'; Arm. oln 'spine, shoulder'",1042,,contains_non_ascii
almė,Lithuanian,66,LITH,"alme 4 [1/4) 'fluid from the mouth or nose of a dying person or corpse, phlegm' (Usually plural. The DLKŽ has aimės 4 'fluid from the mouth of a corpse'.); VAR eŽmės (K.) Npl. 4 PIE *h2e!ol-m-",1051,*h2e!ol-m-,contains_non_ascii
almė,Lithuanian,66,IE,"Skt. cirma- m. 'spring, well'; Skt. armaka- m. 'id.'; Toch. B alme*n. 'spring [of water]'",1053,*n. 'spring [of water,broken_reconstruction_spacing
almėti,Lithuanian,66,LITH,"almeti 'ooze, exude, trickle, flow gently', 3 pres. aima, 3 pret. almejo; VAR almeti, 3 pres. aimi, 3 pret. almejo; elmėti, 3 pres. elma, 3 pret. elmėjo",1061,,contains_non_ascii
almuo,Lithuanian,66,LITH,almuo m.(n) 3b 'pus',1067,,
alpti,Lithuanian,66,LITH,"aipti 'faint, crave', 3 pres. aipsta, 3 pret. aipo",1073,,
alsas,Lithuanian,67,LITH,"aisas 4 'fatigue, weariness'; VAR alsa 'fatigue, weariness, heavy breathing'",1083,,
alsuoti,Lithuanian,67,LITH,"alsuoti 'breathe heavily, pant', 3 pres. alsuoja, 3 pret. alsavo; VAR elsuoti 'breathe heavily, pant', 3 pres. elsuoja, 3 pret. elsavo",1089,,
alsuoti,Lithuanian,67,LATV,"ęisuOt 'sob, cough, pant'; VAR ęisat 'sob, cough, pant'; eišat 'breathe heavily, gasp'",1090,,contains_non_ascii
alus,Lithuanian,67,LITH,alus m. 4 'beer',1098,,
alus,Lithuanian,67,LATV,alus m. 'beer',1099,,
alus,Lithuanian,67,OPR,alu (EV) 'beer',1100,,
alus,Lithuanian,67,BSL,*alu,1102,*alu,
alus,Lithuanian,67,PSL,"*6111 m. u (e) 'fermented liquor, beer'",1103,*6111 m. u (e,
alus,Lithuanian,67,SL,"RuCS 0111 'fermented liquor, strong drink'; ORu. 0111 'id:; Sln. {Jl 'beer', Gsg. {ila, Gsg. olu",1104,,unusual_symbol_for_manual_check
alus,Lithuanian,67,PIE,"*h2el-u-IE Ok. 91 n. 'beer, drinking-bout'",1106,*h2el-u-IE Ok. 91 n.,fused_field_label
alvas,Lithuanian,67,LITH,"alvas (DK, Bretk.) l 'tin'",1112,,
alvas,Lithuanian,67,LATV,"afva [ai, ai2, al2] 'tin'; VAR afvs",1113,,
alvas,Lithuanian,67,OPR,alwis (EV) 'lead',1114,,
alvas,Lithuanian,67,PSL,*olovo n. o (e) 'lead',1116,*olovo n. o (e,
