type	key_or_author	entry
reference	Cunliffe, B.	Cunliffe, B. 2001 Facing the Ocean. The Atlantic and its
reference	Peoples 8000 BC–AD	Peoples 8000 BC–AD 1500. Oxford, Oxford University Press.
reference	Cunliffe, B.	Cunliffe, B. 2008 Europe between the Oceans, 9000 BC–AD 1000. New Haven, Yale University Press.
reference	Cunliffe, B.	Cunliffe, B. 2010 ‘Celticization from the West. The Contribution of Archaeology’, Celtic from the West. Alternative Perspectives from Archaeology, Genetics, Language and Literature, ed. B. Cunliffe & J. T. Koch, 13–38. Oxford, Oxbow Books.
reference	Cunliffe, B.	Cunliffe, B. 2013 Britain Begins. Oxford, Oxford University Press.
reference	Cunliffe, B.	Cunliffe, B. 2015 By Desert, Steppe, & Ocean: The birth of Eurasia. Oxford, Oxford University Press.
reference	Cunliffe, B.	Cunliffe, B. 2017 On the Ocean. The Mediterranean
reference	and the Atlantic from Prehistory to AD	and the Atlantic from Prehistory to AD 1500, Oxford, Oxford University Press.
reference	Damgaard,	Damgaard, P. de Barros, R. Martiniano, J. Kamm, J. V. Moreno-Mayar, G. Kroonen, M. Peyrot, G. Barjamovic, S. Rasmussen, C. Zacho, N. Baimukhanov, V. Zaibert, V. Merz, A. Biddanda, I. Merz, V. Loman, V. Evdokimov, E. Usmanova, B. Hemphill, A. Seguin-Orlando, F. E. Yediay, I. Ullah, K.-G. Sjögren, K. H. Iversen, J. Choin, C. de la Fuente, M. Ilardo, H. Schroeder, V. Moiseyev, A. Gromov, A. Polyakov, S. Omura, S. Y. Senyurt, H. Ahmad, C. McKenzie, A. Margaryan, A. Hameed, A. Samad, N. Gul, M. H. Khokhar, O. I. Goriunova, V. I. Bazaliiskii, J. Novembre, A. W. Weber, L. Orlando, M. E. Allentoft, R. Nielsen, K. Kristiansen, M. Sikora, A. K.
reference	Outram, R. Durbin, E. Willerslev	Outram, R. Durbin, E. Willerslev 2018 ‘The first horse herders and the impact of early Bronze Age steppe
reference	expansions into Asia’, Science 360. doi: 10.	expansions into Asia’, Science 360. doi: 10.1126/ science.aar7711
reference	Delamarre, X.	Delamarre, X. 2003 Dictionnaire de la langue gauloise: une approche linguistique du vieux-celtique continental. Collection des Hespérides. Paris,
reference	Errance. First published	Errance. First published, 2001.
reference	Delamarre, X.	Delamarre, X. 2007 Nomina celtica antiqua selecta inscriptionum. Paris, Errance.
reference	Delamarre, X.	Delamarre, X. 2012 Noms de lieux celtiques de l’Europe ancienne. Paris, Errance.
reference	Derksen, R.	Derksen, R. 2015 Etymological Dictionary of the Baltic Inherited Lexicon, Leiden Indo-European Etymological Dictionary Series 13, ed. A. Lubotsky. Leiden/Boston, Brill.
reference	de Vaan, M.	de Vaan, M. 2008 Etymological Dictionary of Latin and the other Italic Languages, Leiden Indo-European Etymological Dictionary Series, ed. A. Lubotsky.
reference	Leiden,	Leiden, Brill.
reference	De Vries, J.	De Vries, J. 1960 Kelten und Germanen. Bern und
reference	München,	München, Francke Verlag.
reference	Díaz-Guardamino, M.	Díaz-Guardamino, M. 2010 Las estelas decoradas en la Prehistoria de la Península Ibérica. Madrid, Universidad Complutense de Madrid.
reference	Díaz-Guardamino, M., & D. W. Wheatley	Díaz-Guardamino, M., & D. W. Wheatley 2013 ‘Rock Art and Digital Technologies. The Application of Reflectance Transformation Imaging (RTI) and 3D Laser Scanning to the Study of late Bronze Age Iberian Stelae’, Menga: Revista de prehistoria de Andalucía 4, 187–203.
reference	Díaz-Guardamino,	Díaz-Guardamino, M., L. García Sanjuán, D. Wheatley,
reference	V. Rodríguez Zamora	V. Rodríguez Zamora 2015 ‘RTI and the study of engraved rock art: A re-examination of the Iberian south-western stelae of Setefilla and Almadén de la Plata 2 (Seville, Spain)’, Digital Applications in Archaeology and Cultural Heritage 2, 41–54.
reference	Díaz-Guardamino, M., L. García-Sanjuán, D. Wheatley, J. A. Lozano-Rodríguez, M. Á. Rogerio-Candelera, & M. Casado-Ariza	Díaz-Guardamino, M., L. García-Sanjuán, D. Wheatley, J. A. Lozano-Rodríguez, M. Á. Rogerio-Candelera, & M. Casado-Ariza 2019a ‘Late Prehistoric
reference	Stelae,	Stelae, Persistent Places and Connected Worlds: A Multi-disciplinary Review of the Evidence at Almargen (Lands of Antequera, Spain)’, Cambridge
reference	Archaeological Journal 30:1, 69–96. doi:10.	Archaeological Journal 30:1, 69–96. doi:10.1017/ S0959774319000490
reference	Díaz-Guardamino,	Díaz-Guardamino, M., L. García-Sanjuán, D. Wheatley, J. A. Lozano-Rodríguez, M. Á. Rogerio-Candelera, M. Krueger, M. Krueger, M. Hunt Ortiz, M. Murillo-
reference	Barroso, V. Balsera Nieto	Barroso, V. Balsera Nieto 2019b ‘Rethinking Iberian “warrior” stelae: a multidisciplinary investigation of Mirasiviene and its connection to Setefilla (Lora del Río, Seville, Spain)’, Archaeological and Anthropological Sciences 11, 6111–6140. https://doi. org/10.1007/s12520-019-00909-1
reference	Diego Santos, F.	Diego Santos, F. 1986 Inscripciones romanas de la provincia de León. León, Diputación Provincial de León.
reference	Dillon, M. & N. K. Chadwick	Dillon, M. & N. K. Chadwick 1967 The Celtic Realms. New York, New American Library.
reference	Dixon, R. M. W.	Dixon, R. M. W. 1997 The Rise and Fall of Languages.
reference	Cambridge, Cambridge University Press. Dolfini, A., R. J. Crellin, C. Horn, & M. Uckelmann (eds)	Cambridge, Cambridge University Press. Dolfini, A., R. J. Crellin, C. Horn, & M. Uckelmann (eds) 2018 Prehistoric Warfare and Violence. Quantitative and Qualitative Approaches. Cham, Springer.
reference	Earle, T., J. Ling, C. Uhnér, Z. Stos-Gale & L. Melheim	Earle, T., J. Ling, C. Uhnér, Z. Stos-Gale & L. Melheim 2015 ‘The Political Economy and Metal Trade in Bronze Age Europe. Understanding Regional Variability in Terms of Comparative Advantages and
reference	Articulations’,	Articulations’, European Journal of Archaeology 18 (4), 633–57.
reference	Elena, A. G., R. Mar, & M. Martins	Elena, A. G., R. Mar, & M. Martins 2008 A Fonte do Ídolo. Análise, interpretação e reconstituição do santuário, Bracara Augusta, Escavações Arqueológicas. Braga.
reference	Encarnação, J. d’	Encarnação, J. d’ 1975 Divindades indigenas sob o dominio romano em Portugal, Lisboa.
reference	Encarnação, J. d’	Encarnação, J. d’ 1984 Inscrições romanas do Conventus Pacensis I-II. Coimbra.
reference	Encarnação, J. d’	Encarnação, J. d’ 1986 ‘Sagaivs – um novo gentilício romano documentado em Casével (Castro Verde)’, Arquivo de Beja, vol III, 2ª serie, 133–40. Beja.
reference	Eogan, G.	Eogan, G. 1995 ‘Ideas, people and things. Ireland and the external world during the Late Bronze Age’, Ireland in the Bronze Age. Proceedings of the Dublin
reference	Conference, April	Conference, April 1995, ed. J. Waddell & E. S. Twohig, 128–35. Dublin, Stationery Office.
reference	Espinosa, U.	Espinosa, U. 1986 Epigrafía romana de La Rioja. Logroño.
reference	Eska, J. F.	Eska, J. F. 2006a ‘Continental Celtic’, Celtic Culture: A Historical Encyclopedia, ed. J. T. Koch, vol 2, 480–4. Santa Barbara, ABC-Clio.
reference	Eska, J. F.	Eska, J. F. 2006b ‘Lepontic’, Celtic Culture: A Historical
reference	Encyclopedia, ed. J. T. Koch, vol 3	Encyclopedia, ed. J. T. Koch, vol 3, 1142–4. Santa
reference	Barbara,	Barbara, ABC-Clio.
reference	Faarlund, J. T.	Faarlund, J. T. 2008 ‘Ancient Nordic’, The Ancient Languages of Europe, ed. R. D. Woodard, 215–29.
reference	Cambridge,	Cambridge, Cambridge University Press.
reference	Falileyev, A.	Falileyev, A. 2008 Le Vieux-Gallois. Potsdam, Universitätsverlag Potsdam.
reference	Falileyev, A., with A. E. Gohil & N. Ward	Falileyev, A., with A. E. Gohil & N. Ward 2010 Dictionary of Continental Celtic Place-Names. A Celtic Companion to the Barrington Atlas of the Greek and Roman World. Aberystwyth, CMCS.
reference	Falileyev, A., & P. Kocharov	Falileyev, A., & P. Kocharov 2012 ‘Celtic, Armenian and Eastern Indo-European Languages: comments on a recent hypothesis‘, Ireland and Armenia: Studies in
reference	Language,	Language, History and Narrative, Journal of Indo-European Studies Monograph Series 61, ed. M. Fomin, A. Jivanyan, & S. Mac Mathúna. Washington DC, Institute for the Study of Man.
reference	Fatás, G.	Fatás, G. 1980 Contrebia Belaisca (Botorrita, Zaragoza) II. Tabula Contrebiensis, Monografías Arqueológicas 23. Zaragoza.
reference	Faulkes, A. (ed.)	Faulkes, A. (ed.) 1998 Snorri Sturluson: Edda. Skáldskaparmál: 1. Introduction, Text and Notes. Viking Society for Northern Research, University College London.
reference	Fita, F.	Fita, F. 1913b ‘Lápidas romanas de Gastiáin (Navarra)’, Boletín de la Real Academia de la Historia 63, 556–66.
reference	Fitzpatrick, A. P.	Fitzpatrick, A. P. 2013 ‘The Arrival of the Bell Beaker Set in Britain and Ireland’, Celtic from the West 2. Rethinking the Bronze Age and the Arrival of Indo-European in Atlantic Europe, Celtic Studies Publications 16, ed. J. T. Koch & B. Cunliffe, 41–70.
reference	Oxford,	Oxford, Oxbow Books.
reference	Fontijn, D.	Fontijn, D. 2005 ’Giving up weapons’, Warfare, violence and slavery in prehistory, ed. M. Parker Pearson & I. J. N. Thorpe, 145–54. Oxford, Archaeopress.
reference	Fornander, E., G. Eriksson & K. Lidén	Fornander, E., G. Eriksson & K. Lidén 2018 ‘Wild at heart: Approaching Pitted Ware identity, economy and cosmology through stable isotopes in skeletal material from the Neolithic site Korsnäs in Eastern Central Sweden’, Journal of Anthropological Archaeology 27, 281–97.
reference	Fortson, B. W.	Fortson, B. W. 2009 Indo-European Language and Culture: An Introduction. Oxford, Wiley-Blackwell.
reference	Freeman, P. M.	Freeman, P. M. 2001 The Galatian Language: A Comprehensive Survey of the Language of the Ancient Celts of Greco-Roman Asia Minor, Ancient Near Eastern Texts and Studies 13. Lampeter, Edwin Mellen Press.
reference	Frieman, C. J., & D. Hofmann	Frieman, C. J., & D. Hofmann 2019 ‘Present pasts in the archaeology of genetics, identity, and migration in Europe. A critical essay’, World Archaeology, 32, 1-18. doi: 10.1080/00438243.2019.1627907
reference	Friese, K.	Friese, K. 2018 ‘4500-year-old DNA from Rakhigarhi reveals evidence that will unsettle Hindutva nationalists’, India Today 31 August, also online: www.indiatoday.in/magazine/cover-story/ story/20180910-rakhigarhi-dna-study-findings-indus- valley-civilisation-1327247-2018-08-31 (accessed
reference	February	February 2019).
reference	Fuhrholt, M.	Fuhrholt, M. 2019 ‘Re-integrating Archaeology. A Contribution to aDNA Studies and the Migration Discourse on the 3rd Millennium BC in Europe’, Proceedings of the Prehistoric Society 85, 115–29.
reference	Fulk, R. D.	Fulk, R. D. 2018 A Comparative Grammar of the Early Germanic Languages. Amsterdam/Philadelphia, John Benjamins Publishing Company.
reference	Garcia, J. M.	Garcia, J. M. 1991 Religiôes antigas de Portugal. Aditamentos e observaçôes às Religiôes da Lusitânia de J. Leite de Vasconcellos. Lisboa.
reference	García Alonso, J. L.	García Alonso, J. L. 2003 La península Ibérica en la Geografía de Claudio Ptolemeo. Vitoria, Universidad del País Vasco.
reference	García Alonso, J. L.	García Alonso, J. L. 2009 ‘Lenguas indoeuropeas prerromanas en el noroeste peninsular’, Paleohispanica 9, 163–74.
reference	Garrett, A.	Garrett, A. 1999 ‘A new model of Indo-European subgrouping and dispersal’, Proceedings of the Twenty-Fifth Annual Meeting of the Berkeley
reference	Linguistics Society, February 12–15	Linguistics Society, February 12–15, 1999, ed. S. S.
reference	Chang,	Chang, L. Liaw, J. Ruppenhofer, 146–56. Berkeley, Berkeley Linguistics Society.
reference	Garrett, A.	Garrett, A. 2006 ‘Convergence in the Formation of Indo-European Subgroups. Phylogeny and
reference	Chronology’,	Chronology’, Phylogenetic Methods and the Prehistory of Languages, ed. P. Forster & C. Renfrew, 139–151. Cambridge, McDonald Institute for Archaeological Research.
reference	Gerloff, S.	Gerloff, S. 2004 ‘Hallstatt Fascination. “Hallstatt”
reference	Buckets,	Buckets, Swords and Chapes from Britain and Ireland’, From Megaliths to Metals. Essays in Honour of George Eogan, ed. H. Roche, E. Grogan, J. Bradley, J. Coles, & B. Raftery, 124–54. Oxford, Oxbow Books.
reference	Gerloff, S. (with J. P. Northover)	Gerloff, S. (with J. P. Northover) 2010 Atlantic Cauldrons and Buckets of the Late Bronze and Early Iron Ages in Western Europe: With a Review of Comparable Vessels from Central Europe and Italy, Prähistorische Bronzefunde II, 18. Stuttgart, Franz Steiner.
reference	Gibson, C. D.	Gibson, C. D. 2013 ‘Beakers into Bronze: Tracing connections between Western Iberia and the British Isles 2800–800 BC’, Celtic from the West 2: Rethinking the Bronze Age and the Arrival of Indo-European in Atlantic Europe, Celtic Studies Publications 16, ed. J. T. Koch & B. Cunliffe, 71–100.
reference	Oxford,	Oxford, Oxbow Books.
reference	Gimbutas, M.	Gimbutas, M. 1970 ‘Proto-Indo-European Culture: The Kurgan Culture During the 5th to the 3rd millennia
reference	BC’,	BC’, Indo-European and Indo-Europeans, ed. G. Cardona, H. M. Koenigswald, & A. Senn, 155–198. Philadelphia, University of Pennsylvania Press.
reference	Gimbutas, M.	Gimbutas, M. 1981 ‘The Three Waves of the Kurgan People into Old Europe, 4500–2500 BC’, Anthropologie et archéologie: le cas des premiers âges des Métaux. Actes du Symposium de Sils-Maria, 25–30 septembre 1978, Archives Suisses Anthr. Générale 43, ed. R. Menk & A. Gallay, 113–37.
reference	Gimbutas, M.	Gimbutas, M. 1997 The Kurgan culture and the Indo-Europeanization of Europe: Selected articles from 1952 to 1993, ed. M. R. Dexter & K. Jones-Bley. Washington DC, Institute for the Study of Man.
reference	Goldberg,	Goldberg, A., T. Günther, N. A. Rosenberg & M.
reference	Jakobsson	Jakobsson 2017 ‘Ancient X chromosomes reveal contrasting sex bias in Neolithic and Bronze Age Eurasian migrations’, PNAS 114/10, 2657–62. González de Canales, F., L. Serrano, & J. Llompart 2008 ‘The Emporium of Huelva and Phoenician Chronology. Present and Future Possibilities’, Beyond the Homeland. Mariners in Phoenician Chronology, Ancient Near Eastern Studies Supplement 28, ed. C. Sagona, 631–55. Leuven, Peeters.
reference	Gorrochategui Churruca, J.	Gorrochategui Churruca, J. 1984 Estudio sobre la onomástica indigena de Aquitania. Bilbao, Servicio Editorial Universidad del País Vasco.
reference	Gorrochategui, J.	Gorrochategui, J. 1987 ‘En torno a la clasificación del lusitano’, Actas del IV Coloquio Coloquio sobre lenguas y culturas prerromanas de la Península
reference	Ibérica (Vitoria/Gasteiz, 6-10 de mayo de	Ibérica (Vitoria/Gasteiz, 6-10 de mayo de 1985), 77–91. Vitoria.
reference	Gorrochategui, J.	Gorrochategui, J. 1994 ‘La declinación céltica de los temas en -a y los datos hispanos’, Indogermanica et Caucasica, ed. R. Bielmeier & R. Stempel 316–30.
reference	Berlin,	Berlin, De Gruyter.
reference	Gorrochategui, J.	Gorrochategui, J. 2013 ‘Toutius trebaque: instituciones políticas peregrinas arévacas’, Magistrados locales de Hispania. Aspectos históricos, jurídicos, lingüísticos, ed. E. Ortiz de Urbina, 159–69. Vitoria.
reference	Gray, R. D. & Q. Atkinson	Gray, R. D. & Q. Atkinson 2003 ‘Language-Tree Divergence Times Support the Anatolian Theory of Indo-European Origin’, Nature 426, 435–39. http:// dx.doi.org/10.1038/nature02029
reference	Guerra, A.	Guerra, A. 2005 ‘Povos, cultura e língua no ocidente peninsular: uma perspectiva, a partir da toponomástica’, Acta Palaeohispanica 9/ Palaeohispanica 5, 793–822.
reference	Haak,	Haak, W., I. Lazaridis, N. Patterson, N. Rohland, S. Mallick, B. Llamas, G. Brandt, S. Nordenfelt, E. Harney, K. Stewardson, Q. Fu, A. Mittnik, E. Bánffy, C. Economou, M. Francken, S. Friederich, R. G. Pena, F. Hallgren, V. Khartanovich, A. Khokhlov, M. Kunst, P. Kuznetsov, H. Meller, O. Mochalov, V. Moiseyev, N. Nicklisch, S. L. Pichler, R. Risch, M. A. Rojo Guerra, C. Roth, A. Szécsényi-Nagy, J. Wahl, M. Meyer, J. Krause, D. Brown, D. Anthony, A. Cooper, K. W.
reference	Alt, & D. Reich	Alt, & D. Reich 2015 ‘Massive migration from the steppe was a source for Indo-European languages in
reference	Europe’,	Europe’, Nature 522, 207–11.
reference	Hakenbeck, S. E.	Hakenbeck, S. E. 2019 ‘Genetics, archaeology and the far right’, World Archaeology 32, 1–11. DOI: 10/1080/00438243.2019.1617189
reference	Haley, E. W.	Haley, E. W. 1986 ‘Foreigners in Roman Imperial Spain: Investigations of Geografical Mobility in the Spanish Provinces of the Roman Empire 30 BC– AD 284’, U. MI Dissertation Information Service, Diss. Columbia.
reference	Halloran, J. A.	Halloran, J. A. 2006 Sumerian Lexicon: A Dictionary Guide to the Ancient Sumerian Language. Los
reference	Angeles,	Angeles, Logogram Publishing.
reference	Halloran, J. A.	Halloran, J. A. 2020 Sumerian Lexicon: Version 3.0. https://www.sumerian.org/sumerian.pdf accessed 26
reference	February	February 2020
reference	Hamp E. P.	Hamp E. P. 1973 ‘Formations indo-européennes à second élément *(Ho)kw -’, Bulletin de la Société de linguistique de Paris 68, 77–92.
reference	Hamp, E. P.	Hamp, E. P. 1998 ‘Whose were the Tocharians?’ The Bronze Age and Early Iron Age Peoples of Eastern Central Asia, ed. V. H. Mair, vol 1, 307–46. Journal of Indo-European Studies Monograph 26. Washington
reference	DC,	DC, Institute of the Study of Man.
reference	Hamp, E. P.	Hamp, E. P. 2007 ‘Germanic *fapmaz and gravity in the North. North-Western European’, Language Evolution 54/55, 349–52.
reference	Hamp, E. P. (with D. Q. Adams)	Hamp, E. P. (with D. Q. Adams) 2013 The Expansion of the Indo-European Languages: An Indo-Europeanist’s Evolving View, Sino-Platonic Papers 239,
reference	Philadelphia,	Philadelphia, Department of East Asian Languages and Civilizations, University of Pennsylvania.
reference	Harbison, P.	Harbison, P. 1975 ‘The Coming of Indo-European to Ireland: An Archaeological Viewpoint’, Journal of Indo-European Studies 3, 101–19.
reference	Harding, A.	Harding, A. 1990 ‘The Wessex connection. Developments and perspectives’, Orientalisch- agäische Einflüsse inder europäischen Bronzezeit.
reference	Ergebnisse eines Kolloquiums (	Ergebnisse eines Kolloquiums (1985), Monographien RGZM 15, ed. P. Schauer, 139-54. Mainz, Zabern.
reference	Harding, A., & H. Fokkens (eds)	Harding, A., & H. Fokkens (eds) 2013 The Oxford Handbook of the European Bronze Age. Oxford, Oxford University Press.
reference	Harrison, R. J.	Harrison, R. J. 2004 Symbols and Warriors. Images of the European Bronze Age. Bristol, Western Academic & Specialist Press.
reference	Harrison, R. J. & V. Heyd	Harrison, R. J. & V. Heyd 2007 ‘The Transformation of Europe in the Third Millennium BC. The Example of “Le Petit Chasseur I + III” (Sion, Valais, Switzerland)’, Prähistorische Zeitschrift 82, 129–214.
reference	Hayden, B.	Hayden, B. 2018 The Power of Ritual in Prehistory: Secret Societies and Origins of Social Complexity.
reference	Cambridge,	Cambridge, Cambridge University Press.
reference	Heggarty, P.	Heggarty, P. 2014 ‘Prehistory by Bayesian Phylo- genetics? The State of the Art on Indo-European
reference	Origins’,	Origins’, Antiquity 88, 566–77. http://antiquity.ac.uk/ ant/088/ant0880566.htm.
reference	Helms, M. W.	Helms, M. W. 1988 Ulysses’ Sail: An Ethnographic Odyssey of Power, Knowledge, and Geographical Distance. Princeton, Princeton University Press.
reference	Hernando Sobrino, M. R.	Hernando Sobrino, M. R. 2005 Epigrafía romana de
reference	Ávila,	Ávila, Petrae Hispaniarum 4. Burdeos.
reference	Hernando Sobrino, M. R.	Hernando Sobrino, M. R. 2007 ‘El Padre Andrés Marcos Burriel y la procedencia de CIL II 2323 y CIL II 2324’, Gerión 25, 489–500. Herodotus: The Histories, trans. A. de Sélincourt, rev.
reference	edn.	edn. 1972, 1st edn. 1954. Harmondsworth, Penguin.
reference	Heyd, V.	Heyd, V. 2007 ‘Families, Prestige Goods, Warriors & Complex Societies: Beaker Groups of the 3rd Millennium cal BC Along the Upper & Middle
reference	Danube’,	Danube’, Proceedings of the Prehistoric Society 73, 327–79.
reference	Heyd, V.	Heyd, V. 2017 ‘Kossinna’s smile’, Antiquity 91 (356), 348–59. https://doi.org/10.15184/aqy.2017.21
reference	Holder, A.	Holder, A. 1891–1913 Alt-celtischer Sprachschatz. 3 vols.
reference	Leipzig,	Leipzig, Teubner.
reference	Holm, H.	Holm, H. 2007 ‘The New Aboretum of Indo-European “Trees”. Can New Algorithms Reveal the Phylogeny and Even Prehistory of Indo-European?’ Journal of Quantitative Linguistics 14, 167–214.
reference	Holzer, G.	Holzer, G. 1989 Entlehnungen au seiner bisher unbekannten Indogermanischen Sprache im Urslavischen und Urbaltischen. Verlag der Österreichischen Akademie der Wissenschaften, Wien.
reference	Horn, C.	Horn, C. 2014 Studien zu den europäischen
reference	Stabdolchen,	Stabdolchen, Universitätsforschungen zur Prähistorischen Archäologie 246. Bonn, Habelt.
reference	Horn, C. & K. Kristiansen (eds)	Horn, C. & K. Kristiansen (eds) 2018 Warfare in Bronze Age society. Cambridge, Cambridge University Press.
reference	Horn, C., J. Ling, U. Bertilsson, & R. Potter	Horn, C., J. Ling, U. Bertilsson, & R. Potter 2018 ‘By all means necessary. 2.5D and 3D recording of surfaces in the study of southern Scandinavian rock art’ Open Archaeology 4 (1), 81–96.
reference	Hoz, J. de	Hoz, J. de 1992 ‘The Celts of the Iberian Peninsula’. Zeitschrift für celtische Philologie 45.1–37.
reference	Hoz, J. de	Hoz, J. de 2010 Historia lingüística de la Península Ibérica en la Antigüedad I: Preliminares y mundo meridional prerromana, Manuales y Anejos de “Emerita” L. Madrid, Consejo Superior de Investigaciones Científicas.
reference	Hoz, J. de, et al.	Hoz, J. de, et al. 2005 Catálogo de estelas decoradas del Museo Arqueológico Provincial de Badajoz.
reference	Hyllested, A.	Hyllested, A., 2010 ‘The Precursors of Celtic and
reference	Germanic’,	Germanic’, Proceedings of the 21st Annual UCLA Indo European Conference, ed. S. W. Jamison, H. C. Melchert & B. Vine, 107–28. Bremen, Hempen.
reference	Isaac, G. R.	Isaac, G. R. 1993 ‘Canu Aneirin Awdl LI’, Journal of Celtic Linguistics 2, 65–91.
reference	Isaac, G. R.	Isaac, G. R. 2007 Studies in Celtic Sound Changes and their Chronology. Innsbruck, Institut für Sprachen und Literaturen der Universität Innsbruck.
reference	Isaac, G. R.	Isaac, G. R. 2010 ‘The Origins of the Celtic Languages: Language Spread from East to West’, Celtic from the West. Alternative Perspectives from Archaeology,
reference	Genetics,	Genetics, Language, and Literature, ed. B. Cunliffe & J. T. Koch, 153–67. Oxford, Oxbow Books.
reference	Iversen, R.	Iversen, R. 2014 ‘Transformation of Neolithic societies – an East Danish perspective 3rd millennium’. PhD dissertation. Faculty of Humanities. University of Copenhagen. Copenhagen.
reference	Iversen, R.	Iversen, R. 2015a The transformation of Neolithic societies. An Eastern Danish perspective on the 3rd millennium BC. Jutland Archaeological Society Publications vol. 88. Aarhus.
reference	Iversen, R.	Iversen, R. 2015b ‘Creolization processes in the later south Scandinavian Neolithic’, Neolithic diversities. Perspectives from a conference in Lund, Sweden, ed. K. Brink, S. Hydén, K. Jennbert, L. Larsson & D. Olausson. Acta Archaeologica Lundensia. Series in 8º, No. 65. Department of Archaeology and Ancient history. Lund University. Lund.
reference	Iversen, R.	Iversen, R. 2016 ‘Arrowheads as indicators of interpersonal violence and group identity among the Neolithic Pitted Ware hunters of southwestern Scandinavia’ Journal of Anthropological Archaeology 44, 69–86. doi:10.1016/j.jaa.2016.09.004.
reference	Iversen, R.	Iversen, R. 2019 ‘On the emergence of Corded Ware societies in Northern Europe: Reconsidering the migration hypothesis’, Tracing the Indo-Europeans: New evidence from archaeology and historical linguistics, ed. B. A. Olsen, T. Olander, & K. Kristiansen, 73–95. Oxford, Oxbow Books.
reference	Iversen, R., & G. Kroonen	Iversen, R., & G. Kroonen 2017 ‘Talking Neolithic. Linguistic and Archaeological Perspectives on how Indo-European was Implemented in Southern
reference	Scandinavia’, American Journal of Archaeology 121/4, 511–25. Jantzen, D., J. Orschiedt, J. Piek & T. Terberger (eds)	Scandinavia’, American Journal of Archaeology 121/4, 511–25. Jantzen, D., J. Orschiedt, J. Piek & T. Terberger (eds) 2014 Tod im Tollensetal. Forschungen zu den Hinterlassenschaften eines bronzezeitlichen Gewaltkonfliktes in Mecklenburg-Vorpommern, Beiträge zur Ur- und Frühgeschichte Mecklenburg- Vorpommerns 50. Schwerin, Landesamt für Kultur und Denkmalpflege.
reference	Jantzen,	Jantzen, D., U. Brinker, J. Orschiedt, J. Heinemeier, J. Piek, K. Hauenstein, J. Krüger, G. Lidke, H. Lübke, R.
reference	Lampe, S. Lorenz & T. Terberger	Lampe, S. Lorenz & T. Terberger, 2011 ‘A Bronze Age battlefield? Weapons and trauma in the Tollense Valley, north-eastern Germany’, Antiquity 85 (328), 417–33.
reference	Jasanoff, J. H.	Jasanoff, J. H. 1994. ‘Germanic (le germanique)’, Langues indo-européennes, ed. F. Bader, 251–80.
reference	Paris,	Paris, CNRS Editions.
reference	Jasanoff, J. H.	Jasanoff, J. H. 1997 ‘An Italo-Celtic isogloss: The 3rd plural Mediopassive in *-ntro’, Festschrift for Eric P. Hamp I, Journal of Indo-European Studies Monographs 23, ed. D. Q. Adams, 146–61. Washington DC: Institute for the Study of Man.
reference	Jasanoff, J. H.	Jasanoff, J. H. 2008 ‘Gothic’, The Ancient Languages of Europe, ed. R. D. Woodard, 189–214. Cambridge, Cambridge University Press.
reference	Jenkins, D.	Jenkins, D. 1990 ‘gwalch: Welsh’, Cambridge Medieval Celtic Studies 19, 55–67.
reference	Jordán Cólera, C.	Jordán Cólera, C. 2019 Lengua y Epigrafía Celtibéricas, Monografías de Filología Griega 29. Zaragoza, Prensas de la Universidad de Zaragoza.
reference	Jufer, N., & Th. Luginbühl	Jufer, N., & Th. Luginbühl 2001 Les dieux gaulois: répertoire des noms de divinités celtiques connus par l’épigraphie, les textes antiques et la toponymie.
reference	Paris,	Paris, Errance.
reference	Kaul F.	Kaul F. 1998 Ships on Bronzes: A Study in Bronze Age Religion and Iconography, Publications from the National Museum Studies in Archaeology and History 3.1 & 3.2. Copenhagen.
reference	Kaul, F.	Kaul, F. 2003 ‘The Hjortspring boat and ship iconography of the Bronze Age and Early Pre-Roman Iron Age’, Hjortspring. A pre-roman iron-age warship in context, ed. O. Crumlin-Pedersen & A. Trakadas, 187–207. Roskilde, Viking Ship Museum.
reference	Kershaw, K.	Kershaw, K. 2000 The one-eyed god: Odin and the (Indo-)Germanic Männerbünde, Journal of Indo-European Studies Monograph Series 36. Washington
reference	DC,	DC, Institute of the Study of Man.
reference	Kitson, P. R.	Kitson, P. R. 1996 ‘British and European River-Names’, Transactions of the Philological Society 94/2, 73–118.
reference	Klejn,	Klejn, L. S., W. Haak, I. Lazaridis, N. Patterson, D. Reich, K. Kristiansen, K.-G. Sjögren, M. Allentoft,
reference	M. Sikora & E. Willerslev	M. Sikora & E. Willerslev 2018 ‘Discussion: Are the Origins of Indo-European Languages Explained by the Migration of the Yamnaya Culture to the West?’ European Journal of Archaeology 21 (1), 3–17.
reference	Koch, J. T.	Koch, J. T. 1980 ‘The Stone of the Weni-kones’, Bulletin of the Board of Celtic Studies 29, 87–9.
reference	Koch, J. T.	Koch, J. T. 1990 ‘Brân, Brennos: An Instance of Early Gallo-Brittonic History and Mythology’, Cambridge Medieval Celtic Studies 20, 1–20.
reference	Koch, J. T.	Koch, J. T. 1991 ‘Ériu, Alba, and Letha: When was a Language Ancestral to Gaelic First Spoken in Ireland?’, Emania 9, 17–27.
reference	Koch, J. T.	Koch, J. T. 1992a ‘Gallo-Brittonic Tasc(i)ouanos “Badger- slayer” and the Reflex of Indo-European *gw h’, Journal of Celtic Linguistics 1, 101–18.
