type	key_or_author	entry
abbreviation	IRG IV	IRG IV = Lorenzo, J., Á. d´Ors & F. Bouza 1968 Inscripciones romanas de Galicia, Vol IV. Provincia de Orense. Santiago de Compostela.
abbreviation	IRLugo	IRLugo = Arias, F., P. Le Roux & A. Tranoy 1979 Inscriptions romaines de la province de Lugo. Paris, Diffusion de Boccard.
abbreviation	IRPL	IRPL = Diego Santos, F. 1986 Inscripciones romanas de la provincia de León. León, Diputación Provincial de León.
abbreviation	LEIA	LEIA = Vendryès, J. 1959– Lexique étymologique de l’irlandais ancien. Dublin, Dublin Institute for Advanced Studies.
abbreviation	LHEB	LHEB = Jackson, K. H. Language and History in Early Britain: A Chronological Survey of the Brittonic Languages from the 1st to the 12th c. AD. 2nd rev. ed. Dublin, Four Courts Press 1994; First published, Edinburgh, Edinburgh University Press, 1953.
abbreviation	LIV	LIV = Rix, H. 2001 Lexikon der indogermanischen Verben. Wiesbaden, Ludwig Reichert.
abbreviation	MLH IV	MLH IV = Untermann, J. (mit D. S. Wodtko) 1997 Monumenta Linguarum Hispanicarum. Band IV. Die tartessischen, keltiberischen und lusitanischen Inschriften. Wiesbaden, Ludwig Reichert.
abbreviation	MLH V.1	MLH V.1 = Wodtko, D. S. 2000 Monumenta Linguarum Hispanicarum 5.1, Wörterbuch der keltiberischen Inschriften, ed. J. Untermann. Wiesbaden, Ludwig Reichert.
abbreviation	OED	OED = OED Online. Oxford University Press, March 2020. https://www.oed.com/
abbreviation	Ptolemy	Ptolemy = Müller, K. (ed.) 1883–1901 Claudii Ptolemaei Geographia. 2 vols. Paris, Firmin Didot.
abbreviation	RIB 1	RIB 1 = R. G. Collingwood & R. P. Wright 1965 The Roman Inscriptions of Britain I, Inscriptions on Stone. Oxford, Oxford University Press.
abbreviation	RIG	RIG = Duval, P.-M. (ed.) 1985– Recueil des inscriptions gauloises, sous la direction de P.-M. Duval. Paris, Centre national de la recherche scientifique. vol. 1 Testes gallo-grecs, M. Lejeune, 1985. vol. 2–1 Textes gallo-étrusques. Textes gallo-latins sur pierre, M. Lejeune, 1998.
abbreviation	VKG	VKG = H. Pedersen, 1909–13 Vergleichende Grammatik der keltischen Sprachen. Göttingen, Vandenhoeck and Ruprecht.
reference	Allentoft,	Allentoft, M. E., M. Sikora, K.-G. Sjögren, S. Rasmussen, M. Rasmussen, J. Stenderup, P. B. Damgaard, H. Schroeder, T. Ahlström, L. Vinner, A.-S. Malaspinas, A. Margaryan, T. Higham, D. Chivall, N. Lynnerup, L. Harvig, J. Baron, Ph. Della Casa, P. Dąbrowski, P. R. Duffy, A. V. Ebel, A. Epimakhov, K. Frei, M. Furmanek, T. Gralak, A. Gromov, S. Gronkiewicz, G. Grupe, T. Hajdu, R. Jarysz, V. Khartanovich, A. Khokhlov, V. Kiss, J. Kolář, A. Kriiska, I. Lasak, C. Longhi, G. McGlynn, A. Merkevicius, I. Merkyte, M. Metspalu, R. Mkrtchyan, V. Moiseyev, L. Paja, G. Pálfi, D. Pokutta, Ł. Pospieszny, T. D. Price, L. Saag, M. Sablin, N. Shishlina, V. Smrčka, V. I. Soenov, V. Szeverényi, G. Tóth, S. V. Trifanova, L. Varul, M. Vicze, L. Yepiskoposyan, V. Zhitenev, L. Orlando, T. Sicheritz-Pontén, S. Brunak, R. Nielsen,
reference	K. Kristiansen & E. Willerslev	K. Kristiansen & E. Willerslev 2015 ‘Population genomics of Bronze Age Eurasia’, Nature 522, 167–72.
reference	Almagro Basch, M.	Almagro Basch, M. 1966 La estelas decoradas del suroeste peninsular, Bibliotheca Praehistoria Hispana VIII. Madrid, Imprenta Fareso.
reference	Almagro-Gorbea, M.	Almagro-Gorbea, M. 2001 ‘Cyprus, Phoenicia and Iberia: from «Precolonization» to colonization in
reference	the «Far West»’, Italy and Cyprus in Antiquity	the «Far West»’, Italy and Cyprus in Antiquity 1500– 450 BC. Proceedings of an International Symposium held at the Italian Academy for Advanced Studies in America at Columbia University, November 16–18, 2000, eds. L. Bonfante & V. Karageorghis, 239–70.
reference	Nicosia,	Nicosia, The Costakis and Leto Severis Foundation.
reference	Almagro-Gorbea, M.	Almagro-Gorbea, M. 2004a ‘Inscripciones y grafitos tartesicos de la necrópolis orientalizante de
reference	Medellín’,	Medellín’, Palaeohispanica 4.13–44.
reference	Almagro-Gorbea, M.	Almagro-Gorbea, M. 2008 ‘Inscripciones tartésicas y grafitos’, La necrópolis de Medellín II: estudio de los hallazgos (Bibliotheca Archaeologica Hispanica 26–2/Studia Hispano-Phoenica 5–2), ed. M. Almagro-Gorbea, 751–71. Madrid, Real Academia de la Historia.
reference	Almeida, D. F. de	Almeida, D. F. de 1956 Egitânia. História e arqueologia. Lisboa.
reference	Anreiter	Anreiter 2001 Die vorrömischen Namen Pannoniens.
reference	Budapest,	Budapest, Archaeolingua.
reference	aan de Weil, C.	aan de Weil, C. 2006 ‘druids [3] the word’, Celtic Culture: A Historical Encyclopedia, ed. J. T. Koch, vol 2, 615–16. Santa Barbara, ABC-Clio.
reference	Abascal Palazón, J. M.	Abascal Palazón, J. M. 1983 ‘Epigrafía romana de la provincia de Guadalajara’, Wad-al-Hayara, 49–115.
reference	Abascal Palazón, J. M.	Abascal Palazón, J. M. 1994 ‘Inscripciones romanas y celtibéricas en los manuscritos de Fidel Fita en la Real Academia de la Historia’, Archivo de Prehistoria Levantina 21, 367–90, Valencia.
reference	Abascal Palazón, J. M.	Abascal Palazón, J. M. 1999 «Apuntes epigráficos (Mirobriga, Ilici, Jumilla, Segobriga, Saldeana, Carpio de Tajo y Alovera», Archivo español de arqueologia 72, 287–98.
reference	Abásolo Álvarez, J. A.	Abásolo Álvarez, J. A. 1974a Epigrafía romana de la región de Lara de los Infantes. Burgos.
reference	Abásolo Álvarez, J. A.	Abásolo Álvarez, J. A. 1974b Carta arqueológica de la provincia de Burgos. I Partidos judiciales de Belorado y Miranda de Ebro, Studia Archaeologica 33, Santiago-Valladolid.
reference	Abásolo Álvarez, J. A., J. M. Alonso, & F. Sainz	Abásolo Álvarez, J. A., J. M. Alonso, & F. Sainz 1982 ‘Nuevas inscripciones romanas procedentes de Briongos y Monasterio de Rodilla’, Boletín de la Institución Fernán González 198, 161–8.
reference	Ahlström, T.	Ahlström, T. 1997 ‘Pitted-Ware skeletons and boreal temperatures’, Lund Archaeological Review 3, 37–48.
