line,pdf_page,category,matches,context
1499,089,suspicious_greek_ocr,9;,<!-- pdf-page: 089; section: dictionary -->
1501,089,suspicious_greek_ocr,q,"\*banda- n. 'band, bond' - ON band n. 'binding; band, cord; bond', Far. band n. 'string', Elfd. band n. 'id.', OE beand m. 'band, bond', E band, OFri. bend m. 'id.', OS band n. 'id.', Du. band c. 'band; tire' ⇒ \*bhondh-o- (DRV) - YAv. bal)da- m. 'bond, fetter' < \*bhondh-o-. An a-stem derived from the strong verb \*bindan- ( q.v.)."
1503,089,suspicious_greek_ocr,q,"\*bandi- f. 'bond, fetter' - Go. bandi f. 'id.', OE bend f. 'id.', OFri. be(i)nde f. 'id.', MDu. bende f. 'id.' (DRV). An ih₂-stem derived from \*bindan- (q.v.)."
1505,089,suspicious_greek_ocr,q,"\*bandjan- w.v. 'to bend (a bow)' - ON benda w.v. 'to bend', OE bendan w.v. 'id.' ⇒ \*bhondh-eie- (IE) - Identical to YAv. bai;idaiieiti 'to bind'. The causative to \*bindan- (q.v.)."
1509,089,suspicious_greek_ocr,q,"\*banjo- f. 'wound' - Go. banja f. 'id.', ON ben f. 'id.', Far. ben f. 'wound; cut', OE benu f. 'id.', OS beni-wunda f. 'id.' ⇒ \*bhon-ih₂- (IE) - OAv. bqnaiian 3pl.inj. 'to make ill, afflict' < \*bhon-eie-. A word related to or simply derived from ON bani, OE bana, OFri. bona, OHG bano m. 'death, bringer of death, bane, killer' < \*banan- < \*bhon-on-. The derivation of these forms from the PIE root \*gwhen- 'to kill' is semantically apt, but in spite of Seebold 1967, it is unlikely that \*gwh "
1511,089,suspicious_greek_ocr,q,"\*bankan- m. 'elevation' - ON bakki m. 'hill, slope', Far. bakki m. 'slope, cliff, (river or fog) bank', Elfd. bokke m. 'slope; hill' (NEUR?) - Lith. banga f. 'multitude', Latv. dial. buoga f. 'grove, multitude, crowd' < \*bhong-eh₂-. Related to \*banki- (q.v). Cf. with another stem formant Far. b11kkur m. 'lump, hillock, tuft' < \*banku-, a formation that probably split off from the original ace.pl. \*bankuns < \*bhong-n-vs. A zero-grade variant may be extant in Du. bank c. 'lump' < \*bunkan- a"
1515,090,suspicious_greek_ocr,0;,<!-- pdf-page: 090; section: dictionary -->
1519,090,suspicious_greek_ocr,q,"\*bannan- s.v. 'to command, summon' - ON banna w.v. 'to forbid, prohibit; to curse', Far. banna w.v. 'to curse; to swear (an oath), to vow', OE bannan, bonnan s.v. 'to summon', OFri. bonna, banna s.v. 'id.', MDu. bannen s.v. 'id.', OHG bannan s.v. 'to ban, order, summon' ⇒ \*bh6-n-h₂-e- (IE) - Skt. bhcinati 'to speak' < \*bhenh₂-e-; Gr. <pqμ( 'to say, explain, argue', Lat fii.rf 'to speak, say' (cf. JO.bu/a f. 'talk, rumour; story, tale' < \*bheh₂-dh/o-), Arm. barn 'to speak, say' < \*bheh₂-; Ru"
1521,090,suspicious_greek_ocr,q,"\*bans{t)a· m. 'cowshed' - Go. bansts m. 'barn', ON bciss m. 'stall in a cow-barn', Far. bcisur m. 'id.', Elfd. bqs n. 'id.', OE b6sig 'cowshed', E boosy, OFri. bas 'cow-barn', MDu. banst, baenst m. 'round basket made of straw or reed', Du. dial. hoes c. 'id.', MHG banse m./f. 'shelter, lean-to', G Banse m./f. 'id.' ⇒ \*bhondh-sth₂-o- (NEUR?/IE?) - To Lith. banda f. 'cattle' < \*bhondh-eh₂-? The material contains evidence for two different forms, \*bansa- and \*bansta-, which may both have been "
1525,091,suspicious_greek_ocr,1;,<!-- pdf-page: 091; section: dictionary -->
1527,091,suspicious_greek_ocr,q,"\*barjan- w.v. 'to fight' - ON berja w.v. 'to beat, strike', Far. berja w.v. 'to bear, strike; to knock, hammer; to smash', Elfd. berra-s w.v. 'to resist', OE bered ptc. 'vexed, oppressed, crushed', OHG berjan w.v. 'to hit, knock', MHG berjen, bern w.v. 'id.' ⇒ \*bhorH-ie- (EUR) - OCS brati (sӃ) 'to fight', Ru. bor6t' (borju) 'to overpower, throw to the ground', bor6t'sja 'to fight' < \*bhorH-ie-; Lith. Mrti (baru), Latv. birt 'to scold', refl. 'to quarrel' < \*bhorH-e-; Lat.ferio, -Ire 'to stri"
1537,092,suspicious_greek_ocr,2;,<!-- pdf-page: 092; section: dictionary -->
1543,092,suspicious_greek_ocr,1CToc;,"\*e/ha(n}- 'elk', \*selha- 'seal' and - on a deeper level - by PIE \*h₂rt-J<o- 'bear', cf. Hitt. yartakka-, Skt.fk,m-, Gr. c'ip1CToc;, Lat ursus, Olr. art, W arth."
1543,092,slash_in_headword,\*e/ha(n}-,"\*e/ha(n}- 'elk', \*selha- 'seal' and - on a deeper level - by PIE \*h₂rt-J<o- 'bear', cf. Hitt. yartakka-, Skt.fk,m-, Gr. c'ip1CToc;, Lat ursus, Olr. art, W arth."
1547,092,suspicious_greek_ocr,q,"\*barzda- m. 'edge, brim; beard' - Go. Crim. bars 'id.', ON baro n. 'brim, prow; beard', Far. baro n. 'stern; promontory', Nw. bard m. 'edge, side', OE beard m. 'beard', E beard, OFri. berd m. 'id.', Du. baard c. 'id.', OHG bart m. 'id.', G Bart m. 'id.' ⇒ \*bhorzdh-o- (WEUR) - OCS brada f. 'beard', Ru. boroda f. 'beard, chin', SCr. brada f. 'id.' < \* bhor(z?)dh-eh₂-; Lith. barzda f. 'id.' < \*bhorzdh-eh₂-. Within Germanic, the word appears to be closely related to \*brezda-, \*brazda- and \*bu"
1551,093,suspicious_greek_ocr,3;,<!-- pdf-page: 093; section: dictionary -->
1559,093,slash_in_headword,\*ba/Ja-,"\*ba/Ja- n. 'bath' - ON baa n. 'id.', Far. baa n. 'id.', Elfd. baa n. 'id.', OE brep n. 'id.', E bath, OFri. beth n. 'id.', OS bath n. 'id.', Du. bad n. 'id.', OHG bad n. 'id.', G Bad n. 'id.' ⇒ \*bhlf1-to-(?) (GM). A zero-grade to-formation to an exclusively Germanic root \*bheh₁-, cf. the related OHG bawan, biien s.v.(?), G btihen w.v. 'to foment', Bav., Alem. 'to toast' < \*bean- (with secondary j in the hiatus). The derivation of this verb from \*gwhr-eh₁-ie- (see \*warma-) with ""irregular l"
1561,093,suspicious_greek_ocr,q,"\*baugjan- w.v. 'to (make) bend' - ON beygja w.v. 'id.', Far. boyggja w.v. 'id.', Elfd. OE biegan w.v. 'id.', OS bOgian w.v. 'id.', OHG bougen w.v. 'id.', G beugen w.v. 'id.' ⇒ \*bhough-eie- (IE). The causative to \*beugan- - \*biigan- (q.v.)."
1565,094,suspicious_greek_ocr,4;,<!-- pdf-page: 094; section: dictionary -->
1569,094,suspicious_greek_ocr,q,"\*bautan- s.v. 'to beat' - ON bauta w.v. 'to beat; to chase', OE Matan s.v. 'to beat, strike', E to beat, MDu. boten s.v. 'to hit, beat', OHG bOzan s.v. 'id.', MHG bOzen s./w.v. 'id.' ⇒ \*bh6ud-e-(?) (GM?) - Lat. -filto, -iire 'to strike' < \*bhou-t-eh₂-ie-; Mir. buailid 'to beat, strike' (a denominal verb from an instrumental formation \*bhou-dh/o-?); Alb. bute adj. 'tender' < \*bhu-to-. The root of this verb, an o-grade intensive, is usually reconstructed as \*bheud- (cf. Gordon 2011, who assu"
1575,095,suspicious_greek_ocr,5;,<!-- pdf-page: 095; section: dictionary -->
1579,095,suspicious_greek_ocr,0;,"\*bebura- 2 m. 'piece of skin, cloth(?)' - ON bj6rr m. 'triangular cut off piece of skin; land; front wall, party wall', Far. bj6ri m. 'patch, strip, slip', Nw. bjor(e) m. 'wedge-shaped patch', Sw. bjur-tis 'cross-beams supporting the thatch of a roof, Gutn. bjaur 'stern post' (GM). Although the word can straightforwardly be reconstructed as \*beura- (cf. ON bj6rr 'beer' < \*beura-), it is usually derived from \*bebura- (cf. ON bj6rr 'beaver' < \*bebura- 1) in view of the potenti<l.l link with L"
1581,095,suspicious_greek_ocr,q; £; q,"\*bedjan- s.v. 'to ask, beg, pray' - Go. bidjan s.v. 'id.', ON bi<'Jja s.v. 'id.', Far. bi<'Jja s.v. 'id.', Elfd. bi<'Ja s.v. 'id.', OE biddan s.v. 'id.', E to bid, OFri. bidda w.v. 'to ask, bid, order', OS biddian w.v. 'to ask', Du. bidden s.v. 'to pray', OHG bitten s.v. 'to ask; to pray', G bitten s.v. 'id.' ⇒ \*bhedh-ie- (IE?). Etymology debated. In view of the causative \*baidjan-, it has been suggested that \*bedjan- arose from \*bidjan- in analogy to \*legjan- 'to lie' and \*setjan- 'to si"
1583,095,suspicious_greek_ocr,£,"\*bela- n. '(bon)fire, (funeral) pyre' - ON bcil n. 'fire; pyre', Far. bO.l n. '(bon)fire', OE bee/ n. 'id.' ⇒ \*bh£/H-o- (IE?) - OCS bel'b, Ru. belyj, SCr. bl'o, beo adj. 'white' < \*bhe/H-o-; Lith. biilas adj. 'white', Latv. bals adj. 'pale' < \*bho/H-o-. An etymology left uncertain by the semantic difference between 'pyre' and 'white'."
1585,096,suspicious_greek_ocr,6;,<!-- pdf-page: 096; section: dictionary -->
1587,096,suspicious_greek_ocr,q,"\*belgan- s.v. 'to swell' - ON bolginn ptc. 'swollen', OE belgan s.v. 'to swell with anger', OFri. for-bolgen ptc. 'angry', OS ar-belgan s.v. 'to move to anger', EDu. v.er-bolgen adj. 'angered', OHG belgan s.v. 'to be or grow angry', MHG be/gen s.v. 'to swell (up)', refl. 'to become angry' ⇒ \*bhe/gh-e- (IE) - Comparable to Olr. bolgaid 'to swell' < \*bhofgh-eh₂-ie-; Ru. b6/ozen' m. 'callus, bump' < \*bo/gh-nio-. A strong verb with derivatives that have cognates throughout the IE languages, for "
1589,096,suspicious_greek_ocr,q,"\*belkan- - \*balkan- - \*bulkan- m. 'beam' - ON bjalki m. 'id.', bplkr m. 'id.', OE balca m. 'beam, bank, ridge', E balk, OFri. balka m. 'roof beam, rafter', MLG balke m. 'beam, hayloft, ceiling', Du. balk c. 'beam, bar', OHG balko m. 'plank, winepress, part of a ship', G Ba/ken m. 'beam, bar' ⇒ \*bhe/gh-on(NEUR) - Ru. dial. b6/ozno n. 'thick board' < \*bho/gh-ino-; Lith. ba/zienas, Latv. bcllziens m. 'cross-beam' < \*bho/gh-eiH-no-. An ablauting n-stem with generalization of the geminate that "
1591,096,suspicious_greek_ocr,q; q; q,"\*bellan- s.v. 'to roar, bark' - lcel. bjal/a w.v. 'to chatter; to croak', OE be//an s.v. 'to bellow, roar, bark', MDu. be//en w.v. 'to bark', OHG bellan s.v. 'to bark, resound', MHG be//en s.v. 'to bark', G bel/en w.v. 'id.' (DRV). A strong verb that in view of the double I appears to have been back-formed from the pertaining iterative \*bullon- (q.v.) < \*bhfh₁-neh₂- (there is consequently no need to assume gemination by the laryngeal as per Luhr 1976: 77). The original present is represented "
1593,096,suspicious_greek_ocr,q,"\*bellon- f. 'knoll(?)' - lcel. bjal/a f. 'hill', Sw.fota-bjiil/e n. 'heel' (EUR). Ablauting with \*ballan- ( q.v.)."
1595,097,suspicious_greek_ocr,7;,<!-- pdf-page: 097; section: dictionary -->
1601,097,suspicious_greek_ocr,£,"\*beran- 1 s.v. 'to bear, carry, give birth' - Go. bairan s.v. 'to bear, bring; to endure, suffer; to give birth', ON bera s.v. 'to bear, carry; to wear; to produce, yield', Elfd. bjii.ra s.v. 'id.', OE beran s.v. 'id.', E to bear, OFri. bera s.v. 'to carry; to give birth', OS beran s.v. 'to bear, possess', Du. baren w.v. 'to give birth', OHG beran s.v. 'to bear, produce, bring forth, render', G ge-bii.hren s.v. 'to bear, give birth' ⇒ \*bher-e- (IE) - ToAB pii.r- 'to bring, carry', Skt. bh<irat"
1605,098,suspicious_greek_ocr,8;,<!-- pdf-page: 098; section: dictionary -->
1611,098,suspicious_greek_ocr,q,"\*bergan- s.v. 'to keep (safe)' - Go. bairgan s.v. 'to preserve, protect, keep', ON bjarga w.v. 'to save, help', OE beorgan s.v. 'to spare', Du. bergen s.v. 'to hide; to salvage', OHG bergan s.v. 'to protect, hide', G bergen s.v. 'to contain, retrieve, salvage' ⇒ \*bhergh-e- (EUR) - OCS bresti (bregp) 'to care' < \*bhergh-e-; Lith. birginti 'to save' < \*bhrgh-nehi-; Olr. commairge f. 'protection, security' < \*lfom-bhorgh-ieh₂-. In view of the apparent etymological link with \*berga- 'mountain'"
1615,099,suspicious_greek_ocr,9;,<!-- pdf-page: 099; section: dictionary -->
1617,099,suspicious_greek_ocr,q,"The derivational base of Go. bairhtjan, ON birta, OE ge-bierhtan 'to shine, make bright' < \*berht;jan-. In Germanic, the root also occurs without a suffix, e.g. in Nw. bjerk adj. 'bright' < \*berka- < \*bherh₁g-o- and in \*broka- (q.v.)."
1619,099,suspicious_greek_ocr,q,"\*beri- adj. 'portable' - ON brerr adj. 'due, entitled to', Far. -brerur adj. 'capable of bearing' (DRY) - Skt. bharya- adj. 'to be borne, to be nourished' < \*bher-io-. A vṛddhi-gerundive to \*beran- 1 (q.v.)."
1625,099,suspicious_greek_ocr,q,"\*bero- f. 'bier' - OE bar, b<Er f. 'id.', E bier, OFri. bere f. 'id.', OS hara f. 'id.', Du. baar c. 'id.', OHG biira f. 'id.', G Bahre f. 'id.' (DRY). A lengthened grade o-stem derived from the strong verb \*beran- 1 ( q.v.)."
1627,099,suspicious_greek_ocr,q,"\*beudan- s.v. 'to command; to offer' - Go. biudan s.v. 'id.', ON bj6oa s.v. 'to offer; to invite', Far. bj6oa s.v. 'to offer; to invite; to command', Elfd. biuooa s.v. 'to offer; to assist', OE beodan s.v. 'to bid; to command, order', E to bid, OS biodan s.v. 'to offer', Du. bieden s.v. 'id.', OHG biotan s.v. 'id.', G bieten s.v. 'id.' ⇒ \*bheudh-e- (IE) - ToA potii-, B pautii- 'to honor, flatter', Skt. b6dhati 'to perceive, notice', YAv. baooaiti 'to pay attention', Gr. nEu-Bw 'to give notice'"
1631,100,suspicious_greek_ocr,0;,<!-- pdf-page: 100; section: dictionary -->
1633,100,suspicious_greek_ocr,q,"gnut' (gnu) 'to bend', SCr. ganuti 'to move' < \*ghubh-neu-; appurtenance uncertain: Skt bhujati 'to bend, shove' < \*bhug-e-. The Germanic verb just like some Balto-Slavic forms points to a root \*bheugh-. It appears in metathesized form in Lith. gubti, RuCS g'b(b)nuti, and also in PGm. \*guben- 'to cower' (q.v.). Skt. bhujati points to an unexplained root variant \*bheug-. See also \*baugjan-, \*bugan- and \*bukk/gon-."
1635,100,suspicious_greek_ocr,q,"\*beura- n. 'beer' - ON bj6rr m. 'id.', Far. bj6r n. 'id.', OE beor n. 'id.', E beer, MDu. bier n. 'id.', Du. bier n. 'id.', OHG bior n. 'id.', G Bier n. 'id.' ⇒ \*bhreuH-ro(DRV). Etymology debated. Some have compared Sw. buska 'newly brewed beer' (cf. Pokorny JEW: 98-102), but the implied proto-form \*beuza- cannot be maintained, as it would have given ON \*\*byrr by R-mutation. It can be contended that ON bj6rr was adopted from Old English, but in view of the formal regularity of the sound cor"
1637,100,suspicious_greek_ocr,q; q,"\*beusta- m. 'beestings' - OE beast m. 'id.', E beestings, WFri. bjist c. 'id.', NFri. Hall. biaost n. 'id.', MDu. biest f., Du. biest c. 'id.', OHG biost m. 'id.', G Bi est m. 'id.' (GM). The original form and etymology of the word are uncertain. In view of ?OFra. gl. biastr, G Pal. Briester and Swi. briest, it is possible to assume that the original form was \*breustra-, and that this form was dissimilated into both \*breusta- and \*beustra-. This \*breustra- can then be connected to MHG brius"
1639,101,suspicious_greek_ocr,1;,<!-- pdf-page: 101; section: dictionary -->
1643,101,suspicious_greek_ocr,q,"\*bewwa· n. 'yield; barley' - ON bygg n. 'barley', Far. bygg n. 'id.', Elfd. begg'id.', OE beow n. 'id.', OS beu n.(?) 'harvest' ⇒ \*bheuh₂-o- (DRV). An a-stem related to \*bOan- - \*brlan- (q.v.). Note that Elfd. begg proves that the root vowel was \*e rather than \*i."
1651,102,suspicious_greek_ocr,2;,<!-- pdf-page: 102; section: dictionary -->
1653,102,suspicious_greek_ocr,q,"\*bi(j)en- w.v. 'to hit' - Ice!. bja w.v. 'to fight, struggle' ˄ ݷbhiH-eh₁-ie- (EUR) - Olr. benaid 'to strike, hit', MW kymynu 'to hit, cut down', MBret. benajf'to cut' < \*bhiH-neh₂-; OCS biti, Ru. bit' (b'iu) 'to beat', SCr. bl'ti 'to beat, kill'; Ru. bitva, SCr. bl'tva f. 'battle' < \*bhiH-tueh₂-; OCS uboi m. 'murder', Ru. boj m. 'battle, fight, beating', SCr. baj m. 'battle, war' < \*bhoiH-o-. 1 reconstruct Ice!. bja as \*bilj)en- in view of the similar development of PGm. < \*filj)en- (q.v."
1655,102,suspicious_greek_ocr,q; q,"\*bila- adj. 'equal, even' - OS bile-wit adj. 'ambidextrous', MDu. bil-lijc adv. 'reasonable, right', Du. bil-lijk adv. 'id.', OHG bil-lih adv. 'id.', MHG un-bil adj. 'unappropriated, injust' ⇒ \*bhi-lo-(?) (EUR) - Gr. <plAoc; adj. 'friendly, dear; related, own', Olr. bi/ adj. 'good' < \*bhi-lo-. The original meaning of the word seems to have been '(one's) equal, even', cf. ON Billingr (name of a mythical dwarf or giant), Elfd. bilingg m. 'twin' and Elfd. bi/a w.v. 'to plane' ( = 'to make even'?"
1663,103,suspicious_greek_ocr,3;,<!-- pdf-page: 103; section: dictionary -->
1665,103,suspicious_greek_ocr,Q; q,"'drone' < \*bhoi-ko-; Olr. bech 'id.', W begegyr 'bee' < \*bhi-ko-; OCS bbcela, Ru. pce/Q, SCr. pee/a f. 'bee' < \*bhi-k-el-eh₂-; Lith. bite, bitis f. 'bee', OPru. bitte 'id.' < \*bi-ti(-eh₂)-. A European word. The oldest formation was probably an ablauting n-stem nom. \*bio, gen. \*binaz in view of the co-occurrence of the full-grade stems OHG bia, OE beo, Nw. bie on the one hand, and the zero grade variants OHG bian < \*biana- and MHG bin, G Biene < \*binan- (MHG bini n. 'id.' continues a dimi"
1667,103,suspicious_greek_ocr,q,"\*bison- f. 'wind' - Du. Flem. bijs f. 'rain shower, hail storm', OHG bisa f. 'storm', MHG bise f. 'id.' (DRV). Probably a derivation from the verb \*bison- (q.v.)."
1673,103,suspicious_greek_ocr,q,"\*bitan- m. 'bite; little bit, fragment' - ON biti m. 'id.', OE bita m. 'id.', E bit, MDu. bete m. 'id.', Du. beet c. 'id.', OHG bizzo m. 'id.', G Bissen m. 'id.' (DRV). A zero-grade n-stem derived from \*bitan- (q.v.)."
1677,104,suspicious_greek_ocr,4;,<!-- pdf-page: 104; section: dictionary -->
1679,104,suspicious_greek_ocr,q,"\*bitra- adj. 'bitter, sharp' - ON bitr adj. 'biting, sharp; bitter', Far. poet bitur adj. 'sharp, keen', Elfd. bitter adj. 'bitter; angry', OE bitor, bitter, bittor adj. 'bitter', E bitter, OS bittar adj. 'id.', Du. bitter adj. 'id.', OHG bittar adj. 'bitter, harsh, spicy', G bitter adj. 'bitter' (DRV). A ra-stem created to \*bftan- (q.v.). The o-grade of Go. baitrs adj. 'bitter' is remarkable, as ro-stems usually take the zero grade. It is substantiated, however, by ON -beitr in slfiJr-beitr a"
1681,104,suspicious_greek_ocr,q,"\*bi/Jla- m. 'axe' - ON bI1dr m. 'axe', MDu. bijl f./n. 'id.', Du. bijl c. 'id.', OHG bfhal n. 'id.', G Beil n. 'id.' (DRV). An instrumental noun derived from \*bftan- (q.v.)."
1681,104,slash_in_headword,\*bi/Jla-,"\*bi/Jla- m. 'axe' - ON bI1dr m. 'axe', MDu. bijl f./n. 'id.', Du. bijl c. 'id.', OHG bfhal n. 'id.', G Beil n. 'id.' (DRV). An instrumental noun derived from \*bftan- (q.v.)."
1683,104,suspicious_greek_ocr,q,"\*blada- n. 'leaf, blade' - ON blaiJ n. 'id.', Far. blaiJ n. 'id.', Eifd. blaiJ n. 'id.', OE bleed f. 'cup, bowl', OFri. -bleth n. 'surface', OS blad n. 'leaf, Du. blad n. 'leaf; surface', OHG blat n. 'leaf; sheet', G Blatt n. 'id.' (DRV). Derived from the strong verb \*bloan- 'to bloom', quasi PIE \*bh/h₁-t6-; as this proto-form would regularly develop into PGm. \*bulda-, the formation must have been created at a late stage, i.e. within Germanic itself. For an archaic meaning, cf. MDu. blad n. "
1687,104,suspicious_greek_ocr,q,"\*blaika- adj. 'pale' - ON bleikr adj. 'id.', OE blac adj. 'id.', OS blek adj. 'id.', Du. bleek adj. 'id.', OHG bleih adj. 'id.', G bleich adj. 'id.' (DRV). An a-grade adj. created to the strong verb \*blfkan- (q.v.)."
1693,105,suspicious_greek_ocr,5;,<!-- pdf-page: 105; section: dictionary -->
1697,105,suspicious_greek_ocr,q,"\*blanka- adj. 'colorless(?)' - ON blakkr adj. 'black, dun-colored', Elfd. blokk adj. 'pale', Du. blank adj. 'white, transparent; inundated', OHG blanc adj. 'shining, white', G blank adj. 'shiny, sheer' (DRV). An adjective created to the poorly attested strong verb \*blinkan-, cf. Du. b/inken s.v. 'to shine', G Pal. blinken s./w.v. 'to blink; to shine', a secondary nasalized variant of \*b/fkan- (q.v.). Note that Elfd. blokk instead of \*\*blakk proves that the Nordic form continues \*blanka- ra"
1699,105,suspicious_greek_ocr,q>; q>,"\*blauta- adj. 'soft' - ON blautr adj. 'soft, weak; wet, soaked', Far. bleytur adj. 'soft, tender, sensitive', Elfd. blot adj. 'soft', OE bleat adj. 'miserable', OFri. bliit adj. 'poor; naked', Du. bloot adj. 'naked', OHG b/6z adj. 'naked', G blofi adj. 'id.' ⇒ \*bh/oudh₂-o- (IE) - Gr. q>A.uMw 'to be soft, weak' < \*bh/udh₂-ie-; Gr. q>Auoap6<; adj. 'weak' < \*bhludh₂-ro-. An o-grade adjective to a Germanic and Greek root \*bh/eudh₂-. lt served as the basis for the inchoative ON blotna, Elfd. blo"
1701,105,suspicious_greek_ocr,q,"\*blau/Ju- adj. 'soft, weak, timid' - ON blauor adj. 'id.', OE bleap adj. 'id.', OHG b/6di adj. 'lazy, timid', G b/Ode adj. 'dumb, witless' ⇒ \*m/6u-tu- (IE) - Gr. aμJ3A.u<; adj. 'blunt; dim, faint' < \*!1-ml-u-; Av. mruta- adj. 'crushed(?), weak' < \*mlu-to-. A tu-stem related to \*blewwan- (q.v.). Also cf. the factitive Go. blaupjan w.v. 'to weaken, defeat'."
1701,105,slash_in_headword,\*blau/Ju-,"\*blau/Ju- adj. 'soft, weak, timid' - ON blauor adj. 'id.', OE bleap adj. 'id.', OHG b/6di adj. 'lazy, timid', G b/Ode adj. 'dumb, witless' ⇒ \*m/6u-tu- (IE) - Gr. aμJ3A.u<; adj. 'blunt; dim, faint' < \*!1-ml-u-; Av. mruta- adj. 'crushed(?), weak' < \*mlu-to-. A tu-stem related to \*blewwan- (q.v.). Also cf. the factitive Go. blaupjan w.v. 'to weaken, defeat'."
1705,106,suspicious_greek_ocr,6;,<!-- pdf-page: 106; section: dictionary -->
1709,106,suspicious_greek_ocr,q; Q,"\*blejan- w.v. 'to bleat' - E obs. to blea 'id.', MLG bleen w.v. 'id.', OHG blaen w.v.(?) 'id.', MHG bl<Ejen,p/ehen w.v. 'id.' ⇒ \*bhlehrie- (EUR) - Lat.jle6,jlere 'to cry, weep', Latv. blet (bleju) 'to bleat'; RuCS blejati, Ru. blejat' 'to bleat', dial. 'to cry' < \*bhlehi-ie-. Also cf. the frequentative OE blli!gettan, blli!tan, OHG blazen, MHG blazen, MLG b/aten, MDu. blaten, bleten, Du. blaten w.v. 'to bleat' < \*bleatjan-, whence e.g. OHG b/Qzunga f. 'bleating'. There is no compelling reaso"
1711,106,suspicious_greek_ocr,Q,"\*blesan- s.v. 'to blow' - Go. uf-blesan s.v. 'to blow up', ON b/Qsa s.v. 'to blow', Far. b/6sa s./w.v. 'id.', Elfd. blasa s.v. 'id.', MDu. blasen s.v. 'id.', Du. blazen s.v. 'id.', OHG blasan s.v. 'id.', G blasen s.v. 'id.' ⇒ \*bh/eh₁-s-e- (WEUR). A strong verb based on the sigmatic aorist \*bh!ehrs- of the root \*bhleh₁- (Kortlandt 2011: 147), for which see \*blean-. Also cf. \*blestu-."
1713,106,suspicious_greek_ocr,Q; q,"\*blestu- m. 'blowing, blast' - ON b/Qstr, dat. bl:Esti m. 'blast, blowing, breathing', Far. b/6stur, bl6stur m. 'breathing; wind; windy weather', Elfd. bliist m. 'blast, gust', OE blli!st m. 'blast', E blast, OHG blast m. 'breath', MHG blast m. 'breath, blow' ⇒ \*bhleh₁-s-tu- (DRV). A tu-stem derived from the strong verb \*b/esan- (q.v.)."
1715,106,suspicious_greek_ocr,Q; q,"\*blewa- adj. 'blue' - ON bl<ir adj. 'blue, livid, black', Far. bl<iur adj. 'blue; dark', Elfd. b/Q adj. 'blue', OE blaw adj. 'id.', E Scot. blae adj. 'blackish; livid, pale', OFri. blaw adj. 'id.', Du. blauw adj. 'id.', OHG blao adj. 'blue, dark, grey', G blau adj. 'id.' ⇒ \*bhlehruo- (EUR) - Lat. jlavus adj. 'blond', Olr. bl<i adj. 'yellow', W blaw adj. 'grey' < \*bhlhruo-. Lat. jlavus taken at face value poins to \*bhlH-uo- or \*bhleh₂-uo-, the latter of which is in contradiction with the PGm"
1717,107,suspicious_greek_ocr,7;,<!-- pdf-page: 107; section: dictionary -->
1719,107,suspicious_greek_ocr,1;,"\*blewwan- s.v. 'to beat (up), blow' - Go. bliggwan s.v. 'id.', E to blow, MDu. blouwen ·s.v. 'id.', OHG bliuwan s.v. 'id.' ⇒ \*mleu-e-(?) (IE?) - Gr. aμ(3A.u<; adj. 'blunt; dim, faint' < \*t;,1-ml-u-; Av. mruta- adj. 'crushed(?), weak' < \*mlu-to-. A strong verb, usually derived from an exclusively Germanic root \*bh/euH- (cf. Seebold 1970: 120-1; LJV2: 90). It is alternatively possible to reconstruct the verb as \*mleu-e-. See also \*blaupu-."
1733,108,suspicious_greek_ocr,8;,<!-- pdf-page: 108; section: dictionary -->
1741,108,suspicious_greek_ocr,q,"\*bloman- m. 'flower' - Go. bloma m. 'id.', ON b/6mi m. 'id.', Far. b/6mi m., b/6ma f. 'flower, bloom', Elfd. bljomme m. 'id.', OS blomo m. 'id.', Du. bloem c. 'id.', OHG b/uomo m., bluoma f. 'id.', MHG bluome m./f. 'id.', G Blume f. 'id.' ⇒ \*bh/eh₁-mon- (DRV). Apparently an mn-stem derived from the strong verb \*b/6an- (q.v.). It is possible, too, to derive \*b/6man- from \*blomman- < \*b/6zman-, which would be a Verner variant of the lngvaeonic formation OE blos(t)ma m. 'blossom', MLG blosem,"
1745,109,suspicious_greek_ocr,9;,<!-- pdf-page: 109; section: dictionary -->
1749,109,suspicious_greek_ocr,2;,"\*bOan- - \*biian- s.v. 'to live, dwell' - Go. bauan s./w.v. 'id.', ON bUa s.v. 'to live; to prepare, fix', Far. bUgva s./w.v. 'id.', OE biian, biigan s.v. 'to live, dwell', OS biian w.v. 'id.', Du. bouwen w.v. 'to build', OHG bii(w)an, bii(w]en s./w.v. 'to live, dwell; to build', G bauen w.v. 'to build' ⇒ \*bheh₂u- (IE) - Skt bhavati 'to become, happen, come about', OAv. bauuaiti 3sg.pres. 'to become' < \*bheuh₂-e-; Gr. cpi>oμm 'to grow, arise, spring up, become', Lith. buti, Latv. but 'to be',"
