page,line,headword,label_gloss,gloss,opening
114,1825,brewo-,f. 'eyebrow',eyebrow,"\*brewo- f. 'eyebrow' - ON br(!, bra f. 'eyelid', lcel. bra f. 'eyelid; eyelash', Far. bra f. 'eyelash', OS br<iwa f. 'eyelid', MDu. brauwe f. 'eyebrow; edge', Du. wenk-brauw c. 'eyebrow', OHG briiwa f. 'id.', G Augen-braue f. 'id.' ⇒ \*h₃bhreuH-o/eh₂- (IE). Also cf. OHG wint-briiwa, OS wint-briiwa, MDu. wint-brauwe 'eyebrow; eyelid', Du. wimper 'eyelash' < \*winda-brewo- (for the first element, cf. Gr. fov-Oo<; m. 'young, downy hair' < \*ui-uondh-o-) and the closely related OE br;Ew, breaw m. 'eyelid', OFri. iich-bre n. 'eyebrow; eyelid' < \*brewa-. In PIE, the word may have been in paradigmatic relation with the zero-grade formation \*brii- 'bridge; eyebrow' (q.v.), e.g. nom. \*h₃bhreuH-s, gen. \*h₃bhruH-6s (Beekes 1995: 190)."
114,1827,brewwan-,s.v. 'to brew',to brew,"\*brewwan- s.v. 'to brew' - ON brugginn ptc. 'id.', Far. bryggja w.v. 'id.', OSw. bryggia s.v. 'id.', Elfd. bryddja w.v. 'id.', OE breowan s.v. 'id.', E to brew, OFri. briouwa, brouwa s.v. 'id.', OS gi-breuwan s.v. 'id.', Du. brouwen s./w.v. 'id.', MHG briuwen, briiwen s.v. 'id.', G brauen w.v. 'id.' ⇒ \*bhreuh₁-e- (EUR) - Gr. Hsch. an-EcppucrEv aor. 'brewed' < \*bhruh₁-s-; Lat. de-frutum n. 'must' < \*-bhruh₁-to-. A strong verb to the PIE root \*bhreuh₁- 'to boil, brew' (cf. LIV2: 96). The weak verb ON, lcel., Elfd. brugga appears to continue a secondary iterative \*bruwwon-. See also \*brauda-, \*brunnan- and \*beura-."
115,1831,brezda·,"n. 'side, edge; board'","side, edge; board","\*brezda· n. 'side, edge; board' - Far. breddi m. 'edge, side', Nw. bredd m. 'id.', OSw. brredder m. 'id.', OHG bret n. 'board', G Brett n. 'id.' ⇒ \*bhrezdh-o(WEUR). A full-grade formation to \*burzda- ( q.v.). The loss of the \*z in OHG bret is irregular, but may be due to dissimilation in the plural OHG \*brertira < \*brezd-izo. ME bred 'board, tablet' can be a loanword from Old Norse \*breddr as presupposed by the OSw. and Far. forms. Du. berd 'board' does not belong here, but represents a dialectal form of bard < \*burzda-."
115,1833,brinda(n)·,m. 'elk',elk,"\*brinda(n)· m. 'elk' - Elfd. brinde m. 'id.', Nw. bringe m. 'male elk' (GM). Unrelated to Messap. ,p£vt5ov 'deer' < \*bhrendh-(?) as given by Hesychius or to OPru. braydis, Latv. briedis 'elk' < \*braidi- (pace Pokorny IEW: 168-9). In view of Elfd. brunda w.v. 'to rut' and the Nw. Sunnmi;lre context e/gen hev alt teke ti/ a brunda 'the elk has started rutting' < \*brundojan-, it is evident that the word started out as a late North Germanic deverbal formation that has nothing to do with the extra-Germanic look-alikes mentioned above. It is rather cognate with Nw. brund m. 'rut; male elk' < \*brunda-, which was derived from \*breman- - \*brimman - 'to drone, roar' (q.v.), cf. MHG brunft, G Brunst f. 'rut' < \*brumpi-."
115,1835,bringan·,s.v. 'to bring',to bring,"\*bringan· s.v. 'to bring' - Go. briggan w.v. 'id.', OE bringan w.v. 'id.', E to bring, OFri. bringa w.v. 'id.', OS bringan w.v. 'id.', Du. brengen w.v. 'id.', OHG bringan w.v. 'id.', G bringen w.v. 'id.' (IE?). A verb of obscure origin. Perhaps it can be analyzed as a conflation of the PIE roots \*bher- 'to carry' and \*h₂enli- 'to arrive', arisen from a suppletive paradigm, cf. Gr. φέρω, aor. T]vEyKa < \*h₁ne-h₁nli-, cf. OCS nesti, Ru. nest[ (nesu), SCr. nesti 'to carry' < \*h₁nel<-, cf. MW he-bryngaf'to bring' < \*-bhrenk< \*bhr- + \*h₁;2nli- (Matasovic 2009: 76). Alternatively, it is possible to analyze the perfective \*ga-bringan (cf. OE ge-bringan, OS gi-bringan) as a re· modeling of \*kom-pro-h₁enli-, cf. Olr. ro-ic, W rynghu 'to meet' < \*pro-h₁(e]nli·. The initial \*b < PIE \*p would then have to be explained by Verner's law."
115,1837,brinka·,m. 'edge',edge,"\*brinka· m. 'edge' - ON brekka f. 'slope' ( < \*brinkon-), ME brinke, brenke 'seashore; rim, edge; margin, end, boundary', E brink, MLG brink m. 'hill, edge, shore', MDu. brine m. 'edge, grass verge; stretch of grass; market', Du. brink c. 'village square, green' ⇒ \*bhrong-o· (IE) - ToA prank, ToB prenke 'island' < \*bhrong-o-. A Germanic-Tocharian isogloss."
115,1839,brinnan·,s.v. 'to burn',to burn,"\*brinnan· s.v. 'to burn' - Go. brinnan s.v. 'id.', ON brinna, brenna s.v. 'id.', Far. brenna s.v. 'id.', Elfd. brinna, pres. brio s.v. 'id.', OE beornan s.v. 'id.', E to burn, OFri. berna w.v. 'id.', OS brinnan s.v. 'id.', OHG brinnan s.v. 'id.' ⇒"
116,1843,bhre-n-y.h₁-e-,(IE),,"\*bhre-n-y.h₁-e- (IE) - Olr. do-bruinn 'to flow, trickle' < \*bhru-n-hi-ie-; Lat. ferveo, -ere 'to be hot; to boil' < \* bheryhi-e-. An n-present to the root \*bhreuh₁- 'to boil, brew'. See also \*brewwan-, \*brunnan- and \*beura-."
116,1845,broan-,s.v. 'to singe',to singe,"\*broan- s.v. 'to singe' - MDu. broeyen w.v. 'id.', Du. broeien w.v. 'to be brewing', MHG briiejen w.v. 'to singe', G briihen w.v. 'to boil, brew' ⇒ \*bhr6hi-e- (GM). An a-grade intensive verb related to \*brean- (q.v.). Also cf. OE brod f. 'brood', MHG bruot f. 'heat; incubation' < \*brodi-."
116,1847,brok-,"f. 'loin-cloth, breeches; rump(?)'","loin-cloth, breeches; rump(?)","\*brok- f. 'loin-cloth, breeches; rump(?)' - ON brok f. 'leg of a pair of breeches', pl. brrekr 'breeches', Far. br6k f. 'id.', pl. brekur 'pants', Elfd. bruok, pl. bryoker f. 'shorts; diapers', OE broc f. 'behind, breech', pl. 'breeches', E breech(es), OFri. brek f. 'pants', Du. broek c. 'id.', OHG bruoh f. 'id.' (GM?) - To Lat. suffrago, -inis n. 'joint in the hind leg of a quadruped; sucker shoot' < \*-bhrg-en-? Etymology disputed. Within Germanic, the word can have been derived from an a-grade intensive to \*brekan-, viz. OE bracan s.v. 'to break, bruise' < \*brakan-, but only if the original meaning was 'behind' (i.e. ""area where the legs split""). This meaning does allow for the well-known etymological connection with Lat. sujfrago, but the exact derivation of this (late) Latin word is problematic (cf. De Vaan 2008: 597-8). The position of Gaul. \*braca, implied by Latin bracae, braccae (for which see \*brakkon-) is unclear: it may have been borrowed from Germanic in view of the root-final \*k, but borrowing in the opposite direction has, too, been suggested (Griepentrog 1995: 89). The inflection of the Germanic word as a root noun could be a confirmation of that, as old loanwords were absorbed by this category more frequently (cf. \*arwit- 'pea')."
116,1849,broka-,"1 n. 'spot, speckle(?)'","spot, speckle(?)","\*broka- 1 n. 'spot, speckle(?)' - Nw. brok m. 'young (speckled) salmon', Sw. dial. brok 'spot; spotted animal' ⇒ \*bhroh₁9-o- (IE) - Skt. bhrtljati 'to shine, to beam, to sparkle', YAv. brazaiti 'to shine' < \*bhrehi,9-e-; Lith. brdksti (brdksta) 'to dawn' < \*bhreh₁g-ske-; OCS pro-brezgo, Ru. dial. brezg, Sin. br˫sk m. 'dawn' < \*bhreh₁g-sk-o-. A Nordic word related to \*berhta-. Also cf. OSw. brokoter (Sw. brokig), Da. broget adj. 'variegated' < \*brok-uhta-."
116,1851,broka-,2 m. 'swamp',swamp,"\*broka- 2 m. 'swamp' - OE broc m. 'id.', E brook, MLG brok n. 'wet pasture', MDu. broec m. 'marsh', Du. broek n. 'id.', OHG bruoh n. 'swamp', MHG bruoch n. 'id.' (DRV)."
117,1857,broper-,m. 'brother',brother,"\*broper- m. 'brother' - Go. bropar m. 'id.', ON br6oir, pl. brrear m. 'id.', Far. br6oir, pl. breaur m. 'id.', Elfd. bruoaer, pl. bryoarer m. 'id.', OE brooor m. 'id.', E brother, OFri. brother m. 'id.', OS brothar m. 'id.', Du. broer c. 'id.', OHG bruodar m. 'id.', G Bruder m. 'id.' ⇒ \*bhreh₂-ter- (IE) - ToA pracar, ToB procer 'brother', Skt bhrdtar-, Av. bratar- m. 'id.', Arm. efbayr 'id.', Gr. Att. q>ptrn1p, Dor. q>paTJ'ip m. 'member of a brotherhood', Phryg. ,pan:pE dat.sg. 'brother', Latfrater m. 'id.', Olr. brathair, W brawd m. 'id.', OPru. briiti, brote, Lith. br6lis, Latv. briilis 'id.', OCS bratn, bratb m. 'id.'. The Indo-European word for 'brother'."
117,1859,brii-,f. 'bridge',bridge,"\*brii- f. 'bridge' - ON bru f. 'id.', Far. brugv f. 'bridge; quay; heap, pile; eyebrow', Nw. bru f. 'bridge', dial. 'edge; eyebrow', OE bru f. 'eyebrow', E brow ⇒ \*h₃bhruH- (IE) - ToB piirwci-ne du. 'eyebrow', Skt bhni- f. '(eye)brow', YAv. bruuatbiiqm datdu. 'id.', MP brug 'id.', Oss. <£rfyg / ærfug 'id.', Gr. ocppu<; f. 'id.'; Lith. bruvls f. 'id.'; OCS bnvb f. 'id.'. A zero-grade root noun, perhaps originally the same word as \*brewo(q.v.). See also \*bru[w)i- \*brujjo-."
117,1861,briidi·,f. 'bride',bride,"\*briidi· f. 'bride' - Go. brups f. 'id.', ON bruar f. 'id.', Far. bruour f. 'id.', Elfd. brauoe f. 'id.', OE bryd f. 'id.', E bride, OFri. breid f. 'id.', OS briid f. 'id.', Du. bruid c. 'id.', OHG brut f. 'id.', G Braut f. 'id.' (GM). No certain etymology. The reconstruction as \*mruH-tf- ""who is spoken for"" (Hirt 1897: 234) is based on the erroneous derivation of Skt braviti, bruvanti 'to say' from PIE \*mr[e)uH- rather than \*ml[e)uH-, cf. Ru. m6/vit'. Cz. mluviti 'to say'. I am tempted to assume a correlation with ON bruoa 'bundle of flax', Icel. bruoa f. 'doll, puppet' < \*brudon- and Nw. brugde f. 'bundle, tuft' < \*bruwwVþon-, both from a Pre-Gm. root \*bhruH-. The ti-suffix can then be compared to the one of \*magapi- 'girl' ( q.v.)."
117,1863,bruki-,m./f. 'breach',breach,"\*bruki- m./f. 'breach' - OE bryce f. 'id.', E breach, OFri. breke m./f. 'id.', MDu. broke f. 'id.', Du. breuk c. 'id.', OHG bruh m. 'id.', G Bruch m. 'id.' (DRV). An i-stem derived from \*brekan- (q.v.)."
117,1865,bruk(k)on-,"w.v. 'to break, crumble'","to break, crumble","\*bruk(k)on- w.v. 'to break, crumble' - Nw. broka w.v. 'to break, bite, tear', MDu. brocken, broken w.v. 'to bend, break', MHG er-brochen w.v. 'to crush, squash' (WEUR) - Lat frango, -ere 'to break' < \*bhrg-neh₂- ( < \*frag-n- with Thurneysen's law)."
118,1871,brummon-,"w.v. 'to drone, hum'","to drone, hum","\*brummon- w.v. 'to drone, hum' - Du. brommen w.v. 'id.', MHG brummen w.v. 'id.', G brummen w.v. 'id.' ⇒ \*bhrm-neh₂- (IE). The iterative to \*breman- \*brimman- (q.v.)."
118,1873,brunjon-,f. 'breastplate',breastplate,"\*brunjon- f. 'breastplate' - Go. brunjo f. 'id.', ON brynja f. 'coat of mail', OE byrne f. 'id.', OS brunnia f. 'id.', OHG brunja, brunna f. 'id.', G Briinne f. 'id.' (LW). Suspected to be a loanword from Celtic, perhaps from a pre-form of Oir. bruinne m. 'breast' < \*bhrus-n-io-, for which see \*breusta-."
118,1875,brunna(n)-,"m. 'well, spring'","well, spring","\*brunna(n)- m. 'well, spring' - Go. brunna m. 'id.', ON brunnr m. 'id.', OE brunna, burna m. 'id.', OS brunno m. 'id.', Du. bron c. 'id.', OHG brunno m. 'id.', G Brunnen m. 'id.' ⇒ \*bhreh₁u-r/n- (IE) - Gr. cppfop, -croc; n. 'well', Arm. afbewr, afbiwr, gen. afber 'fountain, spring' < \*bhreh₁u-r, \*bhrh₁u-n(t)-6s. An n-stem continuing a PIE heteroclitic nom. \*bhreh₁u-r-, gen. \*bhrh₁u-en-s / \*bhrh₁u-n-6s. The second genitive is postulated on the basis of the PGm. root \*brun-, which developed from \*bhruhi-n-6s by Dybo's law of pretonic shortening. The geminated root \*brunn- may have arisen by the generalization of the obi. stem \*brun- and the subsequent addition of a secondary n-suffix. See also \*brewwan-."
118,1877,bruska-,m. 'shrub',shrub,"\*bruska- m. 'shrub' - Nw. brusk m. 'shrub, undergrowth' (NEUR). E brush < ME brusche was adopted from OFr. brosse, broce, broche, which in turn must be a loanword from WGm. \*bruska-. Thus, the PGm. origin of the word seems firmly established. Outside Germanic, the only known potential cognate is Lith. bruzgai m.pl. 'underbrush' (Torp 1909: 282), but the exact derivation of this word is uncertain: from \*bhrusgo-?"
118,1879,brust-,"f. 'breast, chest'","breast, chest","\*brust- f. 'breast, chest' - Go. brusts f. 'id.', OFri. brust, burst n. 'id.', OS brust f. 'id.', MLG borst f. 'id.', Du. borst c. 'id.', OHG brust f. 'id.', G Brust f. 'id.' ⇒ \*bhrus-sth₂-o- (EUR). A root noun closely related to \*breusta- (q.v.) with the same meaning. In the older literature, a link with MHG briustern 'to swell up' is usually assumed, but this is probably a frequentative to a strong verb \*breusan- (cf. OE briesan w.v. 'to break' < \*brausjan-) through a meaning 'to break open, to bud'."
118,1881,brustu-,m. 'fissure',fissure,"\*brustu- m. 'fissure' - OHG brust m. 'burst, rip', MHG brust m. 'id.' (DRV)."
119,1887,brut(t)on-,w.v. 'to bud',to bud,"\*brut(t)on- w.v. 'to bud' - MHG brozzen w.v. 'id.', G Als. brossen w.v. 'id.' ⇒ \*bhrd-neh₂- (WEUR) - To Lat [rems, -ondis f. 'foliage, leaves' < \*bhrod-ni(with Thurneysen's law). The iterative to \*breutan- 'to break, bud' (q.v.), originally conjugated as 3sg. \*bruttopi, 3pl. \*brutunanpi. The Pre-Gm. root seems to have been \*bhrud-, but in view of the potential Latin cognate, the u is likely to have arisen secondarily in an iterative derived from a strong verb \*bretan- ( < \*bhred-e-). The resulting \*brut(t)on- may in turn have given rise to \*breutanby back-formation."
119,1889,bru(w)i-,- \*brujjo- f. 'bridge',bridge,"\*bru(w)i- - \*brujjo- f. 'bridge' - ON bryggja f. 'pier, quay; bridge', Far. bryggja f. 'wharf, quay; bridge of a ship', Elfd. bryddja f. 'dock', OE brycg, bricg f. 'bridge', E bridge, OFri. bregge f. 'bridge; arch', OS bruggia f. 'bridge', Du. brug c. 'id.', OHG brucka f. 'id.', G Briicke f. 'id.' ⇒ \*h₃bhruH-ihi- (IE). An old ih₂-stem related to the root noun \*bru- (q.v.). The original paradigm \*h₃bhruH-fh₂, gen. \*h₃bhruH-ieh₂-s regularly developed into PGm. \*bru(w)f, gen. \*brujjoz under the influence of Dybo's law (pretonic shortening) and Holtzmann's law (pretonic gemination of \*-j- and \*-!,'·). The genitive root was generalized in the NGm. paradigm, thus giving rise to ON bryggja < \*brujjon-. In WGm., the \*w that arose in the hiatus of the nom. \*bruf became velarized (cf. OHG jugund 'youth' < \*juwunpi-). The resulting root \*brug- then spread to the genitive, thus giving rise to the required stem \*brugjo- (Kroonen 2011b: 158-159)."
119,1891,bruzda-,m. 'spike',spike,"\*bruzda- m. 'spike' - ON broddr m. 'id.', Far. broddur m. 'thorn, prickle; spike', Elfd. brudd m. 'shoot, sprout', OE brord m. 'point; grass shoot', OHG brort m. 'spear; edge' (WEUR). A zero-grade variant of \*brazda- ( q.v.)."
119,1893,buda-,n. 'offer',offer,"\*buda- n. 'offer' - ON boa n. 'id.', OE bod n. 'command; message', OFri. bod n. 'command; announcement', Du. bod n. 'bid', OHG bot n. 'authoritative pronouncement' (ORV). Derived from the strong verb \*beudan- (q.v.). Also cf. OE ge-bod, OS gi-bod, Du. ge-bod, G Ge-bot n. 'command, commandment' from the perfective \*ga-beudan-."
119,1895,budan-,m. 'messenger',messenger,"\*budan- m. 'messenger' - ON boiJi m. 'id.', OE boda m. 'id.', OFri. boda m. 'id.', OS bodo m. 'id.', Du. bode c. 'id.', OHG boto m. 'id.', G Bote m. 'id.' (DRV). Derived from the strong verb \*beudan- (q.v.)."
120,1899,budman-,- \*buttman- m. 'bottom',bottom,"\*budman- - \*buttman- m. 'bottom' - ON botn m. 'id.', Far. botnur m. 'id.', Elfd. buottn m. 'id.', OE botm m. 'id.', E bottom, OS bodom m. 'id.', Du. bodem c. 'id.', OHG bodam m. 'id.', G Boden m. 'id.' ⇒ \*bhudh-men- (IE) - Gr. 1IDBμJ1v m. 'bottom, depth, root' < \*bhudh-men-; Skt. budhnci- m. 'bottom', Lat.[undus m. 'id.', Mir. bond 'foot sole' < \*bhudh-n6-. An old hysterokinetic mn-stem nom. \*bhudh-men, gen. \*bhudh-mn-6s. In the genitive, the m was dissimilated at the Proto-Indo-European stage, which resulted in Skt. budhna-, Lat. [undus (with Thurneysen's law), and PGm. \*buttaz (Kluge 1884; Kroonen 2006). The resulting paradigm \*budme, \*buttaz gave rise to multiple stem variants, i.e. OS bodom < \*budma-, OE botm < \*buttma- and ON botn < \*buttna-. The PIE root \*bhudh- itself seems to have been metathesized from \*dhubh-, for which cf. \*deupa- 'deep'."
120,1901,bugan-,m. 'bow',bow,"\*bugan- m. 'bow' - Go. Crim. boga 'id.', ON bogi m. 'id.', Elfd. bugi m. 'id.', OE boga m. 'id.', E bow, OFri. boga m. 'id.', OS bogo m. 'id.', Du. boog c. 'id.', OHG bogo m. 'id.', G Bogen m. 'id.' (DRV). An n-stem derived from \*beugan- - \*bugan- (q.v.)."
120,1903,bugjan-,w.v. 'to buy',to buy,"\*bugjan- w.v. 'to buy' - Go. bugjan w.v. 'id.', ON byggja w.v. 'to get married; to lend out, let out', OE bycgan w.v. 'to buy', E to buy, OS buggian w.v. 'to buy, pay' ⇒ \*bhugh-ie- (GM). No clear etymology (cf. Lehmann 1986: 84). In spite of the formal similarities, probably unrelated to \*beugan- 'to bend'."
120,1905,bug6n·,w.v. 'to brag(?)',to brag(?),"\*bug6n· w.v. 'to brag(?)' - OE bogian, boian w.v. 'to boast', OFri. biigia w.v. 'id.', MDu. bogen w.v. 'id.', Du. bogen op w.v. 'id.' (GM). No etymology: perhaps related to Nw. bauka w.v. 'to plow through, rush forth, roar', Da. bege w.v. 'to roar' < \*baukon- ( < Pre-Gm. \*baukk-?). The connection with Olr. bocaid 'to move, shake, brandish', refl. 'to boast' < \*bukka· is uncertain, the origin of this verb being obscure as well."
120,1907,bukka(n)-,m. 'billy-goat',billy-goat,"\*bukka(n)- m. 'billy-goat' - ON bokkr, bukkr m. 'id.', bokki m. 'fellow', Far. bukkur m. 'billy-goat', Elfd. bukk m. 'id.', OE bucc m. 'roebuck', bucca m. 'billy-goat', E buck, MDu. boc m. 'id.', Du. bok c. 'id.', OHG bock m. 'id.', G Bock m. 'id.' ⇒ \*bhug-on- (IE) -Av. buza- m. 'goat, buck', P buz 'id.' < \*bhuy-o-. Most of the evidence points to a thematic form \*bukka-, but in view of the gemination of the final consonant it seems likely that the word was originally inflected as an n-stem, viz. \*buko, gen. \*bukkaz < \*bhug-on, \*bhug-n-6s. Olr. boc, W bwch m. 'billy-goat' must in view of the geminate have been borrowed from Germanic."
121,1911,bukk/gon-,w.v. 'to bend',to bend,"\*bukk/gon- w.v. 'to bend' - Far. boga, buga, bukka w.v. 'to bend, curve', Nw. boga w.v. 'to bend, swing', bukka w.v. 'to nod', OFri. bukkia w.v. 'to bend down', MHG bocken w.v. 'to alight' ⇒ \*bhugh-neh₂- (IE). The iterative to \*beugan- - \*biigan- (q.v.). Also cf. Swi. Visp. bikku w.v. 'to bend, turn' < \*bugjan-."
121,1913,bulgjan-,- \*bulkjan- w.v. 'to bellow',to bellow,"\*bulgjan- - \*bulkjan- w.v. 'to bellow' - OE bylgian w.v. 'id.', E to bellow, MDu. bu/gen w.v. 'to cough, rattle', Du. bu/ken w.v. 'to bellow' ⇒ \*bh/Cglh-ie(GM). Related to OE bealcan w.v. 'to utter; to belch', MDu. balken w.v. 'to bellow', Du. balken w.v. 'to bray, hee-haw' < \*balkon- and MDu. be/ken w.v. 'to bellow', E to belch < \*balkjan-. The g of OE bylgian and MDu. bu/gen must be old, which implies that the k of the other forms arose under the influence of a related iterative \*bulkon- < \*bh/Cglh-neh₂-, cf. MDu. bolken w.v. 'to bellow'. Further related to the cluster of \*balgi- in the sense of 'belly'?"
121,1915,bulgjon-,f. 'wave; bag',wave; bag,"\*bulgjon- f. 'wave; bag' - ON bylgja f. 'wave', Far. bylgja f. 'id.', E billow, MLG bulge f. 'wave; hide', MHG bulge f. 'wave; leather bag' (ORV). A zero-grade formation (quasi PIE \*bh/gh-ieh₂-) to \*belgan- 'to swell' and \*balgi- 'skin bag'. The word was taken over by the Romans, cf. Lat bulga 'leather knapsack', and it seems likely that the continuant OFr. boulge, bouge was the source of ME bulge 'leather bag, wallet; hump', E bulge. As the meaning 'protuberance' is reminiscent of \*belgan-, however, it is possible that bulge at least partly continues a native word, i.e. OE \*bylge. E billow is usually taken to be a Norse loanword. Further cf. MDu. bu/gen w.v. 'to swell up' < \*bulgjan- and the derived bulge m. 'blister, tumor; entrails of a dead animal' < \*bulgjan-."
121,1917,bullan-,'ball',ball,"\*bullan- 'ball' - ON bolli m. 'cup', Far. bolli m. 'cup, bowl; head; ball', OE bolla m. 'bowl', OFri. bolla m. 'type of (round?) bread', MDu. bolle m. 'sphere, round object', Du. bol c. 'id.', OHG bolla f. 'bud; bowl' (EUR). Ablauting with \*ballan- (q.v.)."
121,1919,bul(l)an-,m. 'bull',bull,"\*bul(l)an- m. 'bull' - ON boli m. 'id.', OE bu/a m. 'id.', E bull, MLG bulle m. 'id.', MDu. bul(le) m. 'id.', Du. bu/ c. 'id.' ⇒ \*bh/-en- (EUR? /ORV?) - Gr. cpaAA.6c; m. 'penis' < \*bh/-no-; Latfollis m. 'bag, sack; ball, testicle' < \*bho/-ni-; Oir. ball m. 'member, penis', W balleg 'sack, purse' < \*bh/-no-. An n-stem alternating between \*bu/an- and \*bullan-, thus pointing to a paradigm with consonant gradation, nom. \*bu/6, gen. \*bullaz. Analogically to other hysterokinetic male animal names, e.g. \*uhsan- 'ox' and \*urzan'capercaillie', the Pre-Germanic paradigm may be reconstructed as \*bh/-Ĭn, \*bhl-n-6s, assuming that the vocalized I was generalized throughout the paradigm. The formation seems to have been derived from a PIE word for"
122,1925,bullon-,"w.v. 'to roar, howl'","to roar, howl","\*bullon- w.v. 'to roar, howl' - Icel. bulla w.v. 'to bubble; to talk nonsense', Far. bu//a w.v. 'to gush, bubble; to chatter, babble', MDu. bullen w.v. 'to bubble up', OHG bullon w.v. 'to howl, bark, roar', MHG bullen w.v. 'id.' ⇒ \*bhlhrneh₂- (EUR) - Lat.jleo,jlere 'to cry, weep', Latv. blet (bleju) 'to bleat'; RuCS blejati, Ru. b/ejat' 'to bleat, dial. to cry' < \*bhleh₁-ie-. An iterative synchronically belonging to \*bel/an- (q.v.). This verb may be . secondary, however, replacing a more primitive \*blejan-."
122,1927,bulstra(n)-,"m. 'bolster, pillow'","bolster, pillow","\*bulstra(n)- m. 'bolster, pillow' - ON bolstr m. 'id.', OE bolster n. 'id.', Du. bolster 'husk', OHG bolstar m. 'cushion', G Polster m. 'id.' ⇒ \*bho/gh-stro(DRV?). A formation created to the same root as found in \*balgi- ( q.v.)."
122,1929,bulton-,"w.v. 'to roll, turn over'","to roll, turn over","\*bulton- w.v. 'to roll, turn over' - Far. b6lta w.v. 'to turn over, overturn, tumble', G bolzen w.v. 'to kick around (a ball)' ⇒ \*bhld-neh₂- (NEUR) - Formally identical to Lith. bildinti 'to rumble' < \*bhld-neh₂-; further cf. Lith. Misti (beldiiu) 'to knock, poke' < \*bhe/d-ie- and Lith. b<ildyti (balda) 'to rumble' < \*bhold-eie-. An old iterative formation closely related to the o-grade variant G balzen w.v. 'to croon; to perform a courtship display' < \*balton- < \*bhold-neh₂·, which is semantically close to Nw. bolt m. 'male cat or bird; bragger', Bolze m. 'male cat' < \*bulta(n)-. There is evidence for a meaning 'to kick over, make roll', cf. ON bolti m. 'ball', Far. boltur, b6ltur m. 'id.' < \*bulta(n)-, but this may have developed out of an older 'to hit, bump', cf. OE bolt m. 'bolt, arrow', MLG bolte(n) m. 'id.', Du. bout c. 'peg', OHG bolz m. 'bullet, bolt, peg', G Bolz(en) m. 'cross-bow bolt' < \*bulta(n)- and MLG ane-belte, MDu. ane-belt, aen-belt, Du. aambeeld n. 'anvil' < \*ana-baltja-."
122,1931,bunda-,m. 'binding',binding,"\*bunda- m. 'binding' - OS gi-bund n. 'bundle', Du. bond c. 'league', MHG bunt m./n. 'fetter; bundle', G Bund m. 'league; bundle' (DRV). A zero-grade neuter derived from \*bindan- ( q.v.)."
122,1933,biira-,"n. 'cabin, hut'","cabin, hut","\*biira- n. 'cabin, hut' - ON bUr n. 'women's apartment; pantry; storehouse', OE bur m. 'hut, chamber', E bower, OS bur n. 'chamber, dwelling', OHG bur m. 'dwelling; cage', G Bauer m. '(bird)cage' ⇒ \*bhuh₂-ro- (IE). Related to \*bOan- - \*buan- (q.v.)."
122,1935,burdi-,f. 'birth',birth,"\*burdi- f. 'birth' - Go. ga-baurps f. 'id.', ON burðr m. 'birth; foetus', OE (ge-)byrd f. 'birth', E birth, OFri. berde f. 'birth; foetus', OS gi-burd f. 'birth, descent', Du. ge-boorte c. 'birth', OHG gi-burt f. 'id.', G Ge-burt f. 'id.' ⇒ \*bhr-tf-"
123,1941,burg·,"f. 'fortified place, town'","fortified place, town","\*burg· f. 'fortified place, town' - Go. baurgs f. 'id.', ON borg f. 'town; citadel; small hill', Far. borg f. 'castle; town', OE burg f. 'city', E borough, OFri. burch, burich m. 'castle; city', OS burg f. 'id.', OHG burg f. 'id.', MHG burc f. 'id.' ⇒ \*bhr(gJh_ (IE). A root noun related to either \*berga- 'mountain' < \*bhergh-o- or \*bergan'to keep safe' < \*bhergh-e-; the formal as well as the semantic properties of the word allow for both of these etymologies."
123,1943,burgjan-,w.v. 'to hide(?)',to hide(?),"\*burgjan- w.v. 'to hide(?)' - ON byrgja w.v. 'to close, shut', OE byrian w.v. 'to bury', E to bury ⇒ \*bhrgh-ie- (EUR). A zero-grade ie-present related to \*bergan- (q.v.). Also cf. OE byrga, OS burgio, OHG burigo, G Biirge m. 'surety' < \*burgjan-."
123,1945,buri·,m. 'son',son,"\*buri· m. 'son' - Go. baur m. 'id.', ON poet. burr m. 'id.', OE byre m. 'son, child' (ORV). An i-stem to the strong verb \*beran- 1 (q.v.)."
123,1947,burjan·,w.v. 'to raise; to come to pass',to raise; to come to pass,"\*burjan· w.v. 'to raise; to come to pass' - ON byrja w.v. 'to start', OE ge-byrian w.v. 'id.', OFri. bera w.v. 'to raise, collect', OS gi-burian w.v. 'to happen', Du. beuren w.v. 'to collect money', ge-beuren w.v. 'to happen', OHG burren w.v. 'to raise', gi-burren w.v. 'to happen', MHG biirn w.v. 'id.', G ge-bilhren w.v. 'to collect charges' ⇒ \*bhr-ie- (IE). A zero-grade ie-present related to \*beran- 1."
123,1949,burkon·,w.v. 'to roar',to roar,"\*burkon· w.v. 'to roar' - Nw. borka w.v. 'to boast', OE borcian w.v. 'to bark' ⇒ \*bhrg-neh₂- (NEUR?). The iterative to \*berkan- (q.v.)."
