page,line,headword,label_gloss,gloss,opening
42,968,agiz-,n. 'fear',fear,"\*agiz- n. 'fear' - Go. agis n. 'id.', OE ege m. 'id.' ⇒ \*h₂egh-es- (IE) - Identical to Gr. axoc; n. 'sadness, pain'. An s-stem nom. \*agaz, pl. \*agizo < \*h₂egh-os, \*h₂egh-es-eh₂. The stem variant \*agiz- was generalized at an early stage (cf. Go. agis), and gave rise to a secondary i-stem \*agi- in West Germanic following the regular loss of final \*-z (cf. \*luniz- 'linchpin'). The original s-stem served as the basis for OHG egison, MHG, MDu. eisen w.v. 'to fear' < \*agisojan-, which in turn gave OHG agiso, egiso, OS egiso, OE egesa m. 'fear' < \*agisan-. Related to \*agan- and \*ogjan-."
42,970,agjo-,"f. 'edge, blade'","edge, blade","\*agjo- f. 'edge, blade' - ON egg f. 'edge', OFri. edze m. 'edge, blade', OS eggia f. 'edge, sword', OHG ecka, egga f. 'edge, point, corner', G Ecke f. 'corner, edge' ⇒ \*h₂el<-ieh₂- (IE). A ieh₂-stem to the PIE root \*h₂el<- 'sharp', for which see e.g. \*ahiz-."
42,972,ag/kkon-,f. 'magpie',magpie,"\*ag/kkon- f. 'magpie' - OE age, agu f. 'id.', WFri. akke c. 'id.', OHG aga(?) f. 'id.', MHG age f. 'id.' (GM). The co-occurrence of OE age < \*agon- and WFri. akke < \*akkon- could point to an old n-stem paradigm nom. \*ago, gen. \*akkaz < \*H6gh-on, \*Hogh-n-6s. The word further occurs in a compound with \*star(r)a(n)- in the other WGm. languages, cf. OS agastria, MLG he(g)ister, MDu. exter, aecster, Du. ekster 'id.' < \*aga-str-jon-. OHG agalstra, egilistra, G Elster, on the other hand, was created to a diminutive \*agila-. Further note OHG agaza < \*agatiin-."
42,974,agla-,adj. 'painful',painful,"\*agla- adj. 'painful' - Go. agls\* adj. 'disgraceful' ⇒ \*h₂egh-/o- (IE) - Skt. aghci- adj. 'evil, bad, dangerous', YAv. aya- adj. 'bad, evil' < \*h₂ogh-o-; Gr. &xvuμm 'to grieve, lament for' < \*h₂egh-neu-."
43,980,aglu-,adj. 'difficult',difficult,"\*aglu- adj. 'difficult' - Go. aglus\* adj. 'difficult, toilsome', OE egle adj. 'difficult', E obs. ail adj. 'loathsome' (IE). The original u-stem that is attested as Go. aglus\* resurfaces as the ja-stem eg(e)le in OE. No clear etymology, but probably related to \*ag/a-."
43,982,agra-,m. 'flood',flood,"\*agra- m. 'flood' - OE eagor 'sea, flood', E eagre 'tidal bore', Du. agger c. 'sea swell during low tide' ⇒ \*h₂ekW-r6- (EUR). A ro-stem created to the same root as found in \*ahwo- 'water'. E acker 'turbulent current in the sea; ripple furrow in the water' probably does not belong here, but may be identical to \*akra- 1 'field', though with a more primary meaning 'furrow'."
43,984,ahano-,"- \*agano- f. 'chaff, awns'","chaff, awns","\*ahano- - \*agano- f. 'chaff, awns' - Go. ahana f. 'chaff, ON pgn f. 'id.', Far. egn f. 'awn, beard of barley', Elfd. aungen f. 'id.', OE reg nan f.pl. 'awns, chaff, refuse', E awns, OHG agana f. 'chaff, awn, straw', G Ahne f. 'fiber from hemp or flax' ⇒ \*h₂er1f.l-on-eh₂- (IE) - Close to Lat agna f. 'ear of grain' < \* h₂eClf.l-e/on-eh₂- (the absence of Thurneysen's law points to syncope, Jürgen van den Heuvel, p.c.); also cf. Gr. iiKwv, -ovTo<; m. 'javelin, dart', OPru. ackons 'awn' < \*h₂ek-on-. An o-stem alternating between \*ahanoand \*agano- < quasi-PIE"
43,986,h₂erlf.J-on-eh₂-,"- \*h₂eCk'l-6n-eh₂-. The origin of the Verner alternation is unclear, as accentual mobility is unexpected in secondary eh₂-stems. It is possible, however, that the feminine developed from a neuter collective form \*h₂eCk'l-on-eh₂- (cf. Lat. agna) created to the n-stem \*h₂efk'l-on- as supported by Gr. CiKwv. It must then be assumed that the Verner alternation was adopted from this n-stem, which no doubt did have an accentually mobile paradigm. See also \*ahila-","l-6n-eh₂-. The origin of the Verner alternation is unclear, as accentual mobility is unexpected in secondary eh₂-stems. It is possible, however, that the feminine developed from a neuter collective form \*h₂eCk","\*h₂erlf.J-on-eh₂- - \*h₂eCk'l-6n-eh₂-. The origin of the Verner alternation is unclear, as accentual mobility is unexpected in secondary eh₂-stems. It is possible, however, that the feminine developed from a neuter collective form \*h₂eCk'l-on-eh₂- (cf. Lat. agna) created to the n-stem \*h₂efk'l-on- as supported by Gr. CiKwv. It must then be assumed that the Verner alternation was adopted from this n-stem, which no doubt did have an accentually mobile paradigm. See also \*ahila- - \*agi/a- and \*ahiz-."
43,988,ahila-,- \*agila- m. 'awn',awn,"\*ahila- - \*agila- m. 'awn' - OE egl f. 'mote', ME ei/e 'awn, prickle', OHG ahi/ m. 'awn', G dial. Ache/ f. 'id.' ⇒ \*h₂elf.-i/-eh₂- (IE) - Close to Gr. aJ01 f. 'point' < \*h₂elf.-eh₂-. Derived from the root \*h₂elf.- 'sharp' (cf. \*ahiz- 'ear'). With the same semantics (but different suffixations), cf. Cz. osina f. 'awn' and possibly Arm. hask 'ear' < \*h₂ell- plus a velar suffix."
43,990,ahiz-,n. 'ear',ear,"\*ahiz- n. 'ear' - Go. ahs n. 'id.', ON ax n. 'id.', Far. aks n. 'id.', OE ear, rehher, eher n. 'id.', E ear, OFri. iir pl. 'harvest', Du. aar c. 'ear', OHG ahar, ehir n. 'id.',"
44,996,ahaza-.,See also \*ahano-,,\*ahaza-. See also \*ahano- - \*agano-.
44,998,ahjan-,w.v. 'to think',to think,"\*ahjan- w.v. 'to think' - Go. ahjan w.v. 'to assume, think' (GM). No clear etymology. The verb is obviously related to Go. aha m. 'mind, understanding' < \*ahan-, Go. ahma m. 'spirit' < \*ahman- and PGm. \*ahto'attention' ( q.v.), but it lacks clear extra-Gm. cognates. The connections with \*augon- 'eye' < \*h₃e'J<w- (Osthoff 1910: 175) and Gr. oKVo<; m. 'hesitation, shrinking' (Pokorny IEW: 774) do not convince, at any rate. Theoretically, the verb could be identical to ON reja w.v. 'to graze' < \*ahjan- (through a meaning 'to ruminate'), but it is preferable, in my view, to reconstruct this verb as \*aiwjan- (q.v.)."
44,1000,ahslo-,"f. 'shoulder, armpit'","shoulder, armpit","\*ahslo- f. 'shoulder, armpit' - ON pxl f. 'shoulder', Far. 11ksl f. 'id.', OE eaxl f. 'armpit', OS ahs/a f. 'shoulder', OHG ahsa/a, ahs/a f. 'id.' (IE) - Lat ala f. 'armpit, wing', W echel f. 'axis' < \*h₂eks-(i)/-eh₂-. Derived from PIE \*h₂eKs-i- with an /-suffix, cf. \*nab/an- 'navel'."
44,1002,ahso-,f. 'axle',axle,"\*ahso- f. 'axle' - Nw. dial. oks f. 'tip of the hub', OE eax m. 'axle', MDu. asse f. 'id.', Du. as c. 'id.', OHG ahsa f. 'id.', G Achse f. 'id.' ⇒ \*h₂eKs-eh₂- (IE) - Skt ak$a- 'axle', YAv. afo- 'armpit' < \*h₂e/{-so-; OPru. assis, Lith. asis m. 'axle, axis', CS osb, Ru. os' f. 'id.', Lat. axis m. 'id.', Olr. ais f. 'back' ( < ""spine""?) < \*h₂eKs-i-; Gr. &Ɍwv m. 'axle' < \*h₂eKs-on-. Cf. \*ahs/6- and the diminutive ON pxull, Far. aksil, Elfd. aksel m. 'axle' < \*ahsula-."
44,1004,ahtau,num. 'eight',eight,"\*ahtau num. 'eight' - Go. ahtau num. 'id.', ON atta num. 'id.', Far. atta num. 'id.', Elfd. atta num. 'id.', OE eahta num. 'id.', E eight, OFri. achta num. 'id.', OS ahto num. 'id.', Du. acht num. 'id.', OHG ahto num. 'id.', G acht num. 'id.' ⇒ \*h₃eKt-eh₃u (IE) - ToA okiit, ToB okt, Skt. a$td, a$tc1u, YAv. asta, Lith. astuoni, Arm. ut', Alb. tete, Gr. OKTW, Lat. octo, Olr. ocht, W wyth, Bret. eiz num. 'eight'. The Indo-European word for 'eight'. Originally, the numeral may have come about as a dual formation to Av. asti- 'width of four fingers, palm' < \*h₃eK-ti- (Henning 1948: 69). The meaning of this Avestan word is not entirely certain, however. See also \*ahtudan-."
45,1008,ahto-,"f. 'consideration, attention'","consideration, attention","\*ahto- f. 'consideration, attention' - OE eaht, reht, eht f. 'deliberation', MDu. acht f. 'attention', OHG ahta f. 'esteem, reflection, consideration, thought', MHG ahte f. 'evaluation; attention' (DRV). Derived from \*ahjan- 'to think'. Also cf. OE eahtian, OS ahton, Du. achten, OHG ahton, G achten w.v. 'to mind, deem' < \*ahtojan- and ON, Far. ret/a w.v. 'to intend' < \*ahtilon-."
45,1010,ahtudan-,num. 'eighth',eighth,"\*ahtudan- num. 'eighth' - Go. ahtuda num. 'id.', ON atti, attandi, attundi num. 'id.', Far. attandi num. 'id.', Elfd. dttund num. 'id.', OE eahtooa num. 'id.', E eighth, OFri. achtenda, achtunda, achtanda num. 'id.', OS ahtodo num. 'id.', Du. achtste num. 'id.', OHG ahtodo num. 'id.', G achte num. 'id.' ⇒ \*h₂eKt-h₃u-tHo- (IE) - ToA oktiint, ToB oktante num. 'eighth' < \*h₃eKt-h₃-ntHo-; Skt. a$tama-, YAv. astama-, Oss. restrem, Lith. iismas, OCS osm'b, Ru. vos'm6j, SCr. osmi num. 'id.' < \*h₃e/(t-mHo-; Gr. oycSoo<;, Lat octiivus num. 'id.' < \*h₃e/(t-h₃u-o-. · The ordinal to \*ahtau 'eight' ( q.v.)."
45,1012,ahurna-,m. 'maple',maple,"\*ahurna- m. 'maple' - OHG ahorn, ahurn, acharn m. 'id.', G Ahorn m. 'id.' ⇒ \*ak[-no- (NIE) - Lat. acer, -eris n. 'maple' < \*ak-r- (cf. acernus adj. 'made of maple'); hardly to Gr. Hsch. aKacro<; 'maple' and aKapva 'laurel-tree'. A European word, possibly of non-IE origin. The main form, PGm. \*ahurna-, was adopted by Slavic, cf. OCS avor-ov'b 'made of maple'. The Upper German form Acher may continue \*ahra- without a nasal, to which Ahre and A.hre are secondary feminine derivations in \*-OJo- (cf. OHG voraha, MoG FOhre 'pine' < \*furhwjo(n)- vs. ON Jura < \*furhwon-). The latter variant probably served as the source for Sw. iira and Da. rere!.trre. It seems unlikely, at any rate, that these forms continue an ablauting form \*ehiron- through ON \*rera (thus Torp 1909: 23)."
45,1014,ahwo-,f. 'river',river,"\*ahwo- f. 'river' - Go. afva f. 'body of water, river', ON a f. 'river', Far. a f. 'river; stream, brook', Elfd. d f. 'id.', OE ea f. 'stream', OS aha f. 'water, river', OHG aha f. 'river', MHG ahe f. 'id.' ⇒ \*h₂ekw-eh₂- (EUR) - Identical to Lat. aqua f. 'water'. A Germanic-Italic isogloss. The word has been claimed to stem from a non-IE language (Beekes 1998), but it is more likely to be a formal variant of Hitt bapa- c. 'river', Skt ap-, OAv. ap- f. 'water' < \*h₂ep-, Lat. amnis f. 'stream, river' < \*h₂ep-ni- and Olr. ab, aub f., W afon f. 'river' < \*h₂epHon(with \*-pH- > \*b as in Skt. pfbati 'to drink' < PIE \*pi-ph₃-e-). Perhaps the cluster \*-pH- developed into \*-kw- in Germanic and Latin. See further \*agra-, \*aujo- and \*egja-."
45,1016,aibra-,adj. 'harsh',harsh,"\*aibra- adj. 'harsh' - OE iifor adj. 'vehement, dire, hateful', OHG eipar, eiber, eiver adj. 'harsh, rough' (GM)."
46,1022,aida-,m. 'pyre',pyre,"\*aida- m. 'pyre' - OE ad m. 'pyre, fire', OFri. a.de OHG eit m. 'fireplace, pyre', MHG eit m. 'fire, oven' ⇒ \*h₂eidh-o- (IE) - Identical to Skt. edha- m. 'firewood', Gr. al-Boe; m. 'firebrand', Olr. aed 'fire'; also cf. Gr. aWoc; adj. 'burnt'. The word appears to continue an extension \*h₂ei-dhhi-o- ""what is put on the fire"" to the root \*h₂ei- 'to burn', cf. \*aiza- 'oar'. Also cf. OHG, MHG eiten w.v. 'to burn, harden with fire' < \*aidjan-."
46,1024,aidja-,n. 'isthmus',isthmus,"\*aidja- n. 'isthmus' - ON eio, eioi n. 'id.', Far. eioi n. 'id.', Nw. eid(e) n. 'isthmus; passable valley' ⇒ \*h₁oi-tio- (ORV). A NGm. word derived from the PIE root \*h₁ei- 'to go', for which see \*idiijan-. It is perhaps possible to start from a nominalization of a gerundive in \*-tio- meaning 'passable'."
