pdf_page,line,headword_segment,entry_opening
582,8164,"\*þinga- n. 'meeting, case, thing'","\*þinga- n. 'meeting, case, thing' - ON þing n. 'id.', OE þing n. 'id.', E thing, OFri. thing n. 'id.', OS thing n. 'thing, court, meeting', Du. ding n. 'thing', OHG ding n. 'meeting, court, thing, affair', G Ding n. 'thing' ⇒ \*tenk-ō- (DRV). Related to Got. peihs n. 'time', Lomb. thinx 'legal procedure, assembly' < \*þinhsa-. The original meaning may have been 'scheduled time', whence 'assembly', '(legal) case' and 'object'. As such, the word can be derived from the strong verb \*þinhan- 'to be suitable' (q.v.)."
582,8166,\*þingjan- w.v. 'to believe',"\*þingjan- w.v. 'to believe' - OHG dingan w.v. 'id.', MHG dingen w.v. 'id.' ⇒ \*ti-n-k-ie- (NEUR) - Lith. tik&i (tikiu) 'to believe'. A Germanic-Baltic isogloss."
582,8168,"\*þinhan- s.v. 'to thrive, prosper'","\*þinhan- s.v. 'to thrive, prosper' - Go. þeihan s.v. 'id.', OE þeon, (ge-)þingan s.v. 'id.', OS thihan s.v. 'id.', Du. gedijen w.v. 'id.', OHG dihan s.v. 'id.', G gedeihen s.v. 'id.' ⇒ \*tenk-e- (EUR) - Lith. tikti (tinku) 'to be good (for), to be suitable' < \*tnk-e- (also cf. tikras adj. 'right' and - with Ablautentgleisung - Lith. taikyti 'to arrange, fit'); Ukr. t'aknuty 'to be helpful' < \*tnk-neu-; Olr. tocad m. 'fortune, chance, good luck', MW tynghet f./m. 'destiny, fate' < \*tonk-eta-; OW tagc, MW tang, tanc m. 'peace' < \*tnk-o-. The original verb \*þinhan-, pret. 3sg. \*þanhe, 3pl. pungun gave rise to secondary \*þihan-, \*þaihe, pigun after the loss of the nasal before h. In Old"
582,8170,\*þinhla- n. 'curds(?)',"\*þinhla- n. 'curds(?)' - ON þel n. 'fresh-curded milk' ⇒ \*tenk-lo- (IE) - Skt. takra- n. 'buttermilk mixed with water' < \*tnk-1ō-. A Nordic word directly corresponding to Skt. takra-. The formation is usually compared to the etymological cluster of \*þinhtu- 'thick' (q.v.), and accordingly reconstructed as \*tenk-lo-. It can alternatively be linked to \*hwaja- Ƕ \*huja- 'whey' < \*tkw·oi-o-, \*tkw·i-o-, so as to arrive at a proto-form PIE \*tekw-/o-, PGm. \*þehla-."
582,8172,"\*þinhslo- f. 'drawbar, cart-pole'","\*þinhslo- f. 'drawbar, cart-pole' - ON þīsl f. 'cart-pole', OE þix/, þis/ f. 'beam or pole of a wagon', MLG disel, dissel f. 'shaft, drawbar', Du. disse/ c. 'id.', OHG dihsila f. 'id.', MHG dihsel f. 'id.', G Deichsel f. 'id.' ⇒ \*tenk-s-l-eh₂- (EUR) - Lat temo m. 'pole, yoke-beam' < \*tenk-s-mon-; OPru. teansis 'drawbar' < \*tenk-s-i-."
583,8178,"\*þinhtu- adj. 'dense, tight, close'","\*þinhtu- adj. 'dense, tight, close' - ON þettr adj. 'id.', Far. tettur adj. 'id.', Elfd. ti'tt adj. 'id.', OE -piht adj. 'strong', ME thiht, tiht (influenced by MScand. tettr?) adj. 'dense, tight', E tight, WFri. ticht adj. 'id.', MDu. dichte adj. 'id.', Du. dicht adj. 'id.', G dicht, dial. deicht adj. 'tight, close, dense' ⇒ \*tenk-tu- (IE) - Close to Olr. techt adj. 'solidified' < \*tnk-to- (whence techtaid 'to freeze, congeal, coagulate' < \*tnk-t-eh₂-ie-); also cf. Skt. tanakti 'to draw together' < \*tn-n-ek-; Olr. techt adj. 'frozen' < \*tnk-to-; Lith. tankus adj. 'dense' < \*tonk-u-. Also cf. the adverb MHG gedichte, MDu. dicht(e), gedichte, bedichte 'close, continuous, often'. The co"
583,8180,\*þinhwon- f. 'thunder',\*þinhwon- f. 'thunder' - Go. þeifvo f. 'id.' ⇒ \*tenk-ueh₂- (NEUR) - OCS tpca f. 'snowstorm' < \*tonk-ieh₂-.
583,8182,\*þinkila- m. 'spelt',"\*þinkila- m. 'spelt' - OS thinkil m. 'id.', OHG dinkil m. 'spelt, wheat', G Dinkel m. 'spelt' (GM). No clear etymology. It has been suggested that the original meaning was 'prickle', thus allowing for a connection with Arm. t'akn 'club' (EWAhd: II, 657-8): uncertain."
583,8184,\*þinna-,"\*þinna- - \*þunnō- f. 'forehead, temple' - MHG tinne, tunne f. 'forehead, temple' ⇒ \*tenh₂-uh₂- (IE). A word also occuring as the first member of some compounds with the meaning 'temple', cf. OHG tinna-bacho m., dun-wangi n., MHG tune-wenge n., OE pun-wang(e) f., ON pun-vangi m., Sw. tinning. The alternation of MHG tinna and tunna is remarkable; since both forms have the exact same meaning, it is unlikely that they represent two different formations. I therefore assume that they continue two ablauting stem variants of one single paradigm, e.g. nom. \*tinna, gen. \*tunnoz < PIE \*ten{h₂)-uh₂, \*tr;i(h₂)-ueh₂-s."
583,8186,\*þinsan- s.v. 'to stretch',"\*þinsan- s.v. 'to stretch' - Go. at-þinsan s.v. 'to draw towards, pull up to', OS thinsan s.v. 'to pull, tear', MDu. (E) dinsen w.v. 'to drag', OHG dinsan s.v. 'to pull, trail', MHG dinsen s.v. 'to pull, yank, trail', G gedunsen adj. 'bloated' ⇒ \*tens-e- (IE) - Skt. tatasre perf.3pl. 'they moved' < \*te-tns-; Lith. tၮsti (tၯsiu) 'to stretch' < \*tens-ie-; Lith. tqsus adj. 'tensile' < \*tons-u-."
584,8192,\*þleuhan- s.v. 'to flee',"\*þleuhan- s.v. 'to flee' - Go. þliuhan s.v. 'id.', OE fleon s.v. 'id.', E to flee, OFri. flia s.v. 'to reconcile', OS fliohan s.v. 'to flee', MDu. vlien s./w.v. 'id.', OHG fliohan s.v. 'id.', Gfliehen s.v. 'id.' ⇒ \*tleuk-e- (GM). A Germanic word. Go. þliuhan is often assumed to have developed from \*fliuhan, but since not all initial clusters fl- are affected (cf. Go. flodus < \*flōdu-), the reality of this change is doubtful. Probably unrelated to \*fleugan- 'to fly'."
584,8194,\*þragjan- w.v. 'to run',"\*þragjan- w.v. 'to run' - Go. þragjan w.v. 'id.', OE prcegan w.v. 'id.' ⇒ \*trogh-eie- (EUR) - To Gr. TpE:xw 'to run' < \*tregh-e-; Gr. Dor. Tpaxw 'id.', Olr. tethraig\* pret. 'ran away, receded' < PC!. \*te-trgh-; less attractive is the link with OCS tnk'b n. 'course, flight' < \*trkfwl.o-; Slav. trcati 'to run' < \*trkfwl.j-eh₂-. An intensive formation to a European root \*tregh- that with its combination of a plain and an aspirated stop violates the PIE root structure. Also cf. OHG drigil m. 'servant' < \*dregila-."
584,8196,\*þraibjan- w.v. 'to seize',"\*þraibjan- w.v. 'to seize' - ON þreifa w.v. 'to feel with the hand, touch', Icel. þreifa w.v. 'to touch, feel, finger' ⇒ \*troip-eie- (GM). An intensive-iterative formation to \*þrifan- (q.v.)."
584,8198,\*þrangwjan- w.v. 'to press',"\*þrangwjan- w.v. 'to press' - ON þrengva w.v. 'to press, force', Far. treingja w.v. 'to push, press, urge; to need; to make narrow(er)', Elfd. traindja w.v. 'to push', MDu. drengen w.v. 'to make penetrate', MHG drengen w.v. 'to urge' ⇒ \*tronkw-eie- (NEUR). The causative to \*þrinhan- (q.v.). Far. treingja in the sense of 'to make narrow( er)' is a factitive to ON þrǫngr adj. 'narrow', MDu. drang adj. 'pressing' < \*þrangwa-."
584,8200,\*þranha- adj. 'dirty',"\*þranha- adj. 'dirty' - !eel. þrár adj. 'rancid', Far. traur adj. 'id.', Nw. trri adj. 'id.', OE þroh adj. 'id.' ⇒ \*trōnli-o- (IE) - Lith. tresti (trࢭstu) 'to wither' < \*tre(n)li-; Lith. trqsa f. 'dung' < \*tronli-eh₂-; W trwnc m. 'urine', Bret. stroffilk m. 'excrement' < \*(s)tronli-o-. A European word, no doubt of IE origin in view of the root structure and the occurrence of a palatovelar. Also cf. OE þroh 'rancor'."
584,8202,\*þrapp/bōn- w.v. 'to trot',"\*þrapp/bōn- w.v. 'to trot' - Elfd. trrivri w.v. 'id.', OE þrafian w.v. 'to urge, press', OS thra'bon w.v. 'to trot', EDu. draven, drabben 'id.', Du. draven, dial."
585,8206,"\*þrastu- 545 drabben 'id.', MHG draben w.v. 'id.' ⇒ \*trop-neh₂- (EUR)","\*þrastu- 545 drabben 'id.', MHG draben w.v. 'id.' ⇒ \*trop-neh₂- (EUR) - Formally identical to Lith. trapinhi 'to kick' < \*trop-n(e)h₂-; also cf. OPru. trapt 'to trample'; Ru. dial. tropat' 'to trample, stamp' < \*trop-ehrie-; Ru. tropa f. 'path' < \*trop-eh₂and Gr. TpmtE:w 'to press (grapes)' < \*trp-eie-. An old iterative formation \*trop-neh₂-. Also cf. E thrave 'herd' < \*þrabo-, which is formally identical to Ru. tropa < \*trop-eh₂-. The original meaning of the root was 'to trample'."
585,8208,\*þrastu- m. 'thrush',"\*þrastu- m. 'thrush' - ON prpstr m. 'id.', Far. trustur m. 'id.', Elfd. trast m. 'id.', OE þrysce, prcesce f. 'id.', E thrush, OHG drosca f. 'id.', G Droschel f. 'id.' ⇒ \*trozd-u- (EUR) - Arm. tordik 'thrush' < \*dorzdh-; Lat. turdus m. 'id.' < \*torzd-o-, Mir. truit, truid f. 'id.' < \*trozd-i-; Lith. striizdas m. 'id.' < \*strozd-o-; Ru. drozd, SCr. drozd m. 'id.' < \*drozd-o-. The Nordic form \*þrastu- straightforwardly goes back to the widespread o-grade root \*trozd-, but the derivation of the corresponding forms in West Germanic is highly problematic. OHG drosca together with OE priksce is taken to represent a form \*þrauskon-, whereas OE þrysce, E thrush is derived from \*þriiskjon-"
585,8210,\*þrautjan- w.v. 'to exhaust',"\*þrautjan- w.v. 'to exhaust' - ON preyta w.v. 'to strive, struggle', Far. troyta w.v. 'to complete; to drag on, exert one's strength; to exhaust' ⇒ \*troud-eie(NEUR). The causative to \*þreutan- (q.v.)."
585,8212,\*þrawjan- w.v. 'to grow',"\*þrawjan- w.v. 'to grow' - OHG trowwen s./w.v. 'to grow (up)', MHG ge-drouwen past ptc. 'grown' ⇒ \*trōuH-ie- (IE). An o-grade ie-verb closely related to \*þrewan- 'to grow, thrive' (q.v.). OHG trowwen cannot possibly continue a causative \*þrawjan- from PIE \*troHu-eie- (thus Muller 2007: 311-2), as the development \*-ōu- > \*-ō- preceded pretonic shortening, cf. \*ajja- 'egg' < \*h₂ōu-iō-. MHG druo f. 'fruit' goes back to \*droo-, and may continue a root noun \*trouH-s, \*truH-es."
585,8214,"\*þrawō- f. 'longing, suffering'","\*þrawō- f. 'longing, suffering' - ON þrá f. 'longing, yearning', OE prea f. 'rebuke, threat; punishment; infliction', OS thrii-werk n. 'pain', OHG drawa, drowa, dr6a f. 'threat, blame, burden', MHG dro(u)we, dr6 f. 'threat' "
586,8220,\*trouH-eh₂- (NEUR),"\*trouH-eh₂- (NEUR) - Lith. triv6ti (triv6ju) 'to endure' < \*truH-ehi-ie- (with a secondary zero-grade +?). In ablaut relation to \*þrōen- (q.v.). Also cf. the denominal ON þrá w.v. 'to long', OS gi-throon w.v. 'to threaten' < \*þrawojan- and ON preyja w.v. 'to long', OHG drewen, drouwen, G drohen w.v. 'to threaten' < \*þraujan-. ON þrár adj. 'stubborn, obstinate' < \*þrawa- < \*trouH-o- seems to be more primary."
586,8222,\*þrēan- s.v. 'to turn',"\*þrēan- s.v. 'to turn' - OE þrāwan s.v. 'to twist, turn; to throw', E to throw, OFri. drii.ia w.v. 'to turn', Du. draaien w.v. 'id.', OHG drii.en s.v. 'id.', G drehen w.v. 'id.' ⇒ \*treh₁-e (EUR) - Gr. TETpa[vw 'to pierce, perforate' (also cf. TEpETpov n. 'auger, borer' < \*terhi-tro-); Lat. tero 'to rub' < \*terh₁-e-; Lith. trinti (trinit) 'to rub, file' < \*tr-n-h₁-e-. A strong verb derived from a root \*treh₁-, apparently a variant of the more wide-spread \*terh₁-. See also \*þrēdu-."
586,8224,\*þrēdu- m. 'thread',"\*þrēdu- m. 'thread' - ON þrāðr m. 'id.', OE þrǣd m. 'id.', E thread, OFri. thred m. 'id.', MDu. draet m. 'id.', Du. draad c. 'id.', OHG drii.t m. 'id.', G Draht m. 'id.' (ORV). A tu-stem derived from the strong verb \*þrēan- ( q.v.)."
586,8226,\*þreutan- s.v. 'to bother',"\*þreutan- s.v. 'to bother' - Go. us-þriutan s.v. 'to harass, bother, persecute', ON þrjóta s.v. (imp.) 'to fail, come to an end, become exhausted', Far. tr6ta s.v. 'id.', OE þreotan s.v. 'to weary', MLG dreten, vor-dreten s.v. 'to annoy', Du. ver-drieten 'to make sad', OHG bi-driozan s.v. (imp.) 'to weary, trouble', G ver-drieflen s.v. 'to annoy' ⇒ \*treud-e- (NEUR) - OCS truzditi (truzdp) 'to toil, harass' < \*troud-eie-; OCS trud'b 'travail' < \*troud-o-. A strong verb to a Germanic-Slavic root \*treud-. See also \*þrautjan- and \*þrutton-."
586,8228,"\*þrewan- s.v. 'to grow, thrive'","\*þrewan- s.v. 'to grow, thrive' - OHG driuwan s.v. 'to thrive' ⇒ \*treuH-e(IE) - OAv. Braostii. 2pl.aor. and YAv. tutJruiie 3sg.perf.med. 'to nourish' < \*treu(H)-. A strong verb postulated on the basis of the OHG gl. triuuit 'excellet, þō/let, floret. Related to \*þrawjan-, \*þrūwen- and \*þruþi- (q.v.). Also cf. OHG driuwi adj. 'energetic, strong' < \*þrewja-."
586,8230,\*þrī- num. 'three',"\*þrī- num. 'three' - Go. þreis\*, acc. þrins, n. þrija, gen. þrije, dat. þrim num. 'id.', ON þrīr, acc. þrjá, f. þrjár, n. þrjú, gen. þriggja, dat. Prim(r}, prem(r) num. 'id.', Far. triggir, acc. trfggjar, f. trfggjar, n. try, gen. trfggja, dat. trimum n. 'id.', Elfd. trair, acc. tril/O, f. trjdr, n. tray, dat. trim num. 'id.', OE pr!, f./n. prfo, Preo num. 'id.', E three, OFri. thre num. 'id.', OS thria, threa, n. thriu num. 'id.', Du. drie num. 'id.', OHG drf, drfe f. drfo, n. driu num. 'id.', G drei num. 'id.' ⇒ \*trei- (IE) - ToA tre, f. tri, ToB trai, trey, f. tarya num. 'id.', Skt. trayas, f."
587,8236,\*þridjan- num. 'third',"\*þridjan- num. 'third' - Go. þridja num. 'id.', ON þriði num. 'id.', Far. trioi num. 'id.', Elfd. trio num. 'id.', OE þridda num. 'id.', E third, OFri. thredda num. 'id.', OS thriddio num. 'id.', Du. derde num. 'id.', OHG dritto num. 'id.', G dritte num. 'id.' ⇒ \*tri-tiHo- (IE) - Skt. qtfya-, Av. t9ritiia-, Lat. tertius, W trydydd num. 'id.' < \*tr(i)-tiHo-; Lith. treCias, Latv. tress, OCS tretii, Ru. tretij, SCr. treCinum. 'id.' < \*tre-ti(H)o-; OPru. tirts num. 'id.' < \*tr-to-(?). The ordinal number pertaining to \*þrī- 'three' (q.v.). The Germanic attestations point to \*tri-tiHo-, but the oldest PIE form probably did not have an i in the root, cf. Skt. trtfya- < \*tr-tiH-o-."
587,8238,\*þrifan- s.v. 'to seize',"\*þrifan- s.v. 'to seize' - ON þrifa s.v. 'to catch, grasp', refl. 'to thrive, grow', Far. trfva s.v. 'to seize, grip, grasp', Nw. triva s.v. 'to snatch' ⇒ \*treip-e- (GM). An exclusively Nordic word; ME thrifen, E to thrive was probably borrowed from ON þrifa-st 'to thrive, grow' (for the meaning, cf. ON taka-st refl. 'to succeed'). See also \*þraibjan- and \*þripp/bōn-."
587,8240,\*þrinhan- s.v. 'to press',"\*þrinhan- s.v. 'to press' - Go. þreihan s.v. 'to press, crowd', ON þryngva s.v. 'to press, thrust; to rush', Nw. trenga, tr¢nga s.v. 'to need', OE þringan s.v. 'to press, crowd throng', OS thringan s.v. 'to press, urge', Du. dringen s.v. 'id.', OHG dringan s.v. 'id.', G dringen s.v. 'id.' ⇒ \*trenkw·e- (NEUR) - Lith. treiikti (trenkiu) 'to bump, hit' < \*trenk-ie-. The original verb \*þrinhan- was replaced by \*þringan- in West Germanic. ON þryngva < \*þringwan- points to a root \*trenkw- with a labiovelar. See also \*þrangwjan-."
587,8242,\*þripp/bōn- w.v. 'to seize',"\*þripp/bōn- w.v. 'to seize' - ON þrifa w.v. 'to seize', Icel. þrifla w.v. 'to touch, feel, finger', Nw. trip/a w.v. 'to finger, touch upon', trivia w.v. 'to grope, feel tentatively', ODa. threve 'to seize', Da. treve, trreve, trave 'to fumble, grope' ⇒ \*trip-nehr (GM). The iterative to \*þrifan- (q.v.). The appurtenance of G Pal. trippen w.v. 'to gulp' and Rhnl. ver-drippen w.v. 'to devour' is uncertain."
587,8244,\*þrōdjan- w.v. 'to train(?)',"\*þrōdjan- w.v. 'to train(?)' - Go. þropjan w.v. 'to exercise, train, drill' (EUR?) - MW trawd adj. 'weak' < \*troH-to-; Lith. tr6tinti 'to irritate' < \*troHt-nehr. Formation unclear. If MW trawd belongs here, the verb could be a factitive to a lost adjective \*fm5da- 'exhausted'."
588,8250,\*þrōen- w.v. 'to endure',"\*þrōen- w.v. 'to endure' - OE f:m5wian w.v. 'to endure', OHG druoen w.v. 'to suffer' (NEUR) - Lith. triv6ti (triv6ju) 'to endure' < \*truH-eh₂-ie- (with a secondary zero-grade -i-). A stative probably derived from a lost adjective \*/m5a-, cf. OHG druoa f. 'burden' < \*þroo-. Related to \*þrawō- (q.v.)."
588,8252,\*þrūban- m. 'cluster',"\*þrūban- m. 'cluster' - MDu. drubbel m. 'cluster (of plants)' ⇒ \*trup-on(IE) - Hitt. tarupzi - taruppanzi 'to collect; to unite'. MDu. drubbel continues a form \*þrubla-, a diminutive created to an n-stem \*þrubo, gen. \*þruppaz < \*trup-ōn-, \*-n-ōs. The attestation is limited, but VLat. troppus 'flock' (cf. Fr. trop 'too much') is likely to have been borrowed from Franconian, and thus confirms the reality of the Germanic n-stem. In addition, there is OHG trubo, G Traube, Du. druif 'grape' < \*þrūban-, which no doubt belongs here, too, especially in view of the second meaning of MDu. druve m. 'grape; grape cluster'. The two formations have not yet received a convincing etymology, but I wo"
588,8254,\*þrunhta- m. 'hardship(?)',"\*þrunhta- m. 'hardship(?)' - ON þróttr m. 'stamina, strength', OE þroht m. 'oppression, hardship' (GM). A tu-stem probably related to OE ge-þrīn w.v. 'to contrain, restrain, repress' < \*þruhjan-. Also cf. OE þroht adj. 'oppressive, grievous' and ON i-pr6tt f. 'skill, accomplishment'."
588,8256,\*þrutton- w.v. 'to exhaust',"\*þrutton- w.v. 'to exhaust' - G dial. trotzen w.v. 'to over-exploit' (DWB: 22, 1115) ⇒ \*trud-neh:r (NEUR). The iterative to \*þreutan- (q.v.)."
588,8258,\*þrūþi- f. 'strength',"\*þrūþi- f. 'strength' - ON þrūð- 'id.', OE þrȳð f. 'id.' ⇒ \*truH-ti- (DRY). Usually assumed to be a ti-stem to the verbs \*þrewan- and \*þrawjan(q.v.). Also cf. ON pruoigr, -ugr adj. 'strong, powerful'."
588,8260,"\*þrūwen- w.v. 'to thrive, mature'","\*þrūwen- w.v. 'to thrive, mature' - ON þrōa-st w.v. 'to increase, grow' ⇒ \*truH-eh₂-ie- (DRY). A denominal formation to an unattested zero-grade adjective \*þru(w)a- < \*truH-o-, cf. ON proskr 'vigorous, mature, full-grown' < \*þru(w}iska- and proski m. 'maturity, manhood; promotion, advancement' < \*þru(w}iskan-. The reconstructions \*þroiska- (Torp 1909: 193; Muller 2007: 312) and \*þruska- (Pokorny IEW: 1095) would point to proto-forms \*troHu-isk-o-"
589,8266,\*þū pron. 'you',"\*þū pron. 'you' - Go. þu, dat þus, acc. þuk 'id.', ON þu, dat per, acc. pik pron. 'id.', Far. tu, obi. teg pron. 'id.', Elfd. du, obi. dig pron. 'id.', OE pit, obi. pe, acc. pee, pe pron. 'id.', OFri. thu, obi. thi pron. 'id.', OS thu, obi. thf, acc. thik pron. 'id.', MDu. du, obi. dij pron. 'id.', OHG du, dat. dir, acc. dih pron. 'id.', G du, dat dir, acc. dich pron. 'id.' ⇒ \*tuH (IE) - Hitt zik, acc. tuk < \*ti-ge, \*tu-ge; ToA tu, ToB tuwe, Skt tvam, acc. tv&m, OAv. tuuam, acc. -8{3qm < \*tuH-(H)om, \*tue-(H)om; Gr. m'.l, acc. crf. < \*tuH, \*tue; Arm. du, Alb. ti, Lat. tit, Olr. ru, OW ti, MW ti, OCS ty, Ru. ty, SCr. ti, OPru. tu, tou, toil, Lith. tU pron. 'id.' < \*tuH. The IE pronoun"
589,8268,"\*þuftōn- f. 'thwart, rowing bench'","\*þuftōn- f. 'thwart, rowing bench' - ON þofta f. 'id.', OE þoft, þofte f. 'id.', MLG ducht f. 'thwart', MDu. dochte f. 'id.', Du. doft c. 'id.', OHG dofta f. 'id.' ⇒ \*tup-t-eh₂- (GM?) - Lith. tupti (tupiu), Latv. tupt 'to squat down' < \*tup-ie-; Lith. tupJti 'to cower' < \*tup-ehr. No certain etymology; the connection with the Baltic forms is possible, but semantically uncompelling. Also cf. ON þofti, OE ge-þofta, OHG gi-dufto m. '(rowing) mate' < \*ga-puftan-."
589,8270,"\*þuka/ōn- m./f. 'fog, mist'","\*þuka/ōn- m./f. 'fog, mist' - ON þoka f. 'id.', Far. toka f. 'id.', MLG dake m. 'id.', Du. dial. dook m. 'id.' (GM). An exclusively Germanic word: the only serious extra-Germanic comparandum, Latv. tuce 'cloud', looks like a loanword from Slav. \*t9ca 'cloud, rain' (for which see \*þinhwon- 'thunder'). Within Germanic, further cf. OE puxian w.v. 'to make misty' < \*þuskōjan-, apparently derived from an unattested noun \*þuk-ska-, and OSw. thukna, thekn, Sw. tockna f., tocken n./f. 'mist' < \*þukina/ō- or \*þaukina/ō- (Hellquist 1922: 1051). The unrelated Far. tjukn f. 'darkening of the sky; thicket', brodda-tjukn f. 'heavy shower', Nw. dial. tjukkn f. 'fog' < \*þekwino- was derived from ON "
589,8272,\*þuk(k)ōn- w.v. 'to shove',"\*þuk(k)ōn- w.v. 'to shove' - ON þokka w.v. 'to move', Ice!. pok(k)a w.v. 'to move slowly/slightly; to fall back, make room for', Far. toka w.v. 'to force, press, push, advance', Nw. tok(k)a w.v. 'to move, shove', OE pocerian w.v. 'to"
590,8278,\*þuli- m. 'reciter',"\*þuli- m. 'reciter' - ON þulr m. 'sage', OE þyle m. 'orator, spokesman' (IE?) - To Hitt. tulija- (c.) 'gathering, assembly' < \*tul-io-? Related to ON pylja w.v. 'to speak, recite, murmur' < \*þuljan- and OE ge-pyll 'breeze' < \*þulja-. The etymological cluster exhibits meanings such as 'to talk', 'to rattle off but also 'to sing'. It has therefore been connected with Hitt tallija-zi 'to pray to, to evoke (a deity)' (Polome 1975: 661-2), thus pointing to a root \*t/H- possibly connected with IE oral tradition (Brink 2005: 88). The Hittite verb is usually compared to PGm. \*taljan- (for which see \*ta/a-), however, and is incompatible with the ablauting \*þau/a{n)- < \*toul-o{n)-. I therefor"
590,8280,"\*þulla- m. 'thole, peg in the side of a boat to keep the oar in place'","\*þulla- m. 'thole, peg in the side of a boat to keep the oar in place' - Ice!. þollur m. 'peg; thole', Far. tollur m. 'tholepin', Nw. toll(e) m. 'thole, tholepin', Da. to/ c. 'id.', OE þoll m. 'id.', MLG do/le, du/le f. 'id.', MDu. do/le f. 'id.', Du. do/ c. 'id.' ⇒ \*tul-nō- (EUR) - Gr. wt.oc; m. 'bulge, callosity, hunch, nail, peg'; Lith. tu/is f. 'nail on a car, plug, nail of an axle'. Also cf. ON pollr m. 'fir, tree' < \*þulia- and the related ON pp/I, Elfd. toll f. 'fir-tree' < \*þa/lo-."
590,8282,\*þuman- m. 'thumb',"\*þuman- m. 'thumb' - Ice!. þumi m. 'id.', Far. tummi m. 'inch', Nw. tomme m. 'id.', OSw. þumi m. 'thumb; inch', Sw. tumme c. 'id.', ODa. thumCE m. 'id.', Da. tomme c. 'id.', OE þuma m. 'id.', E thumb, OFri. thuma m. 'id.', MLG dum(e) m. 'id.', MDu. dume m. 'id.', Du. duim c. 'id.', OHG dumo m. 'id.', G Daumen m. 'id.' ⇒ \*tum-on- (IE?) - Skt. tumra- adj. 'strong, big' < \*tum-rō-; Lat. tumeo, -ere 'to be swollen', Lith. tumhi 'to coagulate' < \*tum-ehi-ie-; W twf 'strength' < \*tumo-. The standard etymology of this word links it with the PIE root \*teum- 'to swell', which is inspired by the alleged Benennungsmotiv of the thumb as ""the big finger"". More straightforward is the connection with"
591,8288,\*þuna- adj. 'stretched',"\*þuna- adj. 'stretched' - MDu. done, duene adj. 'tight, close', MHG don adj. 'stretched out' ⇒ \*tnh₂-(n)o- (IE). Closely related to \*þunnu- (q.v). The adjective gave rise to the stative verb OE þunian w.v. 'to stretch, swell up', OHG donen, MHG donen w.v. 'to stretch oneself < \*þunen-."
591,8290,\*þungu- adj. 'heavy',"\*þungu- adj. 'heavy' - ON þungr adj. 'id.', Far. tungur adj. 'id.', Elfd. tungg adj. 'id.' ⇒ \*tngh-u- (NEUR) - Identical to Lith. tingus adj. 'lazy' < \*tngh-u-; also cf. Lith. tingti (tingstu) 'to become slow' < \*tngh-ske-; CS ras-tՙsti 'to tear apart' < \*tngh-ie- (cf. OCS tՙgota f. 'burden' < \*tngh-ot-eh₂-); Ru. tjaga f. 'traction', SCr. teg m. 'weight, traction' < \*tngh-o/eh₂-. A Germanic-Baltic isogloss. Also cf. ON pyngja w.v. 'to weigh down, make heavy; to grow worse' < \*þungjan-."
591,8292,\*þunhjan- w.v. 'to press',"\*þunhjan- w.v. 'to press' - Far. tjggja w.v. 'to be hard on', OE ge-pywan w.v. 'to press, impel, urge', MDu. duwen, douwen w.v. 'to push, press', Du. duwen, reg. douwen w.v. 'to push', MHG diuhen, diihen s.v. 'to push, press down' ⇒ \*tunk-ie- (IE) - Gr. oanw, Ion. oaoow 'to stuff, compress, pack, load, equip' < \*tui;,ik-ie-. A very old ie-present related to \*þwinhan- (q.v.). Also cf. Ice!. pua w.v. 'to press (down) on' < \*þunhon-."
591,8294,\*þunkjan- w.v. 'to think',"\*þunkjan- w.v. 'to think' - Go. þugkjan w.v. 'to have the impression, suppose, appear', ON þykkja w.v. 'to deem, think', Far. tykja w.v. 'to seem, appear; to think, believe', Elfd. tyttja w.v. 'to think; to like', OE þyncan w:v. 'to seem, appear', E to think, OFri. thinka, thinza w.v. 'to seem, think', OS thunkian w.v. 'consider', Du. dunken w.v. 'to think, deem', OHG dunken w.v. 'to deem, think, mean', G diinken w.v. 'id.' ⇒ \*tng-ie- (IE). A zero-grade formation related to \*þankjan-. The verb could occur with a dative subject, cf. Go. 1-lJa izwis pugkeip? 'What think ye?' (Mk 14:64). This construction indicated the lack of control or agentivity as compared to \*þankjan- 'to think' (q.v.)"
591,8296,\*þunkōn- w.v. 'to make wet',"\*þunkōn- w.v. 'to make wet' - OHG dunkon w.v. 'to dip', MHG dunken, tunken w.v. 'id.', G tunken w.v. 'id.' ⇒ \*tng-neh₂- (EUR) - Gr. -rfyw 'to make wet', Lat. tingo, -ere 'to wet, imbue, dye' < \*teng-e-. An iterative to a lost strong verb \*þinkan- 'to make wet' (cf. Mikeleitis-Winter 2001: 196). Also cf. Swi. tink 'moist' < \*þinka- < \*teng-o-."
591,8298,\*þunnu- adj. 'thin',"\*þunnu- adj. 'thin' - ON þunnr adj. 'id.', Far. tunnur adj. 'id.', Elfd. tunn adj. 'id.', OE þynne adj. 'id.', E thin, MDu. dunne adj. 'id.', Du. dun adj. 'id.', OHG dunni adj. 'id.', G diinn adj. 'id.' ⇒ \*tnh₂-u- (IE) - Skt. tanu(ka)- adj. 'thin, slender, small, fine', NP tanuk adj. 'thin, flat', OCS thnok'b, Ru. t6nkij, SCr."
