pdf_page,line,headword_segment,entry_opening
573,8056,\*þanhtu- m. 'thread',"\*þanhtu- m. 'thread' - ON þáttr m. 'strand, thread; section, part; story', Far. t<ittur m. 'strand of a rope; part; song', Elfd. tqt m. 'id.', OHG tiiht m./n. 'wick', G Docht m. 'id.' ⇒ \*tonk-tu- (IE) - Wkh. tan3- / tan3d-, tanz- / tanzd'to fortify the warp (of textiles); to draw a web (of spiders)'. A tu-stem usually reconstructed as \*þehta-. Elfd. tqt m. 'id.', however, proves that the original form must have been \*þanhtu-."
573,8058,"\*þanjan- w.v. 'to stretch, extend'","\*þanjan- w.v. 'to stretch, extend' - Go. uf-þanjan w.v. 'to stretch, extend; to strive for', ON penja w.v. 'to stretch, extend', Far. tenja w.v. 'id.', OE pennan, penian w.v. 'to stretch, spread out, extend, bend (a bow)', OS thenian w.v. 'to stretch', MDu. denen w.v. 'to stretch; to torture', Du. deinen w.v. 'to wave', OHG dennan w.v. 'to stretch, extend', MHG den(n)en s./w.v. 'id.', G dehnen w.v. 'to extend' ⇒ \*ton(h₂)-eie- (IE) - Skt. -tiinayati 'to stretch' < \*ton-eie-; Gr. n-ra(vw 'id.' < \*ti-tn-ie-; Skt. tan6ti 'to stretch, extend', Gr. -ravuμm, ·ravuw 'to stretch, tense, extend, expand' < \*tn-neu-; OAv. us-tiina- adj. 'stretched out' < \*-tnh₂-nō-; Lat. tene6 'to hold, grasp' < \"
573,8060,\*þanka- m. 'thanks',"\*þanka- m. 'thanks' - Go. pagks m. 'id.', ON f:Jpkk f. 'id.', Far. tekk f. 'id.', Elfd. tokk 'id.' ( < \*þanko-), OE pane m. 'thanks, satisfaction', E thanks, OFri. thank m. 'thanks; satisfaction; intention', OS thank m. 'thanks; grace', Du. dank c. 'thanks', OHG dank m. 'thanks; mercy, gratification', G Dank m. 'thanks' ⇒ \*tong-a- (IE). An a-stem related to \*þankjan- (q.v.). Also cf. ON pakka, Far. takka, Elfd. tokka, OE pancian, OFri. thonkia, OS thankon, Du. danken, OHG dankon, G danken 'to thank' < \*þankojan-."
573,8062,\*þankjan- w.v. 'to think',"\*þankjan- w.v. 'to think' - Go. pagkjan w.v. 'to think, plan', ON pekkja w.v. 'to perceive, notice; to comprehend; to know, recognize', OE pencan w.v. 'to think', E to think, OS thenkian w.v. 'to think, consider, watch', Du. denken w.v. 'id.', OHG denkan w.v. 'id.', G denken w.v. 'id.' ⇒ \*tong-eie- (EUR) - Iden-"
574,8068,\*þansjan- w.v. 'to move back',"\*þansjan- w.v. 'to move back' - MLG deisen w.v. 'to sneak away', MDu. dei(n]sen w.v. 'to draw back, stand back', Du. deinzen w.v. 'id.' ⇒ \*tons-eie(IE) - Close to Skt. taTJ1sayati 'to shake', Lith. tqsyti 'to jerk' < \*tons-eie-. MDu. dei{n)sen can have developed out of \*þansjan-, a regular causative (intensive?) to \*þinsan- (q.v.), by diphthongization of e before n plus dental (cf. MDu. ende, einde 'end' < \*andja-), but the corresponding MLG form should then have been \*\*densen (Franck 1949: 110), which is not the case. Perhaps, the original causative \*þansjan- was remodeled into quasi-PGm. \*þaisjan- in the Ingvaeonic area after the regular change of PGm. \*þinsaninto \*þisan-. The "
574,8070,\*þanson- w.v. 'to stretch',"\*þanson- w.v. 'to stretch' - OHG danson w.v. 'to pull, stretch', MHG dansen w.v. 'id.' (DRY). The verb looks like an a-grade iterative to the strong verb \*þinsan- (q.v.), quasi-PIE \*tons-neh₂-. It was borrowed into Romance, cf. It. danzare, Fr. dancer, from where it again spread to the Gm. languages, e.g. E to dance, G tanzen, Du. dansen."
574,8072,\*þar adv. 'there',"\*þar adv. 'there' - Go. þar adv. 'id.', ON þar adv. 'id.', Far. har, poet. tar adv. 'id.', Elfd. dar adv. 'id.', OE þar, pikr adv. 'id.', E there, OFri. ther adv. 'id.', OS thar adv. 'id.', Du. daar adv. 'id.', OHG dar(a) adv. 'id.', MHG dar, da adv. 'id.', G da adv. 'id.' ⇒ \*to-r (DRY). An adverb created to the root \*to- 'that, those' with the locative suffix \*-r. Cf. \*hwar."
574,8074,"\*þarbo- f. 'need, want, lack'","\*þarbo- f. 'need, want, lack' - Go. parba f. 'want, need, necessity', ON pprf f. 'id.', OFri. therve, there f. 'need, want', OS tharf f. 'need, lack' ⇒ \*torp-eh₂- (IE). Also cf. Go. ala-parba adj. 'thoroughly destitute' < \*ala-parban- and the stative Go. ga-parban w.v. 'to abstain', ON parfa 'to be needed', Far. poet. tarva 'to need, want', OE pearjian 'to be in need', OS tharbon 'to Jack', OHG darben 'id.' < \*þarben-."
575,8080,"\*þarha(n)- m. 'seaweed, driftwood'","\*þarha(n)- m. 'seaweed, driftwood' - ON pari m. 'id.', Far. tari m. 'id.', Nw. tar(r}e m. 'seaweed; washed-up wood', MDu. dary, darich m. 'peat sod; muck', Du. derrie c. 'muck' ⇒ \*torl<-on-(?) (NEUR?). Du. derrie has been compared to Go. parihs(?) adj. 'unfulled, unprocessed' by Franck 1949: 1 12, but the connection with ON pari seems more likely in view of Du. (Zaan) derg 'floating island of reed or peat'. No received extra-Germanic etymology. I suspect the word to be related to Lith. tefSti (tersiu, tersiaii) 'to make dirty; to become muddy (of pastures); to spread out hay or grass' < \*terl<-ie-."
575,8082,"\*þarma- m. 'bowel, intestine'","\*þarma- m. 'bowel, intestine' - ON þarmr m. 'id.', OE þearm m. 'id.', OFri. therm m. 'id.', OS tharm m. 'id.', MLG darm m. 'intestine', MDu. dar(e)m m. 'id.', Du. darm c. 'id.', OHG daram, darm m. 'id.', G Darm m. 'id.' ⇒ \*torm-o(EUR) - Gr. i:þāμu; f. 'space between the anus and the genitals, perineum' < \*trm-i-. An o-stem potentially related to the aforementioned Greek word. No further etymology."
575,8084,\*þarzjan- w.v. 'to make dry',"\*þarzjan- w.v. 'to make dry' - ON þerra w.v. 'to dry, make dry; to dry, wipe', MLG derren w.v. 'to dry', MHG derren w.v. 'to wither, dry up' ⇒ \*tors-eie- (IE) - Cf. Skt. tar?ciyati 'to make thirsty' < \*tors-eie-. The causative to \*þersan-. Cf. with the same vowel grade Nw. tarre m .. OHG darra, G Darre f. 'kiln, oast' < \*þarza/ōn-."
575,8086,"\*þaula(n)- m. 'reciter, mumbler(?)'","\*þaula(n)- m. 'reciter, mumbler(?)' - Ice!. þauli m. 'speaker, orator', Nw. dial. tau! m. 'fool, half-wit' (GM). An ablauting form to \*þuli- 'reciter'. Also cf. Nw. dial. tu! and tyl m. 'fool' < \*þula/i-."
575,8088,\*þawa- m. 'custom',"\*þawa- m. 'custom' - OE peaw m. 'custom, usage', ME thew 'habit, practice, virtue', OFri. thaw m. 'custom', OS thau m. 'id.', MLG duw 'conduct', OHG dou m. 'instruction' (GM). The primary meaning of PGm. \*þawa- ( < \*tou(H)o-, \*tof<w-6-?) could have been 'to be observant', which is semantically close to e.g. Lat. tu(e)or 'to look at, watch over, safeguard' < \*tuh₂-ehi-ie- (see \*þeudja-). Within Germanic, it could further be related to OE ge-þeon w.v. 'to do, commit, perform' < \*þewōjan-. Also cf. OE peawlic 'usual', OHG daulih 'decent' < \*þawa-lfka-."
575,8090,"\*þedura- m. 'wood grouse, capercaillie'","\*þedura- m. 'wood grouse, capercaillie' - ON piourr m. 'id.', OSw. picedur m. 'id.', Elfd. tyooer m. 'id.', Da. tjur c. 'id.' ⇒ \*tetr(-uo)- (IE) - Skt tittira- m. 'partridge'; Gr. i:i-rpa4 m. 'black grouse(?)'; Lith. teterva f. 'black grouse'; Ru. teterev m. 'id.'."
576,8096,\*þegjan- s.v. 'to request',"\*þegjan- s.v. 'to request' - ON þiggja s.v. 'to obtain, accept', OE þicgan s.v. 'id.', OS thiggian w.v. 'to ask, request; to endure', OHG dicken, digen w.v. 'to beg for, request', MHG digen w.v. 'id.' ⇒ \*tek-ie- (EUR) - Olr. ad-teich 'to ask', Bret. tizaff 'to receive' < -tek-e-; Lith. tekti (tenku] 'to reach (for); to suffice; to be granted' < \*te-n-k-e-. Both in Germanic and the other IE branches, the original meaning seems to have been 'to reach out the hand' (cf. LIV2: 618-9), whence both 'to request' and 'to accept'. Also cf. \*þegna- 'retainer'."
