headword,homonym,grammatical_label,gloss,pdf_page,distribution_label,proto_or_comparison_field,first_attestations,verification_status,flags
froi,,adv.,early,196,IE,\*pr6H-i (IE),"MLG vro adv. 'early', MDu. vroech adj. 'id.', Du. vroeg adv., OHGfruo adv. 'id.', MHG vruo adv. 'id.', Gfruh adv. 'id.'",pdf-text-headword-found,
frug/kkan-,,m.,frog,196,GM,\*pruk-en- (GM),"OEfrogga m. 'id.', MEfrogge,frock,froke 'id.', Efrog",pdf-text-headword-found,suspicious-headword-characters
fruman-,,num.,"former, first",197,IE,\*prH-mH-on- (IE),"Go. fruma num. 'id.', ON frum- pref. 'first, oldest', OE forma num. 'id.', E former, OFri. forma num. 'id.', OS formo num. 'id.'",pdf-text-headword-found,
fruska-,,m.,frog,197,GM,,"ON froskr m. 'id.', OE forsc, frox m. 'id.', OHG /rose m. 'id.', G Frosch m. 'id.' (GM). A formation that in all probability continues older \*fru9-ska- with the same root element as in \*fru9/kkan- 'frog'. The derivation from \*frauda'froth' (see \*freupan-) was inspired by ON frauor 'frog', but this form is likely to have developed from \*frau9r in view of ON frauki 'id.' < \*frauk(k)an-.",pdf-text-headword-found,
frusta-,,m./n.,frost,197,DRV,\*prus-to- (DRV),"ONfrost n. 'id.', OEforst m. 'id.', Efrost, OFri.forst m. 'id.', OS frost m. 'id.', Du. vorst c. 'id.', OHG frost m. 'id.', G Frost m. 'id.'",pdf-text-headword-found,
fian-,,m.,mold,197,IE,\*puH-on- (IE),"ONfai m. 'rottenness', Far.fa9vi m. 'id.'",pdf-text-headword-found,
fugla-,,m.,bird,197,DRV,\*pluk-16- (DRV),"Go. fu9/s m. 'id.', ON /09/, fu9/ m. 'id.', Far. fu9/ur m. 'id.', Elfd. fu9el m. 'id.', OE fu90/ m. 'id.', E fowl, OFri. fu9el m. 'id.', OS fu9al m. 'id.', Du. vo9el c. 'id.', OHGfo9al,fu9al m. 'id.', G Vogel m. 'id.'",pdf-text-headword-found,
fuhon-,,f.,she-fox,197,IE,,"Go.fauho f. 'id.', ON f6a,faa f. 'id.', MLG vo f. 'id.', OHG voha f. 'id.', MHG vohe f. 'id.' (IE). The feminine to \*fuhsa- 'fox' (q.v.). Another formation with the same meaning is represented by ME Jixen(e}, vixen, E vixen (with southern v- for f), MHG viihsinne, G Fiichsin, but unlike \*fuhon-, this is a secondary derivation from \*fuhsa-.",pdf-text-headword-found,
fuhsa-,,m.,fox,197,se,,"ON fox n. 'deceit', Ice!. fox n. 'fox', OE fox m. 'id.', E fox, WFri.foks m. 'id.', EFri.foaks m. 'id.', MLG vos(se) m. 'id.', MDu. vos m., vosse f.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
fuk(k)on-,,w.v.,to blow,198,EUR?,\*pug-neh₂- (EUR?),"Icel. fokka w.v. 'to mess around, rush', MLG vucken w.v. 'to rush, scud', MDu. vocken w.v. 'to blow', MHG fochen w.v. 'to blow'",pdf-text-headword-found,
ftila-,,adj.,"filthy, foul",198,IE,\*puH-lo- (IE),"Go. fuls adj. 'foul, putrid', ON fell adj. 'foul, stinking; mean', OE fill adj. 'foul, nasty', E foul, OFri. fill adj. 'foul; vile', OS fulitha f. 'filth', MLG ftil adj. 'foul, bad', Du. vuil adj. 'dirty', OHG ftil adj. 'rotten, decayed', G faul adj. 'putrid; lazy'",pdf-text-headword-found,
fulan-,,m.,foal,198,IE,\*p/H-on(IE),"Go. fula m. 'id.', ON Joli m. 'id.', Elfd. fuoli m. 'id.', OE fola m. 'id.', E Joie, MLG vole m. 'id.', OHG folo m. 'id.', G Fohlen m. 'id.'",pdf-text-headword-found,
fuldo-,,f.,"earth, ground, field, the world",199,IE,,"ON fold f. 'id.', Far. poet.fold f. 'id.', OE folde f. 'id.', OS folda f. 'id.' ::) \*plth₂-eh₂- (IE) - Cf. Skt. p[thvf-, p[thivf- f. 'earth, Mother Earth', YAv. zqm parai9Plm, paraape ... zamo 'broad earth' < \*plth₂-u-ih₂-. The Germanic and Indo-lranian forms continue a feminine form of the adj. 'flat'. In Indo-European, it presumably occurred with the word for 'land' in a sacral context. See also \*fetpa-.",pdf-text-headword-found,
fulgen·,,w.v.,"to follow, accompany",199,GM,,"ON fylgja w.v. 'id.', Far. fy/gja w.v. 'id.', Elfd. fya w.v. 'id.', OE fylgan,folgian w.v. 'id.', E to follow, OSfolgon w.v. 'id.', Du. vo/gen w.v. 'id.', OHG fa/gen w.v. 'id.', G folgen w.v. 'id.' ::) \*plk-[eh₁)-ie- (GM). ON fylgja and OE fylg{e)an continue a formation \*fulgjan- that can be reconciled with OE fe[o)lan s.v. 'to proceed, go, reach' < \*felhan- < \*pelk-e-. Extra-Gm. *comparanda* are unreliable: Bret. heul 'to follow' probably continues \*se/gh- rather than \*pe/gh- and the connection with CS p!'bzati, Ru. polzat', SCr. piizati 'to crawl' must be abandoned in view of the accent pointing to \*plg-eh₂- rather than \*plgh-ehi-.",pdf-text-headword-found,
fulla-,1,adj.,full,199,IE,,"Go. fulls adj. 'id.', ON fullr adj. 'id.', Far. fullr adj. 'id.', Elfd. full adj. 'id.', OE full adj. 'id.', E full, OS full adj. 'id.', Du. vol adj. 'id.', OHG fol adj. 'id.', G vol/ adj. 'id.' ::) \*plhi-no- (IE) - Skt. purria-, Av. parana-, Olr. lan 'id.', Lith. pilnas, OCS p!'bn'b adj. 'filled, full' < \*plhi-no-. An adjective continuing the original past participle of the verbal root",pdf-text-headword-found,
pelhi-,,'to fill'. See also \*felu-,,199,,,\*fulu-.,pdf-text-headword-found,missing-or-unparsed-gloss; no-proto-arrow-or-distribution-detected
fulla-,2,n.,cup,199,IE,,"ON full n. 'goblet', OE full n. 'cup' ::) \*pl-n6- (IE) - Gr. ntla f. 'milk pail; drinking bowl, goblet' < \*pel-ih₂- and Gr. nelll<;, neA.t<; 'basin' < \*pel-i-s, gen. \*pe/-i-6s; OCS po/'b 'scoop' < \*pol-a-. An Indo-European word for a certain vessel. Unrelated to \*fulla- 1.",pdf-text-headword-found,
fulmo-,,f.,palm of the hand,199,IE,,"ME folm f. 'id.', OS folmos f.pl. 'both hands', OHG fol ma f. 'palm' ::) \*plh₂-m-eh₂- (IE) - Gr. mv.aμT) f. 'palm of the hand' ( = Lat. pa/ma) < \*plh₂-em-eh₂-; Olr. ltim f. 'hand' < \*plh₂-m-ehi-. An old m-stem. Within Germanic, it is possible to connect ON fa/ma w.v. 'to grope' < \*falmojan-, a verb possibly derived from a lost mo-stem \*falmaz < \*polh₂-mo-.",pdf-text-headword-found,
fundon-,,w.v.,to try to find(?),199,DRV?,,"OE fundian w.v. 'to try to find, to strive, intend', OS fundon w.v. 'to strive, proceed' ::) \*pnt-neh₂-(?) (DRV?). The iterative to \*ftnpan- (q.v.). PGm. \*fandon- can be an o-grade variant of the same iterative.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
funhsti-,,f.,fist,200,IE,\*pn/(N-ti- (IE),"OE JYst f. 'id.', E fist, MDu. vuust f. 'id.', Du. vuist c. 'id.', OHG ftlst f. 'id.', G Faust f. 'id.'",pdf-text-headword-found,
funhtu-,,adj.,"humid, moist",200,IE?,\*pnk-tu- (IE?),"OE ftlht adj. 'id.', OS ftlht adj. 'id.', MDu. vocht(e), vucht(e) adj. 'id.', Du. vochtig adj. 'id.', OHG ftlht, ftlhti adj. 'id.', G feucht adj. 'id.'",pdf-text-headword-found,
funkon-,,w.v.,to sparkle,200,GM,\*pnk-neh₂- (GM),"MDu. vonken w.v. 'to smolder; to sparkle', MHG vunken w.v. 'to shimmer, shine, sparkle', ent-vunken 'to ignite'",pdf-text-headword-found,
furdu-,,m.,ford,200,IE,\*pr-tu- (IE),"OE ford m. 'id.', OS ford m. 'id.', MDu. vort, voorde m. 'id.'",pdf-text-headword-found,
furh·,,f.,furrow,200,IE,\*pfk- (IE),"ON for f. 'id.', OE furh f. 'id.', E furrow, OFri. furch f. 'id.', MDu. vore f. 'id.', Du. voor c. 'id.', OHG furh, furuh d. 'id.', G Furche f. 'id.'",pdf-text-headword-found,
furhno·,,f.,trout,200,IE,\*pfl<-neh₂- (IE),"OE forn(e) f. 'id.', OS forhna.furhnia f. 'id.', MDu. voorne f. '?', Du. voorn c. 'roach', OHG forhana f. 'trout', MHG forhen, forhel f. 'id.'",pdf-text-headword-found,
furhta-,,adj.,fearful,201,IE,\*prk-to- (IE),"Go. faurhts adj. 'id.', OS for[a)ht adj. 'id.', OHG fora ht adj. 'id.'",pdf-text-headword-found,
furhtjan-,,w.v.,to fear,201,DRV,,"Go.faurhtjan w.v. 'id.', OEfyrhtan.fryhtan w.v. 'to frighten; tremble with fear', ME frighten w.v. 'to frighten, become frightened', OFri. fruchta w.v. 'id.', OHG furihtan w.v. 'to fear', G ftirchten w.v. 'id.' (DRV). The formation \*furhtjan- unites two different formations: 1) a simple denominative verb 'to fear' created to \*furhto-, and 2) a factitive 'to frighten' derived from \*furhta- (q.v.).",pdf-text-headword-found,
furht6·,,f.,fright,201,DRV,\*prk-t-eh₂· (DRV),"OFri. fruchta f. 'id.', OS forhta f. 'id.', OHG forhta f. 'id.', MHG vorhte, vorht f. 'id.'",pdf-text-headword-found,
furhwon-,,f.,fir,201,IE,\*pfkw-eh₂- (IE),"ON Jura f. 'id.', OE furh f. 'id.', OHG voraha, vorha f. 'id.', MHG vorhe f. 'id.', G Forhe f. 'id.'",pdf-text-headword-found,
furi,,adv.jprep.,"in front of, for",201,IE,\*prh₂·i (IE),"Go. faur adv.jprep. 'id.', ON fyr prep. 'id.', OE for, fore prep. 'id.', E for, OS for, fora prep. 'id.', Du. voor prep./adv. 'for; before', OHG furi prep./adv. 'id.', G ftir prep. 'id.'",pdf-text-headword-found,
firjan-,,w.v.,to castrate,201,NEUR,,"OE [a-)fYran w.v. 'id.', Du. vuren, vieren w.v. 'id.', OHG ar-firian w.v. 'id.' (NEUR) - Lith. pjauti (pjauju) 'to cut, slaughter', Latv. p]ailt 'to mow, harvest' < \*peuH-e- (cf. OPru. piuclan 'scythe' < \*peuH-tlo-). A factitive to an unattested adj. \*fira-, cf. OHG ur-fir m. 'eunuch' < \*JUra< \*puH-ro-.",pdf-text-headword-found,
fursa-,,m.,gush(?),201,IE,\*pfs-o- (IE),"ON fors,foss n. 'torrent; waterfall', Far. fossur m. 'id.', OSw. fors m. 'id.', Elfd. fuoss m. 'id.'",pdf-text-headword-found,
fursko-,,f.,inquiry,202,IE/DRV,\*prK-sk-eh₂- (IE/DRV),"OHG forsca f. 'id.', MHG vorsche f. 'id.'",pdf-text-headword-found,
furtu-,,m.,fart,202,IE,\*prd-u- (IE),"MDu. vort m. 'id.', OHG furz m. 'id.', G Furz m. 'id.'",pdf-text-headword-found,
futon-,,w.v.,to go,202,DRV,,Nw.fota w.v. 'to step; to go' (DRV). The iterative to \*fetan- (q.v.).,pdf-text-headword-found,
fuPi-,,f.,vagina,202,GM,\*put-i- (GM),"0 N fuo f. 'id.', Icel. fuo f. 'vagina; holes in a block of wood (for fishing rods)', Nw. fud f. 'vagina; anus, backside', MHG vut f. 'vagina'",pdf-text-headword-found,suspicious-headword-characters
gadojan-,,w.v.,to fit (together),202,DRV,\*9hodh-eh₂-ie- (DRV),"OFri. gadia w.v. 'to engage in', MDu. gaden w.v. 'to fit, please, mate', OHG be-gaton w.v. 'to gather', MHG (ge-)gaten w.v. 'id.'",pdf-text-headword-found,
gadurojan-,,w.v.,to gather,203,ORV,,"OE gredrian w.v. 'id.', OFri. gaduria w.v. 'id.', MDu. gaderen w.v. 'id.', Du. ver-gaderen 'id.' (ORV). A verb derived from an adverb \*gadur, cf. OE to gredere, OFri. gader, gadur adv. 'together'. It is possible that the derivational base consisted of the root \*gad- (see \*gadojan-) and the locative suffix \*-r as seen in \*hwar 'where' < \*kwo-r and \*par 'there' < \*to-r. For a typologically similar formation, cf. Lith. dabai' 'now' from the root \*dhobh- 'to suit' (see \*daban-) and the same locative suffix.",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
gaidwa-,,n.,lack,203,NEUR,\*ghoidh-uo- (NEUR),"Go. gaidw n. 'id.', OE giid n. 'id.'",pdf-text-headword-found,
gaisjan-,,w.v.,to terrify,203,IE,\*ghois-eie- (IE),Go. us-gaisjan\* w.v. 'id.',pdf-text-headword-found,
gaista-,,m.,"spirit, ghost",203,IE,\*ghois-d-o- (IE),"OE giist m. 'breath, spirit, soul, ghost', E ghost, OFri. giist, gest m. 'spirit, ghost, demon', OS yest m. 'soul, vitality, spirit, demon', Du. geest m. 'spirit', OHG geist m. 'id.', G Geist m. 'id.'",pdf-text-headword-found,
gait-,,f.,goat,203,WEUR,\*ghaid- (WEUR),"Go. gaits f. 'id.', ON geit f. 'id.', Far. geit f. 'id.', Elfd. djiet f. 'id.', OE giit f. 'id.', E goat, OS get f. 'id.', Du. geit c. 'id.', OHG geiz f. 'id.'",pdf-text-headword-found,
gaiza-,,m.,"spear, tip",204,WEUR,\*ghois-6- (WEUR),"ON geirr m. 'id.', Nw. geir m. 'leister, eel spear; small tip; ness, headland; small mackerel', OE gii.r m. 'id.', OFri. ger-, OS ger m. 'id.', MDu. geer m. 'id.', OHG ger m. 'id.', MHG ger m. 'id.'",pdf-text-headword-found,
galan-,,s.v.,"to shout, sing, chant",204,NEUR,\*gh6/-e- (NEUR),"ON gala s.v. 'to crow; to sing, chant', Far. gala s.v. 'to crow; to call out', Elfd. glilci s.v. 'to shout, call', OE galan s.v. 'to sing, enchant, call', MDu. galen s./w.v. 'to be noisy', OHG galan s.v. 'to sing, enchant'",pdf-text-headword-found,
gald(j)a-,,adj.,"barren, not (yet) pregnant",204,WEUR?,\*gho/-t6- (WEUR?),"ON geldr adj. 'id.' (also 'yielding no milk'), OSw. galder adj. 'id.', OE gielde adj. 'id.', MDu. gelde, gelt adj. 'id.', OHG gait adj. 'id.', MHG gait adj. 'id.', G gelt adj. 'id.'",pdf-text-headword-found,
galgan-,,m.,stake?,205,NEUR,\*gho/gh-eh₂- (NEUR),"Go. ga/ga m. 'stake, pole for crucifixion, gallows', ON galgi m. 'gallows', OE gealga m. 'id.', E gallows, OFri. galga m. 'id.', Du. galg c. 'id.', OHG galgo m. 'gallows, cross', G Ga/gen m. 'gallows; boom'",pdf-text-headword-found,
galla/on-,,m./f.,bile,205,h₃,\*gho/(h₃)-on- (IE),"ON gall n. 'id.', Far. gall n. 'id.' ( < \*gal/a-), Elfd. go/le m. 'id.', OE geal/a m. 'id.', E gall, OS gal/a f. 'id.', Du. gal c. 'id.', OHG gal/a f. 'id.', MHG gal/e f. 'id.', G Galle f. 'id.'",pdf-text-headword-found,suspicious-headword-characters
gelwa-,,,,205,or \*bh,,"\*gulu-. It is possible, however, that the original word was merely influenced by this root. Problematic is the appurtenance of Lat. fe/, which points to initial \*gwh (or \*bh): the assumption of an ad hoc change \*gh > fin dialectal Latin (cf. Mallory/Adams 1997: 217; De Vaan 2008: 209) remains problematic.",pdf-text-headword-found,missing-or-unparsed-gloss; no-proto-arrow-or-distribution-detected
galra-,,m.,swelling(?),205,Driessen 2003,\*gho/H-r- (Driessen 2003) (IE),Nw. ga/der m./n. 'swelling in the foot of horses',pdf-text-headword-found,
galtan-,,m.,(castrated) boar,205,DRV,,"ON galti, g{Jltr m. 'id.' (DRV). An n-stem created to \*galdOJa- 'infertile'. The formation must in view of the (shortened) geminate have arisen prior to Kluge's law. The original Pre-Gm. paradigm probably was \*ga/do, gen. \*galttaz < \*gho/dh-on,",pdf-text-headword-found,
gamala-,,adj.,old,206,DRV?,\*lfom-h₂el-o-? (DRV?),"ON gamall adj. 'id.', OE gamol, gomel adj. 'id.', MDu. game/ adj. 'id.', Du. gammel adj. 'rickety'",pdf-text-headword-found,
gamman-,,m.,stall(?); hut(?),206,EUR,\*ghos-m6- (EUR),"ON gammi m. 'Sarni hut; earthen hut', Elfd. gamme m. 'porch', Da. gamme c. 'animal stall; earthen hut'",pdf-text-headword-found,
ganazan-,,m.,gander,206,IE,\*ghh₂en-os-on- (IE),"OE gandra, E gander, MLG ganre m. 'id.'",pdf-text-headword-found,
ganen-,,w.v.,to open,206,IE,\*ghh₂-neh₂- (IE),"ON gana w.v. 'to gape; gaze, stare'",pdf-text-headword-found,
gangan-,,- \*gungan- s.v.,to go,206,,,"Go. gaggan s.v. 'id.', ON ganga s.v. 'id.', OE gangan, gongan s.v. 'id.', OFri. gunga s.v. 'id.', OS gangan s.v. 'id.', OHG",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
gangi-,167,"gangan s.v. 'id.', MHG gangen s.v. 'id.' ⇒ \*gh6ngh-e- (IE)",,207,iengiu,,"Lith. ieflgti (iengiu) 'to stride' < \*ghengh-ie-. The verb was originally suppletive in Germanic, cf. the Gothic preterite iddja < \*ejjo- (also OE eode < \*ejj-Od- with secondary weak ending), but in NWGm. we find a reduplicated preterite \*geanga - \*geangume, cf. ON gekk - gengum, OHG gieng, giengum. OFri. gungan is probably to be analyzed as a zero-grade form \*gungan- (cf. recently Mottausch 1996), although the u-vocalism has also been explained by internal Frisian developments (cf. Seebold 1970: 213). From the PIE perspective, however, it is likely that the Gm. strong verbs with a-vocalism evolved from the class of athematic verbs corresponding to the Hittite bi-verbs with similar o/£…",pdf-text-headword-found,missing-or-unparsed-gloss
gangi·,,adj.,passable,207,ORV,,"ON gengr adj. 'able to walk', OE genge adj. 'effective', OFri. genze adj. 'current, valid', MDu. genge adj. 'current, valid', OHG gengi adj. 'current', MHG genge adj. 'id.', G giingig adj. 'current, usual' (ORV). The gerundive to \*gangan- - \*gungan- (q.v.).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
ganhen-,,w.v.,to inspect; to take into account(?),207,GM,,"ON ga w.v. 'to heed', Ice!. ga w.v. 'to inspect', Far. g<ia w.v. 'to notice, become aware of, Elfd. gq w.v. 'to notice; to observe' (GM). The widely accepted etymological connection with OCS goveti 'to revere' (cf. Torp 1909: 121) and Lat faveo 'to be favorable' < \*gwhou-eh₁- (cf. Schrijver 1991: 441-2), implying a PGm. form \*gawen-, is contradicted by the nasal vowel of Elfd. gq (also cf. Elfd. gq-los 'indifferent' = Far. g<i(a)-leysur < \*ganha-lausa-) as noticed by Noreen 1886: 16-17. Similarly, the derived ON gceta w.v. 'to watch, tend, take care of must be reconstructed as \*ganhatjan- rather than \*gawatjan- in view of the nasal vowel of Elfd. gf;ta. It follows that the apparently ob…",pdf-text-headword-found,
ganhti·,,f.,doorway,207,ORV,,"Go. fram-gahts f. 'progress', ON g<itt f. 'rabbet of a doorpost; doorway', Far. gatt f. 'threshold; doorway', Elfd. gqtt f. 'doorpost' (ORV). A ti-stem to \*gangan- - \*gungan-. The nasality of the Proto-Germanic vowel is still attested in Elfd. gqtt. Also cf. OSw. dura-gcete n. 'doorframe' <",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
ganhtja-,,and,,207,,,"with an e-grade - MHG giht f. 'course, journey' may continue \*ginhti- < \*ghengh-ti-.",pdf-text-headword-found,missing-or-unparsed-gloss; no-proto-arrow-or-distribution-detected
ganhu·,,adj.,fast,207,GM,,"MDu. gii., gauw adj. 'fast. quick, rash', Du. gauw adv. 'soon', OHG gii.hi adj. 'fast, sudden', G jiih adj. 'sudden, precipitous' (GM).",pdf-text-headword-found,
gans-,,f.,goose,208,IE,\*ghh₂en-s- (IE),"ON gas, pl. gress f. 'id.', Far. gas, pl. gees f. 'id.', Elfd. gqs, pl. gˣser f. 'id.', OE gos f. 'id.', E goose, WFri. goes c. 'id.', EFri. Gous f. 'id.', Du. gans c. 'id.', OHG gans f. 'id.', G Gans f. 'id.'",pdf-text-headword-found,
ganta-,,adj.,"whole, entire",208,GM/DRV?,,"OHG ganz adj. 'id.', G ganz adj. 'id.' (GM/DRV?). A High German word that is assumed to have spread to Frisian, Dutch and Low German, cf. OFri. gans, MDu. gansch, Du. gans, MLG gans, ganz adj. 'entire' (hence Da., Nw. ganske, Sw. ganska adv. 'quite'). Etymology unclear. Not to OLith. gandiiaus comp. 'rather, better', Lith. ne-gandas adj. 'dissatisfied' as proposed by Heidermanns 1993: 232: these nominal formations were coined to gand&i 'to be satisifed', a late derivation from gana 'enough'. Not related either to Gr. xavl>ov 'with opened mouth' (pace Schmidt 1913/14). There is a factitive OHG genzen w.v. 'to safeguard', G er-gii.nzen 'to add, complement' < \*gantjan-, and in view of the mean…",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
ganuta(n)-,,m.,gander,209,IE,,"OE ganot m. 'id.', MDu. gent m. 'id.', Du. jan-van-gent 'gannet', OHG ganzo, ganazzo m. 'gander', MHG ganze m. 'id.' (IE). A formation derived from the root of \*gans- 'goose' (q.v.) < PIE ghh₂en-sby adding the animal suffix \*-uta- (for which cf. \*heruta- 'deer') or the variant \*-ita- as in MDu. gent. In addition, G Rhnl., Lorr. Gunz m. 'gander' points to a variant \*gunuta- with zero grade of the root It may preserve the oblique stem of an originally ablauting paradigm \*gans, gen. \*gunzaz < \*ghh₂en-s, \*ghh₂n-s-6s.",pdf-text-headword-found,
gapp/bon-,,w.v.,to joke,209,GM,,"ON gabba w.v. 'to mock, make game of one', OE gabbian w.v. 'to mock; to chat', OFri. gabbia w.v. 'to denounce, accuse, prosecute', MLG gabben, gabberen w.v. 'to joke, monkey about', MDu. gabben w.v. 'to joke', Du.ginne-gappen 'id.' (GM). An iterative formation 3sg. \*gappopi-, 3pl. \*gabunanpi < \*ghHbh-neh₂-, no doubt related to \*gapon- 'to gape', cf. ON gapa, OE gapian, Du. gapen, (M)HG gaff en, cf. for the shift of meaning: Nw. dial. gapa w.v. 'to gape; gaze; insult'. Lith. gabli6ti and Pol. gabac 'to vex' were borrowed from Low German.",pdf-text-headword-found,suspicious-headword-characters
garda-,,m.,courtyard,209,IE,\*ghordh-o- (IE),"Go. gards m. 'house, household enclosure, courtyard', ON garor m. 'fence, wall; yard; courtyard, court', Far. garour m. 'fence; enclosure; farm; ring; gust of wind creating ripples in the water', OE geard m. 'id.', OS gard m. 'field, ground, house', OHG gart m. 'enclosure'",pdf-text-headword-found,
garno-,,f.,intestines,209,EUR,\*gh6r-n-eh₂- (EUR),ON g9rn f. 'id.',pdf-text-headword-found,
garp/bOn-,,/ \*gurp/bOn- w.v.,to gobble; to belch,209,IE,\*ghorbh-neh₂- (IE),"Far. gorpa w.v. 'to cough violently; to vomit', Nw. garpa, garva, gurpa w.v. 'to talk loudly; belch; gormandize'",pdf-text-headword-found,suspicious-headword-characters
garwa-,,adj.,"ready, finished",210,IE,,"ON gprr adj. 'id.', OE gearo adj. 'id.', OS garu adj. 'id.', Du. gaar adj. 'id.', OHG garo adj. 'id.', G gar adj. 'id.' (IE). Probably a prefixed variant of \*arwa-, i.e. \*ga-arwa-, for which see \*garwjan-.",pdf-text-headword-found,
garwjan-,,w.v.,"to prepare, make ready",210,DRV,,"ON g¢r(v)a, gera w.v. 'to prepare; do', Far. gera w.v. 'to do', Elfd. djiira w.v. 'id.', OE gierwan w.v. 'to prepare, put on, clothe, adorn', E to gear, OS garwian, gerwian w.v. 'to provide, prepare, dress', OHG garawen w.v. 'to prepare, equip, decorate', G gerben w.v. 'to tan' (DRV). A factitive verb derived from \*garwa- 'ready, quick' (q.v.). For a variant without the prefix \*ga-, cf. G Wais. arwen 'to toil' (Schott 1842: 266) < \*arwojan-? Also cf. OS gi-garwi, gi-gerwi n. 'clothing, official dress' < \*garwja-.",pdf-text-headword-found,
gasti-,,m.,guest,210,EUR/WEUR?,\*ghost-i- (EUR/WEUR?),"Go. gasts m. 'id.', ON gestr m. 'id.', Far. gestur m. 'id.', Elfd. djiist m. 'id.', OE giest m. 'id.', OFri. jest m. 'id.', OS gast m. 'id.', Du. gast c. 'id.', OHG gast m. 'id.', G Gast m. 'id.'",pdf-text-headword-found,
gata-,,n.,hole,210,IE,\*ghod-o- (IE),"ON gat n. 'id.', OE geat n. 'gate', E gate, OFri. jet n. 'hole', OS gat n. 'id.', Du. gat n. 'id.'",pdf-text-headword-found,
gatwon-,,f.,"road, alley",210,IE,\*9hod-ueh₂- (IE).,"Go. gatwo f. 'street, main road', ON gata f. 'path, way, road', MLG gate f. 'alley, street', OHG gazza f. 'id.', G Gasse f. 'id.'",pdf-text-headword-found,
gapma-,,m.,"cabin, room",211,ORV?,,"MDu. gadem m./n. 'id.', OHG gadum, gadem n. 'id.', MHG9adem, 9aden n. 'cabin, barn' (ORV?). Of unknown origin. It is possible that the formation must be analyzed as \*ga-pmo- < \*ghH-tmo- (EWAhd: IV, 6-7), but the proposed link with \*ghehr 'to go' (see \*gen-) is tenuous. It seems more attractive to assume that the WGm. form \*gapma- developed from \*gadma- by Bahder's law, i.e. the devoicing of voiced fricatives before resonants. If that is the case, the link with \*gadojan- 'to suit' (Torp 1909: 123) can theoretically be maintained in view of the parallel derivation of G Ge-mach, Du. ge-mak n. 'bower, chamber' from \*makojan- 'to match' (see \*maka-).",pdf-text-headword-found,no-proto-arrow-or-distribution-detected
gauja-,,adj.,"district, region",211,EUR?,,"Go. gawi n. 'id.', OE -ge n. 'id.', OFri. gii., ge n. 'village, parish', MLG go n. 'county', MDu. gou(w), gooy n. 'id.', MHG gou, gen. gouwes n. 'id.', G Gau n. 'id.' (EUR?). Etymology uncertain. The early 19th century comparison with Arm. gawat 'district' (cf. Seebold 196 7: 128ff.) is doubtful in view of Oss. qa?w / ga?w 'village'. The link with Gr. o'(TJ f. 'village' < \*Hou-ieh₂- can theoretically be maintained by postulating a prefixed formation \*ga-auja- < \*Hou-io-, but nevertheless remains uncertain (Beekes 2010: 1055). Lehmann 1986: 153 assumes a link with \*aujo- 'wetland' in view of the frequent combination of the word with river names in toponyms.",pdf-text-headword-found,
gaujan-,,w.v.,to throw; to spawn,211,IE?,\*gh6u-eie- (IE?),"MDu. goyen w.v. 'id.', Du. gooien w.v. 'to throw'",pdf-text-headword-found,
gauka-,,m.,cuckoo,211,GM,,"ON gaukr m. 'id.', OE geac m. 'id.', MDu. gooc m. 'cuckoo; fool', OHG gouh m. 'id.', MHG gouch m. 'id.' (GM) - Close to Lith. geguze f. 'cuckoo' < \*9he-9hugh-ieh₂-. An old onomatopoetic word. Also cf. Cimb. kucko m. 'id.'.",pdf-text-headword-found,
gauma-,,m.,"heed, attention",211,IE,\*ghough-mo- (IE),"ON gaumr m. 'id.', Far. geymur, geymi m. 'id.', MDu. goom m. 'id.'",pdf-text-headword-found,
gaupn6-,,f.,hollow of the hand,212,NEUR?,,"ON gaupn f. 'both hands held together', OHG gaufana f. 'hollow of the hand', MHG goufe f. 'id.' (NEUR?). In view of e.g. OE geap adj. 'crooked, bent, curved' < \*gaupa-, the word must have been derived from the strong verb underlying OE geopan 'to take up, swallow'. It follows that any direct comparison with Lith. ziupsnis 'hollow of the hand' (thus Pokorny IEW: 449) is erroneous.",pdf-text-headword-found,
gaupon-,,f.,lynx,212,GM,,"ON gaupa f. 'id.', Far. geypa f. 'id.', Nw. gaupe f. 'id.' (GM). An exclusively Nordic word with no certain etymology. It seems attractive to me, however, to connect the word to Swi. Rhntl. g6ppa 'to play (of cats)' < \*gaubb-. Unrelated to \*geupan- 'to be hollow' (q.v.).",pdf-text-headword-found,
gaura-,,adj.,sad,212,IE,\*ghour-o- (IE),"Go. gaurs adj. 'grieved, pained, sad', OHG g6rag adj. 'poor, little, meager' ( < \*gauraga-)",pdf-text-headword-found,
gazda-,,m.,prickle,212,WEUR,\*ghazdh·o- (WEUR),"Go. gazds m. 'sting, goad', ON gaddr m. 'goad, spike'. Ice!. gaddr m. 'goad, spike', OS gard m. 'rod', OHG gart m. 'prickle', MHG gart m. 'id.'",pdf-text-headword-found,
