entry_headword_and_label	entry_text
*aftanþaz ~ *ēbanđaz sb.m.	ON aptann, eptann ‘evening’, OE æfen id., OFris ēvend, iound id., OS āband id., OHG āband id. Derived from *aftanē (Johanisson MASO V 50–75) with taboo transformations. Brugmann IF V 376 (to IE *epi ~ *opi); Wiedemann BB XXVIII 73 (same as Brugmann); Holthausen AEEW 9; Pokorny I 324; Onions 331; Vries ANEW 11; Lloyd-Springer I 9–13; Beekes KZ CIX 231–232 (non-Indo- European); Kluge-Seebold 3–4.
*aft(e)raz adj.	Goth aftaro ‘in back of, from behind’ (with analogical -o), ON eptir ‘after’, OE æfter id., OFris efter id., OS aftar id., OHG after id. Modification of a comparative degree of *aba influenced by *afta. Close to Skt apataram ‘farther off’, OPers apataram ‘away from, far away’, Gk ἀπωτέρω ‘farther’ (Brugmann Grundriß II/1 324–326). Torp- Falk 15; Feist 11–12; Schulze KZ XL 414; Pokorny I 53; Schmidt Studien 262 (to IE *opi); Mayrhofer I 37; Vries ANEW 11; Onions 18; Peeters SL XXIX, 59–60; Lehmann GED 8; Kluge- Seebold 18; Boutkan OFED s.v.
*aftē adv.	Goth afta ‘behind’, ON eft ‘after’ (with e- from eftir), OE æft ‘behind, again’, OFris eft ‘later, afterwards’, OS eft, eht ‘after’. Derived from *aba (Schmidt Studien 88). Holthausen AEEW 88; Feist 11; Pokorny I 53–54 (to Gk ὄπιθεν ‘behind’). Streitberg Bibel I 484 (Goth afta as an erroneous reading of aftra); Lehmann GED 7–8; Boutkan OFED s.v.
*aftrē adv.	Goth aftra ‘back, again’, ON aptr id. See *aft(e)raz. Torp-Falk 15; Feist 12; Pokorny I 53; Schmidt Studien 262 (to IE *opi); Vries ANEW 11; Lehmann GED 8.
*aftumōn adj.	Goth aftuma ‘aftermost, hindmost’. Superlative degree of *aba. Cf. *aftumistaz. Feist 12; Pokorny I 53; Lehmann GED 8; Bammesberger Nom. 234.
*aftumistaz adj.	Goth aftumists ‘endmost, final’, OE æftemest ‘last’. Secondary superlative based on *aftumōn. Holthausen AEEW 9; Feist 12; Pokorny I 53; Lehmann GED 8; Bammesberger Nom. 234.
*aza-laikīn ~ *aza-laikan sb.f./n.	Goth ag-laitei ‘licentiousness, debauchery’ (irregular -t- < *-k-), OE az-lác ‘misery, grief, trouble’. Compound of *aza (see *azanan) and *laikan (Mezger Word II 66–71). Torp-Falk 9; Holthausen AEEW 3; Aufderhaar Lehnw. 28–31 (OHG agaleizi ‘diligence, zeal’ < Goth); Feist 14 (to *azluz); Scardigli Goten 227–228 (follows Aufderhaar); Lehmann GED 10.
*azanan str.vb.	Goth agan ‘to be afraid of’ part. un-agands ‘fearless’. Related to Gk ἄχομαι ‘to be sad, to mourn’, OIr ad- ágathar ‘to fear’. Torp-Falk 9; Feist 13, 380–381 (on Goth og ‘to be afraid of’); Pokorny I 7; Vries ANEW 3; Frisk I 202–203; Seebold 362; Peeters KZ XC 9–10; Lehmann GED 9.
*azanō ~ *axanō sb.f.	Goth ahana ‘chaff’, ON ǫgn id. (pl. agnir < fem. *azaniz), OE ezenu ‘little round heap’ (< *azinō; pl. from fem. *azanōn), OS agana ‘chaff’, OHG agana id. Derived from *azaz. Derivationally close to Skt aśáni- ‘thunderbolt, tip of a missile’, Gk ἄκαινα ‘spike, prick’, ἄκανος ‘pine-thistle’, Lat agna ‘ear (of grain)’ < *a˚nā, Lith ašnīs ‘edge, blade’, Latv asns ‘new shoot’. Aufrecht KZ I 353 (to Lat acus ‘needle, pin’); Zupitza Gutt. 129; Torp-Falk 7; Holthausen AEEW 89; Walde-Hofmann I 22–23; Feist 16; Mayrhofer I 59; Pokorny I 19–20; Chemodanov SGGJa I 63; Fraenkel 18; Frisk I 49, 62; Vries ANEW 685; Zalizniak II 194; Onions 66; Lehmann GED 11.
*azaz sb.m.	Swed ag ‘swamp grass’, MLG ag ‘perch’. For the etymology see *azanō ~ *axanō. Pokorny I 18.
