entry_headword_and_label	entry_text
*brenzōn sb.f.	ON bringa ‘breast, chest’, OE brinz-ádl ‘epilepsy’. Derived from *brenzanan. Torp-Falk 279 (to Icel bringr ‘hill’, and further to Lith brīnkti ‘to soak’).
*brenkaz sb.m.	ON fem. brekka ‘slope’, ME neut. brinke ‘bank, shore’, MLG brink ‘edge of a field, hill’. Close to Toch B prenke ‘island’ (Van Windekens I 387). Zupitza Gutt. 197–198 (from IE *mrengand further to *markan); Torp-Falk 277 (to *brekanan); Pokorny I 167; Vries ANEW 55; Onions 118; Lerchner 50–51; Kluge-Seebold 136 (to *barmaz II).
*brennanan str.vb.	Goth brinnan ‘to burn (intr.)’, ON brinna, brenna id., OE beornan id., OFris burna id., OS brinnan id., OHG brinnan id. Of unknown origin. It is not clear whether ON brimi ‘fire’, ME brim ‘embers’ belong here. Kuhn KZ I 201; Bezzenberger BB XII 77 (to Lat furnus ‘stove’); Strachan BB XX 12 (to MIr doe-prinn ‘affluit’); Abrahamson NTU VIII 15–21; Pedersen Kelt. Gr. II 477–478; Persson Beiträge 784 (from *bhren-⁄-ō); Torp-Falk 263; Holthausen AEEW 24; Feist 106; Jóhannesson IEW 619–621; Pokorny I 144–145 (to IE *bhreu- ‘to move violently’); Vries ANEW 56–57; Onions 128; Seebold 137–138 (to * g ⁄her- ‘to burn’); Lehmann GED 80; Kluge- Seebold 134.
*brennōn sb.f.	Goth brinno ‘fever’, OHG brinna ‘burning, pain’. Derived from *brennanan. Feist 106; Seebold 137.
*brestanan str.vb.	ON bresta ‘to burst’, OE berstan id., OFris bersta id., OS brestan id., OHG brestan id. Related to OIr brissim ‘to break’. Torp-Falk 280; Holthausen AEEW 21; Jóhannesson IEW 640–641; Pokorny I 169 (to MIr brosc ‘noise’); Vries ANEW 56; Onions 129; Seebold 139; Kluge-Seebold 100 (to
*brekanan). *brestuz sb.m.	ON brestr ‘outburst, crash’, OE berst ‘loss’, OHG bresto ‘destruction, damage’. Derived from *brestanan. Torp-Falk 280; Holthausen AEEW 21; Vries ANEW 56.
*breuskan sb.n.	ON brjósk ‘gristle’, MLG brūsche ‘bump’. Probably related to *brustz. Torp-Falk 281–282; Pokorny I 171.
*breusta-berzō sb.f.	ON brjóst-bjǫrg ‘breastplate’, OE bréost-beorz id. (masc.). Compound of *breustan and *berzō. Carr Nom. comp. 80 (parallel formations).
*breustan sb.n.	ON brjóst ‘breast’, OE bréost id. (also fem. and masc.), OFris briast id., OS pl. briost id. An ablaut variant of *brustz. Structurally close to Slav *br’ustъ ‘calf (anat.)’, *br’ustъvь id. (Trubachev ESSJa III 34–35). Grimm- Grimm II 443 (influenced by *breutanan); Kluge Btrg. Gesch. VIII 510; Torp-Falk 283; Holthausen AEEW 34; Pokorny I 170–171; Chemodanov SGGJa I 61; Vries ANEW 57–58; Zalizniak II 206; Onions 116; Lehmann GED 82; Bammesberger Nom. 200; Kluge-Seebold 140.
*breutanan str.vb.	ON brjóta ‘to break’, OE breótan ‘to bruise, to break’, MHG briezen ‘to bud’. Of unclear origin. Torp-Falk 281–282 (to Lith briáutis ‘to penetrate’); Holthausen AEEW 34; Wood MP V 270–271 (to IE *bhreu- ‘to cut off’); Persson UUÅ 1891 125 (to *barjanan); Trier Holz 81; Jóhannesson IEW 635–636; Pokorny I 169; Vries ANEW 58; Stang NTS XX 239–242, LS 16; Seebold 141–142; Lehmann GED 81; Köbler 715.
*brewwanan str.vb.	ON part. brugginn ‘to brew (beer)’, OE breówan id., OFris past part. browen id., OFris brouwa id., OS part. gebreuuan id., MLG brouwen id., MHG briuwen, brūwen id. Related to Lith briáuti ‘to push’, Slav *brujati ‘to buzz, to flow’. See *bruþan. Torp-Falk 281; Holthausen AEEW 34; Jóhannesson IEW 619–621; Pokorny I 145 (to *brennanan); Vries ANEW 60; Onions 117; Seebold 143–144; Lindeman Verschärfung 17.6; Kluge-Seebold 132.
*brēđanan str.vb.	OSwed part. brādhin ‘melted’, OE brædan ‘to roast, to broil’, OFris brēda id., MLG braden id., OHG brātan id. Can be connected with *brējanan. Torp-Falk 263–264; Holthausen AEEW 32 (to *brēđaz); Feist 104–105; Jóhannesson IEW 613–614; Pokorny I 132–133; Vries ANEW 62; Seebold 128–129; Lehmann GED 79; Kluge- Seebold 131 (to IE * g ⁄her- ‘to burn’).
*brēđaz adj.	ON bráär ‘hasty, sudden’, OE sbst. bræä ‘odor, scent, breath’. Derived from *brējanan. Perhaps, further related to Lat fretum, fretus ‘raging, swelling, heat, violence’. Torp-Falk 263; Holthausen AEEW 32; Walde-Hofmann I 546–547; Pokorny I 132– 133 (to IE *bher- ‘to boil up’); Vries ANEW 52; Onions 116.
*brēđjanan wk.vb.	ON bræäa ‘to melt’, OE brædan ‘to roast’. Derived from *brēđanan. Torp-Falk 263; Holthausen AEEW 32; Seebold 129.
*brēđō(n) sb.f./m.	ON bráä ‘raw meat’, OE bræde ‘roasted meat’, OS brādo ‘ham’, OHG brāto ‘meat, roasted meat’. Related to *brēđanan. Torp-Falk 263; Holthausen AEEW 32; Vries ANEW 52; Kluge-Seebold 131.
*brēxwō ~ *braxwan sb.f./n.	Goth braƕ ‘twinkling (of an eye)’ (only in the context of in braƕa augins §n =ιπαι ὀφθαλμοῦ), ON brá ‘eyelid’, OFris āg-brē id., OS slegi-brāwa, brāha ‘eyelid, brow’, OHG brāwa ‘eyelid, brow’. Cf. also OE masc. bræw ‘eyelid’ < *brēzwiz ~ *brēxwiz. Derived from *brexanan ~ *brexōjanan. Kuhn KZ I 134 (to IE *bhreu- ‘brow’); Fick KZ XX (1872) 178; Spitzer I 350, 463 (follows Kuhn); Johansson KZ XXX 445–448 (to Lith mérkti ‘to motion’); Noreen SVSU V/3 7; Torp-Falk 278–279; Holthausen AEEW 32; Feist 103–104; Specht 83, 162 (to Lat frōns ‘forehead’); Pokorny I 142; Vries ANEW 51–52 (to *brezđanan); Zalizniak II 192; Onions 112; Lehmann GED 78–79 (to IE *bhrek- ‘to gleam’); Kluge-Seebold 131– 132; Adams TB 418–419 (to Toch B preke ‘time, occasion’).
*brējanan wk.vb.	Crim. Goth breen ‘to roast’, MDu bræyen id., MHG bræjen ‘to smell’. A distant connection with Skt bhuráti ‘to move’, Gk porf,rv ‘to heave, to rise’ is possible. Fick I 696 (to Lat fretum, in its metaphoric meaning: fretus ipse anni permiscet frigus et aestum, Lucr. 6, 364); Grienberger Zd Ph XXX 133; Bremer PBB XI 279; Holthausen PBB LXVI 268; Feist 104–105; Pokorny I 132–133; Lehmann GED 79 (to IE *bher- ‘to boil up’).
*brima-laiđō sb.f.	ON brim-leiä ‘sea’, OE brim-lád ‘sea-way’. Compound of *briman and *laiđō. Carr Nom. comp. 54.
*briman sb.n.	Burg *brim ‘flood’, ON brim ‘surf’, ME brim ‘surf, sea’. Related to Gk φριμάω ‘to snort and leap (of animals)’ (Froehde BB XVII 310). Charpentier IF XXIX 376 (to Skt bhrámati ‘to move around’); Pokorny I 133 (to *brēđaz); Vries ANEW 56–57; Frisk II 1043; Köbler 709.
*brōkz sb.f.	ON brók ‘tartan cloth, breeches’, OE bróc ‘breeches’, OFris brōk id., MLG brōk id., OHG līn-bruoh ‘stocking’. The relations with Gaulish brāca ‘breeches’, MIr bróc id., OPrus broakay id. are not clear. The latter is probably from Gmc. Much ZDADL XLII 170 (to *brekanan); Stokes IF II 168 (to Lat frāgrō ‘to emit a smell, to smell’); Zimmer KZ XXX 87–88 (MIr bróc ‘trousers’ < Gmc); Jaberg Wu S IX 148–151 (from Celtic); Torp-Falk 280; Holthausen AEEW 35; Jacobsohn ZDADL LXVI 244–246 (same as Jaberg); Pokorny I 165; Vries ANEW 58; Zalizniak I 157; Onions 116; Birkhan Gu K 402; Toporov PJa I 253–254; Bammesberger Nom. 198; Griepentrog Wurzelnomina 62–90; Kluge- Seebold 138.
*brōþēr sb.m.	Goth broþar ‘brother’, ON bróäir id., OE bróäor id., OFris brōther id., OS brōthar id., OHG bruodar id. Continues IE *bhrāter- id.: Toch A pracar, B procer, Skt bhrātar-, Av brātar-, Gk Ion φρήτηρ: ἀδελφος (Hes.), Arm e∑bayr, Lat frāter, OIr bráth(a)ir, OPrus brāti, Slav *bratrъ. Kieckers HG 95; Bartholomae 971–972; Torp-Falk 280– 281; Holthausen AEEW 36; Walde- Hofmann I 541–542; Feist 106–107; Mayrhofer II 530–531; Pokorny I 163–164; Zalizniak I 157; Vries ANEW 58; Frisk II 1039–1040; Onions 121; Benveniste IEL 172; Szemerényi Kinship 25–28; Trubachev ESSJa II 238; Lehmann GED 81; Hamp KZ CIII 102–103; Bammesberger Nom. 208; Kluge- Seebold 138–139 Adams TB 421–422; Burlak IFTJa 250.
*brōþur-banōn sb.m.	ON bróäur-bani ‘fratricide’, OE bróäor-bana id. Compound of *brōþēr and *banōn. Carr Nom. comp. 54.
*bruzjō(n) sb.f.	ON bryggja ‘landing-stage, pier’, OE brycz ‘bridge’, OFris bregge, brigge id., OS bruggia id., OHG brugga id. A guttural derivative connected with Gaul brīva ‘bridge’ < *bhrē⁄ā, Slav *brьvь id. Cf. also ON brú ‘bridge’ < *brōwō. Kuhn KZ I 134 (to Skt bhrū- ‘brow, eyebrow’, Gk ὀφρύς id.); Meringer Wu S I 189; Torp-Falk 281; Lane Language IX 253–254; Holthausen AEEW 37; Pokorny I 173; Vries ANEW 59, 61–62; Zalizniak II 179; Seebold IF LXXXVII 189–191; Trubachev ESSJa III 71–72; Kluge-Seebold 138.
*bruznō sb.f.	Norw dial. brogn, brogne ‘twig’, OE brozn(e) id. Closely related to W brwyn-en ‘bulrush’, OCorn brunnen ‘juncus, scirpus’, Bret broenn-enn < *bhrugh-no-. Holthausen AEEW 36; Pokorny I 174.
*brukōn sb.m.	Goth ga-bruka ‘broken piece, crumb’, OE ze-broc ‘broken piece, fragment’ (neut.), OHG brocko ‘a kind of biscuit’. Comparison with *brekanan (Curtius Gr. Et. 542; Güntert Ablaut 54, 79–86) is impeded by the vocalism of *brukōn (but cf. *brunjaz ~ *brunōn). Torp-Falk 277; Hirt Idg. Gr. II 82; Holthausen AEEW 36; Feist 176; Walde-Hofmann I 541; Pokorny I 165; Lehmann GED 134.
*bruman sb.n.	ON brum ‘bud’, OHG brom id. Probably from *bruzman, related to *bruznō. Bugge BB III 99 (to Lat frōns ‘foliage, branch, bow’); Lidén Studien 96 (same as Bugge); Torp-Falk 105 (follow Bugge); Pokorny I 142; Vries ANEW 60 (to OE bróm ‘shrub from which besoms are made, broom’).
*brunaþōn sb.m.	Swed brànad ‘conflagration’, OE brúnéäa ‘a kind of disease’, OHG bronado ‘scab, rash’. Derived from *brunjaz ~ *brunōn. Torp-Falk 263.
*brunjaz ~ *brunōn sb.m.	ON bruni ‘burned lava-field’, OE bryne ‘burning, flame, fire’. Related to *brennanan. Torp-Falk 263; Holthausen AEEW 37; Vries ANEW 61.
*brunjōn sb.f.	Goth brunjo ‘armor, breastplate’, ON brynja ‘coat of mail’, OE byrne ‘corslet, coat of mail’, OS brunnia id., OHG brunna, brunnī id. Borrowed from Celtic, cf. OIr bruinne ‘breast’, OW bronn id., Bret bronn id. (Stokes Urkelt. 184). Grienberger Got. 53 (to *brūwō); Wiedemann BB XXVII 235 (to Alb mbrej ‘to harness’, brinjë ‘rib’); Wood MLN XIII 82 (to *bher- ‘to carry’); Petersson IF XXIII 390–392 (to Lat frōns ‘forehead’); Torp-Falk 282; Holthausen AEEW 41; Feist 107–108; Szadrowsky GRM XXXI 273; Pokorny I 170; Vendryes B-104–105; Vries ANEW 62; Zalizniak I 155; Lehmann GED 81–82; Kluge- Seebold 139 (to *brustz).
*brunnōn sb.m.	Goth brunna ‘fountain, source’, ON brunnr, bruär ‘spring, well’ (from *brunnaz), OE burna ‘stream’, OFris burna ‘spring, well’, OS brunno, burno id., OHG brunno id. Based on an r/l-stem reflected in Arm a∑biwr ‘fount’, Gk φρέ`ρ ‘well, reservoir’. Johansson BB XVIII 37; Stokes Urkelt. 172 (to MIr bruinnid ‘to make spout’); Osten-Sacken IF XXIII 379 (to Slav *brujati ‘to stream’); Walde KZ XXXIV 517; Torp-Falk 264; Holthausen AEEW 39; Feist 108; Pokorny I 144; Vries ANEW 61; Zalizniak II 178; Frisk II 1040–1041; Onions 128; Lehmann GED 82; Kluge-Seebold 139–140.
*brunstiz sb.f.	Goth ala-brunsts ‘burnt offering’, OHG brunst ‘fire, burning, inflammation’. Derived from *brennanan. Torp-Falk 263; Feist 33–34; Seebold 138; Lehmann GED 24–25; Kluge- Seebold 140.
*bruskaz sb.m.	Norw brusk ‘bush’, LG brüsch ‘hair-lock’. Close to Lith pl. br~zgai ‘scrub, copse, bush’, brūzgas ‘rod, twig’. Fick III 282; Torp-Falk 282; Pokorny I 172; Fraenkel 61.
*brustz sb.f.	Goth brusts ‘breast’, OFris brust id., MLG borst id., OHG brust id. (also an i-stem). Identical with Slav *brъstъ, *brъstь ‘bud’. Grimm DW II 443 (to *breutanan); Zupitza Gutt. 129; Bugge PBB XIII 320–322 (to Slav pl. *pьrsi ‘breast’); Grienberger Got. 53–54 (to *brūwō); Uhlenbeck PBB XXX 271; Johansson IF XIX 117–118 (to Slav *bьrdo ‘hill, elevation’); Petersson IF XXIII 391 (to IE *bhreus- ‘to swell’); Torp-Falk 283; Feist 108–109; Pokorny I 170–171 (to OIr brú ‘belly’); Chemodanov SGGJa I 61; Vries ANEW 57; Zalizniak II 206; Trubachev ESSJa III 57–58; Lehmann GED 82; Bammesberger Nom. 200; Griepentrog Wurzelnomina 463–471; Kluge-Seebold 139–140 (to Slav *grǫdь ‘breast’).
*brutan sb.n.	ON brot ‘broken piece, fragment’, OE ze-brot ‘fragment’. Derived from *breutanan. Holthausen AEEW 36; Vries ANEW 59; Seebold 141; Bammesberger Nom. 56.
*brutjōjanan wk.vb.	ON brytja ‘to chop’, OE bryttian ‘to divide into fragments’. Related to *brutjōn. Holthausen AEEW 38; Pokorny I 169; Vries ANEW 62.
*brutjōn sb.m.	ON bryti ‘steward, bailiff’, OE brytta ‘bestower, dispenser, distributor’. Derived from *breutanan. Torp- Falk 282; Holthausen AEEW 37; Pokorny I 169; Vries ANEW 62; Seebold 141; Bammesberger Nom. 182.
*bruþan sb.n.	ON broä ‘broth’, OE broä id., OHG brod id. Continues IE *bhrútoidentical with OIr bruth ‘heat’, Thrac βρῦτος ‘barley beer’, βροῦτος: τό §k κριθῶν πόμα, Hes. (Tomaschek Thr. II/1 7) further belonging to IE *bhreu- ‘to move strongly’, see *brewwanan. Torp- Falk 281; Holthausen AEEW 36; Detschew Thr. 93; Pokorny I 145; Georgiev Issledov. 119; Vries ANEW 58; Zalizniak I 139; Onions 121; Bammesberger Nom. 79.
*bruzđaz sb.m.	ON broddr ‘spike, shaft’, OE brord ‘prick, sharp point’, OHG brort ‘edge, stem’. Continues *bhruzdhos < *bhrus-dh-. Related to Lith bruzdūklis ‘bridle’, Slav *brъzda id. Pedersen IF V 73; Meillet Etudes I 156; Torp-Falk 266; Trautmann BSW 39; Holthausen AEEW 36; Pokorny I 110; Fraenkel I 60; Vries ANEW 58; Zalizniak I 129; Onions 112; Trubachev ESSJa III 62.
*bruzđjanan wk.vb.	ON brydda ‘to prick, to point’, OE bryrdan ‘to prick, to goad’. Derived from *bruzđaz. Holthausen AEEW 37; Vries ANEW 61.
*brūđi-zumōn sb.m.	ON brúä-gumi ‘bridegroom’, OE brÿd-guma id., OFris breid-goma id., OS brūdi-gomo id., OHG brūti-gomo id. Compound of *brūđiz and *zumōn. Torp-Falk 282; Schmidt ZDADL LI 28–287; Carr Nom. comp. 46; Peeters KZ XC 8–9; Kluge-Seebold 132–133.
*brūđi-xlaupan sb.n.	ON brúä-laup ‘bride’s journey’, OFris brō-lop id. Cf. also OS brūd-loht, MHG brūt-louft. Compound of *brūđiz and *xlaupan. Schröder ZDADL LXI 17–34 (reconstructs the original meaning as ‘bride’s dance’); Krogmann Wu S XVI 80–90; Torp-Falk 282; Carr Nom. comp. 46; Vries ANEW 59; Kluge-Seebold 133.
*brūđiz sb.f.	Goth bruþs ‘bride, young wife’ (< *brūþiz), ON brúär ‘bride’, OE brÿd ‘bride, wife’, OFris breid ‘newly married’, OS brūd ‘bride, married woman’, OHG brūt ‘newly married woman, young woman, daughter-in-law’. Of unknown origin. Uhlenbeck PBB XXII 188 (< *mrūti- ‘promised, engaged’, to Lith martī ‘bride, daughter-in-law’, Skt brávīti ‘to speak, to say’); Wood MLN XV 96 (follows Uhlenbeck); Wiedemann BB XXVII 205 (same as Wood); Bugge PBB XIII 184–185 (from *per-ūdhi-, based on *⁄edh- ‘to lead’); Torp Festschr. Unger 174 (same as Uhlenbeck); Braune PBB XXXII 58 (to Lat Frutis, epithet of Venus); Kluge PBB XXXIV 561–562 (follows Braune); Helten PBB XXXV 306–310 (to *brauđan, for the meaning cf. OE hlæf-dize ‘bread-kneader, mistress, lady’); van Helten Zd Ph XLII 446–447 (to Slav *brakъ ‘marriage’); Langenhove LS II 48–64 (from IE *bhṛ-H⁄-e H-ti- ‘lifegiving force bearer’); Krogmann Wu S XVI 80–90 (to *breutanan); Hammarström Glotta XI 216–217 (to Gk Ἀφροδίτη); Torp-Falk 282; Holthausen AEEW 37; Feist 103, 110–111; Trier ZSSR LXV 254–255 (to IE *bhrāter- ‘brother’); Pokorny I 299; Vries ANEW 59–60; Zalizniak I 150; Onions 117; Lehmann GED 83–84; Kluge-Seebold 132.
*brūkanan str.vb.	OE brúcan ‘to use’, OFris brūka id., OS brūkan id., OHG brūhhan id. Cf. Goth brukjan id. < *brūkjanan. Related to Lith braukiū, bra Ukti ‘to smear, to paint’, Slav *brusiti ‘to whet’. Tomaschek Thr. I/30 (to Thrac ethn. Βρύγες); Solmsen KZ XXXIV 70 (same as Tomaschek); Torp-Falk 281; Woods MP V 270–271 (to *breutanan); Holthausen AEEW 37; Feist 107; Holthausen AEEW 36; Pokorny I 170, 173 (to Lat frūx ‘fruits of the earth, produce of the fields, pulse’, fruor ‘to enjoy, to delight in’); Chemodanov SGGJa I 91; Onions 120; Seebold 140–141; Kluge-Seebold 131.
*brūkiz ~ *brūkjaz adj.	Goth bruks ‘useful’, OE brÿce id., OHG brūhhi id. Derived from *brūkanan. Wood MP V 270–271 (to *breutanan); Zupitza Gutt. 96; Feist 107; Walde-Hofmann I 552–553 (to Lat frūgī ‘having merit’, dat. of frūx ‘fruit’); Holthausen AEEW 36; Pokorny I 173; Matzel Festschr. Schröder 97, KZ CV 134–135; Lehmann GED 81; Bammesberger Nom. 260; Heidermanns 142.
*brūnaz I adj.	ON brúnn ‘brown’, OE brún ‘dark, brown’, OFris brūn ‘brown’, OS brūn-rōd ‘sparkling red’, OHG brūn ‘reddish-brown, blackish’. Structurally identical with Gk φρῦνος ‘frog’ < *‘brown’ (Kuhn KZ I 200). Further related to IE *bhreu-, cf. Skt babhrú- ‘reddish-brown, brown’. Torp-Falk 264; Schwentner FB 56–59; Holthausen AEEW 36 (adds Slav *brunîti ‘to shine’); Krogmann Zd Ph LXVII 1–10; Karsten NB II 204–205; Mayrhofer II 409–410; Pokorny I 136; Dybo VSJa 26; Vries ANEW 61; Frisk II 1047; Onions 121; Heidermanns 143; Kluge-Seebold 132.
*brūnaz II adj.	ON sbst. brún ‘edge’, OE brún ‘shining, flashing’. Related to OIr brú ‘border, edge, shore’, Lith briaunā ‘edge’ (Persson Beiträge 17–19, 750–752: further to *brūwō). Holthausen AEEW 36; Pokorny I 170–173; Fraenkel 57; Vries ANEW 60; Zalizniak II 220; Heidermanns 143 (identifies *brūnaz I and II); Adams TB 374 (identical with Toch A pärwāá, B pärwāne ‘brows’).
*brūsōjanan wk.vb.	Swed brūsa ‘to roar, to thunder’, MLG brūsen id., MHG brūsen id. Of imitative origin. Persson UUÅ 1891 164 (to Gk φρυάσσομαι ‘to neigh, to be wanton’); Pokorny I 171–172; Vries ANEW 61.
*brūwō sb.f.	ON brún ‘eyebrow’ (generalized pl. stem), OE brú ‘eyebrow’. Related to Toch A dual pärwān-, B pärwāne id., Skt bhrū- id., Gk ὀφρῦς id., Maced ἀβροῦτες (leg. ἀβρούWες): ὀφρῦς. Makeδόνες (Hes.), MIr brúad, Lith bruvīs id., Slav *bry, gen. -ъve id. Kretschmer Einleitung 287 (on Macedonian); Hoffmann Mak. 51 (conjecture for Macedonian); Torp-Falk 281; Holthausen AEEW 36; Mayrhofer II 534–536; Pokorny I 172–173; Fraenkel 57; Zalizniak II 220; Frisk II 454; Onions 121; Trubachev ESSJa III 63–64; Gindin Etim. 1984 41 (Maced ἀβροῦτες = Slav pl. *brudi ‘whiskers’).
*buđan sb.n.	ON boä ‘bid, commandment’, OE bod ‘command, commandment’, OFris bod id, OS gi-bod id, OHG bot ‘authoritative pronouncement’. Derived from *beuđanan. Torp-Falk 274; Holthausen AEEW 28; Pokorny I 151; Seebold 109; Bammesberger Nom. 56.
*buđđōn sb.m.	ON prop. Boddi, Norw budda ‘newborn domestic animal’, ME budde ‘bud’, LG budde ‘louse’. Of descriptive origin. Holthausen AEEW 38; Vries ANEW 47; Kluge-Seebold 105–106.
*buđmaz ~ *butmaz sb.m.	ON botn ‘bottom’ (*-t-), OE bodan id. (also botm with *-t-), OFris bodem id., OS bodom id., OHG bodam id. (<*-þ-). Unexplained fluctuations in the intervocalic dental. Close to Gk πυθμήν id. and further to Skt budhná- ‘bottom, ground’, Av buna- id. (?< *bhundhno-), Lat fundus ‘bottom’. Petersson SVSL I 17–18 (alternation *d: *dh explained from the paradigm nom. *bhudh-, gen. *bhu(n)dnes); Bartholomae 968–969; Torp-Falk 275 (add OE byden ‘bushel, barrel’, MLG bodene ‘cask’, OHG butin(a) id. which are from MLat butina ‘bottle, vessel’); Porzig Wu S XV 112–133; Nordmeyer GR XIII 127– 129; Holthausen AEEW 31; Walde- Hofmann I 564–565; Mayrhofer II 438; Pokorny I 174; Vries ANEW 51; Zalizniak II 226; Frisk II 620–621; Onions 109; Lühr Expr. 340–341; Kluge- Seebold 122–123.
*buđōjanan wk.vb.	ON boäa ‘to announce’, OE bodian ‘to tell, to announce’, OFris bodia ‘to summon’, MLG boden id., MHG boten id. Derived from *beuđanan. Holthausen AEEW 28; Vries ANEW 46–47.
*buđōn sb.m.	Burg *buda ‘messenger’, ON boäi id., OE boda id., OFris boda id, OS bodo id, OHG boto id Derived from *beuđanan. Torp-Falk 275; Holthausen AEEW 28; Pokorny I 151; Vries ANEW 47; Zalizniak I 139; Onions 104; Seebold 109; Bammesberger Nom. 174; Köbler 709; Kluge-Seebold 128.
*buzōn sb.m.	Crim. Goth boga ‘bow’, ON bogi id., OE boza id., OFris boga id., OS swi-bogo ‘vault’, OHG bogo ‘arch, bow’. Derived from *beuzanan. Torp-Falk 273; Holthausen AEEW 29; Feist 102; Pokorny I 152–153; Vries ANEW 47; Zalizniak I 153; Onions 111; Seebold 111; Lehmann GED 73, 77; Bammesberger Nom. 174; Kluge-Seebold 123.
*buzilaz sb.m.	ON bygill ‘stirrup’, MLG bogel ‘hanger’, G Bügel id. Derived from *beuzanan. Vries ANEW 67; Kluge- Seebold 143.
*buziz sb.m.	ON bugr ‘bowing, winding’, OE bÿze ‘bowing, bending, angle’, MDu boge ‘bend’. Derived from *beuzanan. Holthausen AEEW 39; Vries ANEW 63; Seebold 111.
*buzjanan wk.vb.	Goth bugjan ‘to buy’, ON byggja ‘to let out, to lend’, OE byczan ‘to buy’, OS buggian id. Derived from *beuzanan (Grienberger Got. 54). For the semantic development cf. Gk πωλέω ‘to sell’ ~ πέλω ‘to turn, to spin’. Osthoff IF V 293–295; Uhlenbeck Btrg. Gesch. XXX 2777; Loewenthal ANW XXXII 282 (to Gk φεύγω ‘to fly’); Torp-Falk 274; Holthausen AEEW 39; Feist 111; Pokorny I 153; Vries ANEW 67; Benveniste 110–111 (to Av baog- ‘to save, to redeem, to liberate’); Seebold 111; Benveniste IEL 108–111; Lindeman Verschärfung 15.3; Lehmann GED 84.
*buxtiz sb.f.	ON bót ‘patch’, OE byht ‘bending, corner’ (masc.), MLG bucht ‘bay’, G Bucht id. Derived from *beuzanan. Holthausen AEEW 39; Vries ANEW 51; Kluge-Seebold 142.
*bukjanan wk.vb.	OFris buckia ‘to bend’, MLG bucken id., MHG bücken id. Based on the unattested *beukanan to be compared with Skt bhujáti id., Ir fid-bocc ‘wood bow’. Mayrhofer II 504–506; Pokorny I 153.
*bukkaz sb.m.	ON bukkr, bokkr ‘buck’, OE bucc ‘roebuck’, MLG buck ‘goat, ram’, OHG boc, buc id. Borrowed from the Celtic word for ‘he-goat’, cf. MIr bocc, W bwch, Corn boch, Bret bouc’h (Pedersen Litteris VII 23–24). Meillet MSL XV 356 (hypocoristic gemination); Zupitza Gutt. 196; Torp-Falk 273 (related to Celtic and other Indo-European forms continuing *bhu·os ~ *bhukkos); Lane Language VII 282 (to *beuzanan); Martinet Gém. 87, 138–139; Porzig Gliederung 115; Pokorny I 174; Vries ANEW 64; Zalizniak II 178; Onions 122; Kluge- Seebold 122.
*bukkōn sb.m.	ON bokki ‘he-goat’, OE bucca id. See *bukkaz. Holthausen AEEW 38; Martinet Gém. 113, 139, 178; Onions 122.
*bulaz ~ *bulō sb.m./f.	ON bolr, bulr ‘trunk’, MLG bole ‘plank’, MHG bole id. Related to *būljō(n). Torp-Falk 266 (to Slav *bъlvanъ ‘idol’); Vries ANEW 49 (to
*bhel- ‘to swell’). *bulzjōn sb.f.	ON bylgja ‘billow’, MLG bulge ‘rising wave’, MHG bulge ‘storm wave’. Derived from *belzanan. Torp- Falk 268; Pokorny I 126; Vries ANEW 67; Kluge-Seebold 144.
*buljanan wk.vb.	ON bylja ‘to roar’, OE bylzan ‘to offend, to anger’, MDu bullen ‘to race, to rage’, MHG büllen ‘to bark’. Connected with *bellanan I. Holthausen AEEW 40; Pokorny I 123; Vries ANEW 67.
*bullōn sb.m.	ON bolli ‘bowl’, OE bolla ‘round vessel, cup, pot’, OFris strot-bolla ‘larynx’, OS bollo ‘cup’, OHG bolla ‘bud, round pod, globular vessel’ (fem.). Related to *būl(j)ōn. Torp-Falk 267 (to Lat follis ‘purse, bag’); Holthausen AEEW 30; Martinet Gém. 194; Pokorny I 121 (to IE *bhel- ‘to swell, to blow); Vries ANEW 49; Onions 111.
*bullōjanan wk.vb.	Icel-Norw bulla ‘to babble’, OHG bullōn ‘to howl, to bark’. Related to *bellanan II. Martinet Gém. 142; Pokorny I 123.
*bulōjanan wk.vb.	ON bola ‘to fell trees’, OHG bolōn ‘to roll’. Derived from *bulaz ~ *bulō. Vries ANEW 48.
*bulōn sb.m.	ON boli ‘bull’, OE bula ‘young bull’, MDu bul, bolle ‘bull’. WGmc words reflect *bull- < *buln- extracted from oblique cases of *bulōn. Perhaps connected with Thrac βόλινθος ‘wild bull’ < *bhul-ento- (Tomaschek Thr. II/1 5). Torp-Falk 266; Detschew Thr. 74; Pokorny I 121 (to IE *bhel- ‘to swell’); Georgiev Issledov. 119; Vries ANEW 49; Lerchner 55–56; Kluge-Seebold 144.
*bulstraz sb.m.	ON bólstr ‘cushion’, OE bolster ‘bolster, pillow’, MDu bolster id., OHG bolstar id. Probably from *bulxstraz, to *belzanan. Torp-Falk 268; Holthausen AEEW 30; Vries ANEW 49; Onions 105; Seebold 100; Bammesberger Nom. 87; Kluge-Seebold 639–640.
