lookup_candidate_pass7	normalized_candidate_pass7	confidence_pass7	greek_nonlatin_class_pass7
(*	(*	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
(*1C	(*1C	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
(*äpyOfEV	(*äpyOfEV	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
*	*	medium-repaired	
*	*	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
"*!("")ōin"	"*!("")ōin"	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
"*!("")ūin"	"*!("")ūin"	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*!.Jed-	*!.Jed-	low	
*!.led-	*!.led-	low	
*!.ledor	*!.ledor	low	
*!IiH-ro-	*!IiH-ro-	low	
*!JTCS-	*!JTCS-	low	
*!cyon-	*!cyon-	low	
*!dey-men-	*!dey-men-	low	
*!dey-mo/en-	*!dey-mo/en-	low	
*!dey-mon-	?*!dey-mon-	low	
*!dey-mp-to-	*!dey-mp-to-	low	
*!diy-tor-	*!diy-tor-	low	
*!du-ti-	*!du-ti-	low	
*!du-tu-	*!du-tu-	low	
*!led-t5n-s	*!led-t5n-s	low	
*!lers-	*!lers-	low	
*!lers-isthp-	*!lers-isthp-	low	
*!lers-no-	(*!lers-no-	low	
*!lers-o-	?*!lers-o-	low	
*!loo-r(heth	*!loo-r(heth	low	
*!oJon-	*!oJon-	low	
*!oJtX.n	*!oJtX.n)	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*!qh/-os-von	*!qh/-os-von	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
"*""Erhebung"	"*""Erhebung"	source-layer	
"*""h₂f.1k-"	"*""h₂f.1k-"	medium-repaired	
*#0-	*#0-	low	
*#p-	*#p-	low	
*$Ok-dn-	*$Ok-dn-	low	
*$tlirto-	?*$tlirto-	low	
*&:ydv	*&:ydv	source-layer	
*(-)!deloy-tu-	*(-)!deloy-tu-	low	
*(-)!du-tir-	*(-)!du-tir-	low	
*(-)/du-t-jo-	*(-)/du-t-jo-	source-layer	
*(-)11-0-	*(-)11-0-	source-layer	
*(-)Ji](II-tó-	*(-)Ji](II-tó-	low	
*(-)MlJr6-	*(-)MlJr6-	low	
*(-)STCu̯-et-	*(-)STCu̯-et-	low	
*(-)anpa-	*(-)anpa-	source-layer	
*(-)bhrgʰ..oIahr	*(-)bhrgʰ..oIahr	medium-repaired	
*(-)bu-tahr	*(-)bu-tahr	source-layer	
*(-)bʰahrnu-	*(-)bʰahrnu-	medium-repaired	
*(-)bʰcr-(i)jo-	*(-)bʰcr-(i)jo-	medium-repaired	
*(-)bʰei̯dʰ-es-S	*(-)bʰei̯dʰ-es-S	low	
*(-)bʰer-o-	*(-)bʰer-o-	medium-repaired	
*(-)bʰer-tahr	*(-)bʰer-tahr	medium-repaired	
*(-)bʰergʰ..es-	*(-)bʰergʰ..es-	medium-repaired	
*(-)bʰeydʰ_es	*(-)bʰeydʰ_es	medium-repaired	
*(-)bʰir-men	*(-)bʰir-men	medium-repaired	
*(-)bʰir-men-to-	*(-)bʰir-men-to-	medium-repaired	
*(-)bʰir-tor-	*(-)bʰir-tor-	medium-repaired	
*(-)bʰor-o-	*(-)bʰor-o-	medium-repaired	
*(-)delohr	*(-)delohr	source-layer	
*(-)detōhrt-	*(-)detōhrt-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*(-)dh	*(-)dh	source-layer	
*(-)dh:rtiHon	*(-)dh:rtiHon	medium-repaired	
*(-)dhr	*(-)dhr	source-layer	
*(-)dhrSDlO-	*(-)dhrSDlO-	low	
*(-)dhrti-	*(-)dhrti-	medium-repaired	
*(-)dh₃-ti	*(-)dh₃-ti	medium-repaired	
*(-)dh₃-tó-	*(-)dh₃-tó-	medium-repaired	
*(-)dohr(i)iahr	*(-)dohr(i)iahr	source-layer	
*(-)dohrti-	*(-)dohrti-)	medium-repaired	
*(-)dohrto-	*(-)dohrto-	medium-repaired	
*(-)donk-ó-	*(-)donk-ó-	medium-repaired	
*(-)dpk-tó-	*(-)dpk-tó-	medium-repaired	
*(-)dʰchr	*(-)dʰchr	medium-repaired	
*(-)dʰchrlijo-	*(-)dʰchrlijo-	medium-repaired	
*(-)dʰebʰ..no-	*(-)dʰebʰ..no-	medium-repaired	
*(-)dʰehrkahr	*(-)dʰehrkahr	medium-repaired	
*(-)dʰehrto-	*(-)dʰehrto-	medium-repaired	
*(-)dʰehrtu-	*(-)dʰehrtu-	medium-repaired	
*(-)dʰhrti-	*(-)dʰhrti-	medium-repaired	
*(-)dʰh₁k-yo-	?*(-)dʰh₁k-yo-	medium-repaired	
*(-)gJ’8hr	*(-)gJ’8hr	low	
*(-)gcnhrto-	*(-)gcnhrto-	source-layer	
*(-)genhreto-I~	*(-)genhreto-I~	low	
*(-)gonhro-	*(-)gonhro-	source-layer	
*(-)gphrio-	*(-)gphrio-	source-layer	
*(-)gphrti-	*(-)gphrti-	source-layer	
*(-)gʰi-m-o	*(-)gʰi-m-o	medium-repaired	
*(-)h	*(-)h	source-layer	
*(-)hP1-r-tah₂t-	*(-)hP1-r-tah₂t-	medium-repaired	
*(-)hflg-nah₂-	*(-)hflg-nah₂-	medium-repaired	
*(-)hjOkY-j6-	*(-)hjOkY-j6-	source-layer	
*(-)hjg-to-	*(-)hjg-to-	source-layer	
*(-)h₁i-ti-	*(-)h₁i-ti-	medium-repaired	
*(-)h₁i-tu-	*(-)h₁i-tu-	medium-repaired	
*(-)h₁i-tó-	*(-)h₁i-tó-	medium-repaired	
*(-)h₂8g-	*(-)h₂8g-	low	
*(-)h₂8nhrto-	*(-)h₂8nhrto-	low	
*(-)h₂P-o-	*(-)h₂P-o-	medium-repaired	
*(-)h₂WS-tO.I°	*(-)h₂WS-tO.I°	low	
*(-)h₂llIlS-S-(i)jah~	?*(-)h₂llIlS-S-(i)jah~	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*(-)h₂yes-ter-	*(-)h₂yes-ter-	medium-repaired	
*(-)h₃Ojgʰ..ahr	*(-)h₃Ojgʰ..ahr	medium-repaired	
*(-)j6yg-o-	*(-)j6yg-o-	source-layer	
*(-)jepg-ti-	*(-)jepg-ti-	source-layer	
*(-)jet-to-	*(-)jet-to-	source-layer	
*(-)jug-ahr	*(-)jug-ahr	source-layer	
*(-)jug-i-	*(-)jug-i-	source-layer	
*(-)jug-iiah₂	*(-)jug-iiah₂	medium-repaired	
*(-)jung-i-	?*(-)jung-i-	source-layer	
*(-)kJCu̯-to-	*(-)kJCu̯-to-	low	
*(-)kerd-o-	*(-)kerd-o-	source-layer	
*(-)klus-nu-	*(-)klus-nu-	source-layer	
*(-)koIH-o-	*(-)koIH-o-	low	
*(-)kteu-es-jo-lahr	*(-)kteu-es-jo-lahr	source-layer	
*(-)kʷ’umdi-	*(-)kʷ’umdi-	medium-repaired	
*(-)ldus-ti-	*(-)ldus-ti-	source-layer	
*(-)mor-ó-	*(-)mor-ó-	medium-repaired	
*(-)mps-dʰhrahr	*(-)mps-dʰhrahr	medium-repaired	
*(-)no~-t-ioder	*(-)no~-t-ioder	filtered-noise-fragment	
*(-)pCd-oY	*(-)pCd-oY	source-layer	
*(-)peJcP-jo-	*(-)peJcP-jo-	source-layer	
*(-)peJcP-oI8h₂-	*(-)peJcP-oI8h₂-	low	
*(-)ped-(i)jo-	*(-)ped-(i)jo-	source-layer	
*(-)ped-ahr	*(-)ped-ahr	source-layer	
*(-)ped-ihr	*(-)ped-ihr	source-layer	
*(-)ped-o-	*(-)ped-o-)	source-layer	
*(-)ped-ti-	*(-)ped-ti-	medium-repaired	
*(-)pod-(i)jo	*(-)pod-(i)jo	medium-repaired	
*(-)rōt-o-	*(-)rōt-o-	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*(-)sOO..:o-	*(-)sOO..:o-	low	
*(-)scd-mcn-	*(-)scd-mcn-	source-layer	
*(-)sd-o-	?*(-)sd-o-	source-layer	
*(-)sed-ahr	*(-)sed-ahr	source-layer	
*(-)sed-rahr	*(-)sed-rahr	source-layer	
*(-)sed-ti-	*(-)sed-ti-	source-layer	
*(-)seg-ti-	*(-)seg-ti-	source-layer	
*(-)segʰ..ti-	*(-)segʰ..ti-	medium-repaired	
*(-)si-sta-mu-	*(-)si-sta-mu-	source-layer	
*(-)skbid-nó-	*(-)skbid-nó-	medium-repaired	
*(-)skbid-os-	*(-)skbid-os-	source-layer	
*(-)skboi̯d-o-	*(-)skboi̯d-o-	medium-repaired	
*(-)slIep-i-	*(-)slIep-i-	source-layer	
*(-)snigʷʰ..o-	*(-)snigʷʰ..o-	medium-repaired	
*(-)sod-jolahr	*(-)sod-jolahr	source-layer	
*(-)sod-o-	*(-)sod-o-	source-layer	
*(-)sogh.-O-	*(-)sogh.-O-	source-layer	
*(-)srOu̯-o-	*(-)srOu̯-o-	medium-repaired	
*(-)st(a)h₂-f!T-Q	*(-)st(a)h₂-f!T-Q	low	
*(-)stada-	*(-)stada-	source-layer	
*(-)sthrdo-	*(-)sthrdo-	source-layer	
*(-)sthrtJo-	*(-)sthrtJo-	source-layer	
*(-)sthrtiHon-	*(-)sthrtiHon-	source-layer	
*(-)suH-f	*(-)suH-f	medium-repaired	
*(-)suH-molahr	*(-)suH-molahr	source-layer	
*(-)suH-ti-	*(-)suH-ti-	source-layer	
*(-)suH-tqahr	*(-)suH-tqahr	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*(-)tp-ti-	*(-)tp-ti-	source-layer	
*(-)u̯id-e/on-	*(-)u̯id-e/on-	medium-repaired	
*(-)u̯id-jo/ahr	*(-)u̯id-jo/ahr	medium-repaired	
*(-)warda-sub	*(-)warda-sub	filtered-noise-fragment	
*(-)ßIlhrto-	*(-)ßIlhrto-	low-greek-or-nonlatin-surrogate	nonlatin-unresolved-other
*(.)kubʰ..ri	*(.)kubʰ..ri	medium-repaired	
*(DSg	*(DSg	low	
*(H)jehrP-s-	*(H)jehrP-s-	source-layer	
*(H)jenhfl&-	*(H)jenhfl&-	source-layer	
*(H)jenhrter-	*(H)jenhrter-	medium-repaired	
*(H)jenh₂ter-	*(H)jenh₂ter-	medium-repaired	
*(H)jenh₂{er-	*(H)jenh₂{er-	low	
*(H)johrf	*(H)johrf	source-layer	
*(H)jokʷ-en	*(H)jokʷ-en	medium-repaired	
*(H)jphfl&-	*(H)jphfl&-	source-layer	
*(H)jphr	*(H)jphr	source-layer	
*(H)jph₂tr-	*(H)jph₂tr-	medium-repaired	
*(H)l!eH-r-	*(H)l!eH-r-	low	
*(H)nepot-	*(H)nepot-	source-layer	
*(H)nert-	*(H)nert-	source-layer	
*(H)rotHos	(*(H)rotHos	source-layer	
*(H)steren	*(H)steren	source-layer	
*(H)uJl-vlson-	*(H)uJl-vlson-	source-layer	
"*(Jf.fE""to<"	"*(Jf.fE""to<"	low	
*(NPI	*(NPI	low	
*(P)kyo..D	*(P)kyo..D)	source-layer	
*(S)tig-SDo..	*(S)tig-SDo..	low	
*(S)tig-o	?*(S)tig-o	low	
*(S)tog-u	?*(S)tog-u	low	
*(S)u̯Or(h₃)-dhhr	*(S)u̯Or(h₃)-dhhr	low	
*(V)tlTS	*(V)tlTS	low	
*(WINTER	*(WINTER	low	
*(_)bʰUhrl-iiah₂	*(_)bʰUhrl-iiah₂	medium-repaired	
*(_)bʰ[-tahr	?*(_)bʰ[-tahr	medium-repaired	
*(_)bʰag-ó-	*(_)bʰag-ó-	medium-repaired	
*(_)bʰlihrti-	*(_)bʰlihrti-	medium-repaired	
*(_)bʰr-t-	*(_)bʰr-t-	medium-repaired	
*(_)bʰr-ti-	*(_)bʰr-ti-	medium-repaired	
*(_)bʰuhrl-(i)jo-	*(_)bʰuhrl-(i)jo-	medium-repaired	
*(_)dʰebʰ..ijo	*(_)dʰebʰ..ijo	medium-repaired	
*(_)h~-6	*(_)h~-6	low	
*(_)jug-6	*(_)jug-6	medium-repaired	
*(_)jug_6	*(_)jug_6	medium-repaired	
*(_)kUD-o	*(_)kUD-o	low	
*(_)ped-6	*(_)ped-6	medium-repaired	
*(a)us-es-os	*(a)us-es-os)	source-layer	
*(a)us-os	*(a)us-os	source-layer	
*(b	*(b	source-layer	
*(b/)lcgʷʰ..	*(b/)lcgʷʰ..	medium-repaired	
*(b2)ai̯-	*(b2)ai̯-	medium-repaired	
*(b])okʷf-	*(b])okʷf-	medium-repaired	
*(bʰ)shplz..lo-	*(bʰ)shplz..lo-	medium-repaired	
*(bʰ)shrdʰlo-	*(bʰ)shrdʰlo-)	medium-repaired	
*(d*)tb..cm-ó-	*(d*)tb..cm-ó-	medium-repaired	
*(dJJygʰ-em-	*(dJJygʰ-em-	low	
*(dh)Jll..m-abrnabr	*(dh)Jll..m-abrnabr	source-layer	
*(dh)Jll..m-ei̯nolabr	*(dh)Jll..m-ei̯nolabr	medium-repaired	
*(dh)gll..em-isko-	*(dh)gll..em-isko-	source-layer	
*(dh)gll..m-abrnijabr	*(dh)gll..m-abrnijabr	source-layer	
*(dh)gʰ-em-iHnoiabz-	*(dh)gʰ-em-iHnoiabz-	medium-repaired	
*(dh)gʰ-om-i	*(dh)gʰ-om-i	medium-repaired	
*(dh)gʰ...om-i-tero-	*(dh)gʰ...om-i-tero-	medium-repaired	
*(dh)gʰ...om-i-trpmdab	*(dh)gʰ...om-i-trpmdab	medium-repaired	
*(dl1jgʰ-m-ah	*(dl1jgʰ-m-ah	medium-repaired	
*(dl1jgʰ..em-ó-in	*(dl1jgʰ..em-ó-in	medium-repaired	
*(dl1jgʰ..m-ah	*(dl1jgʰ..m-ah	medium-repaired	
*(dl1jgʰ..m-ahr	*(dl1jgʰ..m-ahr	medium-repaired	
*(dll)gʰ..em-6)2	*(dll)gʰ..em-6)2	medium-repaired	
*(dll)gʰ..em-ijah	*(dll)gʰ..em-ijah	medium-repaired	
*(dll)gʰ..m-ah	?*(dll)gʰ..m-ah	medium-repaired	
*(dll)gʰ..om-o	*(dll)gʰ..om-o	medium-repaired	
*(dll)gʰ_m-{l)jolah	*(dll)gʰ_m-{l)jolah	low	
*(dllJgʰ..6m-ioder	*(dllJgʰ..6m-ioder	filtered-noise-fragment	
*(dllJgʰ..em-O-	*(dllJgʰ..em-O-	low	
*(dllJgʰ..m-	*(dllJgʰ..m-	low	
*(dllJgʰ..m-I)-SU	*(dllJgʰ..m-I)-SU	low	
*(dllJgʰ..m-en	*(dllJgʰ..m-en	low	
*(dllygʰ..6m-i	*(dllygʰ..6m-i	medium-repaired	
*(dllygʰ..m-abr	*(dllygʰ..m-abr	medium-repaired	
*(dllygʰ..om-jo-	*(dllygʰ..om-jo-	medium-repaired	
*(dllygʰ..on-ijo-	*(dllygʰ..on-ijo-	medium-repaired	
*(dls)h	*(dls)h	source-layer	
*(dltJgʰ-em-	*(dltJgʰ-em-	medium-repaired	
*(dltJgʰ..m-fX..n	*(dltJgʰ..m-fX..n)	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*(dltJgʰ..om-	*(dltJgʰ..om-	medium-repaired	
*(dltjgʰmahrggh₂U-	*(dltjgʰmahrggh₂U-	medium-repaired	
*(d»>gʰ-{lp)m-e/on	?*(d»>gʰ-{lp)m-e/on	low	
*(d»>gʰ..em_r-o	?*(d»>gʰ..em_r-o	low	
*(d»>gʰ..m-er-	?*(d»>gʰ..m-er-	low	
*(d»>gʰ..m-erP	*(d»>gʰ..m-erP	low	
*(e)pi	*(e)pi	source-layer	
*(h	*(h	source-layer	
*(h)an	*(h)an	source-layer	
*(h)jin~r	*(h)jin~r	low	
*(h/)/S-q-flPt-ihr	*(h/)/S-q-flPt-ihr)	low	
*(h/)ellS-n-	*(h/)ellS-n-	low	
*(h/)fS-en-ijo-	*(h/)fS-en-ijo-	low	
*(h/)fS-en-tero-	*(h/)fS-en-tero-	low	
*(h/)fS-n-en-	*(h/)fS-n-en-	low	
*(h/)fS-n-ep-O-	*(h/)fS-n-ep-O-	low	
*(h/)rcl!dʰ..s-o-	*(h/)rcl!dʰ..s-o-	low	
*(h/)rcl!dʰ..s-u̯Q-	*(h/)rcl!dʰ..s-u̯Q-	low	
*(h/)relldʰ..smon-	*(h/)relldʰ..smon-	medium-repaired	
*(h/)relldʰ.cs-to-	*(h/)relldʰ.cs-to-	medium-repaired	
*(h/)relol!dʰ..j-t-	*(h/)relol!dʰ..j-t-	low	
*(h/)roydʰ.6lihr	*(h/)roydʰ.6lihr	medium-repaired	
*(h/)rudʰ-i-wird	*(h/)rudʰ-i-wird	medium-repaired	
*(h/)rudʰ..k{l)jo-	*(h/)rudʰ..k{l)jo-	low	
*(h/)rudʰ..mo-	*(h/)rudʰ..mo-	medium-repaired	
*(h/)rudʰ..olahr	*(h/)rudʰ..olahr	medium-repaired	
*(h/)rudʰ..rah₂+n	*(h/)rudʰ..rah₂+n	medium-repaired	
*(h/)rudʰ..s-u̯o-	*(h/)rudʰ..s-u̯o-	medium-repaired	
*(h/)rudʰ..sd-o-	*(h/)rudʰ..sd-o-	medium-repaired	
*(h/)rudʰ..sm-	*(h/)rudʰ..sm-	medium-repaired	
*(h/)rudʰ..t-(l)jo-	*(h/)rudʰ..t-(l)jo-	medium-repaired	
*(h1)fS-en-	*(h1)fS-en-	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
*(hJ)fS-en-	*(hJ)fS-en-	filtered-noise-fragment	candidate-boundary-noise-with-nonlatin
"*(hdeni-h₃c""-o-"	"*(hdeni-h₃c""-o-"	medium-repaired	
*(ho	*(ho)	source-layer	
*(h})fS-en-	*(h})fS-en-	low	
*(h})rodʰ..rah₂+	*(h})rodʰ..rah₂+	low	
*(h})rodʰ..rr5-	*(h})rodʰ..rr5-	low	
*(h})rodʰ..to-	*(h})rodʰ..to-	low	
*(h})rolldʰ.ciahr	*(h})rolldʰ.ciahr	low	
*(h})rudʰ..rr5-wird	*(h})rudʰ..rr5-wird	low	
*(h₁)okʷe	*(h₁)okʷe	medium-repaired	
*(h₁)rclldʰ.(l)jo-	*(h₁)rclldʰ.(l)jo-	medium-repaired	
*(h₁)rolldʰ.(l)joliah₂	*(h₁)rolldʰ.(l)joliah₂	medium-repaired	
*(h₁)rs-en-	*(h₁)rs-en-	medium-repaired	
*(h₁)rs-en-mit	*(h₁)rs-en-mit	medium-repaired	
*(h₁)rudʰ..no-	?*(h₁)rudʰ..no-	medium-repaired	
*(h₁)rudʰ..r6-	*(h₁)rudʰ..r6-	medium-repaired	
*(h₂)ab-l-u-	*(h₂)ab-l-u-	medium-repaired	
*(h₂)lIcs-r-pt-ino-lO	*(h₂)lIcs-r-pt-ino-lO	medium-repaired	
*(h₂)neJ(t)-	*(h₂)neJ(t)-	medium-repaired	
*(h₂)yes-n-ino/ah₂-	*(h₂)yes-n-ino/ah₂-	medium-repaired	
*(h₂)yes-onto-	*(h₂)yes-onto-	medium-repaired	
*(h₂)yes-pt-ei̯no	*(h₂)yes-pt-ei̯no	medium-repaired	
*(h₂)yos-er-olah₂-	*(h₂)yos-er-olah₂-	medium-repaired	
*(h₂Jyes-r	*(h₂Jyes-r	medium-repaired	
*(h₃)pidʰu-	*(h₃)pidʰu-	medium-repaired	
*(h₃)rClldʰ.cs-	*(h₃)rClldʰ.cs-	medium-repaired	
*(h₃)relldʰ.mcn-no-	?*(h₃)relldʰ.mcn-no-	medium-repaired	
*(h₃)relldʰ.melon-	*(h₃)relldʰ.melon-	medium-repaired	
*(h₃)relldʰ.’rot	*(h₃)relldʰ.’rot	medium-repaired	
*(h₃)reydʰ.os-	*(h₃)reydʰ.os-	medium-repaired	
*(h₃)rudʰ	*(h₃)rudʰ	medium-repaired	
*(h₃)rudʰ-s-lo-	*(h₃)rudʰ-s-lo-	medium-repaired	
*(h₃)rudʰ..dahr	*(h₃)rudʰ..dahr	medium-repaired	
*(h₃)rudʰ..jo/iah₂	*(h₃)rudʰ..jo/iah₂	medium-repaired	
*(h₃)rudʰ..s-o-	*(h₃)rudʰ..s-o-	medium-repaired	
*(h₃)rudʰ..tu-m	*(h₃)rudʰ..tu-m	filtered-noise-fragment	
*(h₃)rudʰ.i	*(h₃)rudʰ.i	medium-repaired	
*(h₃)rudʰ.melon-	*(h₃)rudʰ.melon-	medium-repaired	
*(h₃)rudʰ.os-	*(h₃)rudʰ.os-	medium-repaired	
*(h₃)rudʰ.smelon-	*(h₃)rudʰ.smelon-	medium-repaired	
*(i	*(i	source-layer	
*(j)nätr-(ic	*(j)nätr-(ic)	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*(p)epktokā	*(p)epktokā	medium-repaired-greek-nonlatin-pass7	latin-script-macron-surrogate
*(p-)h₂Ph/emo-lautgesetzlich	*(p-)h₂Ph/emo-lautgesetzlich	medium-repaired	
*(pI	*(pI	medium-repaired	
*(s)(e).(f-s-t-1S	*(s)(e).(f-s-t-1S	low	
*(s)/jorhrAnm	*(s)/jorhrAnm	filtered-noise-fragment	
*(s)JiH-ti-?	*(s)JiH-ti-?)	source-layer	
*(s)dNeiN-	*(s)dNeiN-	source-layer	
*(s)h:Pleld-	*(s)h:Pleld-	source-layer	
*(s)kedhr	*(s)kedhr	source-layer	
*(s)kepH-	*(s)kepH-	source-layer	
*(s)ker-	*(s)ker-	source-layer	
*(s)liti-	*(s)liti-	source-layer	
*(s)me/d-	*(s)me/d-	source-layer	
*(s)meJta-	*(s)meJta-	source-layer	
*(s)meld-	*(s)meld-	source-layer	
*(s)nahr	*(s)nahr	source-layer	
*(s)ncv-sieht	*(s)ncv-sieht	source-layer	
*(s)ncvcs-	*(s)ncvcs-	source-layer	
*(s)nohru-j*(s)nBhrlJ-bevorzugt	*(s)nohru-j*(s)nBhrlJ-bevorzugt	low	
*(s)p(e)nd-	*(s)p(e)nd-	source-layer	
*(s)pend-	*(s)pend-	source-layer	
*(s)pend-	?*(s)pend-	source-layer	
*(s)ppd-tahr	*(s)ppd-tahr	source-layer	
*(s)ppd-tor-	?*(s)ppd-tor-	source-layer	
*(s)ppd-tó-	*(s)ppd-tó-	medium-repaired	
*(s)pqd-tiHon-	*(s)pqd-tiHon-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*(s)prH-jet-	*(s)prH-jet-	source-layer	
*(s)r6g-o-m	*(s)r6g-o-m	medium-repaired	
*(s)reg-	*(s)reg-	source-layer	
*(s)reg-s-Jih:r	?*(s)reg-s-Jih:r	source-layer	
*(s)reg-s-O-	?*(s)reg-s-O-	source-layer	
*(s)rig-es-	?*(s)rig-es-	source-layer	
*(s)rig-es-o	*(s)rig-es-o	medium-repaired	
*(s)rig-men-o	*(s)rig-men-o	medium-repaired	
*(s)t	*(s)t	medium-repaired	
*(s)t.g-o-esm	*(s)t.g-o-esm	filtered-noise-fragment	
*(s)tcg-	*(s)tcg-	source-layer	
*(s)tcg-f	*(s)tcg-f	medium-repaired	
*(s)tcg-men-n	?*(s)tcg-men-n	filtered-noise-fragment	
*(s)tcg-on	?*(s)tcg-on	filtered-noise-fragment	
*(s)tcg6(n	*(s)tcg6(n)	source-layer	
*(s)teg	*(s)teg	medium-repaired	
*(s)teg-	*(s)teg-	source-layer	
*(s)teg-	*(s)teg-	medium-repaired	
*(s)teg-cs.IOn	*(s)teg-cs.IOn	filtered-noise-fragment	
*(s)teg-ct-	?*(s)teg-ct-	source-layer	
*(s)teg-n-o-	*(s)teg-n-o-	source-layer	
*(s)teg-no.I6	*(s)teg-no.I6	source-layer	
*(s)teg-qt-	*(s)teg-qt-	low-greek-or-nonlatin-surrogate	greek-or-opaque-script-surrogate
*(s)teg-t6	?*(s)teg-t6	medium-repaired	
*(s)teg-tiHon-f	*(s)teg-tiHon-f	filtered-noise-fragment	
*(s)teg-u-	?*(s)teg-u-	source-layer	
*(s)tei̯g-	*(s)tei̯g-	medium-repaired	
*(s)tei̯g-(l)jes-	*(s)tei̯g-(l)jes-	medium-repaired	
*(s)tei̯g-es-	*(s)tei̯g-es-	medium-repaired	
*(s)tei̯g-isth₂0-	*(s)tei̯g-isth₂0-	medium-repaired	
*(s)ter-	*(s)ter-	source-layer	
*(s)terbr	*(s)terbr	source-layer	
*(s)th₂-{lIJJ-abr	*(s)th₂-{lIJJ-abr	low	
*(s)tig-ahr	*(s)tig-ahr	source-layer	
*(s)tig-i	*(s)tig-i	medium-repaired	
*(s)tig-men-	*(s)tig-men-	source-layer	
*(s)tig-o-b3fJ-	*(s)tig-o-b3fJ-	source-layer	
*(s)tig-p·	*(s)tig-p·	source-layer	
*(s)tig-u	?*(s)tig-u	medium-repaired	
*(s)tog-iiah₂	*(s)tog-iiah₂	medium-repaired	
*(s)tog-olahr	*(s)tog-olahr	source-layer	
*(s)tog.o-	*(s)tog.o-	source-layer	
*(s)tog8hr	*(s)tog8hr	low	
*(s)togom	*(s)togom	source-layer	
*(s)toi̯g-ó-	*(s)toi̯g-ó-	medium-repaired	
*(s)tt:8-n-	*(s)tt:8-n-	low	
*(sfl!er-	*(sfl!er-	low	
*(somo)-ph₂1or	*(somo)-ph₂1or	medium-repaired	
*(t)-fU5-<r6-	*(t)-fU5-<r6-	low	
*(uz-)anjJa-n	*(uz-)anjJa-n	filtered-noise-fragment	
*)gʰ..Om-i(>	*)gʰ..Om-i(>	low	
*)tJJ..em	*)tJJ..em	low	
*)tb..om-o-	*)tb..om-o-	source-layer	
*)tb..rpm-ij(>	*)tb..rpm-ij(>	low	
**(h₂)ycs-r!n	**(h₂)ycs-r!n	low	
**-om-m	**-om-m	source-layer	
**1ID-n-d-rfn-	**1ID-n-d-rfn-	low	
**1ell-	**1ell-	source-layer	
"**8""0gʷ-nó-"	"**8""0gʷ-nó-"	low	
**IpdʰCps	**IpdʰCps	medium-repaired	
**ages-	**ages-	source-layer	
**aiwu-	**aiwu-	source-layer	
**akes-	**akes-	source-layer	
**b/i-t(-)erln-	**b/i-t(-)erln-	source-layer	
**d-sel-	**d-sel-	source-layer	
**dank-	(**dank-	source-layer	
**dj-u-men-	**dj-u-men-	source-layer	
**dʰg	**dʰg	medium-repaired	
**dʰgʰ..em-en	**dʰgʰ..em-en	medium-repaired	
**gemH-er-	?**gemH-er-	source-layer	
**gemH-ot-	**gemH-ot-	source-layer	
**grpH-el-	?**grpH-el-	source-layer	
**gʰei-m-men-	**gʰei-m-men-	medium-repaired	
**gʰei̯_m_er_1B	?**gʰei̯_m_er_1B	medium-repaired	
**gʷjoh₃-<J-	**gʷjoh₃-<J-)	low	
**gʷob-nó-	**gʷob-nó-	medium-repaired	
**gʷogʷ-	**gʷogʷ-)	medium-repaired	
**gʷon-nó-	**gʷon-nó-	medium-repaired	
**gʷub-nó-	**gʷub-nó-	medium-repaired	
**h	**h	source-layer	
**h	?**h	source-layer	
**h#j-v{e)s-	**h#j-v{e)s-	low	
**h/crs-n-o-l!{1t-ihr	**h/crs-n-o-l!{1t-ihr	low	
**h/oiu-	**h/oiu-	source-layer	
**hjcd-y-ol-	**hjcd-y-ol-	source-layer	
**hjcd-y-on-	?**hjcd-y-on-	source-layer	
**hjoo-u	?**hjoo-u	medium-repaired	
**hr6tex-u-	**hr6tex-u-	source-layer	
**h~jos-	**h~jos-	low	
**h₂0n(h₁)-mn-o-	**h₂0n(h₁)-mn-o-	medium-repaired	
**h₂81118busti-	**h₂81118busti-)	low	
**h₂f/S-s-	**h₂f/S-s-	low	
**h₂j-ep-5-	**h₂j-ep-5-	low	
**h₂l!m-srechnet	**h₂l!m-srechnet	low	
**h₃..o)bʰ..ur-H-	**h₃..o)bʰ..ur-H-	medium-repaired	
**mOlf!u	**mOlf!u	low	
**mad-s	?**mad-s	medium-repaired	
**mad-s-d-	**mad-s-d-	source-layer	
**me-	**me-	source-layer	
