example_id,pdf_page,split_file,heading,text
4.47,384,05-chapter-4-lexicon-and-semantics.md,4.3.10.2 Prepositional Calques352,(4.47)          Alb     me këmb           ‘with foot’\nGrk     με τα πόδια       ‘with the feet’
5.1,400,06-chapter-5-phonology.md,5.1 Some Background and Prospects,"(5.1)       a. the presence of a (stressed) mid-to-high central (thus, schwa-like) vowel\nb. the presence of i-e-a-o-u in the vowel inventory without phonological contrasts in\nquantity, openness, or nasalization"
5.2,402,06-chapter-5-phonology.md,5.2 Localized Phonological Convergence and Bilingualism:,"(5.2)       Albanian\npúnë ‘work.nom.sg / punëtór ‘worker.nom.sg’ / punëtóreve (dat.pl)\nkatúnd ‘village.nom.sg’ / katúndeve ‘villages.dat.pl’/ katundák ‘rustic’, katundarí\n‘peasantry’ vs. katundári ‘villager/peasant.nom.sg.def ’"
5.3,402,06-chapter-5-phonology.md,5.2 Localized Phonological Convergence and Bilingualism:,(5.3)       Romanian\na folosí ‘to use’ / folositór ‘useful.m.sg’\nfolositór ‘useful.m.sg’ / folositoáre (f.sg)\ncîíne ‘dog.nom.sg’ / cîínelui ‘to the dog.def.dat.sg’
5.2,404,06-chapter-5-phonology.md,5.2 Localized Phonological Convergence and Bilingualism:,"(5.2) and (5.3) above. This is not to deny reverse interference as a genuine\nphonological contact phenomenon or to suggest that we have particular knowledge\nabout the social interaction of Arvanitika speakers and Greek (or Slavic) speakers\nin that period, but only to say that the phonological effects in contact situations\ninvolving bilingualism can be sufficiently complex as to require one to keep an\nopen mind in determining what happened in the past.\nA similar reservation applies to Albanian–Slavic interaction. Given that these\ndevelopments occurred after the Slavs reached the Balkans but in the absence of\nadequate documentation, we cannot be sure of the direction of interference.\nHowever, since the biphonemic reflex of Common Slavic *tj /dj extended further\nnorth into central North Macedonia, probably until the twelfth century or so (when\nit was incorporated into the Serbian Empire), we must posit a shift in pronunciation\namong the local Slavic-speaking population, at least in what is now central North\nMacedonia, as evidenced by gakji ‘britches’ but gašnik (< *gaštnik) ‘belt holding"
5.4,409,06-chapter-5-phonology.md,5.3 Localized Phonological Convergence and Bilingualism:,"(5.4)           θ:    θámî ‘miracle’ (< Grk θαύμα)\nθimélu ‘foundation’ (< NGrk θιμέλιου / StGrk θεμέλιο)\nθar ‘courage’ (< Grk θάρρος)\nanáθima ‘curse’ (< Grk ανάθεμα)19\nð:    ðáskalu ‘teacher’ (< Grk δάσκαλος)\naðínatu ‘powerless’ (< Grk αδύνατος)\nðíspoti ‘bishop’ (< NGrk δισπότς / StGrk δεσπότης (vocative δέσποτε))\nγ:    aγru ‘wild’ (< Grk άγριος)\nγambró, γrambó ‘groom’ (< Grk γαμβρός)"
5.5,410,06-chapter-5-phonology.md,5.3 Localized Phonological Convergence and Bilingualism:,(5.5)           p–f      t–s\n| |      | |\nb–v      d–z
5.6,410,06-chapter-5-phonology.md,5.3 Localized Phonological Convergence and Bilingualism:,(5.6)           t–θ      k–h\n| |      | |\nd–ð      g–γ
5.7,411,06-chapter-5-phonology.md,5.3 Localized Phonological Convergence and Bilingualism:,(5.7)           anatemã (Grk ανάθεμα; see footnote 19)\ndáscalu ‘teacher’ (Grk δάσκαλος; Cuvata 2006: dascal; dispoti (Grk δεσπότης))\ngrámă ‘letter’ (Grk γράμμα; Cuvata 2006: agru (Grk άγριος) grambó (Grk\nγαμβρός))
5.8,415,06-chapter-5-phonology.md,5.3 Localized Phonological Convergence and Bilingualism:,"(5.8)           khel ‘play’ (earlier Indic kh- from kr-, cf. Skt krīḍ-)\nkher ‘house’ (vs. ker ‘do!’)\nčhorel ‘spill, empty’ (vs. čorel ‘steal’)\nthe ‘and’(vs. te ‘dms’)\nphral ‘brother’ (earlier Indic bh-, cf. Skt bhrātar-)\nphal ‘pale’ (earlier Indic ph-, cf. Skt phalaka- ‘fruitful’)\npherel ‘fill’ (vs. perel ‘fall’)"
