level,heading,pdf_page,split_file
4,"4.3.9.2 Bodily Activities, Functions, and Products In general, like body parts, obscene expressions relating to bodily activities,",355,05-chapter-4-lexicon-and-semantics.md
4,4.3.9.3 Insults,357,05-chapter-4-lexicon-and-semantics.md
4,4.3.9.4 Ethnophaulisms and Ethnonyms,361,05-chapter-4-lexicon-and-semantics.md
3,4.3.10 Isosemy,363,05-chapter-4-lexicon-and-semantics.md
4,4.3.10.1 Phraseological Isosemy,366,05-chapter-4-lexicon-and-semantics.md
5,4.3.10.1.1 Idiomatic Expressions,367,05-chapter-4-lexicon-and-semantics.md
5,4.3.10.1.2 Shared Experiences – Shared Expressions,372,05-chapter-4-lexicon-and-semantics.md
6,4.3.10.1.2.1 Shared Expressions Rooted in Folk Culture,372,05-chapter-4-lexicon-and-semantics.md
6,4.3.10.1.2.2 Shared Everyday Expressions,377,05-chapter-4-lexicon-and-semantics.md
4,4.3.10.2 Prepositional Calques352,382,05-chapter-4-lexicon-and-semantics.md
3,4.3.11 Ethnographic Vocabulary By ethnographic vocabulary we understand those items generally associated with folklore or traditional culture. At issue are terminologies for traditional practices,385,05-chapter-4-lexicon-and-semantics.md
2,4.4 Register and Style,386,05-chapter-4-lexicon-and-semantics.md
3,4.4.1 The Position of Turkish,387,05-chapter-4-lexicon-and-semantics.md
3,"4.4.2 The Position of Romani In the Balkans, as elsewhere, the marginalization of Romani speakers is reflected in the position of Romani elements in the various languages with which it has been in contact.368 These elements are informal, colloquial, slang and cryptolectal, and taboo. Thus, for example, in Bulgarian gádže ‘girlfriend’ from Romani gadží ‘non-",392,05-chapter-4-lexicon-and-semantics.md
3,"4.4.3 Slang, Cryptoglossia, Jargon",394,05-chapter-4-lexicon-and-semantics.md
3,4.4.4 Other Sources and Types of Register Differences,398,05-chapter-4-lexicon-and-semantics.md
1,Chapter 5: Phonology,,06-chapter-5-phonology.md
1,5 Phonology,399,06-chapter-5-phonology.md
2,5.0 Introduction,399,06-chapter-5-phonology.md
2,5.1 Some Background and Prospects,399,06-chapter-5-phonology.md
2,5.2 Localized Phonological Convergence and Bilingualism:,401,06-chapter-5-phonology.md
2,5.3 Localized Phonological Convergence and Bilingualism:,408,06-chapter-5-phonology.md
2,5.4 Proposed Phonological Balkanisms: A Survey With a specific mechanism – bi- and multilingualism – and the overriding,416,06-chapter-5-phonology.md
3,"5.4.1 (Nearly) Pan-Balkan Features: Vowels With respect to vowels, the features in (5.9a–f) figure prominently in discussions of",417,06-chapter-5-phonology.md
4,"5.4.1.1 Distribution of Balkan Vowel Features With regard to the distribution of these features around the Balkans, certainly the most comprehensive survey of the details of Balkan vowel systems is to be found in the excellent work of Sawicka 1997: 13–30. A key point to be extracted from her",419,06-chapter-5-phonology.md
4,5.4.1.2 Definitional Issues,423,06-chapter-5-phonology.md
4,5.4.1.3 Balkan Vowel Features and Naturalness,425,06-chapter-5-phonology.md
4,5.4.1.4 Relevant Historical Perspectives,426,06-chapter-5-phonology.md
4,5.4.1.5 Variable Realization of Features,427,06-chapter-5-phonology.md
4,5.4.1.6 Possible Contact Bases,429,06-chapter-5-phonology.md
4,"5.4.1.7 Summation In general, looking to vowel correspondences for something Balkanologically",432,06-chapter-5-phonology.md
3,"5.4.2 (Nearly) Pan-Balkan Features: Consonants With regard to consonants, the following have been proposed (5.10), though it",432,06-chapter-5-phonology.md
4,5.4.2.1 Distribution of Balkan Consonant Features,433,06-chapter-5-phonology.md
4,5.4.2.2 Definitional Issues,434,06-chapter-5-phonology.md
4,5.4.2.3 Balkan Consonant Features and Naturalness,435,06-chapter-5-phonology.md
4,5.4.2.4 Relevant Historical Perspectives,436,06-chapter-5-phonology.md
4,5.4.2.5 Variable Realization of Features,436,06-chapter-5-phonology.md
4,"5.4.2.6 Possible Contact Bases For the most part, the features listed in (5.10) are ones that are conceivably brought",437,06-chapter-5-phonology.md
4,5.4.2.7 Summation,437,06-chapter-5-phonology.md
3,5.4.3 Regional Features: Vowels62,438,06-chapter-5-phonology.md
4,"5.4.3.1 au > av/af (Grk, Aro; Jud) [KS102; EA95-6]",438,06-chapter-5-phonology.md
4,"5.4.3.2 Ø > a /#__C (Grk, Aro; Jud; Rmi) [KS103, PA, IS; EA95-6]",439,06-chapter-5-phonology.md
4,"5.4.3.3 Unstressed Initial Vowel Loss (Slv, Grk) [Selišč ev 1925: 49; IS]",440,06-chapter-5-phonology.md
4,"5.4.3.4 Preservation of Latin u as u (Rmn, Alb) [KS125] In the context of a discussion of convergent features found in both Albanian and Romanian, to the exclusion of the other languages, features which, as noted in §2.1,",441,06-chapter-5-phonology.md
4,"5.4.3.5 Treatment of Final Vowels (Rmn, Alb) [KS127, citing Meyer-",442,06-chapter-5-phonology.md
4,"5.4.3.6 Initial e > je (Rmn, Slavic; Megl, Grk, BalkanTrk) [KS146, HS131",442,06-chapter-5-phonology.md
4,5.4.3.7 ea or ä > e (vel sim.) when Followed by Front Vowel (Blg; Rmn;,443,06-chapter-5-phonology.md
4,"5.4.3.8 VV Sequences (Grk, Mac) [IS]",446,06-chapter-5-phonology.md
4,"5.4.3.9 Vowel “Reduction” (Blg, Mac, Grk, SDBR, Rmi, Jud) [FM,",447,06-chapter-5-phonology.md
4,5.4.3.10 Aromanian Monophthongization,449,06-chapter-5-phonology.md
4,5.4.3.11 Romani Centralization,449,06-chapter-5-phonology.md
3,5.4.4 Regional Features: Consonants83,450,06-chapter-5-phonology.md
4,"5.4.4.1 NT > ND (Grk, Aro, Alb) [FM, KS102-3, EA 109, HS131, EB51,",450,06-chapter-5-phonology.md
4,5.4.4.2 Elimination/Creation of Dental or Palatal Affricates (Grk; Rmi;,460,06-chapter-5-phonology.md
4,"5.4.4.3 Presence/Absence of ð θ γ (Grk, Alb, Aro, Mac, Rmi, Jud) [KS",464,06-chapter-5-phonology.md
4,"5.4.4.4 mj > mnj [mɲ] (Grk, Arv)116 [KS 104]",468,06-chapter-5-phonology.md
4,"5.4.4.5 sk > št, šč /__[+front] (Rmn, Blg, Mac, NGrk) [FM 7, KS 146]",468,06-chapter-5-phonology.md
4,"5.4.4.6 Loss of x/h (Mac, Alb, WRT, Rmi; BCMS) [IS 34–36]",470,06-chapter-5-phonology.md
4,5.4.4.7 Epenthetic Consonants in Clusters with Sonorants,472,06-chapter-5-phonology.md
4,"5.4.4.8 Laterals [FM 7, IS 32–33]",473,06-chapter-5-phonology.md
4,5.4.4.9 Rhotics (excluding Rhotacism),478,06-chapter-5-phonology.md
5,"5.4.4.9.1 l > r (Grk, Alb, Rmn, dialectal Slv) [FM 7, IS 33–34, PA 39]",478,06-chapter-5-phonology.md
5,"5.4.4.9.2 rn/rl > rr (trill) (Alb, Aro, dialectal Grk(?)) [KS 114–115]",481,06-chapter-5-phonology.md
5,"5.4.4.9.3 Loss of r/rr distinction (Aro, Alb, Rmi; Rmn, Jud) [IS 32]",482,06-chapter-5-phonology.md
4,5.4.4.10 Features Restricted to Albanian and Romanian (including,484,06-chapter-5-phonology.md
5,"5.4.4.10.1 kt/ks > pt/ps Schuchardt 1868: 49; KS 125, 126–127,",484,06-chapter-5-phonology.md
5,5.4.4.10.2 b > Ø /V__V [KS 125],487,06-chapter-5-phonology.md
5,5.4.4.10.3 w > b [KS 125],488,06-chapter-5-phonology.md
5,5.4.4.10.4 sk > zg [KS 125],489,06-chapter-5-phonology.md
5,"5.4.4.10.5 n > r /V__V [FM, KS 126–127, EB, IS 34, PA, SD]153",490,06-chapter-5-phonology.md
4,5.4.4.11 Dispalatalization or Dejotation in Romani,492,06-chapter-5-phonology.md
3,"5.4.5 Other Possible Phonological Balkanisms In this section, by way of rounding out the treatment of putative segmental Balkan",492,06-chapter-5-phonology.md
4,"5.4.5.1 Vowel Denasalization and Schwa (Mac, Blg, dialectal Alb) In §5.4.1.6 above, the ubiquity of stressed schwa in the phonologies of Balkan",492,06-chapter-5-phonology.md
4,"5.4.5.2 Word-Final Devoicing (Blg, Mac, Mtn, Trlk, Trk, Alb, NGrk,",495,06-chapter-5-phonology.md
3,5.4.6 Some Final Thoughts on Segments and the Balkans,498,06-chapter-5-phonology.md
2,5.5 Prosody,500,06-chapter-5-phonology.md
3,5.5.1 Prosodic Loss,501,06-chapter-5-phonology.md
3,"5.5.2 Accentual Realization, Mobility, and Adjustments in Domain",503,06-chapter-5-phonology.md
3,5.5.3 The Prosody of “Clitics”,510,06-chapter-5-phonology.md
3,5.5.4 Intonation,517,06-chapter-5-phonology.md
2,5.6 Morphophonemic Alternations,519,06-chapter-5-phonology.md
2,"5.7 Expressive Phonology For the most part, linguists tend to view sounds as just the incidental",527,06-chapter-5-phonology.md
2,"5.8 Conclusion By way of conclusion, it should suffice to note that the length of this present",534,06-chapter-5-phonology.md
1,Chapter 6: Morphology and Morphosyntax,,07-chapter-6-morphology-and-morphosyntax.md
1,6 Morphology and Morphosyntax: The Fate of Inflection and the Formation of Paradigms,535,07-chapter-6-morphology-and-morphosyntax.md
2,6.0 Introduction: The Question of Morphosyntactic Balkanisms,535,07-chapter-6-morphology-and-morphosyntax.md
2,6.1 Nominal Morphology and Morphosyntax,537,07-chapter-6-morphology-and-morphosyntax.md
3,"6.1.1 Case, an Overview: Loss, Maintenance, and Analytism",538,07-chapter-6-morphology-and-morphosyntax.md
4,"6.1.1.1 Accusative Developments In discussions of the accusative case, analytics such as subject/object, agent/",546,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.1.1 Accusative as the Casus Generalis after Prepositions,546,07-chapter-6-morphology-and-morphosyntax.md
5,"6.1.1.1.2 Preposition for DO In both Balkan Romance and in some Macedonian dialects, the morphosyntax of marking a direct object is or can be achieved by the use of an ostensible",549,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.1.3 Accusative/Dative Developments,555,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.1.1.3.1 Merger to Accusative Case Alone,556,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.1.1.3.2 Prepositional Realization of Dative,559,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.1.1.3.3 Other Developments with Accusatives and Datives,564,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.1.2 Genitive/Dative Developments,565,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.2.1 Language-Particular Formal Developments,566,07-chapter-6-morphology-and-morphosyntax.md
6,"6.1.1.2.1.1 Greek In Greek, for both nouns and pronouns, the genitive form replaced the dative form, in both the singular and plural, although the more usual way of describing this",566,07-chapter-6-morphology-and-morphosyntax.md
6,"6.1.1.2.1.2 Balkan Slavic In contrast to Greek, in Balkan Slavic there was generally a replacement of the genitive by the dative, but the genitive replaced the animate masculine (o-stem) and pronominal accusative – already attested, albeit not with complete consistency, in OCS – and eventually all or most accusative pronouns.51 Thus the old genitive",567,07-chapter-6-morphology-and-morphosyntax.md
6,"6.1.1.2.1.3 Balkan Romance In Balkan Romance, in a development that is evident only in masculine definite forms,",568,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.1.2.1.4 Albanian,569,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.1.2.1.5 Romani and Turkish,570,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.2.2 Chronological Considerations,572,07-chapter-6-morphology-and-morphosyntax.md
5,"6.1.1.2.3 Functional Considerations: Indirect Object From a functional standpoint, a merger of dative and genitive cases presents some",574,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.2.4 Functional Considerations: Possession62,576,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.1.2.4.1 Possession and the Genitive/Dative Merger,576,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.1.2.4.2 Other Means of Marking Possession,577,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.1.2.4.3 Reflexive Possession,582,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.1.2.4.4 Doubled Possession,585,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.2.5 Ethical Dative,586,07-chapter-6-morphology-and-morphosyntax.md
5,"6.1.1.2.6 Genitive and Dative Developments: Summation, Assessment, and Causation",589,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.1.3 Zero Marking,591,07-chapter-6-morphology-and-morphosyntax.md
5,"6.1.1.3.1 Goal and Location With certain motion verbs, a zero-marked nominal may be used as a goal in several of the languages. Thus in Macedonian, odam Bitola ‘I go to Bitola’ is possible with",591,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.3.2 Partitivity,593,07-chapter-6-morphology-and-morphosyntax.md
5,"6.1.1.3.3 Instrument In addition to the motion-related and partitival uses of a zero-marked nominal,",594,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.1.4 Vocative,595,07-chapter-6-morphology-and-morphosyntax.md
5,"6.1.1.4.1 Balkan Slavic In Balkan Slavic, distinct vocative forms, i.e., ones that are not syncretic with other",596,07-chapter-6-morphology-and-morphosyntax.md
5,"6.1.1.4.2 Greek In Greek, as in Slavic, the vocative is inherited from Proto-Indo-European, as far as",597,07-chapter-6-morphology-and-morphosyntax.md
5,"6.1.1.4.3 Albanian For the vocative, Albanian uses the indefinite nominative form of the noun, with or without a preceding vocative particle such as o, bre, more (m), moj (f).89 The particle o, which is stressed and has a distinct rising intonation, is especially",598,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.4.4 Balkan Romance,599,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.4.5 Romani,601,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.4.6 Turkish,602,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.4.7 Judezmo,602,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.4.8 Conclusions Regarding the Vocative,602,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.1.5 Other Case Developments: Further Mergers,603,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.5.1 Dative/Locative Merger,604,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.1.5.2 Genitive/Ablative Merger,606,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.1.6 Summation on Case Overall and a Consideration of Causation,607,07-chapter-6-morphology-and-morphosyntax.md
3,6.1.2 Referentiality,608,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.2.1 Deixis: Two versus Three Distinctions,609,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.2.2 Definiteness,616,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.2.2.1 Postposed Definiteness Marking,617,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.2.1.1 Balkan Slavic,620,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.2.1.2 Albanian,622,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.2.1.3 Balkan Romance,625,07-chapter-6-morphology-and-morphosyntax.md
6,"6.1.2.2.1.4 Where Greek Does, or Does Not, Fit In As the coda to (6.51) above in §6.1.2.2.1 shows, Greek does not have a postposed",629,07-chapter-6-morphology-and-morphosyntax.md
6,"6.1.2.2.1.5 Summation, and an Origin Story To some extent, at issue in trying to understand the origins of the postposed definite",633,07-chapter-6-morphology-and-morphosyntax.md
6,"6.1.2.2.1.6 More on Articles: Turkish, Romani, Celtic, Romanian, and More on Macedonian",635,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.2.2.2 Preposed Articles – An Ideological Interlude,637,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.2.3 Double Determination,639,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.2.4 Indefiniteness,643,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.2.4.1 ‘One’,643,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.4.1.1 Albanian For Albanian unstressed një (Geg nji) occurs as indefinite article in the earliest,644,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.4.1.2 Balkan Romance,644,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.4.1.3 Greek,644,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.4.1.4 Romani,645,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.4.1.5 Turkish,646,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.4.1.6 Balkan Slavic,646,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.2.4.1.7 The Indefinite Article as a Balkan Feature,648,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.2.4.2 Other Indefinites,648,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.2.5 Morphosyntactic Topicality and Focus,648,07-chapter-6-morphology-and-morphosyntax.md
3,6.1.3 Gender,649,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.3.1 Gender Distinctions,649,07-chapter-6-morphology-and-morphosyntax.md
4,"6.1.3.2 Borrowing, Calquing, and Other Contact Effects Involving",652,07-chapter-6-morphology-and-morphosyntax.md
3,6.1.4 Number,654,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.4.1 Spread of Turkish Plurals,654,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.4.1.1 South Slavic,655,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.4.1.1.1 Macedonian,655,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.4.1.1.2 Bulgarian,656,07-chapter-6-morphology-and-morphosyntax.md
6,6.1.4.1.1.3 BCMS (“Serbo-Croatian”),658,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.4.1.2 Albanian,658,07-chapter-6-morphology-and-morphosyntax.md
5,"6.1.4.1.3 Balkan Romance and Judezmo For Aromanian, an early attestation of a Turkish-based plural is the form",661,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.4.1.4 Greek,661,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.4.1.5 Romani,661,07-chapter-6-morphology-and-morphosyntax.md
5,6.1.4.1.6 -lar/-ler Summation,662,07-chapter-6-morphology-and-morphosyntax.md
4,"6.1.4.2 Other Plural Inflections In a few of the languages, and thus on a far less extensive basis than what is seen with the Turkish plural marker (§6.1.4.1), plural markers occur that are borrowed from other Balkan languages.180 Several instances, involving different source",662,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.4.3 Number and Politeness,664,07-chapter-6-morphology-and-morphosyntax.md
3,6.1.5 Adjectives – Gradation,665,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.5.1 Balkan Slavic,667,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.5.2 Balkan Romance,667,07-chapter-6-morphology-and-morphosyntax.md
4,"6.1.5.3 Greek In addition to the analytic pattern seen in Table 6.15, Greek has synthetic forms in the comparative with the suffix -τερος that remain in competition with the innova-",668,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.5.4 Turkish and Turkic,669,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.5.5 Romani,670,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.5.6 Miscellaneous Differences,671,07-chapter-6-morphology-and-morphosyntax.md
4,6.1.5.7 Summation on Gradation,672,07-chapter-6-morphology-and-morphosyntax.md
3,6.1.6 Nominal Analytism – The Matter of Causation,672,07-chapter-6-morphology-and-morphosyntax.md
2,"6.2 Verbal Morphology and Morphosyntax In discussing Balkan contact phenomena in the verb, we can distinguish five",673,07-chapter-6-morphology-and-morphosyntax.md
3,6.2.1 Tense,673,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.1.1 The Morphology of Tense–Person Markers,674,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.1.1.1 Romani from Turkish (and Possible Slavic Influence),675,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.1.1.2 Romani from Greek and Bosnian-Croatian-Montenegrin-,678,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.1.1.3 Meglenoromanian from Macedonian,678,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.1.1.4 Albanian from Macedonian,680,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.1.1.5 Common Albanian and Latin,681,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.1.1.6 Bulgarian and the Greek Future Marker,681,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.1.2 Absolute/Relative Tense213,681,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.1.3 Simplex versus Analytic Pasts,683,07-chapter-6-morphology-and-morphosyntax.md
3,"6.2.2 Aspect: Aktionsart, Superordinate, Subordinate222",686,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.2.1 Aorist/Imperfect,687,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.2.1.1 Subordinate Aspect: Aromanian from Albanian,689,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.2.2 Perfective/Imperfective230,689,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.2.2.1 Perfective/Imperfective: Meglenoromanian from Macedonian,692,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.2.2.2 Aktionsart~Perfective/Imperfective: Romani from Slavic,693,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.2.2.3 Aspect Neutralization: Macedonian from Aromanian (with Albanian and Greek),693,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.2.3 Intersection of Superordinate Aspect and Mood,696,07-chapter-6-morphology-and-morphosyntax.md
5,"6.2.2.3.1 Macedonian In standard Macedonian and the dialects on which it is based, the perfective present and perfective imperfect occur only in subordination to eight modal particles and related words (after Kramer 1986; see also Friedman 2002c; see Table 6.20).241",697,07-chapter-6-morphology-and-morphosyntax.md
5,"6.2.2.3.2 Bulgarian In Bulgarian, the perfective present and the perfective imperfect can occur after the same set of particles (or their equivalents, mutatis mutandis, viz. da, šte, neka, ako,",697,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.2.3.3 Greek,699,07-chapter-6-morphology-and-morphosyntax.md
5,"6.2.2.3.4 Conclusion For the purposes of this volume, the question is to what extent are any similarities",701,07-chapter-6-morphology-and-morphosyntax.md
4,"6.2.2.4 Progressive: Albanian, Turkish, Macedonian, Balkan",701,07-chapter-6-morphology-and-morphosyntax.md
3,6.2.3 Taxis and Resultativity: Pluperfect and Perfect In this section we accept Jakobson’s 1957 definition of taxis as specifying the relationship of two narrated events. Resultativity denotes the category encoding,705,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.3.1 Albanian,706,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.3.2 Balkan Romance and Balkan Slavic,708,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.3.2.1 Macedonian and Aromanian,709,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.3.2.2 Bulgarian and Romanian,710,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.3.3 Greek,712,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.3.4 Greek and Romani,714,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.3.5 Judezmo,714,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.3.6 Turkish,715,07-chapter-6-morphology-and-morphosyntax.md
3,"6.2.4 Mood: Futures, Conditionals, and Volitionals",715,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.4.1 Futures: An Overview,715,07-chapter-6-morphology-and-morphosyntax.md
5,"6.2.4.1.1 Greek For Greek, ἔχω ‘have’ and μέλλω ‘be about to’ + infinitive emerged as the main",717,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.1.2 Romance,720,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.1.3 Slavic,721,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.1.4 Albanian,722,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.1.5 Romani,724,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.1.6 West Rumelian Turkish,726,07-chapter-6-morphology-and-morphosyntax.md
5,"6.2.4.1.7 Judezmo In the case of Balkan Judezmo, the crucial datum is the favoring of analytic over",726,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.1.8 Futures: Summary,727,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.4.2 Conditionals: An Overview289,729,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.2.1 Balkan Slavic,735,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.2.2 Balkan Romance,738,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.2.3 Albanian,744,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.2.4 Greek,747,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.2.5 Romani,753,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.2.6 West Rumelian Turkish and Gagauz,755,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.2.7 Judezmo,757,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.2.8 Attenuated Conditionals and Modal Aorists,758,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.2.9 Conditionals: Summary,762,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.4.3 Volitionals,765,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.3.1 Synthetic Optatives,765,07-chapter-6-morphology-and-morphosyntax.md
6,"6.2.4.3.1.1 Perfects as Optatives In Balkan Slavic, as well as the rest of South and West Slavic, the old perfect can",766,07-chapter-6-morphology-and-morphosyntax.md
6,6.2.4.3.1.2 Balkan Romance Subjunctive in an Optative Expression334,766,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.3.2 Analytic Optatives,768,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.3.3 Hortatives,770,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.4.3.4 Imperatives and Prohibitives,771,07-chapter-6-morphology-and-morphosyntax.md
6,"6.2.4.3.4.1 Superordinate Aspect and Imperatives In principle, imperatives are subject to the same aspectual expectations as indica-",772,07-chapter-6-morphology-and-morphosyntax.md
6,6.2.4.3.4.2 Number and Imperatives,773,07-chapter-6-morphology-and-morphosyntax.md
3,"6.2.5 Evidentiality, an Overview In a Balkan context, evidentiality (inferential, distance, mode of indirect narration,",774,07-chapter-6-morphology-and-morphosyntax.md
4,"6.2.5.1 Turkish and Balkan Slavic In both Turkish and Bulgarian, the same form can still be both a perfect participle and an evidential, whereas in Macedonian, the l-form is no longer a participle and can only be used to form analytic paradigms, the verbal adjective (descended from the old past passive participle but now derivable from any verb, both transitive and intransitive) having replaced any participial uses of the verbal l-form. The differ-",775,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.2 Judezmo,779,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.3 Romani,780,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.4 Meglenoromanian,787,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.5 Albanian,788,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.6 Aromanian: The Frasheriote Dialect of Bela di Suprã,795,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.7 The Romanian Presumptive,799,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.8 The Aromanian Presumptive,802,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.5.8.1 The Aromanian Presumptive: Description,803,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.5.8.2 The Aromanian Presumptive vis-à-vis the Romanian,805,07-chapter-6-morphology-and-morphosyntax.md
5,6.2.5.8.3 The Aromanian Presumptive as a Balkanism,806,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.9 Novo Selo Bulgarian,807,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.10 Greek,809,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.5.11 Evidentiality: Summary,811,07-chapter-6-morphology-and-morphosyntax.md
3,6.2.6 Voice and Valency,812,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.6.1 Nonactive Parallelisms,812,07-chapter-6-morphology-and-morphosyntax.md
4,6.2.6.2 Lability381,816,07-chapter-6-morphology-and-morphosyntax.md
