form	count
*u̯eǵh-	1
*uχs-edi̯o-	1
*uχs-u̯eχt-(i)i̯o-/-ū	1
*uχsamūd	1
*uχsu̯ei̯ti̯o-/-ū	1
*uϕo-skāt-(i)i̯o-	1
*ϕare-	1
*ϕare-u̯aχt-(i)i̯o-	1
*ϕars-	1
*ϕarsnā-	1
*ϕarsnās	1
*ϕelant-	1
*ϕod-	1
*ϕras-	1
*ϕri-sant-	1
*ϕro-bid-s-e-ti	1
-(n)Ktii̯-	1
-(n)s̪s̪-	1
-<T>	1
-ai̯s-/-ai̯z-	1
-ai̯t-	1
-aχt-	1
-e-i̯o/e-	1
-eh1-i̯o/e-	1
-ei̯	1
-ii̯o-	1
-i̯-	1
-i̯-ei̯	1
-i̯o/e-	1
-i̯oko-	1
-i̯ti̯-	1
-i̯āko-	1
-nt(i)i̯-	1
-nt(i)i̯o-	1
-ntii̯-	1
-nti̯	1
-ou̯a-	1
-ru̯-	1
-rβ-	1
-s.i̯-	1
-s.si̯-	1
-snā-derivatives	1
-sā-	1
-s̪	1
-t(i)i̯-	1
-teh2	1
-tii̯-	1
-ti̯-.9	1
-tōr-	1
-uu̯a-	1
-Vi̯t-	1
-Vi̯ti̯-	1
-Vi̯ti̯V-	1
-Vti̯V-	1
-Vχti̯V-	1
-ā-(i̯)-e-	1
-ā-(i̯)-ē-	1
-θ/-s̪	1
-σκόος	1
-χs-	1
-χt(i)i̯-	1
-χti̯-	1
/ae̯/	1
/ku̯/	1
/ε/	1
<A>.36	1
<AI>	1
<C>	1
<CAIZI>	1
<d>.47	1
<dekez>	1
<F	1
<II>	1
<IS>/<IS>	1
<ITI>	1
<N>	1
<NTI>	1
<nti>	1
<RB>	1
<ss>	1
<T	1
<tegez>	1
<V	1
<V>	1
<XS>	1
<z>/<S>	1
<ś>	1
<ζ>	1
<χ>	1
A.15	1
A.36	1
A.45	1
A.48	1
A.51	1
A.57	1
A.58	1
A.76	1
A.77	1
A.78	1
A.86	1
ABLAIDACORVM	1
ACCVT[I	1
ACILIA	1
ACISIVS	1
ADDEDOMARI	1
ADSEDI	1
ADSEDILI	1
adsertorī	1
AELANDI	1
AMBACTVS	1
AMBATI	1
AMBATVS	1
AMBAXTVS).32	1
AMMONIS	1
AN-	1
ana-nanþjan	1
ANDAETI	1
ANDETI	1
ANNAE	1
ANNETIA	1
ANNETIS	1
ANNVAE	1
AROCI	1
ARRAEDO	1
ARVATIVS	1
ASSEDOMARI	1
ATSERT[O]/RI	1
ATSERTORI	1
AVCALI/Q(VM	1
AVDINTVM	1
B-1	1
BEDAM	1
BERISAMO	1
BLETISAM(ENSES	1
Bolśken	1
BRACIACAE	1
BVGAN-	1
BVRDO	1
C(VRAVIT	1
C.N.R.S	1
C/AITAE	1
CAECILII	1
CAECILIO	1
CAITTA	1
CAIZIIA	1
CAPITALS	1
CAR	1
CAV[C(ENSI	1
caveō	1
CAXTOS.39	1
CLVNIENSIVM	1
CONTAECA	1
CONTAI	1
CONTATIA	1
COSSVE	1
Cōsus	1
Cōsuālia	1
DEDERO	1
DEDRON	1
DEO	1
dhh1-tó-	1
dhāk	1
DIOCAITO	1
DOMITIA	1
DVRE/TA	1
DVREITA	1
DVRETA	1
E(L)ANDI	1
E(ST).41	1
E>(ILIA	1
E[L]ANDI	1
E]LASVS	1
EDCP	1
EDCS	1
EDCS-00380519	1
EDCS-03700402	1
EDCS-03700465	1
EDCS-11401186	1
EDCS-11701112	1
EDCS-22800201	1
EDCS-51400615	1
EDCS-78600062	1
ELANTIA	1
ELANTIAE	1
ELARCORVM	1
ELLICO	1
ELVRAEZI	1
ELVRINI	1
ENI.OROSEI	1
ERPB	1
esperans̪a	1
EST	1
EVTIC(H)IAE	1
F(ACIENDVM	1
FECED	1
FILIO	1
FVGANTIVS	1
G(-	1
GABAS	1
IA/NES	1
ii̯ā	1
IN-	1
ISARGYRI	1
