form	count
mē	1
mīscellus	1
mōns	1
nemō	1
Numestranī	1
Numσina	1
nāmaiieiti	1
omatriaš	1
pangō	1
parsī	1
pepercī	1
PRAENESTE	1
rāján-	1
rēxī	1
sarśeś	1
scicidī/scidī	1
scindō	1
SCREW	1
surrēgī	1
tetulī	1
tetulī/tulī	1
tongitiō	1
tulī	1
TURN	1
turśikina	1
tēd	1
tōr	1
VHE[CED	1
vitulā	1
éi̯e/o-3	1
ð-e/o-	1
āridus	1
śminθi	1
αfακειτ	1
αδδακετ	1
Δ]ώ[μ]ατρος	1
δαρνακει	1
δεδετ	1
δοι	1
θanaχvilus	1
κ-perfect	1
καλō	1
καλός	1
καὶ	1
λάρναξ	1
μαμερτοι	1
μόνος	1
μ’	1
μ’)ἀνέθηκε	1
μ’ἀνέθηκε	1
νέμεσις	1
Νέμων	1
νεfικεδ	1
Νεμέριος	1
Νεμέσιος	1
νεμέτωρ	1
Νεμωνίδαι	1
Νεμώνιος	1
νομάδες	1
νομή	1
Νομιστήριον	1
νομο[νοσ	1
νομός	1
Νουμίστρων	1
Νουμίστρων/Numistro	1
νυμψ-	1
σμινθεύς	1
τέτευχα	1
τετευχώς	1
ἀνέθηκε	1
ἔθηκα	1
ἔθηκε	1
ἔθηκε.1	1
ἧκα	1
ὄνυμα	1
ὤρεξα	1
†-fō	1
†<arnemetiae>	1
†arsom	1
†deded	1
†febak-	1
†laciō	1
†manis	1
†taseoio	1
†taseosio	1
