form	count
*h1i̯-n̥t-	1
*h1n̥ter-	1
*h1su-ǵenh1-és	1
*h2(e)ngu̯h-i-	1
*h2eiu̯-es	1
*h2eiu̯-es-í	1
*h2eiu̯-ōs	1
*h2msosio-	1
*h2n̥-	1
*h2omVso-	1
*h2stēr-s	1
*i̯-n̥t-s	1
*i̯ant-	1
*i̯ant-s	1
*kapid-n̥s	1
*katerrā	1
*kateru̯ā	1
*katesim	1
*kenk-to-	1
*kens-e-	1
*kens-tōr-	1
*ker-s-ó-	1
*kerez-ēi̯	1
*kerro-	1
*kers-ii̯o-	1
*kers-snā	1
*kersó-	1
*kert-snā	1
*kertesnā	1
*kerts-	1
*kerVz-ii̯o-	1
*kerVzV-	1
*kom-st-	1
*kon	1
*kon-sent-s	1
*koniso-	1
*konsē-	1
*ku̯	1
*ku̯ei̯s-	1
*ku̯ei̯s-i-	1
*ku̯enku̯-noi̯	1
*ku̯is-ei̯-	1
*ku̯isi-h1n-o-	1
*ku̯isi-i-t-	1
*ku̯oŋku̯e	1
*k̑erh1/3-	1
*mai̯s	1
*mai̯stro-	1
*martii̯o-	1
*med-es-to-	1
*mefnV-	1
*meh1n-es(-i	1
*meh1n-es-m̥	1
*meh1n-s-	1
*mei̯tizVmo-	1
*mei̯tīmo-	1
*mh1n-s-és	1
*mins	1
*minstro-	1
*mones-tr/lo-	1
*mons-tlo-	1
*mē(n)zenV-	1
*mē(n)znV-	1
*mēfV-	1
*mēn-es-	1
*mēn-es-en	1
*mēn-es-n-ei̯	1
*mēn-es-o-	1
*mēn-es-ō(n	1
*mēn-es-ō(n)55	1
*mēn-s-	1
*mēn-s-(e)n-i	1
*mēnes-ō(n)56	1
*mēnesnV-	1
*mēneznV-	1
*mēnnV-	1
*mēns-n-	1
*mēnsnV-	1
*mēnso-	1
*mēnsV-	1
*mēntsV-	1
*mēnā	1
*mēznV-	1
*mĕstruom	1
*mŏstrom	1
*nedz-	1
*nedzizVmo-	1
*ner-n̥s	1
*nes-tero-	1
*nessistro-	1
*nessīmo-	1
*nezd-ism̥Ho-	1
*nomh1-is-tero-	1
*nsós	1
*numasii̯o-60	1
*n̥-	1
*omeso-	1
*op(i)-stend-s-	1
*op(i)-sī-	1
*op-s-	1
*panivúf	1
*parazV-	1
*parVzV-	1
*patna-sē-	1
*patn̥sē-	1
*ped-f	1
*peh2-dhleh2	1
*prassā	1
*prārā	1
*prāsā	1
*pr̥H-es-eh2	1
*pr̥H-ti-	1
*pāplā	1
*pāβlā	1
*pīd-es-	1
*pīātos	1
*sei̯k-	1
*seku̯-	1
*smerwa-	1
*soi̯k-	1
*soi̯kā	1
*sou̯ōd	1
*sp-	1
*spe/orǵhu-	1
*sperǵh-	1
*splend-tu-	1
*spn̥d-to-	1
*sporH-g-	1
*sporH-u̯-on-	1
*spr̥H-n̥t-	1
*spr̥H-s-ó-	1
*spr̥H-ó-	1
*spVr-u̯o-	1
*spēru̯eh2	1
*sta-ē-nt-s	1
*sφrāu̯o-	1
*sφrăgu̯o-74	1
*sφrău̯o-73	1
*tareŋkri-	1
*tarn(o)-okri-βos	1
*ten-ti̯-ā-tro-	1
*ten-Vs-	1
*tenes-n̥t-ii̯o-	1
*tenes-ē-nt-ii̯o-	1
*tenesā-	1
*tenesā-tr-ii̯o-	1
*tenos	1
*terso-	1
*teu̯teros	1
*tond-tōr	1
*torsē-	1
*trans	1
*trH̥-nt-	1
*trins	1
*trănts	1
*trīf	1
*trīs	1
*tr̥(H)-no-	1
*tr̥H-no-	1
*tr̥H-n̥t-	1
*tēnsāre	1
*u̯al-ant-	1
*u̯en(H)-es-	1
*u̯ertstōr-	1
*u̯es-tero-	1
*u̯etesk-	1
*u̯lant-	1
*u̯lH̥-nt-	1
*u̯ln̥t-éi̯	1
*u̯l̥h2n̥t-éi̯	1
*u̯l̥Hti-	1
*u̯l̥Hti̯-ō(d	1
*u̯l̥ti-	1
*u̯u-	1
*ē-	1
*ōf	1
*ǵenh1su-	1
*ǵheu̯-	1
*πένσμα	1
*σπαρF-άσιον	1
*φrati-	1
*φαῖδος	1
-(V)θ	1
-<(n)zs>	1
-<E>	1
-<ltz>	1
-<nss>-	1
-<ntz>	1
-<om>	1
-<s>	1
-<úm>	1
-C.u̯-	1
-mā̊ŋh-a-	1
-nþ	1
-nδ	1
-oss/-ūss	1
-rβ-	1
-s̪-	1
-tōr	1
-tōr-	1
-u̯-	1
-u̯-72	1
-u̯o-	1
-V͂ss	1
-V͂s̪	1
-ā-stem	1
-ā-tro-	1
-āf	1
-āfs	1
-āss	1
-ē	1
-ē-	1
-ēf	1
-ēns	1
-ēr	1
-īs	1
-ō	1
-ọ̄f	1
-ọ̄f/-ọ̄s	1
-ŏ/ō-	1
-ū	1
-ƀ	1
-άσιον	1
-θ	1
-θ-	1
-κ	1
-ωμ	1
/ghu̯/	1
/me:no:hei̯a/	1
/u̯/93	1
/ǵhu̯/	1
<<	1
<a-an-za-a-aš-ša->	1
<an-za-a-aš>	1
<D>	1
<da-aš-šu->	1
<DD>	1
<e>	1
<ge-en-zu>	1
<ha-aš-	1
<LL>	1
<ms>	1
<n>	1
<N>	1
<NS>41	1
<om>	1
<paplamtensatriiam>	1
<pransa>	1
<rz>	1
<s>-	1
<t>	1
<u>/<v>	1
<zs>81	1
<úm>	1
<ε>	1
<ει>	1
<ζ>/<σ>	1
<νζ>	1
<σ>/<σσ>	1
<σδ>	1
<ω>	1
a..i.su.ś	1
a.n.śore.s	1
A11	1
A21	1
a:z̞a	1
ACQVA	1
AETATE	1
AISOS	1
AMATEN/S	1
anhēlus	1
ANSERIATO	1
APPENDIX	1
AR(S)FERTVR	1
ASERIATO	1
ati-rātr-a-	1
atriiam>	1
AVEF	1
AVEIF	1
AVIATAS	1
AVIF	1
B11	1
B14	1
BABV17	1
BAE-	1
Baeduī	1
BANSAE	1
BC47	1
both24	1
CAPIF	1
CENSAZET	1
CER<EI>	1
Cererī	1
cereālis	1
CERFVM	1
CERRIA	1
CESOR	1
cliēns	1
Cl̥HC-	1
COMITATENSSI	1
con-tentiō	1
condō	1
COSOL	1
cāsus	1
cēna	1
cēnseō	1
cēnsor	1
cīnctus	1
cōnsentes	1
cōnsentēs	1
cōnsol	1
cōnsulere	1
cōnūbium52	1
CŔ̥H.C-	1
D]O[NOM	1
DARI	1
DEDIT	1
dei̯u̯ot-s	1
DERSVA	1
deī	1
deōs	1
dheh1-tor-	1
dēnsus	1
Dī	1
EDG	1
EEFA]-	1
ei̯	1
ens-ē-	1
erh1/3es-	1
erh1/3es-ó-	1
erh1/3esó-	1
es:kants:i̯om	1
ESVF	1
eās	1
FERENTER	1
FERET6	1
FISO	1
FLVSARE	1
flōz-es)30	1
FORMONSVS	1
FVTTVERE	1
fēnsus	1
fēnus	1
fακτιεδ	1
Fερσορει	1
fλουσοι	1
Fουρουστ	1
fυfυFοδ	1
ghh1u̯o-	1
GO-(PRT)-AND-VERB	1
GVANDOS	1
homō	1
iafc/ιαf	1
IAFC/ιαf(κ	1
IANNVARIVS	1
ii̯ant-	1
inscendō	1
inscēnsiō	1
intermēstris	1
IO-	1
IOVIA<I>	1
IOVIAI	1
kersna<t>iais	1
kursärwā/kurtsru	1
LECIONIBVS	1
LIBENS	1
LIXS	1
ln̥t-éi̯	1
LSRL	1
MAROVCAI	1
MARTSES	1
MEDDIS	1
meh1nes-	1
MENSSES	1
MERITO	1
MERSTO	1
MESSES	1
minuō	1
moneō	1
mās	1
mā̊ŋha-	1
mēnes(i)s	1
mēns-i-	1
mēnsa	1
mēnsis	1
mēnstruum	1
Mēnā	1
mōns	1
mōnstrum	1
mōnstruum	1
mōstellāria	1
NIPIS	1
nx-noi̯	1
n̥s-eh1-	1
O.C	1
O.T	1
OCRIS	1
OCS	1
ons-ei̯o-nt-	1
OSINS	1
OSTENSENDI	1
PACRIS	1
PARFA	1
parā-	1
parā-yäkre	1
parēns	1
patrēs	1
PED/I	1
PEDI	1
PEOI	1
PIOI	1
PRAE-	1
prōcērus	1
pābulum	1
pārā	1
Quirīnus	1
Quirītes	1
quīntus	1
qām	1
REGEN[--	1
reh1-ro-	1
RV-	1
r̥	1
r̥h3-s-ó-	1
sanciō	1
scānsus	1
SENTID	1
SEVACNE(F	1
sin-cērus	1
skand-tei̯-o-	1
snou̯ð/β-ii̯o-	1
snō	1
SPEFA	1
STEB	1
SVAE	1
SVAM	1
sēmestris	1
s̞	1
t-na-sē-	1
ta<v>ffúd	1
TA[G]A	1
TATSORIAE	1
te-er-za>	1
tendō	1
tensatriiam>	1
tenāculum	1
tenōr	1
torreō	1
trimēstris	1
trānō	1
TVRSA	1
TVRSE	1
TVRSITV	1
tēnsa	1
tōnsor	1
tεnts	1
tεnz	1
u̯-	1
u̯lV-	1
V.9	1
VENALINAM	1
VIA<I>	1
Vijūnas	1
VOLSA	1
VOLSARIA	1
VOLSO	1
VOLSONI	1
vīverra	1
WWII	1
ZICOLOM	1
çersiā-	1
ā-śa	1
āfs	1
āntse	1
āra	1
āsa	1
āss	1
ē-	1
ēnsis	1
ērh1o-	1
ēscēnsiō	1
ī(x)noi̯	1
ī(x)tos	1
īn-sanus	1
īnscēnsiō	1
ōrāculum	1
śardha-	1
śerwe	1
šihitu	1
žmogùs	1
ǵheH-	1
́R.H	1
́RH.C-	1
αιζνιω	1
αυτ	1
αἰεί	1
αἰές	1
αὐτῶν	1
βᾱς	1
διατενής	1
ειζιδομ	1
εισειδομ	1
εστουδ	1
ια	1
ιαf(κ	1
ιαfκ	1
ιουfετουδ	1
κFαιστορ	1
κίστην	1
κατ’	1
κορρα	1
κωσσανω	1
κόρη	1
κϝαιστορ	1
λαβέ	1
λαβών	1
λαβὼν	1
λοπουσ	1
μήν	1
μήνη	1
μαμερττοι	1
μανο[υμ	1
μεια	1
μολὼν	1
μ’οὐ	1
να[σ	1
Νιυμσδιηις	1
Νουμίστρων	1
νυμψδοι	1
ξύλλαβε	1
ορρος	1
ου]στ	1
Π-Σ	1
πίδαξ	1
περ’	1
πεῖσμα	1
πιάνω	1
πιδ	1
πιζηι	1
πις	1
πονδιουμ	1
πρέσγυς	1
πωμπονις	1
πύργος	1
σποργίλος	1
σπέργουλος	1
τάσις	1
τάφος	1
τέτευχα	1
τί	1
τετευχώς	1
τύμβος	1
τὴν	1
φαίδει	1
φαιδρός	1
φενσερ/fensernum	1
ϝεζεις	1
ϝενζηι	1
ἀ-κερσε-κόμης	1
ἀρχίζω	1
ἁλί	1
ἐκτείσαιτ’	1
ἐμὴν	1
ἐν	1
ἐνάλιος	1
ἐξάγγελλ’	1
ἔκτεινας	1
ἰγνύη	1
ἰγνύσι	1
ἰών	1
ἰὼν	1
ὄρος	1
ὄψει	1
ὅσην	1
ὕβριν	1
†AGINVD	1
†BANTIAE	1
†EAFC	1
†eeskazsíum	1
†flant-	1
†iseçetes	1
†kvaisstur	1
†kúnsef	1
†parva	1
†uolsu	1
†ειαf	1
†σπαλάσιον	1
