category	form	line	pdf_page	source_page	context
slash_phonemic	/sed-e:-se, sed-su-m/	1914	pdf-115	99	/sed-e:-se, sed-su-m/        sedēre, sessum        ‘to sit’
slash_phonemic	/lu:d-e-se, lu:d-su-m/	1915	pdf-115	99	/lu:d-e-se, lu:d-su-m/       lūdere, lūsum         ‘to play’
slash_phonemic	/hais-e:-se, hais-su-m/	1916	pdf-115	99	/hais-e:-se, hais-su-m/       haerēre, haesum       ‘to cling’
slash_phonemic	/ts/	1921	pdf-115	99	Two relevant rules apply to ‘laughed’, etc.: first /ts/, /ds/ →[ss] (as in ‘shook’), then [ss] is reduced to [s] if anything other than a short vowel immediately precedes.10 It can be seen that the rules are in counterfeeding order because the rule simplifying geminate [ss] was added to the grammar 
slash_phonemic	/ds/	1921	pdf-115	99	Two relevant rules apply to ‘laughed’, etc.: first /ts/, /ds/ →[ss] (as in ‘shook’), then [ss] is reduced to [s] if anything other than a short vowel immediately precedes.10 It can be seen that the rules are in counterfeeding order because the rule simplifying geminate [ss] was added to the grammar 
bracket_phonetic	[ɣ, β]	1925	pdf-115	99	We have very few Germanic documents from the low countries before the thirteenth century; adequate description must therefore begin with that period, conventionally called “Middle Dutch” (MD). By then word-final obstruents had already been devoiced and were usually written with symbols for voiceless
reconstructed_star	*Table	1929	pdf-116	100	**Table 5.12 Word-final devoicing in Middle Dutch**
reconstructed_star	*gōd	1933	pdf-116	100	goet ‘good’               <   *gōd (OE, OS gōd, OHG guot)
reconstructed_star	*handu	1934	pdf-116	100	hant ‘hand’               <   *handu (OE, OS hand, OHG hant)
reconstructed_star	*ward	1935	pdf-116	100	wart ‘it became’ < *ward   <   *warþ (OE wearþ, OS, OHG ward)
reconstructed_star	*warþ	1935	pdf-116	100	wart ‘it became’ < *ward   <   *warþ (OE wearþ, OS, OHG ward)
reconstructed_star	*þing	1936	pdf-116	100	dinc [dɪŋk] ‘thing’         <   *þing (OE þing, OS thing, OHG ding)
bracket_phonetic	[dɪŋk]	1936	pdf-116	100	dinc [dɪŋk] ‘thing’         <   *þing (OE þing, OS thing, OHG ding)
reconstructed_star	*sang	1937	pdf-116	100	sanc ‘(s)he sang’           <   *sang (OE, OHG sang)
reconstructed_star	*dag	1938	pdf-116	100	dach [dax] ‘day’           <   *dag (OE dæġ, OS dag, OHG tag)
bracket_phonetic	[dax]	1938	pdf-116	100	dach [dax] ‘day’           <   *dag (OE dæġ, OS dag, OHG tag)
