entry_number,first_author_or_label,year,printed_page_start,printed_page_end,pdf_page_start,pdf_page_end,reference
144,Keiling,1976,337,337,348,348,"Keiling, H. (1976). ‘Die Entstehung der Jastorfkultur und zeitgleicher Kulturen im RheinWeser-Gebiet und deren geographische Verbreitung’, in Krüger, B. et al., Die Germanen, Band I (Berlin: Akademie-Verlag) 83–102."
145,Kellens,1984,337,337,348,348,"Kellens, J. (1984). Le verbe avestique. Wiesbaden: Reichert. Kim, R. (2000a). ‘ “To drink” in Anatolian, Tocharian, and Proto-Indo-European’, Historische Sprachwissenschaft 113: 151–70. Kim, R. (2000b). ‘Reexamining the prehistory of Tocharian B “ewe” ’, Tocharian and Indo-European Studies 9: 37–43."
146,Kim,2001,337,337,348,348,"Kim, R. (2001). ‘Tocharian B śem ≈ Latin vēnit? Szemerényi’s Law and *ē in PIE root aorists’, Münchener Studien zur Sprachwissenschaft 61: 119–47."
147,Kim,2002,337,337,348,348,"Kim, R. (2002). Topics in the reconstruction and development of Indo-European accent. Ph.D. dissertation, University of Pennsylvania."
148,Kim,2007,337,337,348,348,"Kim, R. (2007). ‘The Tocharian subjunctive in the light of the h₂e-conjugation model’, in Nussbaum (2007) 185–200."
149,Kim,2008,337,337,348,348,"Kim, R. (2008). ‘An individual twist on the individualizing suffix: definite n-stem nouns in Pontic Greek’, Glotta 84: 72–113."
150,Kim,2009,337,337,348,348,"Kim, R. (2009). ‘On the prehistory of Old English dyde’, in Krygier, M., and Sikorska, L. (edd.), Þe comoun peplis language (= Mediaeval English Mirror 6; Frankfurt am Main: Peter Lang) 9–22. Kim, R. (2012a). ‘The Indo-European, Anatolian, and Tocharian “secondary” cases in typological perspective’, in Cooper, A. I., Rau, J., and Weiss, M., Multi nominis grammaticus: studies in Classical and Indo-European linguistics in honor of Alan J. Nussbaum (Ann Arbor: Beech Stave Press) 121–42. Kim, R. (2012b). ‘The PIE thematic animate accusative plural revisited’, in Sukač and Šefčík (edd.) 2012: 144–58."
151,Kim,2014,337,337,348,348,"Kim, R. (2014). ‘A tale of two suffixes: *-h₂-, *-ih₂-, and the evolution of feminine gender in Indo-European’, in Neri and Schuhmann (edd.) 2014: 115–36."
152,Kim,2010,338,338,349,349,"Kim, R., Oettinger, N., Rieken, E., and Weiss, M. (edd.) (2010). Ex Anatolia lux: Anatolian and Indo-European studies in honor of H. Craig Melchert. Ann Arbor: Beech Stave Press."
153,Kimball,1987,338,338,349,349,"Kimball, S. (1987). ‘*H₃ in Anatolian’, in Cardona, G., and Zide, N., Festschrift for Henry Hoenigswald (Tübingen: Narr) 185–92."
154,Kimball,1988,338,338,349,349,"Kimball, S. (1988). ‘Analogy, secondary ablaut and *OH₂ in Common Greek’, in Bammesberger (ed.) 1988: 241–56."
155,Kiparsky,1995,338,338,349,349,"Kiparsky, P. (1995). ‘The Indo-European origins of Germanic syntax’, in Battye, A., and I. Roberts, Clause structure and language change (Oxford: Oxford University Press) 140–69."
156,Kiparsky,2009,338,338,349,349,"Kiparsky, P. (2009). ‘The Old High German weak preterite’, in Steinkrüger, P. O., and Krifka, M. (edd.), On inflection (Berlin: Mouton de Gruyter) 107–24."
157,Klingenschmitt,1975,338,338,349,349,"Klingenschmitt, G. (1975). ‘Tocharisch und Urindogermanisch’, in Rix (ed.) 1975: 148–63."
158,Kloekhorst,2008,338,338,349,349,"Kloekhorst, A. (2008). Etymological dictionary of the Hittite inherited lexicon. Leiden: Brill."
