section,subsection,group,entry,page_refs,notes,raw_entry,source_line_start,source_line_end
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*hwētaną,106; 278,"106, 278","*hwētaną 106, 278",1596,1596
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*hwīlō,97,97,*hwīlō 97,1597,1597
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*hwōpaną,279 (princ. parts),279 (princ. parts),*hwōpaną 279 (princ. parts),1598,1598
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-i (cons.-stem dat. sg.),225,225,*-i (cons.-stem dat. sg.) 225,1599,1599
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-i- ~ *-ja- (pres. stem suffix),201,201,*-i- ~ *-ja- (pres. stem suffix) 201,1600,1600
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-id (pres. indic. 2pl.),148; 281,"148 *-id- (weak I finite past suffix), *-ida- (past ptc. suffix) 281","*-id (pres. indic. 2pl.) 148 *-id- (weak I finite past suffix), *-ida- (past ptc. suffix) 281",1601,1603
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*idi(-),126,126,*idi(-) 126,1604,1604
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-idi (pres. indic. 3sg.),148; 326,"148 *ijj-, see *ganganą *-(i)ja- (abstract noun suffix) 326","*-idi (pres. indic. 3sg.) 148 *ijj-, see *ganganą *-(i)ja- (abstract noun suffix) 326",1605,1607
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,"*-(i)ja-, *-(i)jan- (agent noun suffix)",325,325,"*-(i)ja-, *-(i)jan- (agent noun suffix) 325",1608,1608
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-ijō- (u-stem adj. fem. suffix),161,161,*-ijō- (u-stem adj. fem. suffix) 161,1609,1609
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-il- (diminutive suffix),149; 325,"149, 325 *-ila-, *-ilan-, *-ilōn- (noun-forming suffixes) 325","*-il- (diminutive suffix) 149, 325 *-ila-, *-ilan-, *-ilōn- (noun-forming suffixes) 325",1610,1612
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,"*-imaz, *-imiz (numeral dat., inst. pl.)",319,319,"*-imaz, *-imiz (numeral dat., inst. pl.) 319",1613,1613
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*in,89; 173,"89, 173","*in 89, 173",1614,1614
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,"*inkw, *inkwiz",112; 235; 322,"112, 235, 322","*inkw, *inkwiz 112, 235, 322",1615,1615
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*inkwaraz,323; 318; 324,323 *innumō - 318 *-inō - ną 324,*inkwaraz 323 *innumō - 318 *-inō - ną 324,1616,1622
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*irþīnaz,326,326,*irþīnaz 326,1623,1623
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*irzijaz,316 (partial parad.),316 (partial parad.),*irzijaz 316 (partial parad.),1624,1624
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-iska- (adj.-forming suffix),326; 323,326 *-isō - ną 323,*-iska- (adj.-forming suffix) 326 *-isō - ną 323,1625,1628
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*isti,89; 117; 220; 293 (partial parad.); 166; 173; 252,"89, 117, 220, 293 (partial parad.); *immi 166, 220; *izi, *izud, *izum 220; *sijē- ~ *sī- 220; *sijǭ 173; *sindi 166, 220; see also *bī- *-iþi (pres. ind. 3sg. of simple thematic and *-ja-stems) 252","*isti 89, 117, 220, 293 (partial parad.); *immi 166, 220; *izi, *izud, *izum 220; *sijē- ~ *sī- 220; *sijǭ 173; *sindi 166, 220; see also *bī- *-iþi (pres. ind. 3sg. of simple thematic and *-ja-stems) 252",1629,1635
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-iþō,149; 326,"149, 326","*-iþō 149, 326",1636,1636
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-iwi (u-stem dat. st.),150; 304,"150, 304; *-iwiz (u-stem nom. pl.) 150","*-iwi (u-stem dat. st.) 150, 304; *-iwiz (u-stem nom. pl.) 150",1637,1638
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*iz ~ *e-,321 (parad.); 232; 166; 104; 168; 233,"321 (parad.); *es 232; *ezōz, *ezǭ̄ 232; *immai 166; *inǭ 104; *it 168; *sī 233","*iz ~ *e- 321 (parad.); *es 232; *ezōz, *ezǭ̄ 232; *immai 166; *inǭ 104; *it 168; *sī 233",1639,1641
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-iz (comparative adverb suffix),327,327,*-iz (comparative adverb suffix) 327,1642,1642
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-iz (gen. sg.),149; 226; 311,"149, 226, 311","*-iz (gen. sg.) 149, 226, 311",1643,1643
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-iz (nom. pl.),149,149,*-iz (nom. pl.) 149,1644,1644
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-iz (pronominal dat. sg.),53,53,*-iz (pronominal dat. sg.) 53,1645,1645
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-izan- ~ *-izīn- (comparative suffix),229; 316,"229, 316","*-izan- ~ *-izīn- (comparative suffix) 229, 316",1646,1646
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-ista- (superlative suffix),229; 316,"229, 316","*-ista- (superlative suffix) 229, 316",1647,1647
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-izi (pres. indic. 2sg.),148,148,*-izi (pres. indic. 2sg.) 148,1648,1648
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*izwiz,235; 322,"235, 322","*izwiz 235, 322",1650,1650
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*izwaraz,323,323,*izwaraz 323,1651,1651
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-ī (i-stem dat. or inst. sg.),304-5,304-5,*-ī (i-stem dat. or inst. sg.) 304-5,1652,1652
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-ī- (past subj. suffix),216; 262,"216, 262","*-ī- (past subj. suffix) 216, 262",1653,1653
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-ī- ~ *-ija- (pres. stem suffix),201,201,*-ī- ~ *-ija- (pres. stem suffix) 201,1654,1654
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-ī ~ *-jō-,221; 315; 97; 228; 316,"221, 315; *-ī 97, 228, 316","*-ī ~ *-jō- 221, 315; *-ī 97, 228, 316",1655,1655
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-īga- (adj.-forming suffix),325,325,*-īga- (adj.-forming suffix) 325,1656,1656
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-īn- (abstract noun suffix),326,326,*-īn- (abstract noun suffix) 326,1657,1657
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-īn- (fem. n-stem suffix),221; 316 (2x),"221, 316 (2x)","*-īn- (fem. n-stem suffix) 221, 316 (2x)",1658,1658
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-īna- (adj.-forming suffix),326,326,*-īna- (adj.-forming suffix) 326,1659,1659
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*īsarną,328,328,*īsarną 328,1660,1660
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-īz (i-stem gen. sg.),304,304,*-īz (i-stem gen. sg.) 304,1661,1661
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-īz (i-stem nom. pl.),304 fn. 26,304 fn. 26 *jahw154,*-īz (i-stem nom. pl.) 304 fn. 26 *jahw154,1662,1663
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*jesaną,153; 256,"153, 256","*jesaną 153, 256",1664,1664
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*jōzijaną,256,256,*jōzijaną 256,1665,1665
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*jeukaz ~ *jiukiz-,310,310,*jeukaz ~ *jiukiz- 310,1666,1666
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*jeukāną,109,109,*jeukāną 109,1667,1667
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*juką,104; 109; 119; 153; 312 (parad.),"104, 109, 119, 153, 312 (parad.)","*juką 104, 109, 119, 153, 312 (parad.)",1668,1668
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*jungaz,102; 123; 154; 174; 316 (partial parad.),"102, 123, 154, 174, 316 (partial parad.) 2x; *junhizō - 174","*jungaz 102, 123, 154, 174, 316 (partial parad.) 2x; *junhizō - 174",1669,1672
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*jut,234; 322 (parad.),"234, 322 (parad.)","*jut 234, 322 (parad.)",1673,1673
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*jūz,153; 233; 322 (parad.),"153, 233, 322 (parad.)","*jūz 153, 233, 322 (parad.)",1674,1674
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kaisaraz (post-PGmc),329,329,*kaisaraz (post-PGmc) 329,1675,1675
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kalaną,109; 258; 212,"109, 258; *kali/a- 212","*kalaną 109, 258; *kali/a- 212",1676,1676
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kaldaz,109; 119; 326,"109, 119, 326","*kaldaz 109, 119, 326",1677,1677
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kōlijaną,258,258,*kōlijaną 258,1678,1678
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kalbaz ~ *kalbiz-,310,310,*kalbaz ~ *kalbiz- 310,1679,1679
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kambaz,108; 119; 171; 285,"108, 119, 171 *karō, *karō - ną 285","*kambaz 108, 119, 171 *karō, *karō - ną 285",1680,1683
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*katilaz,329,329,*katilaz 329,1684,1684
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kaup-,329,329,*kaup- 329,1685,1685
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*keusaną,109; 185 fn. 39; 246; 181; 209,"109, 185 fn. 39, 246; *kaus 181, 209; *kuz- 209","*keusaną 109, 185 fn. 39, 246; *kaus 181, 209; *kuz- 209",1686,1687
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kustuz,198 (partial parad.); 246,198 (partial parad.) *-kuzō - 246,*kustuz 198 (partial parad.) *-kuzō - 246,1688,1691
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kewwaną,99; 109; 268 (princ. parts),"99, 109, 268 (princ. parts)","*kewwaną 99, 109, 268 (princ. parts)",1692,1692
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kinnuz,164; 174,"164, 174","*kinnuz 164, 174",1693,1693
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kīnaną,267,267,*kīnaną 267,1694,1694
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kleubaną,119; 134; 268 (princ. parts),"119, 134, 268 (princ. parts)","*kleubaną 119, 134, 268 (princ. parts)",1695,1695
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kluftiz,134,134,*kluftiz 134,1696,1696
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*knewą,109; 119,"109, 119","*knewą 109, 119",1697,1697
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*knudaną,109; 208; 274-5,"109, 208, 274-5","*knudaną 109, 208, 274-5",1698,1698
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-kundaz,101; 119,"101, 119","*-kundaz 101, 119",1699,1699
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kuningaz,174,174,*kuningaz 174,1700,1700
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kunnaną,291 (princ. parts); 179,291 (princ. parts); *kann 179,*kunnaną 291 (princ. parts); *kann 179,1701,1701
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kurną,101; 119,"101, 119","*kurną 101, 119",1702,1702
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kurnilą,325,325,*kurnilą 325,1703,1703
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kuruz,96; 112; 120; 195 (partial parad.),"96, 112, 120, 195 (partial parad.)","*kuruz 96, 112, 120, 195 (partial parad.)",1704,1704
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kū- ~ *kwō-,223,223,*kū- ~ *kwō- 223,1706,1706
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kwabjaną,276 (princ. parts),276 (princ. parts),*kwabjaną 276 (princ. parts),1707,1707
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kwemaną,112; 181; 186; 272 (princ. parts); 296-7 (parad.); 119,"112, 181, 186, 272 (princ. parts), 296-7 (parad.); *kwam 181; *kwimidi 119","*kwemaną 112, 181, 186, 272 (princ. parts), 296-7 (parad.); *kwam 181; *kwimidi 119",1708,1710
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kumiz,324,324,*kumiz 324,1711,1711
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kumþi- ~ *kumdi-,100; 112; 305,"100, 112, 305","*kumþi- ~ *kumdi- 100, 112, 305",1712,1712
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kwerruz,315,315,*kwerruz 315,1713,1713
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kweþaną,106; 247; 273 (princ. parts),"106, 247, 273 (princ. parts); *kwast 247","*kweþaną 106, 247, 273 (princ. parts); *kwast 247",1714,1715
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*gakwissiz,106,106,*gakwissiz 106,1716,1716
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kwidiz,324,324,*kwidiz 324,1717,1717
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kwēniz,90; 119,"90, 119","*kwēniz 90, 119",1718,1718
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kwikwaz,76; 86; 111; 120; 195 (partial parad.); 290,"76, 86, 111, 120, 195 (partial parad.) 290","*kwikwaz 76, 86, 111, 120, 195 (partial parad.) 290",1719,1720
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*kwikwnō-~ *kwikwna-,290,290,*kwikwnō-~ *kwikwna- 290,1721,1721
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*laihwną,137,137,*laihwną 137,1722,1722
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lais,179; 245; 246; 282; 290; 291,"179, 245, 246, 282, 290, 291","*lais 179, 245, 246, 282, 290, 291",1723,1723
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*laizijaną,245; 250; 282 (princ. parts); 290; 252; 203; 246,"245, 250, 282 (princ. parts), 290; *laizijanþi, *laizīþi 252 *liznō- ~ *lizna- 203, 246, 290","*laizijaną 245, 250, 282 (princ. parts), 290; *laizijanþi, *laizīþi 252 *liznō- ~ *lizna- 203, 246, 290",1724,1726
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,"*laistaz, *laistijaną",284,284,"*laistaz, *laistijaną 284",1727,1727
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lambaz ~ *lambiz-,310,310,*lambaz ~ *lambiz- 310,1728,1728
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*landą,143,143,*landą 143,1729,1729
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*langaz,316 (partial parad.); 285,"316 (partial parad.) *laþō, *laþō - ną 285","*langaz 316 (partial parad.) *laþō, *laþō - ną 285",1730,1733
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lauhaz,108; 116; 171,"108, 116, 171","*lauhaz 108, 116, 171",1734,1734
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,"*lausaz, *lausijaną",283,283,"*lausaz, *lausijaną 283",1735,1735
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lep- ~ *lip-,118,118,*lep- ~ *lip- 118,1736,1736
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*leubalīkaz,327,327,*leubalīkaz 327,1737,1737
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,"*leuganą, *leugna-",137,137,"*leuganą, *leugna- 137",1738,1738
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*leuhad ~ *leuht-,223; 311,"223, 311","*leuhad ~ *leuht- 223, 311",1739,1739
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*leukaną,109; 188,109; *lukanaz 188,*leukaną 109; *lukanaz 188,1740,1740
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*fra-leusaną,239; 246; 289,"239, 246, 289","*fra-leusaną 239, 246, 289",1741,1741
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*fra-luznō- ~ *fra-luzna-,289; 246,289 *-luzō - 246,*fra-luznō- ~ *fra-luzna- 289 *-luzō - 246,1742,1745
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lēkijaz,250; 324; 328,"250, 324, 328 *lēkinō - ną 324","*lēkijaz 250, 324, 328 *lēkinō - ną 324",1746,1749
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lētaną,215 (princ. parts); 278 (princ. parts); 296-7 (parad.),"215 (princ. parts), 278 (princ. parts), 296-7 (parad.)","*lētaną 215 (princ. parts), 278 (princ. parts), 296-7 (parad.)",1750,1751
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*ligjaną,164; 207; 249; 252; 273 (princ. parts); 282; 211; 184; 109; 122; 143; 155,"164, 207, 249, 252, 273 (princ. parts), 282; *lag, *lēg- 211; *lēgun 184; *ligiþi 109, 122, 143, 155; *ligjanþi 143, 155","*ligjaną 164, 207, 249, 252, 273 (princ. parts), 282; *lag, *lēg- 211; *lēgun 184; *ligiþi 109, 122, 143, 155; *ligjanþi 143, 155",1752,1755
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lagjaną,282 (princ. parts); 297-9 (parad.),282 (princ. parts) 297-9 (parad.),*lagjaną 282 (princ. parts) 297-9 (parad.),1756,1756
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*linhtaz,134; 174,"134, 174","*linhtaz 134, 174",1757,1757
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*bi-lībaną,230; 238; 282; 289,"230, 238, 282, 289","*bi-lībaną 230, 238, 282, 289",1758,1758
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*(bi-)laibijaną,282 (princ. parts),282 (princ. parts),*(bi-)laibijaną 282 (princ. parts),1759,1759
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*libjaną,287; 289,"287, 289","*libjaną 287, 289",1760,1760
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*libnō- ~ *libna-,289; 230,289; *libnō - ną 230,*libnō- ~ *libna- 289; *libnō - ną 230,1761,1763
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*līhwaną,181; 186; 296-7 (parad.); 110; 116; 129,"181, 186, 296-7 (parad.); *laihw181; *līhwidi 110, 116, 129; *liwanaz 129","*līhwaną 181, 186, 296-7 (parad.); *laihw181; *līhwidi 110, 116, 129; *liwanaz 129",1764,1766
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*līką,327,327,*līką 327,1768,1768
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*galīkaz,285; 288; 327,"285, 288 *galīkō - 327 *galīkō - ną 285","*galīkaz 285, 288 *galīkō - 327 *galīkō - ną 285",1769,1775
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*līkāną,288,288,*līkāną 288,1776,1776
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lītilaz,317 (partial parad.),317 (partial parad.),*lītilaz 317 (partial parad.),1777,1777
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,"*līþaną, *laidō, *lidą",247,247,"*līþaną, *laidō, *lidą 247",1778,1778
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*laidijaną,250,250,*laidijaną 250,1779,1779
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*līþu,304,304,*līþu 304,1780,1780
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lunaz,97,97,*lunaz 97,1781,1781
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lungraz,88; 100; 111; 112,"88, 100, 111, 112","*lungraz 88, 100, 111, 112",1782,1782
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lustuz,325,325,*lustuz 325,1783,1783
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lustusamaz,327,327,*lustusamaz 327,1784,1784
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*lūkaną,254-5; 269 (princ. parts),"254-5, 269 (princ. parts)","*lūkaną 254-5, 269 (princ. parts)",1785,1785
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*maganą,247; 292 (princ. parts); 134; 179; 259,"247, 292 (princ. parts); *mag 134, 179, 259; *math 247","*maganą 247, 292 (princ. parts); *mag 134, 179, 259; *math 247",1786,1787
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mahtiz,134,134,*mahtiz 134,1788,1788
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mahtīgaz,326,326,*mahtīgaz 326,1789,1789
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*magaþ-,311,311,*magaþ- 311,1790,1790
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*magraz,123,123,*magraz 123,1791,1791
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*ga-mainiz,315; 317; 97,"315 *maizō - 317; *maistaz 97, 317","*ga-mainiz 315 *maizō - 317; *maistaz 97, 317",1792,1795
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*maiz,327,327,*maiz 327,1796,1796
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*malaną,212; 258; 324,"212, 258 *malmō - 324","*malaną 212, 258 *malmō - 324",1797,1800
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*melwą,258,258,*melwą 258,1801,1801
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-man- (noun-forming suffix),324,324,*-man- (noun-forming suffix) 324,1802,1802
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*managīn-,326,326,*managīn- 326,1803,1803
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mann-,105; 165,"105, 165","*mann- 105, 165",1804,1804
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*manniskaz,326,326,*manniskaz 326,1805,1805
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*marhaz,116; 328,"116, 328","*marhaz 116, 328",1806,1806
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mari,304,304,*mari 304,1807,1807
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mawī,111,111,*mawī 111,1808,1808
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mawilōn-,149; 325,"149, 325","*mawilōn- 149, 325",1809,1809
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-maz (1pl.),264,264,*-maz (1pl.) 264,1810,1810
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-maz (dat. pl.),225,225,*-maz (dat. pl.) 225,1811,1811
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*medu,304,304,*medu 304,1812,1812
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mek ~ *mik,149; 236; 248; 322 (parad.),"149, 236, 248, 322 (parad.); *miz 236","*mek ~ *mik 149, 236, 248, 322 (parad.); *miz 236",1813,1814
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,"*mīnaz, *mīna",323,323,"*mīnaz, *mīna 323",1815,1815
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*meluk-,98; 222; 286,"98, 222 *metaną, *metō - ną 286","*meluk- 98, 222 *metaną, *metō - ną 286",1816,1819
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mēnō̄þ-,224; 311,"224, 311 *mēnō - ~ *mēnan- 224","*mēnō̄þ- 224, 311 *mēnō - ~ *mēnan- 224",1820,1823
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mēriþō,149,149,*mēriþō 149,1824,1824
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mēþi- ~ *mēdi- ‘mowing’,305,305,*mēþi- ~ *mēdi- ‘mowing’ 305,1825,1825
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mēþiz ‘measure’,90,90,*mēþiz ‘measure’ 90,1826,1826
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*midjaz,121; 143; 152; 155; 250; 252; 313,"121, 143, 152, 155, 250, 252, 313","*midjaz 121, 143, 152, 155, 250, 252, 313",1827,1827
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mikilaz,317 (partial parad.),317 (partial parad.),*mikilaz 317 (partial parad.),1828,1828
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mildiþō,326,326,*mildiþō 326,1829,1829
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,"*mili, *milid-",152; 168; 223; 312,"152, 168, 223, 312","*mili, *milid- 152, 168, 223, 312",1830,1830
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mimzą,95; 124; 166; 174; 165; 317,"95, 124, 166, 174 *minnizō - , *minnistaz 165, 317","*mimzą 95, 124, 166, 174 *minnizō - , *minnistaz 165, 317",1831,1834
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*minniz,327,327,*minniz 327,1835,1835
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-miz (inst. pl.),225,225,*-miz (inst. pl.) 225,1836,1836
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mizdō,121,121,*mizdō 121,1837,1837
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mīganą: *mīgandi,152; 110; 135,"152; *mīgidi 110, 135","*mīganą: *mīgandi 152; *mīgidi 110, 135",1838,1838
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mihs-,135,135,*mihs- 135,1839,1839
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*-mmai (pronominal dat. sg.),233,233,*-mmai (pronominal dat. sg.) 233,1840,1840
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mōdagaz,326,326,*mōdagaz 326,1841,1841
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mōdēr,123; 167; 308,"123, 167, 308","*mōdēr 123, 167, 308",1842,1842
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*mōtaną,292 (princ. parts); 179,292 (princ. parts); *mōt 179,*mōtaną 292 (princ. parts); *mōt 179,1843,1843
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*munaną,184; 291 (princ. parts); 178; 255; 212,"184, 291 (princ. parts); *man 178, 255; *mun- 212","*munaną 184, 291 (princ. parts); *man 178, 255; *mun- 212",1844,1845
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*gamunaną,291; 178,291; *gaman 178,*gamunaną 291; *gaman 178,1846,1846
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*murguz,100; 121,"100, 121","*murguz 100, 121",1847,1847
I. Protoforms,B. Daughters of PIE,1. Proto-Germanic,*murgijaną,145,145,*murgijaną 145,1848,1848
