section,subsection,group,entry,page_refs,notes,raw_entry,source_line_start,source_line_end
I. Protoforms,A. Proto-Indo-European,,[*kh₂péh₁-],189; 163,"189; [*kapətós] 163, 189; [*kapəyé- ~ *kapəyó-] 189","[*kh₂péh₁-] 189; [*kapətós] 163, 189; [*kapəyé- ~ *kapəyó-] 189",480,482
I. Protoforms,A. Proto-Indo-European,,*kh₂ptós,117,117,*kh₂ptós 117,483,483
I. Protoforms,A. Proto-Indo-European,,*koh₂p-,98,98,*koh₂p- 98,484,484
I. Protoforms,A. Proto-Indo-European,,[*klatstóm],106,106,[*klatstóm] 106,485,485
I. Protoforms,A. Proto-Indo-European,,*klep-,108; 115; 274,"108, 115, 274","*klep- 108, 115, 274",486,486
I. Protoforms,A. Proto-Indo-European,,*kl̥do-,100,100,*kl̥do- 100,487,487
I. Protoforms,A. Proto-Indo-European,,*kl̥Hnís,165; 9; 129,"165 [*kneygʷʰ -] 9, 129","*kl̥Hnís 165 [*kneygʷʰ -] 9, 129",488,490
I. Protoforms,A. Proto-Indo-European,,*koḱso-,9,9,*koḱso- 9,491,491
I. Protoforms,A. Proto-Indo-European,,[*kólsos],115; 190,"115 [*ko(m)moinis, *ko(m)moini(y)ónti, *ko(m)moinitós] 190","[*kólsos] 115 [*ko(m)moinis, *ko(m)moini(y)ónti, *ko(m)moinitós] 190",492,494
I. Protoforms,A. Proto-Indo-European,,[*koylos],107,107,[*koylos] 107,495,495
I. Protoforms,A. Proto-Indo-European,,*kreḱ-,9,9,*kreḱ- 9,496,496
