row_id	source_book_page	source_pdf_page	table	feature	Mean	SD	Lower-89CI	Higher-89CI	HDI range
70	245	264	A.25	inf. + ∗-ja-	1.91	0.62	0.99	2.8	1.81
71	245	264	A.25	∗namô (neut.) > ∗namō (masc.)	1.92	0.62	0.86	2.59	1.73
72	245	264	A.25	2sg. ∗-s	1.88	0.58	0.94	2.67	1.73
73	245	264	A.25	2sg. past indic. > subj.	1.92	0.57	0.99	2.79	1.8
74	245	264	A.25	∗-∅> ∗-u/[+heavy] _	1.87	0.59	0.91	2.71	1.8
75	245	264	A.25	∗i (cl. I) > ∗e (cl. IV/V)	1.87	0.66	0.95	2.78	1.83
76	245	264	A.25	∗mati > ∗matja- : ∗sagją-	2.06	0.56	1.02	2.8	1.78
77	245	264	A.25	∗hehaww > ∗heuw	1.72	0.62	0.8	2.51	1.71
78	245	264	A.25	∗hehēt > ∗heht	2.12	0.56	1.16	2.8	1.64
79	245	264	A.25	∗-i- > ∅	1.98	0.54	1.24	2.79	1.55
80	245	264	A.25	∗-dēs	1.72	0.47	0.92	2.36	1.44
81	245	264	A.25	∗-st	1.95	0.52	1.34	2.8	1.46
82	245	264	A.25	∗-ik	1.96	0.53	1.31	2.79	1.48
83	245	264	A.25	∗-CijV- > ∗-CjV-	1.99	0.59	0.87	2.67	1.8
84	245	264	A.25	> [+voice]	1.87	0.62	0.8	2.67	1.87
85	245	264	A.25	∗sī > ∗si(j)u	2.03	0.56	1.18	2.79	1.61
86	245	264	A.25	∗ijē, ∗iją̄	1.98	0.52	1.32	2.79	1.47
87	245	264	A.25	∗wilī	1.65	0.44	0.8	2.09	1.29
88	245	264	A.25	∗þits/∗þitt(i)	1.89	0.44	1.24	2.65	1.41
89	245	264	A.25	∗sa > ∗siz	1.87	0.52	1.25	2.8	1.55
90	245	264	A.25	∗þrīz	1.81	0.62	0.95	2.72	1.77
91	246	265	A.26	∗twō + ∗n	1.72	0.62	0.8	2.57	1.77
92	246	265	A.26	∗dēdē > ∗dādī	1.87	0.65	0.91	2.72	1.81
93	246	265	A.26	∗þar > ∗þār; ∗hwar > ∗hwār	2.01	0.47	1.31	2.69	1.38
94	246	265	A.26	∗þē	1.8	0.59	0.89	2.69	1.8
95	246	265	A.26	∗baum	1.88	0.58	0.97	2.72	1.75
96	246	265	A.26	∗obat	1.72	0.59	0.8	2.59	1.79
97	246	265	A.26	∗rindā	1.75	0.58	0.89	2.63	1.74
98	246	265	A.26	∗waskan	1.74	0.62	0.8	2.57	1.77
99	246	265	A.26	∗wolkn	1.88	0.57	0.91	2.7	1.79
100	246	265	A.26	∗gagang(?) > ∗gang	1.82	0.56	0.97	2.73	1.76
101	246	265	A.26	∗waht	1.97	0.46	1.38	2.77	1.39
102	246	265	A.26	[+nasal] > ∅	1.49	0.56	0.8	2.33	1.53
103	246	265	A.26	∗e > ∗i / _m	1.55	0.58	0.8	2.3	1.5
104	246	265	A.26	∗a, ∗o > [+front]	1.69	0.61	0.8	2.59	1.79
105	246	265	A.26	∗-lþ- > ∗-ld-	1.62	0.45	0.8	2.15	1.35
106	246	265	A.26	∗sl > ∗ls	1.93	0.65	0.8	2.67	1.87
107	246	265	A.26	∗ā, ∗ē > ∗ē	1.61	0.59	0.8	2.44	1.64
108	246	265	A.26	∗h > ∅/ _CC	1.34	0.54	0.8	2.23	1.43
109	246	265	A.26	∗-z > ∅	1.96	0.51	1.3	2.79	1.49
110	246	265	A.26	∗Vf V, ∗VbV > ∗VbV	1.65	0.65	0.8	2.59	1.79
111	246	265	A.26	∗-iw- > ∗-aw-	1.7	0.55	0.95	2.67	1.72
112	246	265	A.26	∗-ō	1.43	0.54	0.8	2.14	1.34
113	246	265	A.26	∗-i- ~ ∗-ija- > class II	1.54	0.58	0.8	2.46	1.66
114	247	266	A.27	hund-	1.61	0.52	0.8	2.31	1.51
115	247	266	A.27	3pl.	1.71	0.54	0.91	2.67	1.76
116	247	266	A.27	∗-ōs	1.62	0.58	0.8	2.4	1.6
117	247	266	A.27	∗-ô > ∗-a	1.88	0.54	0.82	2.55	1.73
118	247	266	A.27	-ianne	1.55	0.55	0.8	2.31	1.51
119	247	266	A.27	∗-nō- ~ ∗-na- > class III	1.7	0.59	0.8	2.39	1.59
120	247	266	A.27	∗a, ∗o > [+nasal] / _ [+nasal]	1.59	0.48	0.8	2.21	1.41
121	247	266	A.27	∗a > [+round]	1.59	0.45	0.82	2.09	1.27
122	247	266	A.27	∗lagdun : ∗satte	1.89	0.52	1.28	2.8	1.52
123	247	266	A.27	∗sindi	1.96	0.63	0.97	2.72	1.75
124	247	266	A.27	∗sīn > ∅	1.67	0.58	0.87	2.62	1.75
125	247	266	A.27	∗siz > ∅	1.99	0.52	1.17	2.72	1.55
126	247	266	A.27	∗sek > ∅	1.52	0.51	0.8	2.19	1.39
127	247	266	A.27	∗Þ- + ∗-s	1.76	0.65	0.9	2.75	1.85
128	247	266	A.27	∗hi- ~ ∗he-	1.82	0.63	0.8	2.66	1.86
129	247	266	A.27	∗stā-	1.64	0.54	0.8	2.39	1.59
130	247	266	A.27	∗lais- ~ ∗laiz-	1.53	0.6	0.8	2.57	1.77
131	247	266	A.27	∗i- ~ ∗e- > ∗hi- ~ ∗he-	1.5	0.55	0.8	2.39	1.59
132	247	266	A.27	∗nigun	1.73	0.51	0.95	2.63	1.68
133	247	266	A.27	∗hwat	1.85	0.54	0.98	2.58	1.6
134	247	266	A.27	∗hwaþeraz	1.83	0.56	0.8	2.55	1.75
135	247	266	A.27	∗a > [+front]	1.44	0.56	0.82	2.27	1.45
136	247	266	A.27	∗ō > ∗ā / [-stress]	1.58	0.49	0.94	2.37	1.43
137	248	267	A.28	∗-w-	1.4	0.55	0.81	2.33	1.52
138	248	267	A.28	∗-ē	1.32	0.42	0.8	1.77	0.97
139	248	267	A.28	∗-s, -þ, -aþ	1.33	0.44	0.8	1.88	1.08
140	248	267	A.28	∗þaizō, ∗þaimi	1.51	0.55	0.81	2.26	1.45
141	248	267	A.28	∗hwa-	1.43	0.54	0.8	2.24	1.44
142	248	267	A.28	∗hū	1.53	0.6	0.8	2.57	1.77
143	248	267	A.28	V > ∅/ _(C)#	1.98	0.46	1.44	2.8	1.36
