row_id	source_book_page	source_pdf_page	table	feature	Mean	SD	Lower-89CI	Higher-89CI	HDI range
325	256	275	A.36	-V > -e	1.14	0.35	0.8	1.61	0.81
326	256	275	A.36	∗Þ > [t]	1.4	0.55	0.8	2.28	1.48
327	256	275	A.36	∗-dē > ∗-dō	1.43	0.49	0.8	2.24	1.44
328	256	275	A.36	∗-dum > ∗-dōm, etc.	1.27	0.49	0.8	1.94	1.14
329	256	275	A.36	∗-anu	1.73	0.61	0.87	2.57	1.7
330	256	275	A.36	-īs	1.4	0.5	0.8	2.25	1.45
331	256	275	A.36	1sg. -m	1.21	0.4	0.8	1.81	1.01
332	256	275	A.36	∗-zz- > -zt-	1.45	0.61	0.8	2.32	1.52
333	256	275	A.36	-amu ~ -emu	1.32	0.54	0.8	2.07	1.27
334	256	275	A.36	∗-u > ∅/ [+light] _	1.47	0.55	0.8	2.46	1.66
335	256	275	A.36	∅> -u / [+heavy] _	1.37	0.55	0.8	2.2	1.4
336	256	275	A.36	zi ērist	1.25	0.44	0.8	1.83	1.03
337	256	275	A.36	Abstracts in -ī	1.3	0.52	0.8	2.26	1.46
338	256	275	A.36	habēta	1.41	0.6	0.8	2.38	1.58
339	256	275	A.36	u-stem > i-stem	1.23	0.39	0.8	1.6	0.8
340	256	275	A.36	-ēs	1.11	0.37	0.8	1.69	0.89
341	256	275	A.36	∗Þ rīz > drī	1.57	0.63	0.8	2.55	1.75
342	256	275	A.36	-ōnne, -ēnne	1.45	0.67	0.8	2.59	1.79
343	256	275	A.36	∗-ai-	1.25	0.43	0.8	1.85	1.05
344	257	276	A.37	nom. pl., acc. pl. > acc. pl.	1.33	0.56	0.8	2.26	1.46
345	257	276	A.37	-er-	1.22	0.48	0.8	2.05	1.25
346	257	276	A.37	-o	1.51	0.57	0.8	2.2	1.4
347	257	276	A.37	1sg., 3sg. indic. > 3sg.	1.5	0.58	0.8	2.34	1.54
348	257	276	A.37	2sg. -s > -st	1.47	0.57	0.8	2.17	1.37
349	257	276	A.37	-ōno	1.4	0.51	0.8	2.05	1.25
350	257	276	A.37	dual > ∅	1.19	0.43	0.8	1.78	0.98
351	257	276	A.37	-u > -o	1.26	0.53	0.8	2.01	1.21
352	257	276	A.37	-in > -en	1.33	0.46	0.8	1.77	0.97
353	257	276	A.37	fem. jō-stems ~ ī-stems	1.46	0.62	0.8	2.38	1.58
354	257	276	A.37	ō-stems	1.6	0.7	0.8	2.62	1.82
355	257	276	A.37	n-stems	1.2	0.44	0.8	1.79	0.99
356	257	276	A.37	∗CReC- > class IV	1.42	0.57	0.8	2.33	1.53
357	257	276	A.37	-ta	1.42	0.52	0.8	2.13	1.33
358	257	276	A.37	∗þi- ~ ∗þe-	1.31	0.47	0.8	2	1.2
359	257	276	A.37	∗hwi- ~ ∗hwe-	1.49	0.54	0.8	2.39	1.59
360	257	276	A.37	sīn	1.24	0.5	0.8	1.99	1.19
361	257	276	A.37	wellen	1.27	0.51	0.8	2.17	1.37
362	257	276	A.37	imu	1.58	0.65	0.8	2.62	1.82
363	257	276	A.37	sāhun	1.22	0.47	0.8	1.8	1
364	257	276	A.37	fateres, fatere, etc.	1.3	0.54	0.8	1.91	1.11
365	257	276	A.37	∗drī + o	1.29	0.44	0.8	1.83	1.03
366	257	276	A.37	zi	1.38	0.48	0.8	2.17	1.37
367	258	277	A.38	ir(-)	1.42	0.58	0.8	2.34	1.54
368	258	277	A.38	doret	1.17	0.46	0.8	1.87	1.07
369	258	277	A.38	inan > in	1.43	0.6	0.8	2.55	1.75
370	258	277	A.38	drīzehan	1.32	0.55	0.8	2.09	1.29
371	258	277	A.38	(h)we-	1.2	0.38	0.8	1.67	0.87
372	258	277	A.38	sī	1.23	0.54	0.8	2.19	1.39
373	258	277	A.38	gitar	1.53	0.5	0.8	2.27	1.47
374	258	277	A.38	bim	1.38	0.56	0.8	2.32	1.52
375	258	277	A.38	habēt	1.69	0.67	0.8	2.45	1.65
376	258	277	A.38	gisehan	1.18	0.42	0.8	1.82	1.02
377	258	277	A.38	sluog	1.26	0.53	0.8	2.27	1.47
378	258	277	A.38	stuont, stuontun, gistantan	1.41	0.56	0.8	2.21	1.41
379	258	277	A.38	werdan, wesan	1.31	0.53	0.8	2.21	1.41
380	258	277	A.38	blint man	1.27	0.47	0.8	1.92	1.12
381	258	277	A.38	V2	1.66	0.64	0.8	2.61	1.81
382	258	277	A.38	∗[awjwj] > ∗[auj]	1.43	0.62	0.8	2.4	1.6
383	258	277	A.38	∗w > ∅/ _ i	1.24	0.41	0.8	1.78	0.98
384	258	277	A.38	∗a > ∗æ	1.29	0.53	0.8	2.35	1.55
385	258	277	A.38	∗ai > ā	1.14	0.36	0.8	1.57	0.77
386	258	277	A.38	ā > o / [-stress]	1.15	0.4	0.8	1.78	0.98
387	258	277	A.38	∗au > ēa	1.31	0.5	0.8	2.01	1.21
388	258	277	A.38	[+front] > V1V2	1.47	0.63	0.8	2.55	1.75
389	258	277	A.38	∗hs > x	1.41	0.54	0.8	2.35	1.55
390	259	278	A.39	∗k, ∗g > [+palatal]	1.17	0.36	0.8	1.71	0.91
391	259	278	A.39	∗-kw- > -k-	1.34	0.44	0.8	2.1	1.3
392	259	278	A.39	i-umlaut	1.23	0.38	0.8	1.83	1.03
393	259	278	A.39	/f, þ, s/ > [v, ð, z] / [+stress]σ _	1.27	0.42	0.8	1.85	1.05
394	259	278	A.39	∅/ C_ C	1.41	0.42	0.8	1.97	1.17
395	259	278	A.39	∗i, ∗u > ∅/ _ #	1.26	0.46	0.8	2.03	1.23
396	259	278	A.39	∗þs > ∗ss	1.32	0.53	0.8	2.19	1.39
397	259	278	A.39	∗b > f / _ #	1.35	0.47	0.8	1.93	1.13
398	259	278	A.39	∗h > ∅	1.32	0.44	0.8	2.02	1.22
399	259	278	A.39	∗æ > a / _ C1 [+back]	1.19	0.48	0.8	1.83	1.03
400	259	278	A.39	i > io	1.33	0.49	0.8	2.07	1.27
401	259	278	A.39	CR# > CVR#	1.35	0.55	0.8	2.21	1.41
402	259	278	A.39	æ, i > e	1.3	0.43	0.8	1.77	0.97
403	259	278	A.39	∗-azd- > ∗-ezd-	1.28	0.53	0.8	1.88	1.08
404	259	278	A.39	∗C(l/r) > ∗CC(l/r)	1.39	0.54	0.8	2.26	1.46
405	259	278	A.39	∗i > ∅/ CV.C _ l	1.18	0.5	0.8	2.07	1.27
406	259	278	A.39	V̄ > V / _ CC(C)	1.28	0.49	0.8	2.04	1.24
407	259	278	A.39	a ū	1.2	0.42	0.8	1.78	0.98
408	259	278	A.39	-sr- > -ss-	1.5	0.58	0.8	2.43	1.63
409	259	278	A.39	io, īo > eo, ēo	1.25	0.47	0.8	2.01	1.21
410	259	278	A.39	∗-ēja- > ∗-ejV	1.11	0.39	0.8	1.6	0.8
411	259	278	A.39	∗-iz	1.15	0.42	0.8	1.67	0.87
412	259	278	A.39	hettend	1.37	0.58	0.8	2.3	1.5
413	260	279	A.40	wæter, wæteres	1.15	0.42	0.8	1.61	0.81
414	260	279	A.40	-CC-, -rġ-	1.15	0.31	0.8	1.5	0.7
415	260	279	A.40	∗haubud, etc.	1.5	0.68	0.81	2.67	1.86
416	260	279	A.40	þā	1.46	0.63	0.8	2.52	1.72
417	260	279	A.40	Abstracts in ∗-u	1.51	0.65	0.8	2.61	1.81
418	260	279	A.40	-i	1.4	0.54	0.8	2.23	1.43
419	260	279	A.40	-æs, -æ, -um	1.28	0.54	0.8	2.25	1.45
420	260	279	A.40	∗-æ-	1.44	0.64	0.8	2.59	1.79
421	260	279	A.40	heardra	1.02	0.3	0.8	1.3	0.5
422	260	279	A.40	∗-z- ~ ∗-s-; ∗-d- ~ ∗-þ-	1.77	0.72	0.81	2.65	1.84
423	260	279	A.40	-e	1.56	0.55	0.8	2.22	1.42
424	260	279	A.40	1sg. subj.	1.31	0.46	0.8	1.85	1.05
425	260	279	A.40	acc. pl., nom. pl > nom. pl	1.19	0.44	0.8	1.78	0.98
426	260	279	A.40	-u	1.28	0.54	0.8	2.06	1.26
427	260	279	A.40	∗-st	1.19	0.33	0.8	1.58	0.78
428	260	279	A.40	hæbbe wē	1.28	0.45	0.8	2.05	1.25
429	260	279	A.40	-tl > -ld	1.33	0.56	0.8	2.36	1.56
430	260	279	A.40	hrēaw(-), fēawe	1.34	0.58	0.8	2.34	1.54
431	260	279	A.40	dohtur	1.24	0.51	0.8	1.89	1.09
432	260	279	A.40	u-stems	1.27	0.39	0.8	1.72	0.92
433	260	279	A.40	gen. prons.	1.58	0.64	0.8	2.51	1.71
434	260	279	A.40	-tiġ	1.27	0.49	0.8	2.08	1.28
435	260	279	A.40	þӯ	1.55	0.66	0.8	2.57	1.77
436	261	280	A.41	þrīora	1.37	0.59	0.8	2.35	1.55
437	261	280	A.41	∗ni wi- > ny-	1.21	0.44	0.8	1.92	1.12
438	261	280	A.41	ēode	1.22	0.38	0.8	1.76	0.96
439	261	280	A.41	þreotīene	1.41	0.54	0.8	2.16	1.36
440	261	280	A.41	hwæs	1.3	0.5	0.8	1.96	1.16
441	261	280	A.41	wilt	1.24	0.46	0.8	1.95	1.15
442	261	280	A.41	∗ar-	1.24	0.38	0.8	1.7	0.9
443	261	280	A.41	eam	1.48	0.51	0.8	2.28	1.48
444	261	280	A.41	guma	1.46	0.55	0.8	2.25	1.45
445	261	280	A.41	cwom > com	1.32	0.55	0.8	2.14	1.34
446	261	280	A.41	∗hes > his	1.47	0.62	0.8	2.54	1.74
447	261	280	A.41	∗her- > hir-	1.58	0.57	0.8	2.39	1.59
448	261	280	A.41	ēow	1.14	0.48	0.8	2.02	1.22
449	261	280	A.41	∗gā-	1.22	0.55	0.8	2.08	1.28
450	261	280	A.41	ūre	1.25	0.43	0.82	1.76	0.94
451	261	280	A.41	miklǣ	1.18	0.53	0.8	2.33	1.53
452	261	280	A.41	sīe	1.32	0.54	0.8	2.2	1.4
453	261	280	A.41	dearr	1.39	0.57	0.8	2.32	1.52
454	261	280	A.41	hæbbe	1.4	0.61	0.8	2.54	1.74
455	261	280	A.41	tū	1.17	0.38	0.8	1.63	0.83
456	261	280	A.41	dæġ	1.37	0.55	0.8	2.31	1.51
457	261	280	A.41	dōm, dōð, etc.	1.15	0.41	0.8	1.67	0.87
458	261	280	A.41	dyde	1.18	0.46	0.8	2.09	1.29
459	262	281	A.42	∗ai,∗au,∗eu > ā, ē, iā	1.15	0.39	0.8	1.92	1.12
460	262	281	A.42	WGmc ∗a > PFris ∗æ	1.24	0.48	0.8	2.04	1.24
461	262	281	A.42	∗g > j	1.38	0.51	0.8	2.16	1.36
462	262	281	A.42	k > kj > tj > ts	1.44	0.65	0.8	2.53	1.73
463	262	281	A.42	i-mutation	1.45	0.58	0.82	2.43	1.61
464	262	281	A.42	∗i > iu	1.37	0.51	0.8	2.1	1.3
465	262	281	A.42	∗e > ∗eu > iu	1.4	0.48	0.8	2.05	1.25
466	262	281	A.42	loss of u/w after iu	1.39	0.51	0.8	2.15	1.35
467	262	281	A.42	loss of intervoc. -h-, aha > a	1.19	0.35	0.8	1.62	0.82
468	262	281	A.42	loss of ∗ga-/∗gi-	1.27	0.42	0.81	1.94	1.13
469	262	281	A.42	metathesis of r	1.26	0.45	0.8	1.81	1.01
470	262	281	A.42	loss of -n	1.45	0.56	0.8	2.29	1.49
471	262	281	A.42	-e- instead of -i-	1.19	0.42	0.8	1.73	0.93
472	262	281	A.42	1./2. ps. sg./pl. dat. = 1./2. ps. sg./pl. acc.	1.51	0.64	0.8	2.56	1.76
473	262	281	A.42	fem. -jon/-in-stems to str. fem. decl.	1.49	0.65	0.8	2.48	1.68
474	262	281	A.42	v drop after l/r	1.2	0.43	0.8	1.69	0.89
475	262	281	A.42	endings -ene/-ende	1.15	0.45	0.8	1.86	1.06
476	262	281	A.42	loss of distinct. feat. in u-/wo- adj.	1.26	0.53	0.8	2.01	1.21
477	262	281	A.42	stem vowel shortening	1.26	0.42	0.8	1.87	1.07
478	262	281	A.42	∗ō > ∗ū/ [+stress]	1.31	0.51	0.8	2.33	1.53
479	262	281	A.42	-anh- > -ah-	2.25	0.42	1.81	2.8	0.99
