row_id,source_book_page,source_pdf_page,table,innovation,GO,ON,OE,OF,OS,OHG,VAND,BURG
76,224,243,A.4,∗mati > ∗matja- : ∗sagją-,0,0,1,1,1,1,?,?
77,224,243,A.4,∗hehaww > ∗heuw,0,0,1,1,1,1,?,?
78,224,243,A.4,∗hehēt > ∗heht,0,0,1,1,1,1,?,?
79,224,243,A.4,∗-i- > ∅,0,0,1,1,1,1,?,?
80,224,243,A.4,∗-dēs,0,0,1,1,1,1,?,?
81,224,243,A.4,∗-st,0,0,1,1,1,1,?,?
82,224,243,A.4,∗-ik,0,0,1,1,1,1,?,?
83,224,243,A.4,∗-CijV- > ∗-CjV-,0,0,1,1,1,1,?,?
84,224,243,A.4,[-voice] > [+voice],0,0,1,1,1,1,?,?
85,224,243,A.4,∗sī > ∗si(j)u,0,0,1,1,1,1,?,?
86,224,243,A.4,"∗ijē, ∗iją̄",0,0,1,1,1,1,?,?
87,224,243,A.4,∗wilī,0,0,1,1,1,1,?,?
88,224,243,A.4,∗þits/∗þitt(i),0,0,1,1,1,1,?,?
89,224,243,A.4,∗sa > ∗siz,0,0,1,1,1,1,?,?
90,224,243,A.4,∗þrīz,0,0,1,1,1,1,?,?
91,224,243,A.4,∗twō + ∗n,0,0,1,1,1,1,?,?
92,224,243,A.4,∗dēdē > ∗dādī,0,0,1,1,1,1,?,?
93,225,244,A.5,∗þar > ∗þār; ∗hwar > ∗hwār,0,0,1,1,1,1,?,?
94,225,244,A.5,∗þē,0,0,1,1,1,1,?,?
95,225,244,A.5,∗baum,0,0,1,1,1,1,?,?
96,225,244,A.5,∗obat,0,0,1,1,1,1,?,?
97,225,244,A.5,∗rindā,0,0,1,1,1,1,?,?
98,225,244,A.5,∗waskan,0,0,1,1,1,1,?,?
99,225,244,A.5,∗wolkn,0,0,1,1,1,1,?,?
100,225,244,A.5,∗gagang(?) > ∗gang,0,0,1,1,1,1,?,?
101,225,244,A.5,∗waht,0,0,1,1,1,1,?,?
102,225,244,A.5,[+nasal] > ∅,0,0,1,1,1,0,?,?
103,225,244,A.5,∗e > ∗i / _m,0,0,1,1,1,0,?,?
104,225,244,A.5,"∗a, ∗o > [+front]",0,0,1,1,1,0,?,?
105,225,244,A.5,∗-lþ- > ∗-ld-,0,0,1,1,1,0,?,?
106,225,244,A.5,∗sl > ∗ls,0,1,1,1,1,0,?,?
107,225,244,A.5,"∗ā, ∗ē > ∗ē",0,0,1,1,1,0,?,?
108,225,244,A.5,∗h > ∅/ _CC,0,0,1,1,1,0,?,?
109,225,244,A.5,∗-z > ∅,0,0,1,1,1,1,?,?
110,225,244,A.5,"∗Vf V, ∗VbV > ∗VbV",0,0,1,1,1,0,?,?
111,225,244,A.5,∗-iw- > ∗-aw-,0,0,1,1,1,0,?,?
112,225,244,A.5,∗-ō,0,0,1,1,1,0,?,?
113,225,244,A.5,∗-i- ~ ∗-ija- > class II,0,0,1,1,1,0,?,?
114,225,244,A.5,hund-,0,0,1,1,1,0,?,?
115,225,244,A.5,3pl.,0,0,1,1,1,0,?,?
116,226,245,A.6,∗-ōs,0,0,1,1,1,0,?,?
117,226,245,A.6,∗-ô > ∗-a,0,1,1,1,1,0,?,?
118,226,245,A.6,-ianne,0,0,1,1,1,0,?,?
119,226,245,A.6,∗-nō- ~ ∗-na- > class III,0,1,1,1,1,0,?,?
120,226,245,A.6,"∗a, ∗o > [+nasal] / _ [+nasal]",0,0,1,1,1,0,?,?
121,226,245,A.6,∗a > [+round],0,0,1,1,1,0,?,?
122,226,245,A.6,∗lagdun : ∗satte,0,1,1,1,1,0,?,?
123,226,245,A.6,∗sindi,0,0,1,1,1,0,?,?
124,226,245,A.6,∗sīn > ∅,0,0,1,1,1,0,?,?
125,226,245,A.6,∗siz > ∅,0,0,1,1,1,1,?,?
126,226,245,A.6,∗sek > ∅,0,0,1,1,1,0,?,?
127,226,245,A.6,∗Þ- + ∗-s,0,0,1,1,1,0,?,?
128,226,245,A.6,∗hi- ~ ∗he-,0,0,1,1,1,0,?,?
129,226,245,A.6,∗stā-,0,0,1,1,1,0,?,?
130,226,245,A.6,∗lais- ~ ∗laiz-,0,0,1,1,1,0,?,?
131,226,245,A.6,∗i- ~ ∗e- > ∗hi- ~ ∗he-,0,0,1,1,1,0,?,?
132,226,245,A.6,∗nigun,0,0,1,1,1,0,?,?
133,226,245,A.6,∗hwat,0,1,1,1,1,0,?,?
134,226,245,A.6,∗hwaþeraz,0,1,1,1,1,0,?,?
135,226,245,A.6,∗a > [+front],0,0,1,1,0,0,?,?
136,226,245,A.6,∗ō > ∗ā / [-stress],0,0,1,1,1,0,?,?
137,226,245,A.6,∗-w-,0,0,1,1,0,0,?,?
138,226,245,A.6,∗-ē,0,0,1,1,0,0,?,?
139,227,246,A.7,"∗-s, -þ, -aþ",0,0,1,1,0,0,?,?
140,227,246,A.7,"∗þaizō, ∗þaimi",0,0,1,1,0,0,?,?
141,227,246,A.7,∗hwa-,0,0,1,1,0,0,?,?
142,227,246,A.7,∗hū,0,0,1,1,0,0,?,?
143,227,246,A.7,V > ∅/ _(C)#,0,1,1,1,1,1,?,?
144,227,246,A.7,i-umlaut,0,1,1,1,1,1,0,0
145,227,246,A.7,V2,0,1,0,0,1,1,?,?
146,227,246,A.7,sé,1,1,0,0,0,0,?,?
147,227,246,A.7,"∗-hw-, ∗-h- > -h-",0,0,1,1,1,1,?,?
148,227,246,A.7,∗-dē > ∗-dō,0,0,1,1,1,1,?,?
149,227,246,A.7,∗au > ō,0,0,0,0,1,1,?,?
150,227,246,A.7,ao > ō,0,0,0,0,1,1,?,?
151,227,246,A.7,CR# > CVR#,0,0,0,0,1,1,?,?
152,227,246,A.7,∗-anu,0,0,0,0,1,1,?,?
153,227,246,A.7,-īs,0,0,0,0,1,1,?,?
154,227,246,A.7,∗-u > ∅/ [+light] _,0,0,0,0,1,1,?,?
155,227,246,A.7,∅> -u / [+heavy] _,0,0,0,0,1,1,?,?
156,227,246,A.7,"1g., 3sg. indic. > 3sg.",0,0,0,0,1,1,?,?
157,227,246,A.7,-ōno,0,0,0,0,1,1,?,?
158,227,246,A.7,∗þi- ~ ∗þe-,0,0,0,0,1,1,?,?
159,227,246,A.7,∗hwi- ~ ∗hwe-,0,0,0,0,1,1,?,?
160,227,246,A.7,imu,0,0,0,0,1,1,?,?
161,227,246,A.7,-ta,0,0,0,0,1,1,?,?
