row_id,innovation,feature_occurrence_label,source_book_page_innovation,source_book_page_feature_times,GO,ON,OE,OF,OS,OHG,VAND,BURG,Mean,SD,Lower-89CI,Higher-89CI,HDI range
44,∗Vwu- > ∗Vu,∗Vwu- > ∗Vu,222,243,0,0,1,1,1,1,0,0,1.78,0.51,0.82,2.41,1.59
45,∗-z > ∅,∗-z > ∅,222,244,0,0,1,1,1,1,0,0,1.88,0.55,1.1,2.74,1.64
46,∗Cj > ∗ʋjʋj,∗Cj > ∗ʋjʋj,222,244,0,0,1,1,1,1,0,0,1.83,0.6,0.95,2.67,1.72
47,∗C(l/r) > ∗CC(l/r),∗C(l/r) > ∗CC(l/r),223,244,0,0,1,1,1,1,?,?,1.83,0.49,0.83,2.46,1.63
48,∗Ṽ# > ∗V,∗Ṽ# > ∗V,223,244,0,0,1,1,1,1,?,?,2.04,0.58,1.18,2.8,1.62
49,"∗-i, ∗-u > ∅","∗-i, ∗-u > ∅",223,244,0,0,1,1,1,1,?,?,1.65,0.64,0.8,2.55,1.75
50,∗-ō(r) > ∗-ā(r)#,∗-ō(r) > ∗-ā(r)#,223,244,0,0,1,1,1,1,?,?,2.07,0.56,1.16,2.8,1.64
51,∗-V̄ r# > ∗-Vr,∗-V̄ r# > ∗-Vr,223,244,0,0,1,1,1,1,?,?,1.78,0.66,0.8,2.62,1.82
52,∗ō > ∗ū / _n#,∗ō > ∗ū / _n#,223,244,0,0,1,1,1,1,?,?,1.77,0.61,0.96,2.78,1.82
53,∗C(C)V > ∗C(C)V,∗C(C)V > ∗C(C)V,223,244,0,1,1,1,1,1,?,?,2,0.54,1.19,2.79,1.6
54,"∗-jj-, ∗-ww- > ∗-ij-, ∗-uw-","∗-jj-, ∗-ww- > ∗-ij-, ∗-uw-",223,244,0,0,1,1,1,1,1,?,1.84,0.6,0.81,2.62,1.81
55,∗-ī- ~ ∗-ija- > ∗-i- ~ ∗-ija-,∗-ī- ~ ∗-ija- > ∗-i- ~ ∗-ija-,223,244,0,0,1,1,1,1,?,?,1.91,0.56,1.22,2.78,1.56
56,∗-i- > ∅/ -t/d- _ -d-,∗-i- > ∅/ -t/d- _ -d-,223,244,0,0,1,1,1,1,?,?,1.73,0.6,0.8,2.55,1.75
57,∗walid- > ∗waldē,∗walid- > ∗waldē,223,244,0,0,1,1,1,1,?,?,1.86,0.64,0.96,2.78,1.82
58,∗/x/ > ∗[h] / #_,∗/x/ > ∗[h] / #_,223,244,0,0,1,1,1,1,1,0,1.76,0.68,0.8,2.67,1.87
59,"∗z, ∗r > ∗r","∗z, ∗r > ∗r",223,244,0,1,1,1,1,1,0,0,2.09,0.58,1.05,2.8,1.75
60,∗-izd- > ∗-īd-,∗-izd- > ∗-īd-,223,244,0,0,1,1,1,1,?,?,1.8,0.62,0.98,2.74,1.76
61,∗-īn > ∗-ī,∗-īn > ∗-ī,223,244,0,0,1,1,1,1,?,?,1.85,0.53,0.97,2.66,1.69
62,"dat., inst. > dat.","dat., inst. > dat.",223,244,0,0,1,1,1,1,?,?,2.1,0.53,1.4,2.8,1.4
63,∗-ī,∗-ī,223,244,0,0,1,1,1,1,?,?,1.78,0.56,0.8,2.49,1.69
64,∗ijōz > ∗sijā,∗ijōz > ∗sijā,223,244,0,0,1,1,1,1,?,?,2.01,0.53,1.13,2.78,1.65
65,"∗unsiz > ∗uns, etc.","∗unsiz > ∗uns, etc.",223,244,0,0,1,1,1,1,?,?,1.87,0.52,0.95,2.62,1.67
66,∗-nVssī,∗-nVssī,223,244,0,0,1,1,1,1,?,?,1.72,0.53,0.92,2.56,1.64
67,"1g., 3sg. subj. > 3sg. subj.","1sg., 3sg. subj. > 3sg. subj.",223,244,0,0,1,1,1,1,?,?,1.97,0.61,0.87,2.72,1.85
68,∗-an,∗-an,223,245,0,0,1,1,1,1,?,?,2.08,0.49,1.45,2.8,1.35
69,∗-nd-ija- > ∗-nd-ijō-,∗-nd-ija- > ∗-nd-ijō-,223,245,0,0,1,1,1,1,?,?,1.8,0.58,0.8,2.57,1.77
70,inf. + ∗-ja-,inf. + ∗-ja-,224,245,0,0,1,1,1,1,?,?,1.91,0.62,0.99,2.8,1.81
71,∗namô (neut.) > ∗namō (masc.),∗namô (neut.) > ∗namō (masc.),224,245,0,0,1,1,1,1,?,?,1.92,0.62,0.86,2.59,1.73
72,2sg. ∗-s,2sg. ∗-s,224,245,0,0,1,1,1,1,?,?,1.88,0.58,0.94,2.67,1.73
73,2sg. past indic. > subj.,2sg. past indic. > subj.,224,245,0,0,1,1,1,1,?,?,1.92,0.57,0.99,2.79,1.8
74,∗-∅> ∗-u/[+heavy] _,∗-∅> ∗-u/[+heavy] _,224,245,0,0,1,1,1,1,?,?,1.87,0.59,0.91,2.71,1.8
75,∗i (cl. I) > ∗e (cl. IV/V),∗i (cl. I) > ∗e (cl. IV/V),224,245,0,1,1,1,1,1,?,?,1.87,0.66,0.95,2.78,1.83
76,∗mati > ∗matja- : ∗sagją-,∗mati > ∗matja- : ∗sagją-,224,245,0,0,1,1,1,1,?,?,2.06,0.56,1.02,2.8,1.78
77,∗hehaww > ∗heuw,∗hehaww > ∗heuw,224,245,0,0,1,1,1,1,?,?,1.72,0.62,0.8,2.51,1.71
78,∗hehēt > ∗heht,∗hehēt > ∗heht,224,245,0,0,1,1,1,1,?,?,2.12,0.56,1.16,2.8,1.64
79,∗-i- > ∅,∗-i- > ∅,224,245,0,0,1,1,1,1,?,?,1.98,0.54,1.24,2.79,1.55
80,∗-dēs,∗-dēs,224,245,0,0,1,1,1,1,?,?,1.72,0.47,0.92,2.36,1.44
81,∗-st,∗-st,224,245,0,0,1,1,1,1,?,?,1.95,0.52,1.34,2.8,1.46
82,∗-ik,∗-ik,224,245,0,0,1,1,1,1,?,?,1.96,0.53,1.31,2.79,1.48
83,∗-CijV- > ∗-CjV-,∗-CijV- > ∗-CjV-,224,245,0,0,1,1,1,1,?,?,1.99,0.59,0.87,2.67,1.8
84,[-voice] > [+voice],> [+voice],224,245,0,0,1,1,1,1,?,?,1.87,0.62,0.8,2.67,1.87
85,∗sī > ∗si(j)u,∗sī > ∗si(j)u,224,245,0,0,1,1,1,1,?,?,2.03,0.56,1.18,2.79,1.61
86,"∗ijē, ∗iją̄","∗ijē, ∗iją̄",224,245,0,0,1,1,1,1,?,?,1.98,0.52,1.32,2.79,1.47
87,∗wilī,∗wilī,224,245,0,0,1,1,1,1,?,?,1.65,0.44,0.8,2.09,1.29
88,∗þits/∗þitt(i),∗þits/∗þitt(i),224,245,0,0,1,1,1,1,?,?,1.89,0.44,1.24,2.65,1.41
89,∗sa > ∗siz,∗sa > ∗siz,224,245,0,0,1,1,1,1,?,?,1.87,0.52,1.25,2.8,1.55
90,∗þrīz,∗þrīz,224,245,0,0,1,1,1,1,?,?,1.81,0.62,0.95,2.72,1.77
91,∗twō + ∗n,∗twō + ∗n,224,246,0,0,1,1,1,1,?,?,1.72,0.62,0.8,2.57,1.77
92,∗dēdē > ∗dādī,∗dēdē > ∗dādī,224,246,0,0,1,1,1,1,?,?,1.87,0.65,0.91,2.72,1.81
93,∗þar > ∗þār; ∗hwar > ∗hwār,∗þar > ∗þār; ∗hwar > ∗hwār,225,246,0,0,1,1,1,1,?,?,2.01,0.47,1.31,2.69,1.38
94,∗þē,∗þē,225,246,0,0,1,1,1,1,?,?,1.8,0.59,0.89,2.69,1.8
95,∗baum,∗baum,225,246,0,0,1,1,1,1,?,?,1.88,0.58,0.97,2.72,1.75
96,∗obat,∗obat,225,246,0,0,1,1,1,1,?,?,1.72,0.59,0.8,2.59,1.79
97,∗rindā,∗rindā,225,246,0,0,1,1,1,1,?,?,1.75,0.58,0.89,2.63,1.74
98,∗waskan,∗waskan,225,246,0,0,1,1,1,1,?,?,1.74,0.62,0.8,2.57,1.77
99,∗wolkn,∗wolkn,225,246,0,0,1,1,1,1,?,?,1.88,0.57,0.91,2.7,1.79
100,∗gagang(?) > ∗gang,∗gagang(?) > ∗gang,225,246,0,0,1,1,1,1,?,?,1.82,0.56,0.97,2.73,1.76
101,∗waht,∗waht,225,246,0,0,1,1,1,1,?,?,1.97,0.46,1.38,2.77,1.39
102,[+nasal] > ∅,[+nasal] > ∅,225,246,0,0,1,1,1,0,?,?,1.49,0.56,0.8,2.33,1.53
103,∗e > ∗i / _m,∗e > ∗i / _m,225,246,0,0,1,1,1,0,?,?,1.55,0.58,0.8,2.3,1.5
104,"∗a, ∗o > [+front]","∗a, ∗o > [+front]",225,246,0,0,1,1,1,0,?,?,1.69,0.61,0.8,2.59,1.79
105,∗-lþ- > ∗-ld-,∗-lþ- > ∗-ld-,225,246,0,0,1,1,1,0,?,?,1.62,0.45,0.8,2.15,1.35
106,∗sl > ∗ls,∗sl > ∗ls,225,246,0,1,1,1,1,0,?,?,1.93,0.65,0.8,2.67,1.87
107,"∗ā, ∗ē > ∗ē","∗ā, ∗ē > ∗ē",225,246,0,0,1,1,1,0,?,?,1.61,0.59,0.8,2.44,1.64
108,∗h > ∅/ _CC,∗h > ∅/ _CC,225,246,0,0,1,1,1,0,?,?,1.34,0.54,0.8,2.23,1.43
109,∗-z > ∅,∗-z > ∅,225,246,0,0,1,1,1,1,?,?,1.96,0.51,1.3,2.79,1.49
110,"∗Vf V, ∗VbV > ∗VbV","∗Vf V, ∗VbV > ∗VbV",225,246,0,0,1,1,1,0,?,?,1.65,0.65,0.8,2.59,1.79
111,∗-iw- > ∗-aw-,∗-iw- > ∗-aw-,225,246,0,0,1,1,1,0,?,?,1.7,0.55,0.95,2.67,1.72
112,∗-ō,∗-ō,225,246,0,0,1,1,1,0,?,?,1.43,0.54,0.8,2.14,1.34
113,∗-i- ~ ∗-ija- > class II,∗-i- ~ ∗-ija- > class II,225,246,0,0,1,1,1,0,?,?,1.54,0.58,0.8,2.46,1.66
114,hund-,hund-,225,247,0,0,1,1,1,0,?,?,1.61,0.52,0.8,2.31,1.51
115,3pl.,3pl.,225,247,0,0,1,1,1,0,?,?,1.71,0.54,0.91,2.67,1.76
116,∗-ōs,∗-ōs,226,247,0,0,1,1,1,0,?,?,1.62,0.58,0.8,2.4,1.6
117,∗-ô > ∗-a,∗-ô > ∗-a,226,247,0,1,1,1,1,0,?,?,1.88,0.54,0.82,2.55,1.73
118,-ianne,-ianne,226,247,0,0,1,1,1,0,?,?,1.55,0.55,0.8,2.31,1.51
119,∗-nō- ~ ∗-na- > class III,∗-nō- ~ ∗-na- > class III,226,247,0,1,1,1,1,0,?,?,1.7,0.59,0.8,2.39,1.59
120,"∗a, ∗o > [+nasal] / _ [+nasal]","∗a, ∗o > [+nasal] / _ [+nasal]",226,247,0,0,1,1,1,0,?,?,1.59,0.48,0.8,2.21,1.41
121,∗a > [+round],∗a > [+round],226,247,0,0,1,1,1,0,?,?,1.59,0.45,0.82,2.09,1.27
122,∗lagdun : ∗satte,∗lagdun : ∗satte,226,247,0,1,1,1,1,0,?,?,1.89,0.52,1.28,2.8,1.52
123,∗sindi,∗sindi,226,247,0,0,1,1,1,0,?,?,1.96,0.63,0.97,2.72,1.75
124,∗sīn > ∅,∗sīn > ∅,226,247,0,0,1,1,1,0,?,?,1.67,0.58,0.87,2.62,1.75
125,∗siz > ∅,∗siz > ∅,226,247,0,0,1,1,1,1,?,?,1.99,0.52,1.17,2.72,1.55
126,∗sek > ∅,∗sek > ∅,226,247,0,0,1,1,1,0,?,?,1.52,0.51,0.8,2.19,1.39
127,∗Þ- + ∗-s,∗Þ- + ∗-s,226,247,0,0,1,1,1,0,?,?,1.76,0.65,0.9,2.75,1.85
128,∗hi- ~ ∗he-,∗hi- ~ ∗he-,226,247,0,0,1,1,1,0,?,?,1.82,0.63,0.8,2.66,1.86
129,∗stā-,∗stā-,226,247,0,0,1,1,1,0,?,?,1.64,0.54,0.8,2.39,1.59
130,∗lais- ~ ∗laiz-,∗lais- ~ ∗laiz-,226,247,0,0,1,1,1,0,?,?,1.53,0.6,0.8,2.57,1.77
131,∗i- ~ ∗e- > ∗hi- ~ ∗he-,∗i- ~ ∗e- > ∗hi- ~ ∗he-,226,247,0,0,1,1,1,0,?,?,1.5,0.55,0.8,2.39,1.59
132,∗nigun,∗nigun,226,247,0,0,1,1,1,0,?,?,1.73,0.51,0.95,2.63,1.68
133,∗hwat,∗hwat,226,247,0,1,1,1,1,0,?,?,1.85,0.54,0.98,2.58,1.6
134,∗hwaþeraz,∗hwaþeraz,226,247,0,1,1,1,1,0,?,?,1.83,0.56,0.8,2.55,1.75
135,∗a > [+front],∗a > [+front],226,247,0,0,1,1,0,0,?,?,1.44,0.56,0.82,2.27,1.45
136,∗ō > ∗ā / [-stress],∗ō > ∗ā / [-stress],226,247,0,0,1,1,1,0,?,?,1.58,0.49,0.94,2.37,1.43
137,∗-w-,∗-w-,226,248,0,0,1,1,0,0,?,?,1.4,0.55,0.81,2.33,1.52
138,∗-ē,∗-ē,226,248,0,0,1,1,0,0,?,?,1.32,0.42,0.8,1.77,0.97
139,"∗-s, -þ, -aþ","∗-s, -þ, -aþ",227,248,0,0,1,1,0,0,?,?,1.33,0.44,0.8,1.88,1.08
140,"∗þaizō, ∗þaimi","∗þaizō, ∗þaimi",227,248,0,0,1,1,0,0,?,?,1.51,0.55,0.81,2.26,1.45
141,∗hwa-,∗hwa-,227,248,0,0,1,1,0,0,?,?,1.43,0.54,0.8,2.24,1.44
142,∗hū,∗hū,227,248,0,0,1,1,0,0,?,?,1.53,0.6,0.8,2.57,1.77
143,V > ∅/ _(C)#,V > ∅/ _(C)#,227,248,0,1,1,1,1,1,?,?,1.98,0.46,1.44,2.8,1.36
144,i-umlaut,i-umlaut,227,248,0,1,1,1,1,1,0,0,1.84,0.55,0.95,2.67,1.72
145,V2,V2,227,248,0,1,0,0,1,1,?,?,1.71,0.58,0.8,2.6,1.8
146,sé,sé,227,248,1,1,0,0,0,0,?,?,1.45,0.61,0.8,2.47,1.67
147,"∗-hw-, ∗-h- > -h-","∗-hw-, ∗-h- > -h-",227,248,0,0,1,1,1,1,?,?,1.81,0.58,0.81,2.48,1.67
148,∗-dē > ∗-dō,∗-dē > ∗-dō,227,248,0,0,1,1,1,1,?,?,1.65,0.57,0.8,2.37,1.57
149,∗au > ō,∗au > ō,227,248,0,0,0,0,1,1,?,?,1.34,0.52,0.8,2.15,1.35
150,ao > ō,ao > ō,227,248,0,0,0,0,1,1,?,?,1.77,0.62,0.8,2.62,1.82
151,CR# > CVR#,CR# > CVR#,227,248,0,0,0,0,1,1,?,?,1.32,0.49,0.8,2.04,1.24
152,∗-anu,∗-anu,227,248,0,0,0,0,1,1,?,?,1.36,0.49,0.8,2.18,1.38
153,-īs,-īs,227,248,0,0,0,0,1,1,?,?,1.39,0.45,0.8,1.98,1.18
154,∗-u > ∅/ [+light] _,∗-u > ∅/ [+light] _,227,248,0,0,0,0,1,1,?,?,1.45,0.49,0.8,2.24,1.44
155,∅> -u / [+heavy] _,∅> -u / [+heavy] _,227,248,0,0,0,0,1,1,?,?,1.35,0.47,0.8,2.01,1.21
156,"1g., 3sg. indic. > 3sg.","1sg., 3sg. indic. > 3sg.",227,248,0,0,0,0,1,1,?,?,1.79,0.65,0.92,2.8,1.88
157,-ōno,-ōno,227,248,0,0,0,0,1,1,?,?,1.17,0.36,0.8,1.71,0.91
158,∗þi- ~ ∗þe-,∗þi- ~ ∗þe-,227,248,0,0,0,0,1,1,?,?,1.39,0.44,0.8,1.9,1.1
159,∗hwi- ~ ∗hwe-,∗hwi- ~ ∗hwe-,227,248,0,0,0,0,1,1,?,?,1.6,0.52,0.8,2.34,1.54
160,imu,imu,227,249,0,0,0,0,1,1,?,?,1.53,0.53,0.8,2.34,1.54
161,-ta,-ta,227,249,0,0,0,0,1,1,?,?,1.46,0.48,0.8,2.05,1.25
162,∗a > ∗æ,∗a > ∗æ,228,249,0,0,1,1,0,0,?,?,1.52,0.44,0.8,2.15,1.35
163,∗Ṽ# > V̄ ; ∗V̄ # > V; ∗V# > ∅,∗V̂ # > V̄ ; ∗V̄ # > V; ∗V# > ∅,228,249,1,0,0,0,0,0,?,?,1.34,0.49,0.8,2.09,1.29
164,"∗e, ∗i > i","∗e, ∗i > i",228,249,1,0,0,0,0,0,0,1,1.44,0.5,0.82,2.34,1.52
165,∗ē1 ∗ē2 > ∗ē1,"∗ē1, ∗ē2 > ∗ē1",228,249,1,0,0,0,0,0,?,?,1.4,0.49,0.8,2.02,1.22
166,"∗i, ∗u > [ε, ɔ] / _ /r, h, hw/","∗i, ∗u > [ε, ɔ] / _ /r, h, hw/",228,249,1,0,0,0,0,0,0,1,1.62,0.61,0.8,2.58,1.78
167,∗h (/x/) > /h/,∗h (/x/) > /h/,228,249,1,0,0,0,0,0,1,0,1.4,0.54,0.8,2.16,1.36
168,"-ggw-, -ngw- > -/ngw/-","-ggw-, -ngw- > -/ngw/-",228,249,0,0,0,0,0,0,?,?,1.14,0.4,0.8,1.63,0.83
169,∗ē > a / [+stress] _,∗ē > a / [+stress] _,228,249,1,0,0,0,0,0,?,?,1.3,0.53,0.8,2.14,1.34
170,h > Cα / _ #Cα,h > Cα / _ #Cα,228,249,1,0,0,0,0,0,?,?,1.49,0.52,0.82,2.26,1.44
171,∗ai > /ε/,∗ai > /ε/,228,249,1,0,0,0,0,0,1,0,1.5,0.69,0.8,2.59,1.79
172,∗au > /ɔ/,∗au > /ɔ/,228,249,1,0,0,0,0,0,1,0,1.62,0.6,0.82,2.39,1.57
173,∗z > s,∗z > s,228,249,1,0,0,0,0,0,0,?,1.35,0.51,0.8,2.03,1.23
174,∗i > ∅/ _ ∗jV,∗i > ∅/ _ ∗jV,228,249,1,0,0,0,0,0,?,?,1.4,0.53,0.8,2.25,1.45
175,∗a > ∅/ _z#,∗a > ∅/ _z#,228,249,1,0,0,0,0,0,?,?,1.56,0.58,0.8,2.39,1.59
176,∗-(i)ji- > ∗-ī-,∗-(i)ji- > ∗-ī-,228,249,1,1,0,0,0,0,?,?,1.5,0.55,0.8,2.32,1.52
177,∗-mz > -m,∗-mz > -m,228,249,1,0,0,0,0,0,?,?,1.38,0.5,0.8,2.18,1.38
178,r/n > l,r/n > l,228,249,1,0,0,0,0,0,?,?,1.39,0.58,0.8,2.36,1.56
179,Thurneysen’s Law,Thurneysen’s Law,228,249,1,0,0,0,0,0,?,?,1.34,0.57,0.8,2.32,1.52
180,"ē, ō > /ɛ̄ , ɔ̄ / / _ V","ē, ō > /ɛ̄ , ɔ̄ / / _ V",228,249,1,0,0,0,0,0,?,?,1.26,0.47,0.8,1.85,1.05
181,"∗-jj-, ∗-ww- > -ddj-/-ggj-, -ggw-","∗-jj-, ∗-ww- > -ddj-/-ggj-, -ggw-",228,249,1,1,0,0,0,0,0,?,1.53,0.68,0.8,2.64,1.84
182,∗-z > ∅/ V r/s _,∗-z > ∅/ V r/s _,228,249,1,0,0,0,0,0,?,0,1.43,0.54,0.8,2.33,1.53
183,∗fl- > þl-,∗fl- > þl-,228,250,1,0,0,0,0,0,?,?,1.27,0.58,0.8,2.44,1.64
184,∗þ > t / _ s,∗þ > t / _ s,228,250,1,0,0,0,0,0,?,?,1.22,0.49,0.8,2.02,1.22
185,"-aiwa, -aima, -aina","-aiwa, -aima, -aina",229,250,1,0,0,0,0,0,?,?,1.5,0.6,0.8,2.4,1.6
186,∅> j / _ i,∅> j / _ i,229,250,1,0,0,0,0,0,?,?,1.5,0.57,0.8,2.27,1.47
187,∗-n-,∗-n-,229,250,1,0,0,0,0,0,?,?,1.4,0.59,0.8,2.39,1.59
188,sijai-,sijai-,229,250,1,0,0,0,0,0,?,?,1.26,0.48,0.8,1.94,1.14
189,siju-,siju-,229,250,1,0,0,0,0,0,?,?,1.23,0.5,0.8,2.03,1.23
190,-uh > -h,-uh > -h,229,250,1,0,0,0,0,0,?,?,1.14,0.44,0.8,1.58,0.78
191,V > ∅/ _-uh/-ei,V > ∅/ _-uh/-ei,229,250,1,0,0,0,0,0,?,?,1.61,0.59,0.8,2.6,1.8
192,∗-aiz- > -ai,∗-aiz- > -ai,229,250,1,0,0,0,0,0,?,?,1.25,0.48,0.8,1.79,0.99
193,∗-r-iz > -r-jus,∗-r-iz > -r-jus,229,250,1,0,0,0,0,0,?,?,1.31,0.55,0.8,2.18,1.38
194,"-a, -o, -o","-a, -o, -o",229,250,1,1,0,0,0,0,1,0,1.49,0.62,0.8,2.44,1.64
195,-o : -e,-o : -e,229,250,1,0,0,0,0,0,?,?,1.43,0.58,0.8,2.37,1.57
196,þata,þata,229,250,1,0,0,0,0,0,?,?,1.38,0.51,0.8,2,1.2
197,∗-īn- > ∅,∗-īn- > ∅,229,250,0,0,0,0,0,0,?,?,1.19,0.44,0.8,1.87,1.07
198,∗-at,∗-at,229,250,1,1,0,0,0,1,?,?,1.64,0.49,0.8,2.28,1.48
199,∗-assu-,∗-assu-,229,250,1,0,0,0,0,0,?,?,1.16,0.38,0.8,1.63,0.83
200,∗-ā-,∗-ā-,229,250,1,1,0,0,0,0,?,?,1.33,0.52,0.8,2.04,1.24
201,∗-es-,∗-es-,229,250,1,0,0,0,0,1,?,?,1.35,0.54,0.82,2.24,1.42
202,-and-s,-and-s,229,250,1,1,0,0,0,0,?,?,1.67,0.59,0.8,2.54,1.74
203,"1g., 3sg. > 1g.","1sg., 3sg. > 1sg.",229,250,1,0,0,0,0,0,?,?,1.13,0.36,0.8,1.82,1.02
204,hwa,hwa,229,250,1,0,0,0,0,0,?,?,1.22,0.41,0.8,1.79,0.99
