entry_id	pdf_page_start	entry_heading	field	flags	sample
385	164	cuius	proto_italic	contains-greek	*kʷosjo- 'whose'. Gr. ποιος < *kʷosios is probaby the result of an independent development in Greek on the basis of PIE gen.sg. *kʷosio Of whom?*.
385	164	cuius	ie_cognates	contains-greek	Gr ποιος [adj,] 'what kind of. Built on the gen.sg. cuiius of qui 'who, what', which was taken as a new nom.sg. of a possessive adj. The same process can be observed in Sabellic, so that it will have been
388	164	culleus	ie_cognates	contains-greek	Gr. κολεόν 'sheath of a sword' (possibly < *κολερ-όν). < Probably a loanword from a non-IE language, independently into Latin and Greek. Lat. colei is probably a variant of *cullel
389	165	culmus	pie	contains-laryngeal	*Jcolh₂-mo- 'stalk, stem, straw'.
389	165	culmus	ie_cognates	contains-greek;contains-laryngeal	Gr. κάλαμος 'reed, straw', καλάμη 'stubble' < *lclh₂-em→ Latv. salms, OPn salme, CS slama, Ru. soloma, SCr. slama 'straw' < *lcolH-m-eh₂; OHG hal(a)m 'stalk, straw'. Greek requires *klhrem-hr, whereas BSl. and Gm. agree on *koIh₂-m-t In Latin, this would yield *kolamos, which Nussbaum argues may have given *kolmos > culmus. Schjijver, however, is very reluctant to assume that *o would be syncopate
390	165	culpa	pie	contains-laryngeal	*kuolp-h₂- 'bend, turn'. *kuelp- 'to wind, turn'. A noun *kuolp-hr may have indicated a 'wrong', cf. the etymology of this English word.
390	165	culpa	ie_cognates	contains-greek	Gr. κόλπος [m.] 'bosom, lap' < *kuolp-o-; OPr. ppp. po-quelbton 'kneeling'; OIc. ppp. holfinn 'vaulted', hvelfa 'to make vaulted, turn over', OHG bewelben [v.], OIc. hualf OE hwealf[L] 'vault'. The original meaning of culpa is 'a state of error' rather than 'an error committed', according to EM. We might then connect culpa with PGm. *hwelf-a- 'to wind, bend', maybe also OPr. po-quelbton 'kneeling'
391	165	culter, -tri	entry_text	contains-greek	culter, -tri 'knife' [m. ο] (Pl.+)
391	165	culter, -tri	pie	contains-greek	*(s)kolhM-tro- 'instrument for cleaving'. *(s)keUi2/3- 'to split, cleave'; the ablaut of the root cannot be decided for ^culter. Some (Leumann 1977) prefer to explain culter as the result of a dissimilation'from *ke/ortro-, in which case it may have been derived from the root *(s)ker- 'to shear, cut off (Gr. κείρω Ί shear'; cf. Latin caro). But since this explanation requires an extra assumption, 
391	165	culter, -tri	ie_cognates	contains-greek;contains-laryngeal	Hit. iskalla- I iskall- 'to slit, split, tear' < *skolh₂&- / *sklh₂/r\ Gr. σκάλλω 'to stir up, hoe' (if from *sklh₂/r}e/o- > *sklie/o-\ Arm. e'elaw 'split, tore' [pret], Lith. skilti 'to strike fire', skelti 'to cleave, strike fire\ > r If connected with a root in -/, culter might belong to the root
392	166	cuius	pie	contains-laryngeal	*kuH-lo- 'backside, rear'. *keh₂u- 'to cleave', from which I also derive cauda 'tail' and caudex 'tree-trunk'.
393	166	cum	entry_text	contains-greek	cum 'when' [adv.] (Lex ΧΠ+; older form quom, before Cicero)
395	167	cumulus	ie_cognates	contains-greek	Gr. κΰμα, -ατός 'wave, breakers; foetus, sprout'. It is striking that cumulare is attested significantly earlier than cumulus. Cumulus presupposes earlier *kumos. Schrijver 1991 doubts the connection with *kuH- 'to swell', because short u would then be difficult to account for. However, if pretonic long vowels were indeed shortened in front of resonants in Pit (Schrijver 1991: 343), a preform *kii
396	167	cQnae	ie_cognates	contains-greek	"Hit. fa-™*""'* , PaL ki-, CLuw. zi-, Lye. si- 'to lie' < *kei-(t)o\ Skt saye3 sere, Av. saete, soire; Gr. κείται 'to lie\ κοΐτος [m.], κοίτη 'lair', ακοιτις 'spouse', OIc. hid, hidi [n.] 'a bear's lair' (< */ce/-fo-);"
398	168	cunctus 'whole, all'	bibliography	contains-laryngeal	WH I: 307f., EM 157, IEW 538f., Polome 1966, Leumann 1977: 96, 217, Sihler 1995: 145, 300, LIV *(£eih₂-. → cieo, esp. conciere 'to stir up' (Pl.+)
399	168	cuneus 'wedge, plug; closely packed formation'	entry_text	contains-greek	cuneus 'wedge, plug; closely packed formation' [m. ο] (Pl.+) WH and IEW support the connection with culex 'gnat' and Skt. siika- 'sting (of an insect)', Av. suka- 'needle', but these presuppose a root *kuH- which would yield Lat. **ciineus. Long *w might have been shortened in pretonic position, but in the absence of any clear cognates of cuneus, this explanation is too uncertain. Lat. -eus usuall
401	169	cunnus 'vagina'	ie_cognates	contains-greek	W. cwd 'bag, scrotum*; Gr. κυσός 4 vagina, buttocks, bladder' (< ^kut-so-ΊΧ maybe κύτος [n.] 'hollow, vessel'; Lith. kutys 4(money)bag'; OHG hodo, OFr. hotha 'testicles* < *xup-an-. We may distinguish a root *kut- meaning 'bag', 'scrotum', and metaphorically also 'female pudenda'. Lat, cunnus could be a thematization of an w-stem, such as found in Germanic 'testicles' (thus Leumann 1977: 320).
402	169	cupa	ie_cognates	contains-greek	Skt. kupa- [m.] 'pit, hole' (EWAia I: 385); Gr. κύπη 'gap, hole' (Hsch.) (ϋ?), κύπελλον 'beaker', κύπρος [m.] 'corn measure'; OIc. hufr 'ship's hull', OE hyf 'beehive' < PGm. *χϋ/α-. Probably a non-IE loanword *kup- which was borrowed by and from many languages. This explains, among others, the vacillating length of the w.
403	169	cupie, -ere	pie	contains-greek	*kup-(e)i- [pr.], *kup-ehr [aor.] 'to tremble, desire', *kup-ro- 'desirable'? *kup-ehr. Double ψρ- in cuppes can be explained from *ciipedr <
403	169	cupie, -ere	ie_cognates	contains-greek	Olr. adrcobra 'wants', accobor [vn.] 'desire' (denomin. to *kupro-7); Skt. akupyant- [neg.ptc.act.], kupyati [3s.act.] (ep.+), caus. kopayati 'to make quake (RV); to make angry (ep,)'; φτά-kupita- 'trembling, quaking'; Lith. kupiti, 3s. kupa, OCS kypeti 'to simmer, to boil' < BSl. *Awp-; OIc. hjufa 'to lament' < *keup-e/o-? Whereas the 3rd conjugation with zero-grade root suggests a present *kup-i
405	170	cura	proto_italic	contains-laryngeal	*kʷois-a- 'care, watch'. *kois- and *kʷois- (if *kʷo- > co- preceded *woi- > *yei-) 'care'. Semantically, cura would fit the meaning of the PIE root *kʷei- 'to take notice, heed', and the o-grade would be fitting for a noun in *-h₂. The ^-present *kʷei-s- 'to heed' of this root may have been interpreted as a separate root in PIE already (thus LIV), and is well represented in Celtic. The ograde for
406	171	curculis	entry_text	contains-greek	curculis 'corn-weevil' [m. η] (Pl.+)
408	172	curro, -ere	ie_cognates	contains-greek	Gaul *karros (> Lat carrus) , Olr. can 'vehicle1, W. car < PCI. */rao-; Gr. επίκουρος 'helper; helping' < *epi + *korso- 'running towards'; OHG hros, OIc, hross, OE hors 'horse' belong here too, if from PGm. *hursa- (not *hrusa-) < *krs-o→ The old pf. cecum (< pf. *ke-kors-ai) was assimilated to cucurru The ppp. cursus must be secondary for **kostus < *korstus < *kps-to- (for the phonetics, cf. to
409	172	curtus	ie_cognates	contains-greek	Hit. karsfiie/a)-* 'to cut off, separate, stop', CLuw. kars- 'to cut' < pr. *kers-\ Gr. κείρω 'to cut off, shave', καρτός 'cut off, shorn1, Arm. k'erem 'to scratch, scrape off; Alb. shqerr 'tears'; Lith. skirti 'to separate'; OHG sceran 'to shave, cut off, OIc. skera 'to cut off. Lat curtus seems to reflect *kr-to- > *korto- > *kurto~, with the development *orC > urC (see s.v. curro for this probl
410	172	curvus	pie	contains-greek	*kur-uo-? *(s)kr- meaning 'to tum\ The best connection seems to be with the Celtic words for 'hooked' from *kurso-\ Gr. κυρτός might continue the same root. Yet *kur- is not a valid PIE root structure, it would have to be analyzed as *k(e)u- plus a root enlargement *-r-.
410	172	curvus	ie_cognates	contains-greek	Olr. corr, MW cwrr 'hooked' < *kurso-; Gr. κυρτός 'curved1. The etymology is uncertain. WH and IEW mention a host of possible cognates, all from a root *(s)ker-, under the assumption that curvus goes back to *kj-uo-. Yet the words connected are of very different forms and meanings, and there is no verbal root
411	173	CX kuru, SPic. qora	pie	contains-laryngeal	*kor-h₂- 'piece'? By way of conjecture, it has been suggested that *kora- was derived from the verb *(s)ker- 'to cut\ This is conceivable, since words for 'stone' or 'stone objects' are often derived from meanings such as 'piece', which can be referred to as a 'piece cut ofF (cf Lat. card). But since the real meaning of *kora- remains uncertain, so does its etymology.
414	175	cutis	proto_italic	contains-greek	*Au//-. ι *do-/da- this', *de 'with this'. *dapno-.
414	175	cutis	pie	contains-greek;contains-laryngeal	*kHu-t-i- 'skin, hide\ *de, *do 'here'. probably had an indeclinable particle *dey *do 'here, there', see s.v. -de and endo. Like some of the other particles (*ke/*Ici, *h₂eu, *gʰe/*gʰo), it acquired (pro)nominal inflection in some of the daughter languages. In Italic, we find traces of an ins.sg. *dohIy and *dehh of an acc.sg.f. *dam, of an abl.sg.f. *dad, of an acc.sg.m./n. *dom* The ograde *do 
414	175	cutis	ie_cognates	contains-greek	MW eskit, Co. eskit, esgis 'shoe' (< *ped-skut-); Gr. σκυτος [nj 'leather, skin', Gr. εγκυτί 'onto the skin5 < *kHut-; OPr. keuto 'skin\ Lith. kiautas 'shell, rind' < *keHu-to-; OIc. hud, OE hyd, OHG hut , ToA tec 'skin' (< *kʷac) < *(s)kuHt-(i-/-es-). Latin cutis exactly matches the Germanic forms and ToA kac 'skin'; it is an z-stem based on a /-stem. Greek and Celtic show s-mobile, as does Balti
414	175	cutis	bibliography	contains-greek;contains-laryngeal	WH I: 320, 709, EM 161, IEW 952, Schrijver 1991: 239f. ## D -dam -de -do -dura [suffix, prep., prefi]: 1. quidam, quaedam, quoddam [adj.; declension like qui] 'a particular, a certain' (Pl.+); quidam, quaedam, quiddam 'a certain' (old nom. or acc.sg. quesdam lx Ace.) (Pl.+); quondam 'formerly, once1 (Naev.+); 2. de [prep. + abL, pref ] 'from, off; without; about' (Lex XII, Andr.+); denique 'finall
415	175	daps, 's Sacrificial meal, feast'	proto_italic	contains-greek	*φρ-. \
415	175	daps, 's Sacrificial meal, feast'	ie_cognates	contains-greek	Hit. tappala- 'person responsible for court cooking'; Gr. δάπτω (*δαπ]ω) 'to tear to pieces, slaughter', Gr. δαπάνη 'loss, expense', Arm. town 'feast', OIc. tafii 'sacrificial animal, sacrificial meaF.
415	175	daps, 's Sacrificial meal, feast'	bibliography	contains-laryngeal	WH I: 323f, EM 164, IEW 175-179, 196f, LIV *deh₂p-. → damnum
416	176	dautia, -ōrum	bibliography	contains-laryngeal	WH I: 324f., EM 346, Driessen 2003b: 354f, Vine 2006a: 238, LIV ?*deh₃u-, →duim
417	176	-de	entry_text	contains-greek	-de 'there' [ptcle.]: quamde, quande 'than* (Andr.+), inde 'thence' (Pl.+), deinde 'afterwards' (Lex ΧΙΙ+), exim, exin, exinde 'thereafter' (Pl.+), unde 'whence?' (Pl.+), undique 'from every side' (Pl.+)
417	176	-de	ie_cognates	contains-greek	MW hwnn, Olr. sund <PCL *so-de 'this', Olr. suide, n. sodain < *so-de-so 'that*, *sin-de (anaphoric pronoun) > article *sindos, f. sinda, Olr. fein, fadein 'own, self < *sue-de-siny Olr. cein, cadein, cadesin < *ke-de-sin 'even, namely'; Gr. -δε 'towards; this', δε 'but'. Lat quande < *quam 'than' + -de, vide s.v. quam. Lat. inde < *im-de 'that one there' with acc.sg.
418	176	debeo	entry_text	contains-greek	debeo 'to be under an obligation, owe' [v. Π; pf. debuT (Pl. lx. dehibuisti), ppp. debitum] (Pl.+) Contracted from *de-habed Ί hold away from someone, I withhold'.
419	177	debilis	ie_cognates	contains-greek	Skt. bala- [n.] 'strength, power', Gr. βέλτερος 'better' (post-Η. βελτίων) , βέλτατος, βέλτιστος 'best'; OCS bolii 'bigger, better', f, bojtsi, n. bolje, SCr. boljl 'better' < *bol-(i)isAo-. The expression debil homo in Enn. may have been formed on the model of vigil (thus Leumann). Originally, debilis is a compound of the denominative type in-ermis 'unarmed' to arma 'arms'. Although this type ret
420	178	decern	proto_italic	contains-greek	*dekm 'ten'; *dekamo- 'tenth'; the ordinal *dekmto- may be preserved in O. *dekrntasio-; *dekuria 'group of ten', *oinos/m-dekm 'eleven'. *dekm. In -decim, the ι is not well explained. It is often believed to be due to a metathesis of *-dicem > *-decim, but a metathesis of two vowels is extremely rare in IE languages, and hence unlikely. The numerals in decim probably have -dec- from decern 'ten' 
420	178	decern	italic_cognates	contains-greek	U. desenduf [acc.pLf.] 'twelve' < *desen 'ten' + duf < *duons 'two' [acc.pl.mf.]; O. δεκμας 'a tithe' < *dekm-o-; O. dekmanniuis [databl. or loc.pL] '?' probably < *dekemanjo- 'who guards the tithes'; maybe O. degetasis [nom.sg.rn.], degetasius [nonupl.m.], deketasiui [dat.sg.rnJ '?' (attr. to raeddiss), probably *dekmAo- 'tenth' + *-asios 'who is responsible for a tenth'. U. tekuries, dequrier [d
420	178	decern	ie_cognates	contains-greek	Olr. deich, W. deg, Skt. dasa, YAv. dasa, Gr. δέκα, Arm. tasn, Go. taihun, ToA sakj ToB safe, 'ten'; Gaul decametos, Celtib. tekametam, Skt. dasama-, Av, daszma-, Gr. δέκατος 'tenth'. Lat decern, U, desen <
421	178	decet	ie_cognates	contains-greek	"Olr. deck 'best' < *dei>os: Skt. pr. dftyft"", dosat- [ptc.act.]; pr. dasati [3s.act.]; pr, dasnoti [3s.act.]; das- [f.] 'worship', dasasyati 'to render service' < dekes-ie/o-; Gr. pr. δέχομαι / δέκομαι, aor. δέξασθαι, 3p. δέχαται, ep. aor. ptc. δέγμενος, ind. έδέγμην 'to take, accept', Myc. de-ka-sa-to Ideksatol [3s.aor.med.], Arm. etes 'saw'. Lat. decor- 'beauty' may have been formed productively"
422	179	decrepitus	pie	contains-laryngeal	*krep-eto- 'strong'. *bʰru-to- 'boiled*. *h₃eIhreie/o- 'to destroy'.
422	179	decrepitus	ie_cognates	contains-greek;contains-laryngeal	Mir. crim 'quick', W. cryf9 Bret, krenv 'strong' < PCL *krimo- < *fop-mo- (cf Hamp 1960-61); OCS krept 'strong1 < PBS1. *krePp-, OIc. hrcefa 'to endure' < *krep-. A compound formed after adjectives like de-bilis9 de-mens, de-formis, with de- 'off, away' and a nominal second member. Yet -crepitus was not made into an /-stem like -bilis and -formis, nor does it show word-internal vowel reduction. He
422	179	decrepitus	bibliography	contains-laryngeal	WH I: 332, EM 167- dSfrutum 'grape juice boiled down into a syrup* [n. o] (Pl.+; once defritum Nonius 551.7 15) WH I: 333f., EM 167, IEW 144f., Schrijver 1991: 254f., LIV * b W . ^ fermentum, ferveo deleo cto remove, efface* [v, II; pf. delevi, ppp. deletum] (Cato+) WH I: 335f, EM 167f., IEW 662ff, Schrijver 1991: 403, Meiser 1998: 190, 2003: 139, Seldeslachts 2001: 84f., LTV *h₃elh r . → aboleo, 
424	180	-dem [ptele.]: ibidem	pie	contains-greek;contains-laryngeal	*im 'this'. Originally a suffix -em indicating emphasis or focus, as in aut-em, quid-em. This was metanalysed from the n, idem 'the same' (analysed as id-dem), or, according to Sihier, from the abl.sg. eddem, eadem < *eod-em, *ead*-emy which came to stand beside simple eo% ea < *eod9 *ead. But I see no great problems in assuming a metanalysis of *idem as Hd-demL Latin suggests a particle *im, whic
425	181	dens, -Us	pie	contains-laryngeal	*h₃d-nt- 'tooth'.
425	181	dens, -Us	ie_cognates	contains-greek;contains-laryngeal	"Olr. det 'tooth', W. dant < *h₃dnt-; Skt. dant- (nom.sg. dan9 acc.sg. dantam, gen.sg. datas) , Av. daitika- [m.] 'wild, undomesticated animal', YAv. vimlto.dantan- [adj.] 'with shapeless teeth', MoP dandan 'tooth'; Gr. Ionic οδών, later οδούς 'tooth', νωδος 'toothless' < *n-h₃d-o-; Aeol.Gr. έδοντες 'teeth' (only in a 12Λ-α AD gloss which states that ""the Aeolians say edontas for odontas., and edun"
426	182	densus	italic_cognates	contains-greek	Ven. deivos [acc.pl.] 'god'; O. deivai [datsg.f.], deivas [gen.sg.f.?], Vol deue [datsg.m. or f.] 'goddess' or 'godlike'; O. deiuatud [3s.ipv.II], deiuaid [3s,pr.sb.], deiuast [3s.fut], deiuatu<n>s [ppp., nom.pl.m,] 'to swear', denom, verb to <*cfe/vw-. Probably O. deivinais [databLpl.L] 'of the Deiva' < *deiwo- + -ΪΠΟ-.
426	182	densus	ie_cognates	contains-greek	Gr. δασύς 'hairy, thick with leaves; aspirated'. Kloekhorst 2008: 853ff. reconstructs *dens-u- for Hit. dassu- 'strong' and derives it from the root *dens- 'to be skilled'. This is semantically somewhat removed from the Latin and Greek adj., so that the connection is uncertain. The factitive densed is regarded as a nonce-form instead οϊ densare by Sihler 1995: 531. If connected with the Greek adj.
427	182	dexter, -(e) ra, -(e)rum	ie_cognates	contains-greek;contains-laryngeal	Olr. dess 'right, south' (< *deks-uo-\ MW deheu, W. deau, MCo. dehow, Bret, dehou 'right, south' < LPBr. *dexou < *deksouia 'right (side)' « *deks(i)uo- 'right'; Skt. daksina-, Gr. δεξιτερός, δεξιός '(to the) right (side)', Myc. PN de-ki-si-wo fdeksiwos/, Gr. δεξιρος, δεξιότης 'dexterity, cleverness' (Pamphyl.), Alb. djathte 'right', Lith. desinas, OCS desnt, Go. taihswa, OUGzeso 'id.\ On the basi
429	184	dīcō, -ere	italic_cognates	contains-greek	(1)0, deikum, deicum [inf pr.], deicans [3p,pr.sb.], U, teitu, deitu [3s.ipv.II] < pr. *deik-e/o-; O. dicust, U. dersicust [3s.fiit.pf.], dersicurent [3p.fiit.pf ] 'to say' < pf. *de-dik-us~; (2) 0. dadikatted^[3s*pf] is probably a caique on dedicare. Very uncertain is U. tikamne [dat.sg.], a theonym, which has been explained as *dik-a-men-(o-)\ (7) O. meddiss, meddis, meddis [nom.sg.], μεδεκον [a
429	184	dīcō, -ere	ie_cognates	contains-greek	Skt. dis- 'to show': disant- [ptc.act.], disamana- [ptc.med.]; aides- [pr.]; dista- 'shown (direction)'; dis- [f.] 'direction, point of the compass'; OAv. doedoist [3s.inj.act.], aor. dais [2s.inj.act.], ddisa [ls.sb,act.], doisi [2s.ipv.act] 'to show'; Gr. δείκνϋμι 'to show'; δίκη 'manner, custom'; Go. ga-teihan 'to indicate, proclaim', OHG zihan 'to show; incriminate'. The relative chronology sh
430	184	dies, diaf	italic_cognates	contains-greek	O. iuklei [loc.sg.] 'day' < *dio-kelo- « *diou-kelo-; O. zicolom [acc.sg.], ziculud, [abl.sg.], zicelfei] [loc.sg.], zicolom [gen.pL] 'day' < *die-kelo- 'little day'. Disputed: U. ύςέΐ [nom.sg.], titfu [abl.sg.] 'day'(?).
430	184	dies, diaf	pie	contains-greek	*di-eu- 'God of the clear sky, Clear Sky'. *di(i)eu-m '(god of the) sky', with di- analogically from gen.sg *diwos. A new stem *dije- was created on the basis of this acc.sg., and became one of the sources for the fifth declension: the endings were largely adapted to those of the first declension (α-stems). Oscan *dje-kelo- shows the monosyllabic variant of the stem. The semantic shift to 'day' is
432	185	-dinus	ie_cognates	contains-greek	Olr. dertus 'period of time', tredenw 'period of three days'; Skt madhyamdina- [m.] 'midday, noon', su-dina- [n.] 'dawning beautifully, light of the day'; OPr. deinan [acc.sg.], Lith. diena, Latv. diena, OCS dbnb 'day' [m.], dbne [gen.sg.j, Ru. den' [m.], gen.sg. dnja < BSl. *d(e)in-; Go. sinteins 'always, daily' < *sem-deino-* These are petrified occurrences of the adj, *di-no- 'of a day'. The BS
433	186	dis-	pie	contains-greek	*dus 'into two > bad', *dui- 'two, into two'. *dus- 'apart; bad' (thus Wackernagel and Leumann 1977: 400), which is otherwise unattested in Latin. Yet Forssman 1992: 309 maintains that difficilis was built from dis +facilis on the example oisimilis : dissimilis. Even if difficilis does not directly continue *dus-y the restriction of dis- to (verbal) compounds would suggest that all of Latin dis- i
433	186	dis-	ie_cognates	contains-greek	Gr. διά 'in two, apart, through' [adv.], 'through' [prep.] < *δισ-α; also δα- in δαφοινός, esp. from animals, 4 very red', δάσκιος 'very shady', developed from δια-, or Aeol. ζα-. Borrowed into Gothic as the prefix dis-' apart'. Lat. dis- seems to be cognate with Gr. διά < *δισ-α. Whereas διά can function both as a preverb and as a preposition, in Latin, dis- is only a preverb. In the older texts,
436	187	diu, diu	pie	contains-greek	*di-eu- 'day; sky\ *~t-ino- (cf. vermis, Gr. ειαρινός 'in the spring'). The adj. in -duiim are from *-diuom, n. of the adj. *-diu-o-. WH I: 104 explain ζ from analogy v/ith'postridie9 but the model is not perfect, since *biduus is an adj. One might consider analogy with bimus 'lasting two years' < *bi-him-o-. (5) The adj. dius (often substantivized to dium 'the open sky1) may be compared to Sab. *
436	187	diu, diu	ie_cognates	contains-greek	see s.v. lupiter; Skt. divya- [adj.] 'heavenly, divine' (RV+), Gr. δϊος [adj.] 'heavenly' (II.), also 'belonging to Zeus' (trag.). (1) The form dius, which is suspected to be attested in rtudiustertius and mediusfidius, might be the old nom.sg. *diieus > *diieus (syllabic *di- analogically from the gen.sg.), with monophthongization of *eu > u. (2) The adverb dius can directly represent the PIE gen
439	189	dō, dare	italic_cognates	contains-greek;contains-laryngeal	Ven. doto [3s.pret] 'gave' < *d(e)h₃-to; Vest, didet [3s.pr.], Pael. dida, U. tera, dirsa, dersa [3s.pr.sb.], dirsans, dirsas [3p.pr.sb.], titu, tetu, ditu, teftu, tertu, dirstu [3s.ipv.II], tefte [3s.pr.ps.], O. didest [3s.fut], deded, δεδετ, Mars, ded, Presam. tetet, U. dede [3s.pf.], O. dedens, δεδενς [3p.pf ], U. terust, dirsust [3s.fut.pf.], Ο. δατας, Pael. datas, Vest, data [ppp., gen.sg.f.]
439	189	dō, dare	pie	contains-laryngeal	pr. *di-d(e)h₃- 'to give', pf. *de-dʰ₃-, pf.sb. *de-dʰ₃-ihr; root aor. *deh₃-m, -do 175 *dʰ₃-me (whence Latin dare); ppp. *dʰ₃-to-; noun *de/oh₃-t-.
439	189	dō, dare	ie_cognates	contains-greek	"Olr. dorata* < *tu-ro-ad-da- 'be able to give*, iadaid 'to close' < *epi-da- < PCI. *da- 'give'; Hit. da- / d- 'to take, wed, decide', CLuw. la- 'to take', laid- 'id.' < *dohrldʰr, Skt. pr. dadati, aor, adat, OAv. pr. dada-, YAv. daSaiti, Gr. δίδωμι 'to give', aor. έδωκα, έδομεν, δώς 'gift', Arm. tarn Ί give\ etow Ί gave', OAlb. dhae 'gave', Lith. duoti 'give', OCS c/αΛ"" 'give'. The form danunt mu"
440	190	-do, -dere	pie	contains-laryngeal	pr. *dVd h h r 'to put\ aor. *dʰ(e)hr. *deh₃- 'to give' or *d h eh r 'to put'. Since the simplex of 'to put' is not retained in Latin, I here give the verbs of which WH and EM suggest that they may be ascribed to *d h eh r . The Latin reflex -d- is regular only after certain consonants, but not in absolute anlaut, where/· results from *dʰ-. Thus, -dere may reflect an athematic aorist *-dʰh₁-sii po
440	190	-do, -dere	ie_cognates	contains-greek	PCI. *-df- 'to put' in Olr. creitid 'to believe' (see s.v. credo) ; Hit. dai-1 ti- 'to lay, put, place', Lye. ta- 'to put' < *dʰhroi-, Hit. titta-Ititti- 'to install, assign' < *dʰi-dʰhroi-, Skt. dha-, Av. da- 'to put, make', Gr. τχύημι, aor, εΰηκα, pi. &θεμεν, Lith. dSti 'to lay, put', OCS deti 'do, say', Toch. ta- 'place, set'. Verbal compounds in -do can represent either
441	190	doceo	ie_cognates	contains-greek	Hit. dakki, takkanzi 'to seem, be similar' < *dokh r /*dkh r , Gr δοκέι 'it seems'. All nominal derivatives are productive formations. Leumann 1977: 96 assumes doctus < *dokrirtos.
443	190	dOlium	entry_text	contains-greek	dOlium 'large earthenware vessel5 [η. ο] (Pl.+)
443	190	dOlium	ie_cognates	contains-greek;contains-laryngeal	maybe Ir. delb 'form' [f,], OCS dbly 'barrel' [f. u] , dbhve [gen.sg.] < *dl(H)-u-. The connection with dolare 'to chop5 is doubted by EM and Schrijver because the root of dolare usually refers to woodwork, not earthenware. To me, this does not seem a decisive objection, but the long δ cannot be regularly explained. Since it is a pottery term, it may be a loanword.
445	191	dolus	ie_cognates	contains-greek	Gr. δόλος 'bait;trick', OIc. to/ [n.] 'account, number'. ~f\ For sir 'apart, away' < *sedr;in sedulo < *se dolod [abl.sg.] 'without malice', cf. Meiser 1998: 157f IEW argues that dolus was borrowed from Greek; others have compared Gm. *ta/a- 'reason, account'. In view of doled 'to feel pain' and dolor 'pain', an inherited word *do!hro- 'pain/which pains' > 'deceit, malice' cannot be dismissed.
446	192	dominus	proto_italic	contains-laryngeal	*dom-o/u-no- 'of the house'. Pinault 2000: 90-91, building on a suggestion by Schindler, reconstructs ^dom-h^en-^ thematized as *dom-h₃n-o- 'who profits of the house'. Since Skt. damunas- 'lord of the house' probably goes back to *dom-i/-/?j«-o-, Pinault suspects that both words go back to the same PIE word; Skt introduced the w-stem into the noun. But since Skt. and Lat. have independent remodell
447	192	domō, -āre	pie	contains-greek;contains-laryngeal	"*domh₂-eie/o- 'to tame\ *dmehrs- I *dmh₂-s-, Skt. d W 'to control', caus. damayati (RV+), damitar^ [m.] 'tamer, subduer\ Gr. δάμνημι *to tame, subdue, conquer', Go. ga-tamjan ""to tame'. Lat. domitare was either built directly to domare as an iterative, or to the ppp. domitus as a denominal verb. Theoretically, Lat. domare might reflect *dema-, but the absence of a nasal present or ^-suffix, and th"
447	192	domō, -āre	bibliography	contains-laryngeal	WH I: 367f., EM 182, IEW I99f., Isebaert 1988, Schrijver 1991: 400, Sihler 1995: 505, Meiser 1998: 186,2003: I37f, LIV *demh₂-. → redimio
448	193	domus, -ϊ/ -iis	proto_italic	contains-laryngeal	*domo- [f ] 'house\ *-om-, *-oNC- mostly became -urn-, -uNC- in Latin, but this change is sometimes impeded by a preceding dental: domare, tongeo, longus. Hence, domus may be the regular outcome of *domos. The adj. domesticus cannot contain an 5-stem *domes- (for which there is no evidence), but was rather formed to its antonym *rowestikos (> rusticus), cf. Leumann 1977: 339. For domicilium, WH su
448	193	domus, -ϊ/ -iis	ie_cognates	contains-greek	Skt. dam- [n.], Av, dam-, Skt. dama- [m.] 'house', Gr. δόμος 'house, layer of bricks', Lith. nomas 'house' < *dom-o-; Gr. δμώς, -ωός [m.] 'slave, servant' < *dmdu-, OCS donrt [m. u/o] 'house', Ru. dom, loc.sg. na domu 'at home' < *dom-u-, Ru. domovyj, domovoj [adj.] * house-'. In PIE, there was a root noun nom.sg. *dom, gen. *dem-s. Probably, a w-stem derivative also existed (yielding Slav. *domu-
448	193	domus, -ϊ/ -iis	bibliography	contains-laryngeal	Sommer 1914: 65,-,404f., WH I: 367-370, EM 182f„ IEW 198f., Meier-Briigger 1977, Meiser 1998: 83, 150, Pinault 2000: 89, Gerschner 2002: I72f., LIV *demh₂- 'to build'. → dominus *
449	193	dunum	entry_text	contains-greek	dunum 'gift, present* [η. ο] (Pl.+; VOLat. donom [ace.])
449	193	dunum	italic_cognates	contains-greek	Ven. donom [nom.acc] 'gift'; donasto, tonasto [3s.pret.] 'gave* < *dona-s-to, donasan [3p.pret.] < *dona-s-nt\ O. dunum, dunum, dunum, U. dunum, dunu, dum, Mars, dunom, donom, Vol. duno, Pael. donom [acc.sg.], O. diineis [gen.sg.] n. 'gift'; Ο. δουνακλομ [nom.acc] 'gift' or 'act of giving' < *donatlom; O. dunat [3s.pr.], duunated [3s.pf ] to *dona- 'to bestow'.
449	193	dunum	pie	contains-laryngeal	*doh₃-no- or *deh₃-no- 'gift'.
449	193	dunum	bibliography	contains-laryngeal	WH I: 371f, EM 179, IEW 225, Lejeune 1974: 333, Untermann 2000: 190, I94f., LIV *deh₃-. → do, dare; duim
