entry_id	pdf_page_start	entry_heading	field	flags	sample
17	38	ad	ie_cognates	contains-greek	Olr. ad-, Gaul. aJ-, W. add- [pref], W. d, before vowels ag 'with'; Phryg, αδ-δακετ 'he makes'; Go. at 'at, near', OIc, «/, OE ceu OS a/,OHGoz<PCm. *aK It is disputed whether atque, ac 'on the other hand, as; and' belong here or to at 'on the other hand'. The latter seems more likely, since one might expect ad to have been restored in original *ad-que.
19	38	adminiculum	pie	contains-laryngeal	*(H)mi-no-, EM and Leumann 1977: 313 prefer to derive adminiculum from the root *men- 'to protrude' as in minae 'protruding part' > 'threat' and e-minere. WH and Serbat 1975: 144 explain adminiculum as *(H)mi-no- to moenia 'defensive walls' from the root *(H)mi- Ho build'. In view of the preverb ad-^ the latter solution seems more likely.
20	39	adoleō	pie	contains-laryngeal	*h₂ol-eie- [pr.] 'to feed', *h₂l-to- [ppp.].
20	39	adoleō	bibliography	contains-laryngeal	WH I: 13, 32, EM 9, 24, IEW 24, 26-27, Schrijver 1991: 70f., LIV *h₂el-, → aid
21	39	ador, -oris	pie	contains-laryngeal	*h₂ed-6s (colL) 'grain (dried stuff)'.
21	39	ador, -oris	ie_cognates	contains-greek;contains-laryngeal	"Hit. hat-/hat- Ho dry up, become parched' (< *h₂od-/*h₂d-), Gr. &ζομαι 'to dry up"", Arm. hat 'grain', hacar 'barley', Go. atisk 'grainfiekF < *h₂ed-. Lat. ador probably reflects a neuter collective *ad^6s or *adrdn If it reflects an s-stem, one could connect Go. atisk 'grainfield' < PGm. *ates(s)ka-, probably a fc)fco-derivative of PIE l¥h₂ed-es- 'grain*. Arm. hat may reflect *hjedr(e)s-."
21	39	ador, -oris	bibliography	contains-laryngeal	WH I: 14, EM 9, IEW 3, Watkins 1973a, LIV *h₂ed-.
22	39	adulor, -ārī	entry_text	contains-greek	adulor, -Sri 'to fawn (upon), court* [v. I] (Cic.+) The formation is that of a denominal verb, and scholars have compared Lith. valai 'horse's tail', Skt να/α-, vara- 'tail-hair\ Yet these seem to continue an anit root, which would not yield Latin w. The etymology is uncertain. In de Vaan 2007,1 have proposed a connection with aveo 'to be eager' and avians 'eager'. Starting from an adj. *adrawipo-
23	40	aedes, -is	pie	contains-laryngeal	*h₂(e)idh- 'burning'.
23	40	aedes, -is	ie_cognates	contains-greek	Olr. aed 'fire'; Skt. -idh- 'igniting', Gr. αΐτ3ω 'to bum', OE ad, OHG eit 'pyre'. The noun originally denoted the fireplace, but came to be used for the room with a fireplace, and then also for a small temple consisting of a single room. The plural aedes denoted the house. Schrijver (1991: 373f) concludes that neither the e- nor the /-stem are original, but rather a root noun. This adopted the e-
23	40	aedes, -is	bibliography	contains-laryngeal	Wl! I: 15, EM 10, IEW 1 If., Giacomelli 1963: 243f., LIV *h₂eidʰ-.
24	40	aeger	pie	contains-greek;contains-laryngeal	*h₂eig-ro-. Neither -otus nor -otare are productive types in Latin, so that aegrotus must be regarded as an old form. Within Nussbaum's theory of possessive de-instrumental formations such as those in Latin -itus, -utus, and -etum, aegrotus could be analysed as *aigrohrto- 'with sickness' to a noun *aigro- that may be present in Lat. aegrum 'distress, grief (Pl.+). Although aegrum could just be th
25	40	aemidus	pie	contains-laryngeal	*h₂eid-m(n)- 'swelling'»
25	40	aemidus	ie_cognates	contains-greek;contains-laryngeal	Gr. οϊδέω Ho swell, become swollen', οιδάνω 'to (make) swell', οίδμα 'the surging (of waves)', Arm. aytnowm 'to swell', OHGe/z'Eiterbeule'. The word is isolated within Latin. The final part probably contains the suffix -idus. Possible preforms include *aidmidos (cf. caementum < *kaid~mentom) and *aid$midos, which allow for a connection with the root *h₂eid- 'to swell*. According to Nussbaum 1999a:
25	40	aemidus	bibliography	contains-laryngeal	WH I: 16, EM 10, IEW 774, Schrijver 1991: 38, Klingenschmitt 1982: 256, Nussbaum 1999a: 379,401,405, LIV *h₂eid-,
26	41	aemulus	pie	contains-laryngeal	*h₂ei-mo- 'imitation'.
26	41	aemulus	ie_cognates	contains-laryngeal	Hit. himma- 'imitation, substitute' (< *h₂im-no-?). Diminutive *aimelo- of a noun *aimo- * imitation'. Maybe the Latin noun 'rival' is original with regard to the adj.
27	41	aequus	entry_text	contains-laryngeal	aequus 'level, equal' [adj. o/a] (Andr.H-; SCBac. aiquom, OLat aecus)
28	41	aerumna	entry_text	contains-greek	aerumna 'task; distress' [f. a] (Pl.+) The word is often regarded as a loan from Greek αιρομένη, but there is no example in Greek of the use of the f. of this participle as a noun meaning 'burden'. Borrowing from an Etruscan source has been claimed repeatedly, but is impossible to prove.
29	41	aeruscō, -āre	italic_cognates	contains-laryngeal	U. eiscurent [3p.futll] 'they will demand/provide/take' (< *e/- 'out' + *h₂is-ske-?).
29	41	aeruscō, -āre	pie	contains-laryngeal	*h₂is-ske/o- [pr.], *h₂eis-os- [n.] 'request'. *h₂eis-os- 'request'. The U. form eiscurent might directly reflect a PIE verb *h₂is-ske-. A similar vacillation between a zero grade pr. *h₂is-ske/o- (Ilr., SL) and a denominal full grade of the root in pr. *h₂eis-ske/o- (Arm., Baltic, Gm.) is found in other branches of IE.
29	41	aeruscō, -āre	bibliography	contains-laryngeal	WH I: 19, EM 12, IEW 16, Schrijver 1991: 38, Derksen 1996: 337, Untermann 2000: 206f., LIV *h₂eis-. → quaero
30	42	aes, aeris	italic_cognates	contains-greek	U. ahesnes [abl.pl.] < *-«o-, Ο. αιζνιω [acc.pl.n.] 'made of bronze' < *-neio-.
30	42	aes, aeris	pie	contains-laryngeal	*h₂ei-os, *h₂ei-es- [n.] 'bronze', *h₂eies-no- [adj.] 'of metal'.
31	42	aesculus	ie_cognates	contains-greek	perhaps Gr. αίγίλωψ 'haver-grass, Turkey oak', PGm, *aik- 'oak'. The form and function of the suffix, if PIE, are unclear. It is possibly a substratum word, maybe Mediterranean, although in that case the presence of a Germanic cognate is surprising.
32	42	aestas	pie	contains-laryngeal	*h₂eidʰ-teh₂t-, *h₂eidʰ-tu- 'burning, heat'. *-<//- in Latin, but this is unlikely: the usual reflex of dental clusters is -ss-. Hill (2003: 246f.) assumes that the Latin nouns in aest- were derived from a PIE reduplicated thematic present with /-reduplication *h₂e-h₂idʰ-e/o- > Lat *auf-tu- > *aistu-. But the assumed PIE present, its /-reduplication and the alleged bisyllabicity of the root are al
32	42	aestas	bibliography	contains-laryngeal	WH I: 20, EM 13, IEW 1 If., LIV *h₂eidʰ-. → aedes
33	42	aestimo, -are	pie	contains-laryngeal	*h₂eis-? The explanation by Havet from aes 'bronze' and *temos 'cut' is not very credible. It is still followed by Hamp 1990, who posits a nominal form *ajes-tomo- 'who cuts the metal'. If it continues an inherited word, it seems more likely that aestumare is connected with the root *h₂eis- 'to seek' found in aeruscare 'to beg'.
34	43	O. aeteis [gen.sg.], ajittium [gen.pl.]	pie	contains-laryngeal	*h₂ei- 'to give'.
34	43	O. aeteis [gen.sg.], ajittium [gen.pl.]	ie_cognates	contains-greek	Gr. αινυμαι 'to take, seize', εξ-αιτος 'selected', αίσα 'share, destiny' < *αίίϊ-Λ2-, αίτιος 'guilty, responsible', αιτέω 'to ask, beg', ToB αϊ-, ToA e- 'to give [act], take [med]\ Unrelated: Hit. pai-11 pi- 'to give, pay', cf. Kloekhorst 2008: 614-616, YAv. aetahmdiius does not contain a noun aeta- 'punishment' but the pronoun aeta- 'that', cf. Fischer-Ritter 1991.
35	43	aevus / aevum	proto_italic	contains-laryngeal	*aiwo- [m.j 'period, age', *aiwo-tat- [f.] 'age'. *agro- [m.] 'field'. 5-stem (see s.v. terra). Lat. peregro- < *pere-agro- is 'what is beyond the land or village'. The noun *h₂eg-ro- was derived from
35	43	aevus / aevum	pie	contains-laryngeal	*h₂o/ei-u-, *h₂i-eu- 'a long time, lifetime' » *h₂ei-uo- 'time*. *h₂eg-ro- 'uncultivated field, pasture'. *h₂g 'to drive, lead'.
35	43	aevus / aevum	ie_cognates	contains-greek;contains-laryngeal	Skt. ayu [nj 'life, lifetime', ayu- [adj., m.] 'full of life, lively', Av. aiiu- [n.] 'life, lifetime, time', OAvr.yauuae-ji- [adj.] 'living forever', Gr. αιρεί, αίές, αίώ, αίέν [adv,] 'forever' < *aiues-, αιών [m.] 'lifetime, time, duration', Gr. ού, Arm. oc\ Alb. ay 'not' < *li2oiu(-kʷe); Go. aiwam [dat.pl.], aiwins [acc.pl.] 'times', Go. aiweins, OHG ewlg 'eternal'. Lat. aetas < *aiotas < *aiwo
36	44	agna	entry_text	contains-greek;contains-laryngeal	agna 'an ear of grain' [f. a] (Paul, ex F: pennatas inpennatasque agnas) Magna represents *akna, Greek άχνη 'foam, froth; chaff (< *aksna-) and Go. ahana 'chaff can be connected: they might go back to a PIE derivative in *-n- of the root *h₂ek- 'sharp' (cf. aceo and acu-\ On the other hand, the Greek is not a perfect formal match, and agna might equally well represent a loanword from a non-IE Medi
37	44	agnus	pie	contains-greek;contains-laryngeal	*h₂egʷ-no- 'lamb*. labiovelar lost its labial feature before consonants, but the ν of Lat. avillus < *agʷnlo- <*agʷ«e/o- demonstrates that the labial feature in *-gʷ«- must have been present up to the Latin syncope at least. Greek and Latin together point to *h₂egʷno-, and *gʷ is confirmed by BSI. If *gʷ lost its labial feature at a very early stage in Pre-Celtic, Hogwno- would have yielded PCI. *
37	44	agnus	ie_cognates	contains-greek;contains-laryngeal	Olr. uan, W. oen, OCo. oin, Bret, oan 'lamb' < *Hogʷno-9 Gr. αμνός < *h₂egʷno-9 OCS agn? [n. nt] , ORu. jagnja9 SCr. jagne [n.] 'Iamb' < *h₂egʷ-n-ent-; OE eanian 'to yean' < *aun~. It is uncertain whether U. habina 'sacrificial animal* belongs here, since the exact meaning does not appear clearly from the context. It has been suggested that the preform was *agʷriina > *abma with dissimilation of t
38	45	ago, -ere	pie	contains-laryngeal	*h₂eg-e/o- 'to drive, lead\
38	45	ago, -ere	ie_cognates	contains-greek;contains-laryngeal	Olr. aigid*, aig 'to drive', OW a, hegit, MW eyt9 MCo. OBreL a 'goes', Gaul.(-Lat.) ambactus, W. amaeth 'servant' < *amb(i)-akto-; Skt. ajati [3s.act.], fjate [3s.med.] (< *h₂i-hjg-e-toi) 'to drive', YAv. aza- 'to drive (away)*, Arm. acem, Gr. αγω 'to drive, lead, go'; Olc. aka 'to ride'; Toch, ak- 'to lead'» According to Meiser 1998: 211, the pf, egi has been adopted from the original pf- of aid 
38	45	ago, -ere	bibliography	contains-laryngeal	WH I: 23£, 427, EM 15-18, 205f., IEW 4-6, Leumann 1977: 303, Dunkel 2000a, Schumacher 2004: 189-192, LIV *h₂eg-. → ager^gero
39	46	aio, ais	pie	contains-laryngeal	*h₁/2eg-ie/o- 'to say'. *h₁g-s-. Originally, only a pr. *<a/ys the 3s. ait could also be interpreted as a perfect form, whence aistL Greek, Armenian and Tocharian point to a root *hfg- or maybe * ^ - > If *h₂eg-, this is generally assumed to be a different root than *h₂eg- 'to drive\ In Latin, the sequence *HgiV- may have regularly developed into *ag/T- according to Schrijver 1991: 485, but the de
39	46	aio, ais	ie_cognates	contains-greek	Gr. aor. ή 'said' (< ^hje-hjeg-t) > ήμΐ Ί say', pf 6νωγα Ί order', Arm. ar-ac 'proverb', asem 'to say' {s < */:), ToAB aks- Ho announce, proclaim, instruct, recite' < PTo. *aks- <
39	46	aio, ais	bibliography	contains-laryngeal	WH I: 24f., EM 18f., IEW 290f, Leumann 1977: 531, Schrijver 1991: 26ff., 485,LIV2.*h₂eg-.→ ago
40	46	"alacer, -cris ""lively, active'"	pie	contains-laryngeal	*h₂(e)Ih₂- [pr,] 'to wander, roam'.
