author	year	entry_text	pdf_page
Indo-European: Essays in phonological reconstruction^ ed. T. Vennemann,		Berlin - New York: Mouton de Gruyter, 53-66.	721
		1990	721
La loi de Brugmann et *H$e-. La reconstruction des lajyngales, ed. Liege -		Paris, 129-136.	722
		1994	722
RV. avidhat. In: Fruh-y Mittel- und< Spatindogermanisch: Akten der IX.		Fachtagung der Indogermanischen Gesellschaft vom 5. bis P. Oktober	722
	1992	in Zurich^ eds. G. Dunkel, G. Meyer, S. Scarlata and C. Seidl, Wiesbaden: Reichert, 201-206.	722
		1995	722
Reflexes of intervocalic laryngeals in Sanskrit In: Kurytowicz Memorial		Volume, Part One, ed. W. Smoczynski, Cracow: Universitas, 213-233.	722
		1997 (ed.) Sound, Law and, Analogy : papers in honor of Robert &P. Beekes on the occasion of his 6(fh birthday. Amsterdam - Atlanta: Rodopi.	722
		2000	722
The Vedic root vr- 'to cover* and its present. In: Indoarisch, Iranisch und,		die Indogermanistiky eds. B. Forssman and R. Plath, Wiesbaden: Reichert, 315-325.	722
		2001 Reflexes of PIE *sk in Indo-Iranian. Incontri Linguistici 24, 25-57.	722
		2004 Avestan siiazdr, Sanskrit sedh-, Latin cedere. In: Hyllested et al. 2004, 323-332.	722
		2006	722
Indo-European 'heel'. In: Studi linguistici in onore di Roberto Gusmani,		eds. R. Bombi, G. Cifoletti, F. Fusco, L. Innocente and V. Orioles. Alessandria: ed. dellOrso, 1005-1010.	722
		fthc.	722
Luhr, Rosemarie		2000	722
Mallory, James and Douglas Q. Adams (eds.)	1997	Encyclopedia of Indo-European culture, London - Chicago: Fitzroy Dearborn.	722
Manessy-Guitton, Jacqueline		1964 facinus et les substantifs neutres latins en -nus. Revue de philologie, 3me serie 38,48-58.	722
Marinetti, Anna		1999 Venetico 1976-1996. Acquisizione e prospettive. In: Protostoria e storia del 4Venetorum Angulus', ed. A. Maggiani, Pisa - Roma: Istituti editoriali e poligrafici internazionali, 391-436.	722
		2004	722
Venetico: rassegna di nuove iscrizioni (Este, Altino, Auronzo, S. Vito,		Asolo). Studi Etruschi 70, 389-408.	722
Martzloff, Vincent		2006	722
Les themes de present en yod dans Vepigraphie italique et en latin		archdique. These doctorale, Univ. Lumiere - Lyon II. r	722
Masson, Emilia		1967	722
Mastrelli, Carlo Alberto		1979 Una nota su lat. renes e gr. ράχις. Incontri Linguistici 5,37-42.	722
		1980	722
Un falso arcaismo: lat-fal. uxor, pel. usur. Archivio glottologico italiano		65, 14-18,	723
Matasovic, Ranko		2004	723
Matzinger, Joachim		2003 Albanisch kam 'ich habe\ Studia Etymologica Cracoviensia 8, 111-118.	723
		2005 Messapisch und Albanisch. IJDLLR 2,29-54.	723
Mayrhofer, Manfred	1986-2002	Etymologisches Worterbuch des Altindoarischen. 3 volumes.	723
McCone, Kim		1991	723
The Indo-European origins of the Old Irish nasal presents\ subjunctives		and futures. Innsbruck: IBS.	723
	1992a	Olr. tore, Av. ufiaraso < PIE *tworkos '(cutter,) boar'. MSS 53, 99-100.	723
	1992b	Olr, aub 'river' and amnair 'maternal uncle'. MSS 53,101-111.	723
Meid, Wolfgang	1956-57Zur	Dehnung praesuffixaler Vokale in sekundaren Nominalableitungen. IF 62,260-295 and IF 63,1-28.	723
		1957 Das Suffix -no- in Gotternamen. Beitrage zur Namenforschung 8, 72-108, 113-126. :- 195 8 Zur Bedeutung und Bildung von altindisch damunas-. IF 63, 151 -162.	723
Meier-Briigger, Michael		1977 Lateinisch hum!und doml ZVS 91, 159-165.	723
		1979 Lateinisch sospes, Sospita und vedisch svastl·. ZVS 93, 100-102.	723
		1980	723
Lateinisch		audire/oboedire: Etymologie und	723
Lautgeschichte und Etymologie: Akten der VL Fachtagung der		Indogermanischen GesellschafU Wien, 24.-29. September 1978, eds. M. Mayrhofer, M. Peters and O. Pfeiffer, Wiesbaden: Reichert, 287-292.	723
		1990	723
Griechisch (επι)λίγδην und λιχανός, lateinisch pollex und pollingere.		Gloita6%, 1-3.	723
		1992 Zu lateinisch omen. Glotta 70, 248-249.	723
		2004	723
Indo-European word formation: Proceedings of the conference held at the		University of Copenhagen, October 2(/h-22nd, 2000, eds. J. Clackson and BA. Olsen, Copenhagen: Museum Tusculaneum, 183-188.	723
Meillet, Antoine		1918	723
A propos de latin formica. Memoires de la Societe de Linguistique de Paris		20,115.	723
Meiser, Gerhard		1986	723
Lautgeschichte der umbrischen Sprache. Innsbruck: IBS.		1993	723
Das Gerundivum im Spiegel der italischen Onomastik. In: Heidermanns /		Rix/ Seebold 1993, 255-268.	724
		1998	724
Wissenschaftliche Buchgesellschaft.		2003	724
Meiser, Gerhard et al.		1993 Indogermanica et Italica: Festschrift fur Helmut Rix zum 65. Geburtstag, ed. G. Meiser in cooperation with J. Bendahman, J.A. Hardarson and C.	724
Melchert, H. Craig		1985 Hittite imma and Latin immo. ZVS 98, 184-205.	724
		1994	724
Anatolian Historical Phonology. Amsterdam - Atlanta: Rodopi.		1998	724
"Hittite arku- ""chant, intone"" vs. arkuwa(i)- ""make a plea"". Journal of"		Cuneiform Studies 50, 45-51.	724
		"1999 Hittite tuk(kan)zi- ""cultivation, breeding"". Ktema 24, 17-23."	724
		2002	724
Perspectives, ed. M. Southern, Washington DC: Institute for the Study of		Man, 223-232.	724
		2005	724
Latin insolesco, Hittite sulle(ss)- and PIE statives in -e-. In: Hjrda Manasa.		Sbornik statej k 70-letiju so dnja pozdenija professora Leonardo Georgievica Gercenberga. Sankt-Peterburg: Nauka, 90-98.	724
	2007a	PIE *hzesp- 'to cut\ In: Nussbaum 2007c, 253-258.	724
	2007b	Luvian Evidence for PIE *h3eit- 'take along, fetch'. Indo-European Studies	724
Mignot, Xavier	1969	Les verbes denominatifs latins. Paris: Klincksieck.	724
Morani, M.		1984 Augurium augur augustus: una questione di metodo. Glotta 62, 65-71.	724
Moussy, Claude		1980 Une etymologie de lat. uxor BSL 75, 325-346.	724
Muller, F.M. Jzn.		1926	724
Nepokupnyj, Anatoli)		2002 The Prussian taboo: mosuco [Elbing Dictionary, 662] 'weasel' as a diminutive of moazo [Elbing Dictionary, 178] 'aunt'. Baltistica 37,35-43.	724
Neri, Sergio		2007	724
Cadere e abbattere in Indoeuropeo. SulV etimologia di tedesco fallen,		latino aboleo e greco άπόλλυμι. Innsbruck: IBS.	724
Niedermann, Max		1899 Studien zur Geschichte der lateinischen Wortbildung. IF 10, 221-258.	725
		1945	725
Nieto, Erciilio		1988 Veia: Apud Oscos Dicebatur Plaustrum (P.F., 506,3). Emerita 56,37-41.	725
Nowicki, Helmut		1978 Zur Stammbildung von lat. custos. ZVS 92,184-194.	725
		2002 Lateinisch -Ίηα als Motionssufftx. In: Fritz / Zeilfelder 2002,333-341.	725
Nussbaum, Alan		1973 benuso, couortuso, and the archetype of Tab. Ig, I and VI-VII a» JIES 1, 356-369.	725
		1976 Umbnzn pisher. Glotta 54,241-253.	725
		1986	725
Head and horn in Indo-European. Berlin - New York: Walter de Gruyter.		1994 Five Latin verbs from a root *leik-. HSCP 96, 161-190.	725
		"1996 ""Decasuative"" derivatives (Latin acetum, auritits, acutus, avitus: four of a kind?). Handout, ECIEC 15, June 1996."	725
		"1997 The ""Saussure Effect"" in Latin and Italic. In: Lubotsky 1997,181-203."	725
	1998a	Two studies in Greek and Homeric Linguistics, Gottingen: Vandenhoeck &	725
Ruprecht.	1998b	Severe Problems. In: Jasanoff / Melchert / Oliver 1998, 521-538.	725
	1998c	"More on ""Decasuative"" nominal stems in IE. Handout, ECIEC 17, May 1998."	725
	1999a	*Jocidus: An account of the Latin adjectives in -idus. In: Eichner / Luschutzky 1999,377-419. : ;	725
	1999b	"Some old stories and a ""new"" adjective in Latin. Handout, ECIEC 19, May"	725
		1999.	725
		2003 A benign interpretation. Handout, ECIEC 22, June 2003.	725
	2004a	Cool *-ed-: The Latin frigedd and Gr. άλγηδών, τηκεδών, and ρϊγεδανός types. Handout ECIEC 2004.	725
	2004b	A -/- Party: Various IE nominal stems in *-(o/e)t-. Handout, West Coast Indo-European Conference, November 2004.	725
	2007a	What does *h2ner do? Well... Handout, ECIEC 2007.	725
	2007b	Latin present stems in -sa< A possibly not so minor type. Handout, Kyoto, September 2007.	725
	2007c	(ed.) Verba Docenti. Studies in historical and Indo-European linguistics presented* to Jay Η Jasanoff by students, colleagues, and friends. Ann	725
Nyman, Martti		1982	725
Positing a Lautgesetz: Latin capillus, pullus and kindred issues. Folia		Linguistica Historica 3, 87-108.	725
		1987 Semantic selection properties and etymology: Latin mica. Glotta 65,221-239.	725
		1990 Hits and misses: Lat. considerare and desiderare. HS 103, 51-68.	725
Oettinger, Norbert		1976	725
Die militarischen Eide der Hethiter. Wiesbaden: Harrassowitz.		1979 Die Stammbildung des Hethitischen Verbums. Nachdruck [2002] mit einer kurzen Revision der hethitischen Verbalklassen. Dresden: TU.	726
		1998	726
Wiesel und Schwagenn. Zu einem seraantischen Problem. In: Man and the		animal worlds Studies ... in meporiam Sandor Bokonyi^ eds. P. Anreiter et al., Budapest: Archaeolingua Alapitvany, 649-654.	726
		2003	726
Akten der Arbeitstagung der		Indogermanischen Geselhchaft. Freiburg, 19. bis 22. Sept 200J, eds. E. Tichy, D. Wodtko, B. Irslinger, Bremen: Hempen, 141-152.	726
		2007	726
Hieroglyphen-luwisch latara/i- 'erweitem', ai. randhra- und nhd. Lende,		Land, In: Nussbaum 2007c, 259-262.	726
Oleson, J.P.		1976 A possible physiological basis for the term urinator 'diver'. AJPh 97, 22-29.	726
Oniga, Renato		1999	726
Etimologia e struttura morgologica di acipenser. In: De lingva latina novae		qvaestiones. Actes du X* Colloque International de Linguistique Latine, ed. C. Moussy, Louvain: Peeters, 133-141.	726
Panagl, Oswald		1991 Die Etymologie von lat. (ir)rigare. HS 104, 199-204.	726
Panagl, Oswald and Thomas Krisch		1992	726
Latein und Indogermanisch Akten des Kolloquiums der Indogermanischen		Geselbchafi^ Salzburg, 23.-26. September 1986. Innsbruck: IBS.	726
Panagl, Oswald and Thomas Lindner		1995	726
Etyma Latina. In: Studia onomostica et iruhgermanica. Festschrift fiir		Fritz Lochner von Huttenbach zum 65. Geburtstag, eds. M. Ofitsch and C. Zinko, Graz: Leykam, 167-174.	726
Pariente, Angel		1975 Necesse. Emerita 43,25-39.	726
Parker, Holt N.		1988 Latin *siso > serd and related rules. Glotta 66,221-241.	726
		2000 Flaccus. Classical Quarterly 50,455-62.	726
Parlangeli, Oronzo		1960	726
Patri, Sylvain		2001 Une correspondence irano-slave en novgorodien. KS 114, 290-306.	726
Penney, John (ed.)		2004	726
Peruzzi, Emilio		1969 Velum. Athenaeum 47 (nuova serie) / 57 (della rivista), 256-265.	727
		1992 Umbro kletra e latino clitellae. La parola delpassato 47,343-362.	727
Peters, Martin		1980	727
Griechischen. Wien: Akademie der Wissenschaften [= Phil.-Hist Klasse,		Sitzungsberichte, 377. Band],	727
Petit, Daniel		2004 On the Hittite verb ark-. Die Sprache AA, 1-25.	727
Pike, Moss		2007 Latin saliis 'health'. Handout ECIEC 26, June 2007, Yale Univ.	727
Pinault, Georges-Jean		1987	727
AFe Andree Thill, ed. G. Freyburger, Mulhouse: Universite de Haute		Alsace, 151-156.	727
		1997	727
Terminologie du petit betail en tokharien. Studia etymologica cracoviensia		2, 175-219.	727
		1998	727
Analyse de latin caesaries. In: Moussyllanea. Melanges de linguistique et		de litterature anciennes offerts a Claude Moussy, eds. B. Bureau and C. Nicolas, Louvain - Paris: Peeters, 15-30.	727
		1999 Tokharien A kapsani, Β kektsene. In: Eichner 7 Luschutzky 1999,457-478.	727
		2000	727
Vedique damiinas-, latin dominus et Forigine du suffixe de Hoffinann. BSL		95,61-118.	727
		2001 Le type latin uorago: un reflet d'un suffixe indo-europeen. Glotta Π, 85-109.	727
	2006a	L'indo-iranien et les nouvelles langues apparues en asie centrale dans le travail d'Antoine Meillet. In: Meillet aujourd'hui, eds. G. Bergounioux and C. de Lamberterie, Louvain - Paris: Peeters, 191-243.	727
	2006b	Sur revolution phonetique tsk > tk en tokharien commun. MSS62 [2002], 103-156.	727
		"2007 A star is born: a ""new"" PIE *-ter- suffix. In: Nussbaum 2007c, 271-279."	727
Pisani, Vittore [		1979	727
Feber, februm, februarius e le continuazioni latini di sr. Archivio		Glottologica Italiano 65, 102-106. von Planta, Robert	727
		1892	727
Pokorny, Julius		1959	727
Porzio Gemia, Maria Luisa		1981	727
Gli elementi celtici del latino. In: / Celti d'Italia, ed. E. Campanile, Pisa:		Giardini, 97-122.	728
Postgate, J.		1899 Operates and operari. The Journal of Philology 26,314-320.	728
Praust, Karl		1998 Armenisch dmpem 'trinke*. Die Sprache 38, 184-200.	728
		2004	728
Zur historischen Beurteilung von griech. κλίνω, aol. κλίννω, der altindischen		"9. Prasensklasse und zur Frage grundsprachlicher ""w-Prasentien"". In: Artes et Scientia: Festschrift fiir Ralf-Peter Ritter zum 65. Geburtstag, eds. P. Anreiter, Μ Haslinger and H.D. Pohl, Wien: Praesens, 369-390."	728
		2005	728
What Greek can tell us about the prehistory of English 'to fall'. Paper at the		conference Greek and Latin from an Indo-European Perspective, Cambridge, UK, July 2005.	728
Prosdocimi, Aldo		1988	728
La lingua. In: / Veneti Antichl Lingua e cultura^ eds, G. Fogolari and A.		Prosdocimi, 223-440.	728
Puhvel, Jaan		1992	728
Shaft-shedding Artemis and mind-voiding Ate: Hittite determinants of		Greek etyma. HS 105,4-8.	728
		1998 Latin furor, help from Hittite. In: Jasanoff / Melchert / Oliver 1998,607-609.	728
		2006 Latin mere and Hittite marrl Glotta 81,184· 186.	728
Pulgram, Ernst		1976	728
Venetic .e.kupeuari.s, In: Studies in Greek, Italic and Indo-European		linguistics. Offered to Leonard L. Palmer on the occasion of his seventieth birthday, eds. A. Morpurgo Davies and W. Meid, Innsbruck: IBS, 299-304,	728
Radke, Gerhard		1981	728
Historische		und sprachgeschichtliche	728
Rasmussen, Jens Elmegard		1984	728
Arbejdspapirer udsendt af Institut for Lingvistik, Kebenhavns Universitet		4, 135-149 (= Rasmussen 1999 1: 146-156).	728
		1989	728
Innsbruck: IBS.		1993 Review of Schrijver 1991. Acta Linguistica Hafhiensia 26, 175-205.	728
		1999 Selected Papers on Indo-European Linguistics, 2 volumes. University of	728
Regnaud, Paul		1908	728
Dictionnaire etymologique du latin et du grec dans ses rapports avec le		latin. Lyon - Paris.	729
Rieken, Elisabeth		1999	729
Untersuchungen zur		nominalen Stammbildung des Hethitischen.	729
Wiesbaden: Harrassowitz.		2003	729
Hieroglyphen-luwisch		"zi+ra/i-la-mi-i (""SCALPRUM.ARGENTUM"") su-ha^pa-na-ti: ein Kompositum und eine neue luwisch-lateinische Isoglosse.//5116,35-53."	729
Risch, Ernst		1954 Der Typus parturire im Lateinischen. JF 61, 187-195.	729
		1979 Zur altlateinischen Gebetsprache. Incontri Linguistici 5,43-53.	729
		1984	729
Entstehung und Vorgeschichte. Berlin - New York: Walter de Gruyter.		1985	729
Gab		es im	729
Latein		ein	729
Singular		nundinuml	729
Sprachwissemchafiliche Forschungen. Festschrift fiir Johann Knobloch*		eds. H. Olberg and G. Schmidt, Innsbruck: AMCE, 329-338.	729
Ritter, Ralf-Peter		2004 Zur Etymologie von lat. lignum. In: Hyllested et ah 2004,487-490.	729
Rix, Helmut		1965 Lat. iecury iocineris. MSS 18, 79-92.	729
		1966	729
Die lateinische Synkope als historisches und phonologisches Problem.		Kratylos 11,156-165.	729
		1976	729
Die		umbrischen	729
Infinitive		auf -ft vund die urindogermanische	729
Infinitivendung -dtioi. In: Studies in Greek, Italic and Indo-European		linguistics. Offered to Leonard L· Palmer on the occasion of his seventieth birthday, eds. A. Morpurgo Davies and W. Meid, Innsbruck: IBS, 319-331.	729
		1978 Die Altersangabe in der oskischen Inschrift Ve. 70 und osk.-umbr. akno- 'Jahr\AiSS37,149-163.	729
		1981	729
Rapporti onomastici fra il panteon etrusco e quello romano. In: Gli		Etruschi e Roma, ed. G. Colonna, Roma: Bretschneider, 104-126 (^Kleine Schrifteny 2001,272-294).	729
	1985a	sudor und sidus. In: Sprachwissemchafiliche Forschungen. Festschrift fir Johann Knobloch, eds. H. Olberg and G. Schmidt, Innsbruck: AMCE, 339-350.	729
	1985b	The last word of the Duenos inscription. ACS 46, 193-220.	729
		1992	729
Zur Entstehung des lateinischen Perfektparadigmas. In: Panagl / Krisch		1992,221-240.	729
		1993 osk. upsannam - uupsens und Zugehoriges, In: Heidermanns / Rix / Seebold 1993, 329-348.	729
	1994a	Die Termini der Unfreiheit in den Sprachen Altitaliens. Stuttgart: Steiner.	729
	1994b	Lateinisch und sabellisch. Stammbaum und/ oder Sprachbund? Incontri Linguistici 17, 13-29.	729
	1995a	Einige lateinische Prasensstammbildungen zu Set-Wurzeln. In: Kuryiowicz	729
Memorial Volume, Part One, ed. W. Smoczynski, Cracow: Universitas,		399-408.	729
	1995b	Oskisch bravus, oskisch uruvu, lateinisch tirvum und 'europaisch' bravo. HS 108, 84-92.	730
		1996 Review of Schrijver 1991. Kratylos 41, 153-163.	730
		1998	730
Bemerkungen zu den lateinischen Verbformen des Typs faxo faxim. In:		Jasanoff / Melchert / Oliver 1998,619-634.	730
		1999	730
Schwach charakterisierte lateinische Prasensstamme zu Set-Wurzeln mit		Vollstufe L In: Eichner / Luschutzky 1999,515-535.	730
		2001	730
Kleine Schriften. Ed, G. Meiser. Bremen: Ute Hempen.	2002a	Sabeilische Texte. Die	730
Sudpikenischen. Heidelberg: Winter.	2002b	Oskisch niir kulupu. In: Fritz / Zeilfelder 2002,417-430.	730
		2004 Ein neuer oskisch-griechischer G6ttername in Pompei. In: Hyllested et al.	730
		2004,491-505.	730
		2005	730
Lehnbeziehungen zwischen den Sprachen Altitaliens. In: Sprachkontokt		und SprachwandeL Akten der XI, Fachtagung der Inodgermanischen	730
Gesellschaft, eds. G. Meiser and O. Hackstein, Wiesbaden: Reichert,		559-572.	730
Rosen, Haiim B.		1992	730
Die Komposita mit co(n)- in funktioneller und vergleichender Sicht In:		Panagl / Krisch 1992, 357-367.	730
		1994 Lat. sacena, Heb. sakJdn and the Mediterranean substrate. JIES 22, 165-175.	730
		1995 Lat. rete. IF 100,210-212.	730
Russell, Paul		1988 Preverbs, prepositions and adverbs: sigmatic and asigmatic. TPS 86,144-172.	730
Saalfeld, Gunther		1884	730
Tensaurus italograecus: ausfuhrliches historisch-kritisches Worterbuch		der griechischen Lehn- und Fremdworter im Lateinischen. Wien.	730
Schaf&ier, Stefan		1996 Altenglisch nihol, riiowol und lateinisch procuL MSS 56, 131 -171.	730
		2001	730
Wechsel des Urgermanischen im Nominalbereich. Innsbruck: IBS.	2006a	Lateinisch mustella, mustela 'Wiesel; Quappe' und der Wortbildungstyp vedisch asvatara-, IJDLLR 3, 1-50.	730
	2006b	Altenglisch umbor cKind\ IJDLLR 3, 147-185,	730
Schindler, Jochem		"1966 Bemerkungen zum idg. Wort fiur ""Schlaf \ Die Sprache 12,67-76."	730
		"1969 Die idg. Worter fur ""Vogel"" und ""Ei"". Die Sprache 15, 144-167."	730
		1973	730
Bemerkungen zur Herkunft der idg. Diphthongstamme und zu den		Eigentumlichkeiten ihrer Kasusformen. Die Sprache 19, 148-157.	730
		1977 Notizen zum Sieversschen Gesetz. Die Sprache 23, 56-65.	730
Schrijver, Peter		1990 Latin festinare, Welsh brys. MSS 51,243-247.	731
		1991	731
The reflexes of the PIE laryngeals in Latin. Amsterdam - Atlanta: Rodopi.		1995	731
Studies in British Celtic historical\ phonology. Amsterdam - Atlanta: Rodopi.	1997a	Some western European substratum words. In: Lubotsky 1997,293-316.	731
	1997b	Studies in the history of Celtic pronouns and particles. Maynooth:	731
Maynooth Studies in Celtic Linguistics II.		1998 The British word for 'fox' and its Indo-European origin. JIES26,421-434.	731
		1999	731
On henbane and early European narcotics. Zeitschrifi fur celtische		Philologie 51, 17-45.	731
		2001	731
Carpelan, A. Parpola and P. Koskikallio, Helsinki: Memoires de la Societe		Finno-Ougrienne, 417-425.	731
		2003 Athematic /-presents: the Italic and Celtic evidence. Incontri Linguistic! 26, 59-86.	731
		2004 Indo-European *(s)mer- in Greek and Celtic. In: Penney 2004,292-299.	731
		2006 Review of Meiser 2003. Kratylos 51,46-64.	731
Schumacher, Stefan		2004	731
Schwyzer, Eduard		*	731
		1929 Prognatus. Ein Beitrag zur lateinischen Verbalbildung. ZVS 56, 10-22.	731
Seldeslachts, Herman		j	731
		2001	731
Seldeslachts, Herman and Pierre Swiggers		1995 Remarks on Baltic, Slavic and Latin tool names. Linguistica Baltica 4,23-33.	731
Serbat, Guy		1975	731
Sihler, Andrew \		1995	731
Sims-William, Nicholas		1997	731
The denominal suffix -ant- and the formation of the Khotanese transitive		perfect In: Lubotsky 1997, 317-325.	731
Skutsch, Franz		1892 laientare, iaiunus. Archiv fur lateinische Lexikographie and Grammatik 7, 527-528.	731
Skutsch, Otto		1985	731
Solta, Georg		1967	732
Lat limpidus und seine Verwandten. In: Beitrage zur Indogermanistik und		Keltologie: Julius Pokorny zum 80. Geburtstag gewidmet, ed. W. Meid, Innsbruck: Universitat Innsbruck, 93-97.	732
Sommer, Ferdinand		1914 Handbuch der lateinischen Lout- und Formenlehre. 2. und> 3. Auflage.	732
Sommer, Ferdinand and Raimund Pfister		1977	732
Southern, Mark		2000	732
"Tabula rasa. The ""tablet"" word in Italic, and its Indo-European relatives."		MSS 60, 89-133. van der Staaij, Robert	732
		1995	732
Steinbauer, Dieter		1989	732
Untersuchungen zu den bei Plautus belegten Verben der lateinischen		ersten Konjugation. Unter besonderer Berucksichtigung der Denominative.	732
Strunk, Klaus		1993	732
Lateinisch naucum (-i> o) und Fragen einer Alternanz -au-l-u-. In: Meiser et		al. 1993,424-435.	732
		1994 Lateinisch sacerdos und damit verglichene Komposita. Glotta 72 [1995], 222-234.	732
Stuart-Smith, Jane		2004	732
Stuber, Karin		1997	732
Urindogermanisch *h}nomp 'Name', *hiong$ 'Salbe* und der Ablaut der		neutralen «-StSmme. Die Sprache 39, 74-88.	732
		1998	732
The historical morphology ofn-stems in Celtic. Maynooth.		2002	732
Dieprimaren s-Stamme des Indogermanischen. Wiesbaden: Reicheit		2006 Die indogermanischen Ausdrucke fur 'rechts' und Minks'. IJDLLR 3,61-72.	732
Szemerenyi, Oswald	1960a	Latin hibernus and Greek χειμερινός. Glotta 38, 107-125.	732
	1960b	Etyma Latina I. (1-6). Glotta 385 216-251.	732
		1989	732
An den Quellen des lateinischen Wortschatzes. Innsbruck: IBS,		1992	732
Quellen des lateinischen Wortschatzes mit besonderer Berucksichtigung		der Bedeutungslehnworter. In: Panagl / Krisch 1992, 311-326.	732
		1995 Etyma Latina VII, 38-44. In: Kurylowicz Memorial Volume, Part One, ed. W. Smoc2ynski, Cracow: Universitas, 409-416.	733
Thieme, Paul		1963 'Jungfrauengatte': Sanskrit kaumarah patih - Homer κουρίδιος πόσις - Lat. maritus. ZKS88, 161-248.	733
Thurneysen, Rudolf		1907 Etymologisches und Grammatisches. IF 21, 175-180.	733
		1946	733
Tichy, Eva		1983	733
Verbalbildungen		des	733
Osterreichische Akademie der Wissenschaften.		2002 Gr. οΐσειν, Lat utu Glotta 78, 179-202. de Tollenaere, F.	733
		1983 Notizen zu germanischen Etymologien: L Gotisch gaits, altenglisch gat, 2. Altenglisch leag, altislandisch laug. ZVS 96, 141-145.	733
Torzi, Ilaria		1991	733
Volup e volupe nella tradizione manoscritta di autori latini arcaici e		tardoantichi. Maia: Rivista di Letterature Classiche 43, 89-102.	733
Tremblay, Xavier		* \	733
		1998	733
Jungawestisch sanafr Exkurs: Die Herkunft der Intensiva des Typus		στρωφάω. Die Sprache 38, 14-30. ]	733
		2004	733
Die Ablautstufe des Lokativs der akrostatischen Nomina. Apophonica III.		In: Hyllested et ai. 2004, 573-589.	733
Tucker, Elizabeth Fawcett		1990	733
The creation of morphological regularity: early Greek verbs in -eo, -άδ,		-όό, -ύδ and-ίδ. Gottingen: Vandenhoeck & Ruprecht.	733
Tucker, Thomas George		1931 A concise etymological dictionary of Latin. Halle a/d Saale [reprint 1973	733
Unceta Gomez, Luis		2002 The semasiological evolution of the Indo-European root *pet- 'to fly7 and its rich polysemy in Latin. Cuademos de Filologia Clasica: Estudios Latinos 22,309-331.	733
Untermann, Jurgen		1980 Die venetische Sprache. Glotta 58, 281-317.	733
		1992 Wurzelnomina im Lateinischen. In: Panagl / Krisch 1992, 137-153.	733
		1993 Gr. έύηκα = lat. feci, gr. ήϋκα = lat. iecfi In: Meiser et al. 1993,461-468.	733
		2000	733
Worterbuch des Oskisch-Umbrischen. Heidelberg: Winter.		2002	733
Das Perfekt der Sekundarverben im Oskisch-Umbrischen. In: Fritz /		Zeilfelder 2002,489-495.	734
Vaahtera, Jyri		1993 The origin of Latin suffragium. Glotta 71, 66-80. de Vaan, Michiel ■	734
		1999 The etymology of English shower. Die Sprache 41, 39-49.	734
		2000 The Indo-Iranian animal suffix *-aca-. Indo-Iranian Journal 43,279-293.	734
		2001 Reconsidering Dutch rups, GermanRaupe 'caterpillar'. ABAC 54,151-174.	734
		2003	734
The Avestan Vowels. Amsterdam - Atlanta: Rodopi.	2004a	'Narten* roots from the Avestan point of view. In: Hyllested et al. 2004, 591-599.	734
	2004b	PIE *e in Albanian. Die Sprache 44, 70-85,	734
		2007	734
Indo-European Perspective, eds. C George, M. McCuIlagh, B. Nielsen, A.		Ruppel, and O. Tribulato, Cambridge: Philological Society, 140-144.	734
		fthc: Latin au- fawayf, an allomorph of ab-. Anuari de Filologia 25-26 [2003-2004], D: Studia graeca et latina.	734
Vanicek, Alois		1881 Etymologisches Worterbuch der lateinischen Sprache, 2. Auflage, Leipzig:	734
Vasmer, Max	1950-1958	Russisches Etymologisches Worterbuch. Heidelberg: Winter.	734
Vendryes, Joseph		1920	734
Sur quelques formations de mots latins. Memoires de la Societe de		Linguistique de Paris 22, 97-106.	734
		1929	734
Lat. polire et interpolare. In: Donum Natalicium Schrijnen, eds. St.		Teeuwen et al., Nijmegen: Dekker & van de Vegt, 702-704.	734
Vennemann, Theo	1998a	Germania Semitica: Biene und Imme: Mit einem Anhang zu lat. apis. Sprachwissenschafi 23,471-487.	734
	1998b	Etymology and phonotactics: Latin grandis vs. Basque handi 'big' and similar problems. JIES 26, 345-390.	734
Vine, Brent		1986 An Umbrian-Latin correspondence. HSCP 90,111-127.	734
		1993	734
Studies in archaic Latin inscriptions. Innsbruck: IBS.	1998a	Aeolic όϋρπετον and Deverbative *-eto- in Greek and Indo-European.	734
Innsbruck: IBS.	1998b	"Remarks on the Archaic Latin ""Garigliano Bowl"" inscription. Zeitschrifi fir Papyrologie und Epigraphik 121,257-262."	734
	1999a	Latin *opio and optare. In: Poetika, Istorija literatury, Lingvistika. Sbornik k 70-letiju Vjaceslava Vsevolodovica Ivanova. (= Essays in Poetics, literary history and Linguistics. FS> V. V. Ivanov), eds. A. Vigasin et al., Moskva: OGI, 520-526.	735
	1999b	"Greek ρίζα 'root' and ""Schwa Secundum"", UCLA Indo-European Studies 1,5-29."	735
	1999c	Latin -inare/-inan. UCLA Indo-European Studies 1,71-83,	735
	1999d	A note on the Duenos inscription. UCLA Indo-European Studies 1,293-305.	735
		2002	735
Indo-European Perspectives, ed, M, Southern, Washington DC: Institute		for the Study of Man, 329-347,	735
		2004 New thoughts on an old curse. In: Hyllested et al, 2004,615-626,	735
	2006a	On 'Thumeysen-Havet's Law' in Latin and Italic, HS 119, 211 -249.	735
	2006b	"An alleged case of ""inflectional contamination1': on the z-stem inflection of Latin civis. Incontri Linguistics 29, 139-158,"	735
		2007	735
Latin gemo 'groan', Greek γέγωνε 'cry out', and Tocharian A ken- 'call'.		In: Nussbaum 2007c, 343-358,	735
