author	year	entry_text	pdf_page
Les mots du fonds prehellenique en grec, latin, et semitique occidental.		Revue des Etudes Anciennes 12, 154-164.	711
Demiraj, Bardhyl		1997	711
Derksen, Rick		1996	711
Metatony in Baltic. Amsterdam - Atlanta: Rodopi.		2008	711
Etymological dictionary of the Slavic inherited, lexicon, Leiden: Brill,		fthc.:	711
Devoto, Giacomo \		1967	711
Lat imago. In: Beitrage zur Indogermanistik una, Keltologie: Julius Pokonry		zum 80. Geburtstag gewidmet, ed, W. Meid, Innsbruck: Universitat Innsbruck, 25-28.	711
Diehl, Ernst		1964	711
Driessen, Michiel		2001 On the etymology of Lat. urbs. JIES 29,41-67.	711
	2003a	Evidence for *ghelh2-, a new Indo-European root JIES31,279-305.	711
	2003b	*h2e-h2us-o-, the Proto-Indo-European term for 'gold\ JIES 31,347-362.	711
		2004 Indo-European 'felt*. JIES 32,25-42.	711
		2005	711
Akten der XI. Fachtagung der IndogermanischenGesellschafi, eds. G.		Meiser and O. Hackstein. Wiesbaden: Reichert, 39-64.	712
Duhoux, Yves		1973	712
Indo-europeen *el-eu-dh I l-eu-dh-, *l-eu-dh-; grec έλεύύερος, latin liber.		Folio Linguistica 6, 146-151.	712
Dunkel, George		1979 reciprocus und Verwandtes. IF 84, 184-195,	712
		1980 Ennian atque atque; prope. Glotta 58.	712
		1987 hires, χηρωσταί: Indogermanische Richtersprache. In: Festschrifi for	712
Henry Hoenigswaldc on the occasion of his seventieth birthday, eds- G.		Cardona and N. Zide, Tubingen: Gunter Narr, 91-100.	712
		1997 Latin iubar and fas: sound-law and analogy. In: Lubotsky 1997, 27-36.	712
		1998	712
"On the ""Thematisation"" of Latin sum, volo, eo and edo and the system of"		endings in the IE subjunctive active. In: Jasanoff / Melchert / Oliver 1998, 83-100.	712
	2000a	"Latin verbs in -igare and -igare. In: Festband 125 Jahre Indogermanistik in Graz. Arbeiten cms der Abteilung ""Vergleichende Sprachwissenschqfi Graz"", eds. Μ Ofitsch and C. Zinko, Graz: Leykam, 87-99."	712
	2000b	The common origin of conjunctive *-h?e and of adverbial *-s. In: Anusantatyai. Festschrift fur Johanna Narten zum 70. Geburtstag, eds. A. Hintze and E. Tichy, Dettelbach: Roll, 11-29.	712
		2005	712
Proceedings of the Sixteenth Annual UCLA Indo-European Conference. Los		Angeles, November 5-6> 2004, eds. K. Jones-Bley e.a., Washington DC: Institute for the Study of Man (= JIES Monograph Series 50), 173-189.	712
Ebbinghaus, Ernst		1979 Gotica XVI. General Linguistics 19, 188-192.	712
Edgeworth, Robert		1985 Luteus: Pink or Yellow? Glotta 63,212-220.	712
Eichner, Heiner		1978 Die urindogermanische Wurzel *H2reu 'hell machen'. Die Sprache 24, 144- 162.	712
		1982	712
In: Investigationes philologicae et		comparativae: Gedenkschrift fur Heinz Kronasser^ ed. E. Neu, Wiesbaden: Harrassowitz, 16-28.	712
		1992	712
Indogermanisches Phonemsystem und lateinische Lautgeschichte. In:		PanagI / Krisch 1992, 55-79.	712
	1993a	Reklameiamben aus Roms Konigszeit Die Sprache 34 [1991], 207-238.	712
	1993	b 1919 oder 1991? Zur Entwicklung der oskisch-umbrischen Studien nebst einer neuen Interpretation des Textes von Fonte Romito (Vetter Nr. 147). In:	712
Oslosch-Umbrisch: Texte		und	712
Arbeitstagung der		Indogermanischen Gesellschaft undder Societa Italiona di Glottologia vom 25. bis 28. September 1991 in Freiburg,, ed. H. Rix, Wiesbaden: Reichert, 46-95.	713
		1995 Zu fruhiateinischen Wortformen auf dem Forumscippus CIL I2,L In:	713
Studio onomastica et indogermanica. Festschrift fur Fritz Lochner von		Huttenbach zum 65. Geburtstag, eds. M. Ofitsch and C. Zinko, Graz: Leykam, 65-73.	713
		2002	713
Lateinisch hostia, hostus, hostire und die stellvertretende Tiertotung der		Hethiter. In: Fritz / Zeilfelder 2002, 101-156.	713
Eichner, Heiner and Hans Christian Luschutzky (eds.)		1999	713
Emout, Alfred		1937 avtvmare* Latomus 1, 75-79.	713
Emout, Alfred and Antoine Meillet		1979 Dictionnaire etymologique de la langue latine, 4™ edition. Troisieme tirage, par Jacques Andre. Paris: Klincksieck.	713
Fischer, Helmut		"1982 Lateinisch gravis ""schwer"". MSS 41, 33-34."	713
		1991 Nachtrag zu 'Lateinisch gravw' (MSS 41,1982, 33f.). MSS 52,7.	713
Fischer, Helmut and Ralf-Peter Ritter		"1991 Zu Bartholomaes (jungavest.) aeta- ""das gebtihrende Teii"". MSS 52, 9-13."	713
Flobert, Pierre		1975	713
Forbes, Kathleen		1958 The relations of the particle άΰν with κε(ν) κα καν. Glotta 37, 179-182.	713
Forssman, Bernhard		1965 Gr, πρύμνη, ai, nimna- und Verwandtes. ZVS 79, 11-18.	713
